"","gene","comparison","scaffold","Gene.Predict","id","gene.start","gene.stop","pos1","pos2","pos3","attr","GO"
"11","gene-LOC113665304","control_vs_mid","NW_020844153.1","Gnomon","gene",66802,68027,".","+",".","ID=gene-LOC113665304;Dbxref=GeneID:113665304;Name=LOC113665304;gbkey=Gene;gene=LOC113665304;gene_biotype=lncRNA;;Pocillopora damicornis;113665304;uncharacterized LOC113665304",""
"12","gene-LOC113665371","control_vs_mid","NW_020844164.1","Gnomon","gene",7732,9186,".","-",".","ID=gene-LOC113665371;Dbxref=GeneID:113665371;Name=LOC113665371;gbkey=Gene;gene=LOC113665371;gene_biotype=protein_coding;pdam_00019859;Pocillopora damicornis;113665371;uncharacterized LOC113665371","GO:0003676,GO:0016787,GO:0046872"
"13","gene-LOC113665493","control_vs_mid","NW_020844174.1","Gnomon","gene",302157,313995,".","-",".","ID=gene-LOC113665493;Dbxref=GeneID:113665493;Name=LOC113665493;gbkey=Gene;gene=LOC113665493;gene_biotype=protein_coding;pdam_00008116;Pocillopora damicornis;113665493;ribosomal protein S6 kinase beta-1-like","GO:0004672,GO:0004674,GO:0005524,GO:0006468,GO:0007165"
"14","gene-LOC113665866","control_vs_mid","NW_020844262.1","Gnomon","pseudogene",296716,298572,".","-",".","ID=gene-LOC113665866;Dbxref=GeneID:113665866;Name=LOC113665866;gbkey=Gene;gene=LOC113665866;gene_biotype=pseudogene;pseudo=true;;Pocillopora damicornis;113665866;NACHT, LRR and PYD domains-containing protein 3-like",""
"15","gene-LOC113665867","control_vs_mid","NW_020844262.1","Gnomon","pseudogene",298548,299433,".","-",".","ID=gene-LOC113665867;Dbxref=GeneID:113665867;Name=LOC113665867;gbkey=Gene;gene=LOC113665867;gene_biotype=pseudogene;pseudo=true;;Pocillopora damicornis;113665867;uncharacterized LOC113665867",""
"16","gene-LOC113666334","control_vs_mid","NW_020844350.1","Gnomon","gene",140249,145428,".","-",".","ID=gene-LOC113666334;Dbxref=GeneID:113666334;Name=LOC113666334;gbkey=Gene;gene=LOC113666334;gene_biotype=protein_coding;pdam_00016119;Pocillopora damicornis;113666334;amidophosphoribosyltransferase-like","GO:0004044,GO:0009113,GO:0009116"
"17","gene-LOC113666513","control_vs_mid","NW_020844372.1","Gnomon","gene",72830,75655,".","-",".","ID=gene-LOC113666513;Dbxref=GeneID:113666513;Name=LOC113666513;gbkey=Gene;gene=LOC113666513;gene_biotype=lncRNA;;Pocillopora damicornis;113666513;uncharacterized LOC113666513",""
"18","gene-LOC113666613","control_vs_mid","NW_020844403.1","Gnomon","gene",263588,269057,".","-",".","ID=gene-LOC113666613;Dbxref=GeneID:113666613;Name=LOC113666613;gbkey=Gene;gene=LOC113666613;gene_biotype=protein_coding;;Pocillopora damicornis;113666613;uncharacterized LOC113666613",""
"19","gene-LOC113666670","control_vs_mid","NW_020844408.1","Gnomon","gene",22259,22883,".","-",".","ID=gene-LOC113666670;Dbxref=GeneID:113666670;Name=LOC113666670;end_range=22883,.;gbkey=Gene;gene=LOC113666670;gene_biotype=protein_coding;partial=true;;Pocillopora damicornis;113666670;NACHT, LRR and PYD domains-containing protein 14-like",""
"20","gene-LOC113666714","control_vs_mid","NW_020844410.1","Gnomon","pseudogene",478023,479468,".","+",".","ID=gene-LOC113666714;Dbxref=GeneID:113666714;Name=LOC113666714;gbkey=Gene;gene=LOC113666714;gene_biotype=pseudogene;pseudo=true;;Pocillopora damicornis;113666714;E3 ubiquitin-protein ligase DZIP3-like",""
"21","gene-LOC113666770","control_vs_mid","NW_020844418.1","Gnomon","gene",441836,456016,".","+",".","ID=gene-LOC113666770;Dbxref=GeneID:113666770;Name=LOC113666770;gbkey=Gene;gene=LOC113666770;gene_biotype=protein_coding;partial=true;start_range=.,441836;pdam_00009258;Pocillopora damicornis;113666770;arachidonate 5-lipoxygenase-like","GO:0016702,GO:0046872,GO:0055114"
"22","gene-LOC113666806","control_vs_mid","NW_020844418.1","Gnomon","gene",320528,326332,".","-",".","ID=gene-LOC113666806;Dbxref=GeneID:113666806;Name=LOC113666806;gbkey=Gene;gene=LOC113666806;gene_biotype=protein_coding;pdam_00009245;Pocillopora damicornis;113666806;endonuclease 8-like 1",""
"23","gene-LOC113666862","control_vs_mid","NW_020844447.1","Gnomon","gene",103155,114533,".","-",".","ID=gene-LOC113666862;Dbxref=GeneID:113666862;Name=LOC113666862;gbkey=Gene;gene=LOC113666862;gene_biotype=protein_coding;pdam_00010426;Pocillopora damicornis;113666862;forkhead box protein O1-like","GO:0003700,GO:0006355,GO:0043565"
"24","gene-LOC113667213","control_vs_mid","NW_020844494.1","Gnomon","gene",862337,877023,".","-",".","ID=gene-LOC113667213;Dbxref=GeneID:113667213;Name=LOC113667213;gbkey=Gene;gene=LOC113667213;gene_biotype=protein_coding;pdam_00002942;Pocillopora damicornis;113667213;nucleolar RNA helicase 2-like","GO:0003676,GO:0003723,GO:0004386,GO:0005524,GO:0005634"
"25","gene-LOC113667216","control_vs_mid","NW_020844494.1","Gnomon","gene",972061,981041,".","-",".","ID=gene-LOC113667216;Dbxref=GeneID:113667216;Name=LOC113667216;gbkey=Gene;gene=LOC113667216;gene_biotype=protein_coding;pdam_00002956;Pocillopora damicornis;113667216;uncharacterized LOC113667216","GO:0005515,GO:0007165"
"26","gene-LOC113667225","control_vs_mid","NW_020844494.1","Gnomon","gene",597673,599787,".","-",".","ID=gene-LOC113667225;Dbxref=GeneID:113667225;Name=LOC113667225;gbkey=Gene;gene=LOC113667225;gene_biotype=protein_coding;;Pocillopora damicornis;113667225;temperature-induced lipocalin-1-like",""
"27","gene-LOC113667399","control_vs_mid","NW_020844518.1","Gnomon","gene",200641,206560,".","-",".","ID=gene-LOC113667399;Dbxref=GeneID:113667399;Name=LOC113667399;gbkey=Gene;gene=LOC113667399;gene_biotype=protein_coding;pdam_00014420;Pocillopora damicornis;113667399;uncharacterized LOC113667399",""
"28","gene-LOC113667767","control_vs_mid","NW_020844573.1","Gnomon","gene",853748,855611,".","+",".","ID=gene-LOC113667767;Dbxref=GeneID:113667767;Name=LOC113667767;gbkey=Gene;gene=LOC113667767;gene_biotype=protein_coding;pdam_00003051;Pocillopora damicornis;113667767;uncharacterized LOC113667767",""
"29","gene-LOC113668167","control_vs_mid","NW_020844656.1","Gnomon","gene",409391,411285,".","-",".","ID=gene-LOC113668167;Dbxref=GeneID:113668167;Name=LOC113668167;gbkey=Gene;gene=LOC113668167;gene_biotype=protein_coding;pdam_00005851;Pocillopora damicornis;113668167;protein usf-like","GO:0016787"
"30","gene-LOC113668175","control_vs_mid","NW_020843367.1","Gnomon","gene",592211,594069,".","+",".","ID=gene-LOC113668175;Dbxref=GeneID:113668175;Name=LOC113668175;gbkey=Gene;gene=LOC113668175;gene_biotype=protein_coding;pdam_00003568;Pocillopora damicornis;113668175;protein phosphatase 1 regulatory subunit 3B-like","GO:0005515"
"31","gene-LOC113668306","control_vs_mid","NW_020844672.1","Gnomon","gene",274544,275580,".","+",".","ID=gene-LOC113668306;Dbxref=GeneID:113668306;Name=LOC113668306;gbkey=Gene;gene=LOC113668306;gene_biotype=lncRNA;;Pocillopora damicornis;113668306;uncharacterized LOC113668306",""
"32","gene-LOC113669071","control_vs_mid","NW_020844798.1","Gnomon","gene",302556,327178,".","+",".","ID=gene-LOC113669071;Dbxref=GeneID:113669071;Name=LOC113669071;gbkey=Gene;gene=LOC113669071;gene_biotype=protein_coding;pdam_00010125;Pocillopora damicornis;113669071;ZZ-type zinc finger-containing protein 3-like","GO:0003677"
"33","gene-LOC113669213","control_vs_mid","NW_020844818.1","Gnomon","gene",341681,342155,".","+",".","ID=gene-LOC113669213;Dbxref=GeneID:113669213;Name=LOC113669213;gbkey=Gene;gene=LOC113669213;gene_biotype=lncRNA;;Pocillopora damicornis;113669213;uncharacterized LOC113669213",""
"34","gene-LOC113669484","control_vs_mid","NW_020844837.1","Gnomon","gene",628097,633191,".","-",".","ID=gene-LOC113669484;Dbxref=GeneID:113669484;Name=LOC113669484;gbkey=Gene;gene=LOC113669484;gene_biotype=protein_coding;pdam_00005389;Pocillopora damicornis;113669484;LON peptidase N-terminal domain and RING finger protein 3-like","GO:0005515,GO:0046872"
"35","gene-LOC113669934","control_vs_mid","NW_020844937.1","Gnomon","gene",28633,37460,".","+",".","ID=gene-LOC113669934;Dbxref=GeneID:113669934;Name=LOC113669934;gbkey=Gene;gene=LOC113669934;gene_biotype=protein_coding;pdam_00018997;Pocillopora damicornis;113669934;ATP-binding cassette sub-family F member 2-like","GO:0005524,GO:0016887"
"36","gene-LOC113669940","control_vs_mid","NW_020844939.1","Gnomon","pseudogene",157780,163228,".","+",".","ID=gene-LOC113669940;Dbxref=GeneID:113669940;Name=LOC113669940;gbkey=Gene;gene=LOC113669940;gene_biotype=pseudogene;pseudo=true;;Pocillopora damicornis;113669940;uncharacterized LOC113669940",""
"37","gene-LOC113669974","control_vs_mid","NW_020844944.1","Gnomon","gene",489914,497384,".","+",".","ID=gene-LOC113669974;Dbxref=GeneID:113669974;Name=LOC113669974;gbkey=Gene;gene=LOC113669974;gene_biotype=protein_coding;pdam_00002136;Pocillopora damicornis;113669974;proton-coupled folate transporter-like","GO:0016021,GO:0055085"
"38","gene-LOC113669988","control_vs_mid","NW_020844944.1","Gnomon","gene",585828,590390,".","-",".","ID=gene-LOC113669988;Dbxref=GeneID:113669988;Name=LOC113669988;end_range=590390,.;gbkey=Gene;gene=LOC113669988;gene_biotype=protein_coding;partial=true;;Pocillopora damicornis;113669988;ryncolin-1-like",""
"39","gene-LOC113670165","control_vs_mid","NW_020844967.1","Gnomon","gene",76653,82085,".","-",".","ID=gene-LOC113670165;Dbxref=GeneID:113670165;Name=LOC113670165;gbkey=Gene;gene=LOC113670165;gene_biotype=protein_coding;pdam_00012585;Pocillopora damicornis;113670165;tubulin alpha-1A chain-like","GO:0003924,GO:0005200,GO:0005525,GO:0005874,GO:0007017"
"40","gene-LOC113670198","control_vs_mid","NW_020844971.1","Gnomon","gene",6752,11619,".","+",".","ID=gene-LOC113670198;Dbxref=GeneID:113670198;Name=LOC113670198;end_range=11619,.;gbkey=Gene;gene=LOC113670198;gene_biotype=protein_coding;partial=true;pdam_00024865;Pocillopora damicornis;113670198;phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1-like","GO:0004725,GO:0006470,GO:0008138,GO:0016311,GO:0016791"
"41","gene-LOC113670247","control_vs_mid","NW_020844978.1","Gnomon","gene",660,1204,".","-",".","ID=gene-LOC113670247;Dbxref=GeneID:113670247;Name=LOC113670247;gbkey=Gene;gene=LOC113670247;gene_biotype=lncRNA;;Pocillopora damicornis;113670247;uncharacterized LOC113670247",""
"42","gene-LOC113670426","control_vs_mid","NW_020844998.1","Gnomon","gene",3807,19878,".","-",".","ID=gene-LOC113670426;Dbxref=GeneID:113670426;Name=LOC113670426;gbkey=Gene;gene=LOC113670426;gene_biotype=protein_coding;pdam_00023707;Pocillopora damicornis;113670426;fibroblast growth factor receptor 2-like","GO:0004672,GO:0004713,GO:0005524,GO:0006468"
"43","gene-LOC113670541","control_vs_mid","NW_020845029.1","Gnomon","gene",43683,48909,".","-",".","ID=gene-LOC113670541;Dbxref=GeneID:113670541;Name=LOC113670541;gbkey=Gene;gene=LOC113670541;gene_biotype=lncRNA;;Pocillopora damicornis;113670541;uncharacterized LOC113670541",""
"44","gene-LOC113670859","control_vs_mid","NW_020845073.1","Gnomon","gene",1074342,1093418,".","+",".","ID=gene-LOC113670859;Dbxref=GeneID:113670859;Name=LOC113670859;gbkey=Gene;gene=LOC113670859;gene_biotype=protein_coding;pdam_00001147;Pocillopora damicornis;113670859;sodium-dependent neutral amino acid transporter B(0)AT3-like","GO:0005328,GO:0006836,GO:0016021"
"45","gene-LOC113671053","control_vs_mid","NW_020845124.1","Gnomon","gene",45937,51492,".","+",".","ID=gene-LOC113671053;Dbxref=GeneID:113671053;Name=LOC113671053;gbkey=Gene;gene=LOC113671053;gene_biotype=protein_coding;pdam_00021033;Pocillopora damicornis;113671053;peroxisome assembly protein 26-like","GO:0005779,GO:0032403,GO:0045046"
"46","gene-LOC113671271","control_vs_mid","NW_020845234.1","Gnomon","pseudogene",101957,103194,".","+",".","ID=gene-LOC113671271;Dbxref=GeneID:113671271;Name=LOC113671271;gbkey=Gene;gene=LOC113671271;gene_biotype=pseudogene;pseudo=true;;Pocillopora damicornis;113671271;E3 ubiquitin-protein ligase TRIM56-like",""
"47","gene-LOC113671669","control_vs_mid","NW_020845280.1","Gnomon","gene",100567,106245,".","-",".","ID=gene-LOC113671669;Dbxref=GeneID:113671669;Name=LOC113671669;gbkey=Gene;gene=LOC113671669;gene_biotype=protein_coding;;Pocillopora damicornis;113671669;cryptochrome-1-like",""
"48","gene-LOC113671774","control_vs_mid","NW_020845295.1","Gnomon","gene",69622,88845,".","-",".","ID=gene-LOC113671774;Dbxref=GeneID:113671774;Name=LOC113671774;end_range=88845,.;gbkey=Gene;gene=LOC113671774;gene_biotype=protein_coding;partial=true;pdam_00009357;Pocillopora damicornis;113671774;electroneutral sodium bicarbonate exchanger 1-like","GO:0005215,GO:0005452,GO:0006810,GO:0006820,GO:0008509,GO:0016020,GO:0016021"
"49","gene-LOC113671849","control_vs_mid","NW_020845300.1","Gnomon","gene",90171,104601,".","-",".","ID=gene-LOC113671849;Dbxref=GeneID:113671849;Name=LOC113671849;gbkey=Gene;gene=LOC113671849;gene_biotype=protein_coding;partial=true;pdam_00001996;Pocillopora damicornis;113671849;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1-like","GO:0005524"
"50","gene-LOC113672174","control_vs_mid","NW_020845351.1","Gnomon","gene",3406,5577,".","+",".","ID=gene-LOC113672174;Dbxref=GeneID:113672174;Name=LOC113672174;gbkey=Gene;gene=LOC113672174;gene_biotype=lncRNA;;Pocillopora damicornis;113672174;uncharacterized LOC113672174",""
"51","gene-LOC113672580","control_vs_mid","NW_020843589.1","Gnomon","pseudogene",88916,89897,".","-",".","ID=gene-LOC113672580;Dbxref=GeneID:113672580;Name=LOC113672580;gbkey=Gene;gene=LOC113672580;gene_biotype=pseudogene;pseudo=true;;Pocillopora damicornis;113672580;uncharacterized LOC113672580",""
"52","gene-LOC113672990","control_vs_mid","NW_020845487.1","Gnomon","gene",318920,341967,".","-",".","ID=gene-LOC113672990;Dbxref=GeneID:113672990;Name=LOC113672990;gbkey=Gene;gene=LOC113672990;gene_biotype=protein_coding;pdam_00011508;Pocillopora damicornis;113672990;uncharacterized LOC113672990",""
"53","gene-LOC113673056","control_vs_mid","NW_020843601.1","Gnomon","gene",34213,37505,".","+",".","ID=gene-LOC113673056;Dbxref=GeneID:113673056;Name=LOC113673056;gbkey=Gene;gene=LOC113673056;gene_biotype=protein_coding;pdam_00014272;Pocillopora damicornis;113673056;leucine-rich repeat-containing protein 58-like","GO:0005515"
"54","gene-LOC113673455","control_vs_mid","NW_020845558.1","Gnomon","gene",554589,571955,".","-",".","ID=gene-LOC113673455;Dbxref=GeneID:113673455;Name=LOC113673455;gbkey=Gene;gene=LOC113673455;gene_biotype=protein_coding;pdam_00002748;Pocillopora damicornis;113673455;paladin-like",""
"55","gene-LOC113673572","control_vs_mid","NW_020845565.1","Gnomon","gene",82133,88596,".","-",".","ID=gene-LOC113673572;Dbxref=GeneID:113673572;Name=LOC113673572;gbkey=Gene;gene=LOC113673572;gene_biotype=lncRNA;;Pocillopora damicornis;113673572;uncharacterized LOC113673572",""
"56","gene-LOC113673681","control_vs_mid","NW_020845578.1","Gnomon","gene",289729,290703,".","-",".","ID=gene-LOC113673681;Dbxref=GeneID:113673681;Name=LOC113673681;gbkey=Gene;gene=LOC113673681;gene_biotype=lncRNA;;Pocillopora damicornis;113673681;uncharacterized LOC113673681",""
"57","gene-LOC113673942","control_vs_mid","NW_020845647.1","Gnomon","gene",591883,601116,".","-",".","ID=gene-LOC113673942;Dbxref=GeneID:113673942;Name=LOC113673942;gbkey=Gene;gene=LOC113673942;gene_biotype=protein_coding;;Pocillopora damicornis;113673942;NEDD8-activating enzyme E1 catalytic subunit-like",""
"58","gene-LOC113673972","control_vs_mid","NW_020845647.1","Gnomon","gene",515833,521107,".","+",".","ID=gene-LOC113673972;Dbxref=GeneID:113673972;Name=LOC113673972;gbkey=Gene;gene=LOC113673972;gene_biotype=protein_coding;pdam_00002515;Pocillopora damicornis;113673972;E3 ubiquitin-protein ligase MYLIP-like","GO:0005856,GO:0008092"
"59","gene-LOC113673983","control_vs_mid","NW_020845647.1","Gnomon","gene",266644,270933,".","+",".","ID=gene-LOC113673983;Dbxref=GeneID:113673983;Name=LOC113673983;gbkey=Gene;gene=LOC113673983;gene_biotype=protein_coding;pdam_00002487;Pocillopora damicornis;113673983;protein phosphatase 1 regulatory subunit 3B-like","GO:0005515"
"60","gene-LOC113674164","control_vs_mid","NW_020845676.1","Gnomon","gene",11389,13299,".","+",".","ID=gene-LOC113674164;Dbxref=GeneID:113674164;Name=LOC113674164;gbkey=Gene;gene=LOC113674164;gene_biotype=protein_coding;partial=true;start_range=.,11389;pdam_00023377;Pocillopora damicornis;113674164;nephrocystin-3-like","GO:0003777,GO:0005515,GO:0005871"
"61","gene-LOC113674263","control_vs_mid","NW_020845694.1","Gnomon","pseudogene",526445,528117,".","-",".","ID=gene-LOC113674263;Dbxref=GeneID:113674263;Name=LOC113674263;gbkey=Gene;gene=LOC113674263;gene_biotype=pseudogene;pseudo=true;;Pocillopora damicornis;113674263;gamma-interferon-inducible lysosomal thiol reductase pseudogene",""
"62","gene-LOC113674273","control_vs_mid","NW_020845694.1","Gnomon","gene",743538,745220,".","-",".","ID=gene-LOC113674273;Dbxref=GeneID:113674273;Name=LOC113674273;gbkey=Gene;gene=LOC113674273;gene_biotype=protein_coding;pdam_00003672;Pocillopora damicornis;113674273;uncharacterized LOC113674273",""
"63","gene-LOC113674289","control_vs_mid","NW_020845694.1","Gnomon","gene",747224,763695,".","+",".","ID=gene-LOC113674289;Dbxref=GeneID:113674289;Name=LOC113674289;gbkey=Gene;gene=LOC113674289;gene_biotype=protein_coding;pdam_00003675;Pocillopora damicornis;113674289;UDP-glucuronic acid decarboxylase 1-like","GO:0003824,GO:0050662"
"64","gene-LOC113674379","control_vs_mid","NW_020845701.1","Gnomon","gene",368531,377072,".","+",".","ID=gene-LOC113674379;Dbxref=GeneID:113674379;Name=LOC113674379;gbkey=Gene;gene=LOC113674379;gene_biotype=protein_coding;pdam_00011310;Pocillopora damicornis;113674379;succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial-like","GO:0006099,GO:0016491,GO:0016627,GO:0022900,GO:0050660,GO:0055114"
"65","gene-LOC113674440","control_vs_mid","NW_020845732.1","Gnomon","gene",22516,23345,".","+",".","ID=gene-LOC113674440;Dbxref=GeneID:113674440;Name=LOC113674440;gbkey=Gene;gene=LOC113674440;gene_biotype=protein_coding;pdam_00023930;Pocillopora damicornis;113674440;DELTA-alicitoxin-Pse2b-like",""
"66","gene-LOC113674909","control_vs_mid","NW_020845831.1","Gnomon","gene",107387,111978,".","+",".","ID=gene-LOC113674909;Dbxref=GeneID:113674909;Name=LOC113674909;gbkey=Gene;gene=LOC113674909;gene_biotype=protein_coding;;Pocillopora damicornis;113674909;chymotrypsinogen B-like",""
"67","gene-LOC113674956","control_vs_mid","NW_020845843.1","Gnomon","gene",71195,80389,".","+",".","ID=gene-LOC113674956;Dbxref=GeneID:113674956;Name=LOC113674956;gbkey=Gene;gene=LOC113674956;gene_biotype=protein_coding;pdam_00014952;Pocillopora damicornis;113674956;putative ammonium transporter 1","GO:0008519,GO:0015696,GO:0016020,GO:0072488"
"68","gene-LOC113675032","control_vs_mid","NW_020845854.1","Gnomon","gene",223527,229355,".","+",".","ID=gene-LOC113675032;Dbxref=GeneID:113675032;Name=LOC113675032;gbkey=Gene;gene=LOC113675032;gene_biotype=protein_coding;pdam_00014569;Pocillopora damicornis;113675032;uncharacterized LOC113675032","GO:0016020"
"69","gene-LOC113675088","control_vs_mid","NW_020845860.1","Gnomon","gene",58,861,".","-",".","ID=gene-LOC113675088;Dbxref=GeneID:113675088;Name=LOC113675088;gbkey=Gene;gene=LOC113675088;gene_biotype=lncRNA;;Pocillopora damicornis;113675088;uncharacterized LOC113675088",""
"70","gene-LOC113675228","control_vs_mid","NW_020845865.1","Gnomon","pseudogene",96575,97482,".","+",".","ID=gene-LOC113675228;Dbxref=GeneID:113675228;Name=LOC113675228;gbkey=Gene;gene=LOC113675228;gene_biotype=pseudogene;pseudo=true;;Pocillopora damicornis;113675228;NACHT, LRR and PYD domains-containing protein 14-like",""
"71","gene-LOC113675337","control_vs_mid","NW_020845867.1","Gnomon","gene",370309,372270,".","-",".","ID=gene-LOC113675337;Dbxref=GeneID:113675337;Name=LOC113675337;gbkey=Gene;gene=LOC113675337;gene_biotype=lncRNA;;Pocillopora damicornis;113675337;uncharacterized LOC113675337",""
"72","gene-LOC113675417","control_vs_mid","NW_020845872.1","Gnomon","gene",3326,5668,".","+",".","ID=gene-LOC113675417;Dbxref=GeneID:113675417;Name=LOC113675417;gbkey=Gene;gene=LOC113675417;gene_biotype=protein_coding;pdam_00020881;Pocillopora damicornis;113675417;uncharacterized LOC113675417",""
"73","gene-LOC113675528","control_vs_mid","NW_020845921.1","Gnomon","gene",58,3113,".","-",".","ID=gene-LOC113675528;Dbxref=GeneID:113675528;Name=LOC113675528;gbkey=Gene;gene=LOC113675528;gene_biotype=protein_coding;partial=true;start_range=.,58;pdam_00023187;Pocillopora damicornis;113675528;NACHT, LRR and PYD domains-containing protein 3-like","GO:0005515"
"74","gene-LOC113675541","control_vs_mid","NW_020845923.1","Gnomon","gene",60704,72880,".","-",".","ID=gene-LOC113675541;Dbxref=GeneID:113675541;Name=LOC113675541;gbkey=Gene;gene=LOC113675541;gene_biotype=protein_coding;pdam_00014148;Pocillopora damicornis;113675541;cyclic GMP-AMP synthase-like",""
"75","gene-LOC113675626","control_vs_mid","NW_020845941.1","Gnomon","gene",220429,223301,".","+",".","ID=gene-LOC113675626;Dbxref=GeneID:113675626;Name=LOC113675626;gbkey=Gene;gene=LOC113675626;gene_biotype=protein_coding;pdam_00011859;Pocillopora damicornis;113675626;tubulin beta-4B chain-like","GO:0003924,GO:0005200,GO:0005525,GO:0005874,GO:0007017"
"76","gene-LOC113676043","control_vs_mid","NW_020846026.1","Gnomon","gene",135201,139163,".","-",".","ID=gene-LOC113676043;Dbxref=GeneID:113676043;Name=LOC113676043;gbkey=Gene;gene=LOC113676043;gene_biotype=protein_coding;pdam_00018373;Pocillopora damicornis;113676043;uncharacterized LOC113676043",""
"77","gene-LOC113676499","control_vs_mid","NW_020846086.1","Gnomon","gene",586042,588149,".","+",".","ID=gene-LOC113676499;Dbxref=GeneID:113676499;Name=LOC113676499;gbkey=Gene;gene=LOC113676499;gene_biotype=protein_coding;;Pocillopora damicornis;113676499;uncharacterized LOC113676499",""
"78","gene-LOC113676510","control_vs_mid","NW_020846086.1","Gnomon","gene",329995,333872,".","-",".","ID=gene-LOC113676510;Dbxref=GeneID:113676510;Name=LOC113676510;gbkey=Gene;gene=LOC113676510;gene_biotype=protein_coding;partial=true;pdam_00005565;Pocillopora damicornis;113676510;CUB and peptidase domain-containing protein 2-like","GO:0004252,GO:0006508"
"79","gene-LOC113676595","control_vs_mid","NW_020846092.1","Gnomon","gene",153578,163813,".","+",".","ID=gene-LOC113676595;Dbxref=GeneID:113676595;Name=LOC113676595;gbkey=Gene;gene=LOC113676595;gene_biotype=protein_coding;;Pocillopora damicornis;113676595;CUB and zona pellucida-like domain-containing protein 1",""
"80","gene-LOC113676627","control_vs_mid","NW_020846101.1","Gnomon","gene",31006,44779,".","+",".","ID=gene-LOC113676627;Dbxref=GeneID:113676627;Name=LOC113676627;gbkey=Gene;gene=LOC113676627;gene_biotype=protein_coding;pdam_00019849;Pocillopora damicornis;113676627;leukotriene A-4 hydrolase-like","GO:0005488,GO:0006508,GO:0008237,GO:0008270"
