"","gene","19_T33_Ac_WK","24_T12_Ac_FM","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","31_T22_Ac_UV","35_T43_Ac_MT","37_T13_Ac_ML","38_T23_Ac_IN","41_ctl3_Ac_RN_1","45_T41_Ac_SC_1","47_T31_Ac_JB","52_T11_Ac_II","53_T21_Ac_NH","54_T42_Ac_JQ","57_T32_Ac_NM","scaffold","Gene.Predict","id","gene.start","gene.stop","pos1","pos2","pos3","attr"
"Acerv_evm.TU.Segkk1470_pilon.1","Acerv_evm.TU.Segkk1470_pilon.1",1272,1138,1797,2479,513,1043,741,1089,2828,3407,919,1059,455,959,603,"Segkk1470_pilon","EVM","CDS",2286,2314,".","+","2","ID=cds.Acerv_evm.model.Segkk1470_pilon.1;Parent=Acerv_evm.model.Segkk1470_pilon.1;transcript_id=cds.Acerv_evm.model.Segkk1470_pilon.1"
"Acerv_evm.TU.Segkk1513_pilon.1","Acerv_evm.TU.Segkk1513_pilon.1",37,0,84,56,0,0,20,0,81,116,0,16,0,29,14,"Segkk1513_pilon","EVM","mRNA",6417,7715,".","+",".","ID=Acerv_evm.model.Segkk1513_pilon.1;Parent=Acerv_evm.TU.Segkk1513_pilon.1;product=hypothetical_protein_AC249_AIPGENE22222_;transcript_id=Acerv_evm.model.Segkk1513_pilon.1"
"Acerv_evm.TU.Segkk1595_pilon.2","Acerv_evm.TU.Segkk1595_pilon.2",11,46,32,23,10,23,12,13,29,51,11,4,13,14,1,"Segkk1595_pilon","EVM","stop_codon",23802,23804,".","+",".","ID=Acerv_evm.model.Segkk1595_pilon.2:stop;Parent=Acerv_evm.model.Segkk1595_pilon.2;transcript_id=Acerv_evm.model.Segkk1595_pilon.2:stop"
"Acerv_evm.TU.Segkk1630_pilon.6","Acerv_evm.TU.Segkk1630_pilon.6",112,0,10,15,99,178,97,80,8,5,56,134,48,179,62,"Segkk1630_pilon","EVM","CDS",24754,24785,".","+","0","ID=cds.Acerv_evm.model.Segkk1630_pilon.6;Parent=Acerv_evm.model.Segkk1630_pilon.6;transcript_id=cds.Acerv_evm.model.Segkk1630_pilon.6"
"Acerv_evm.TU.Segkk1674_pilon.1","Acerv_evm.TU.Segkk1674_pilon.1",25,0,38,21,0,16,16,0,65,72,0,26,0,24,0,"Segkk1674_pilon","EVM","exon",11280,11339,".","+",".","ID=Acerv_evm.model.Segkk1674_pilon.1.exon2;Parent=Acerv_evm.model.Segkk1674_pilon.1;transcript_id=Acerv_evm.model.Segkk1674_pilon.1.exon2"
"Acerv_evm.TU.Segkk1677_pilon.1","Acerv_evm.TU.Segkk1677_pilon.1",85,7,48,38,70,158,69,99,55,74,70,86,45,112,37,"Segkk1677_pilon","EVM","CDS",11218,11245,".","+","0","ID=cds.Acerv_evm.model.Segkk1677_pilon.1;Parent=Acerv_evm.model.Segkk1677_pilon.1;transcript_id=cds.Acerv_evm.model.Segkk1677_pilon.1"
"Acerv_evm.TU.Segkk169_pilon.1","Acerv_evm.TU.Segkk169_pilon.1",44,13,39,6,71,105,24,30,10,29,15,13,27,71,15,"Segkk169_pilon","EVM","gene",6246,7111,".","+",".","ID=Acerv_evm.TU.Segkk169_pilon.1;Name=Acerv_gene.model.Segkk169_pilon.1"
"Acerv_evm.TU.Segkk1779_pilon.5","Acerv_evm.TU.Segkk1779_pilon.5",59,0,14,16,30,52,30,48,33,45,30,15,31,58,10,"Segkk1779_pilon","EVM","exon",34098,35002,".","+",".","ID=Acerv_evm.model.Segkk1779_pilon.5.exon4;Parent=Acerv_evm.model.Segkk1779_pilon.5;transcript_id=Acerv_evm.model.Segkk1779_pilon.5.exon4"
"Acerv_evm.TU.Segkk1793_pilon.1","Acerv_evm.TU.Segkk1793_pilon.1",36,0,6,9,24,38,25,41,6,13,33,37,14,37,13,"Segkk1793_pilon","EVM","exon",2457,2543,".","+",".","ID=Acerv_evm.model.Segkk1793_pilon.1.exon2;Parent=Acerv_evm.model.Segkk1793_pilon.1;transcript_id=Acerv_evm.model.Segkk1793_pilon.1.exon2"
"Acerv_evm.TU.Segkk1822_pilon.2","Acerv_evm.TU.Segkk1822_pilon.2",386,10,406,368,522,938,404,1163,250,484,96,224,739,1588,352,"Segkk1822_pilon","EVM","CDS",23737,23786,".","+","2","ID=cds.Acerv_evm.model.Segkk1822_pilon.2;Parent=Acerv_evm.model.Segkk1822_pilon.2;transcript_id=cds.Acerv_evm.model.Segkk1822_pilon.2"
"Acerv_evm.TU.Segkk1852_pilon.2","Acerv_evm.TU.Segkk1852_pilon.2",163,239,229,322,109,265,158,239,298,300,143,260,87,218,161,"Segkk1852_pilon","EVM","exon",19232,19689,".","+",".","ID=Acerv_evm.model.Segkk1852_pilon.2.exon4;Parent=Acerv_evm.model.Segkk1852_pilon.2;transcript_id=Acerv_evm.model.Segkk1852_pilon.2.exon4"
"Acerv_evm.TU.Segkk1945_pilon.2","Acerv_evm.TU.Segkk1945_pilon.2",34,0,8,12,16,18,17,18,0,11,12,19,7,24,12,"Segkk1945_pilon","EVM","CDS",18713,19212,".","+","0","ID=cds.Acerv_evm.model.Segkk1945_pilon.2;Parent=Acerv_evm.model.Segkk1945_pilon.2;transcript_id=cds.Acerv_evm.model.Segkk1945_pilon.2"
"Acerv_evm.TU.Segkk1988_pilon.12","Acerv_evm.TU.Segkk1988_pilon.12",0,0,9,38,63,6,18,92,24,9,14,22,41,11,5,"Segkk1988_pilon","EVM","gene",84513,86784,".","+",".","ID=Acerv_evm.TU.Segkk1988_pilon.12;Name=Acerv_gene.model.Segkk1988_pilon.12"
"Acerv_evm.TU.Segkk2136_pilon.1","Acerv_evm.TU.Segkk2136_pilon.1",20,0,1,1,14,20,14,17,1,3,14,27,11,29,13,"Segkk2136_pilon","EVM","stop_codon",567,569,".","+",".","ID=Acerv_evm.model.Segkk2136_pilon.1:stop;Parent=Acerv_evm.model.Segkk2136_pilon.1;transcript_id=Acerv_evm.model.Segkk2136_pilon.1:stop"
"Acerv_evm.TU.Segkk2181_pilon.1","Acerv_evm.TU.Segkk2181_pilon.1",94,0,70,71,66,104,81,70,52,76,55,165,64,149,37,"Segkk2181_pilon","EVM","start_codon",5710,5712,".","+",".","ID=Acerv_evm.model.Segkk2181_pilon.1:start;Parent=Acerv_evm.model.Segkk2181_pilon.1;transcript_id=Acerv_evm.model.Segkk2181_pilon.1:start"
"Acerv_evm.TU.Segkk2238_pilon.1","Acerv_evm.TU.Segkk2238_pilon.1",35,0,5,3,19,37,23,34,8,11,28,35,17,41,10,"Segkk2238_pilon","EVM","exon",10080,10158,".","+",".","ID=Acerv_evm.model.Segkk2238_pilon.1.exon2;Parent=Acerv_evm.model.Segkk2238_pilon.1;transcript_id=Acerv_evm.model.Segkk2238_pilon.1.exon2"
"Acerv_evm.TU.Segkk2264_pilon.7","Acerv_evm.TU.Segkk2264_pilon.7",53,0,106,89,0,42,25,0,94,92,29,21,0,0,0,"Segkk2264_pilon","EVM","gene",118228,125261,".","+",".","ID=Acerv_evm.TU.Segkk2264_pilon.7;Name=Acerv_gene.model.Segkk2264_pilon.7"
"Acerv_evm.TU.Segkk2265_pilon.6","Acerv_evm.TU.Segkk2265_pilon.6",49,0,99,145,34,51,0,52,119,146,31,0,0,46,22,"Segkk2265_pilon","EVM","gene",53379,55931,".","+",".","ID=Acerv_evm.TU.Segkk2265_pilon.6;Name=Acerv_gene.model.Segkk2265_pilon.6"
"Acerv_evm.TU.Segkk2424_pilon.11","Acerv_evm.TU.Segkk2424_pilon.11",134,0,38,19,85,125,123,233,26,28,77,49,52,227,71,"Segkk2424_pilon","EVM","CDS",78955,79146,".","+","0","ID=cds.Acerv_evm.model.Segkk2424_pilon.11;Parent=Acerv_evm.model.Segkk2424_pilon.11;transcript_id=cds.Acerv_evm.model.Segkk2424_pilon.11"
"Acerv_evm.TU.Segkk2563_pilon.1","Acerv_evm.TU.Segkk2563_pilon.1",52,22,10,20,13,41,11,13,7,20,7,11,18,16,4,"Segkk2563_pilon","EVM","mRNA",15,5585,".","-",".","ID=Acerv_evm.model.Segkk2563_pilon.1;Parent=Acerv_evm.TU.Segkk2563_pilon.1;product=NFX1-type_zinc_finger-containing_protein_1_;transcript_id=Acerv_evm.model.Segkk2563_pilon.1"
"Acerv_evm.TU.Segkk2656_pilon.3","Acerv_evm.TU.Segkk2656_pilon.3",23,0,0,0,29,44,22,60,1,2,31,15,13,63,15,"Segkk2656_pilon","EVM","stop_codon",18261,18263,".","+",".","ID=Acerv_evm.model.Segkk2656_pilon.3:stop;Parent=Acerv_evm.model.Segkk2656_pilon.3;transcript_id=Acerv_evm.model.Segkk2656_pilon.3:stop"
"Acerv_evm.TU.Segkk2794_pilon.7","Acerv_evm.TU.Segkk2794_pilon.7",45,11,11,15,17,42,25,15,21,39,4,29,32,35,8,"Segkk2794_pilon","EVM","exon",69329,69580,".","+",".","ID=Acerv_evm.model.Segkk2794_pilon.7.exon2;Parent=Acerv_evm.model.Segkk2794_pilon.7;transcript_id=Acerv_evm.model.Segkk2794_pilon.7.exon2"
"Acerv_evm.TU.Segkk2795_pilon.14","Acerv_evm.TU.Segkk2795_pilon.14",28,0,44,70,21,41,0,119,111,134,40,0,21,68,21,"Segkk2795_pilon","EVM","stop_codon",113706,113708,".","+",".","ID=Acerv_evm.model.Segkk2795_pilon.14:stop;Parent=Acerv_evm.model.Segkk2795_pilon.14;transcript_id=Acerv_evm.model.Segkk2795_pilon.14:stop"
"Acerv_evm.TU.Segkk2935_pilon.2","Acerv_evm.TU.Segkk2935_pilon.2",22,1,12,12,22,57,21,58,13,19,26,15,11,27,13,"Segkk2935_pilon","EVM","gene",10056,10892,".","+",".","ID=Acerv_evm.TU.Segkk2935_pilon.2;Name=Acerv_gene.model.Segkk2935_pilon.2"
"Acerv_evm.TU.Segkk2970_pilon.1","Acerv_evm.TU.Segkk2970_pilon.1",72,0,21,39,38,111,38,130,44,68,42,27,41,53,21,"Segkk2970_pilon","EVM","exon",705,716,".","+",".","ID=Acerv_evm.model.Segkk2970_pilon.1.exon1;Parent=Acerv_evm.model.Segkk2970_pilon.1;transcript_id=Acerv_evm.model.Segkk2970_pilon.1.exon1"
"Acerv_evm.TU.Segkk3047_pilon.5","Acerv_evm.TU.Segkk3047_pilon.5",33,0,11,16,51,67,33,38,8,5,27,22,34,47,24,"Segkk3047_pilon","EVM","exon",69075,69713,".","+",".","ID=Acerv_evm.model.Segkk3047_pilon.5.exon2;Parent=Acerv_evm.model.Segkk3047_pilon.5;transcript_id=Acerv_evm.model.Segkk3047_pilon.5.exon2"
"Acerv_evm.TU.Segkk3087_pilon.2","Acerv_evm.TU.Segkk3087_pilon.2",50,0,10,15,33,65,39,38,6,15,31,27,24,62,12,"Segkk3087_pilon","EVM","CDS",17458,21852,".","+","1","ID=cds.Acerv_evm.model.Segkk3087_pilon.2;Parent=Acerv_evm.model.Segkk3087_pilon.2;transcript_id=cds.Acerv_evm.model.Segkk3087_pilon.2"
"Acerv_evm.TU.Segkk3199_pilon.2","Acerv_evm.TU.Segkk3199_pilon.2",25,0,2,0,17,26,21,29,1,1,19,36,9,25,16,"Segkk3199_pilon","EVM","CDS",3651,4096,".","+","0","ID=cds.Acerv_evm.model.Segkk3199_pilon.2;Parent=Acerv_evm.model.Segkk3199_pilon.2;transcript_id=cds.Acerv_evm.model.Segkk3199_pilon.2"
"Acerv_evm.TU.Segkk3267_pilon.1","Acerv_evm.TU.Segkk3267_pilon.1",31,0,3,7,35,40,32,26,0,3,22,24,17,56,18,"Segkk3267_pilon","EVM","exon",4556,4627,".","+",".","ID=Acerv_evm.model.Segkk3267_pilon.1.exon4;Parent=Acerv_evm.model.Segkk3267_pilon.1;transcript_id=Acerv_evm.model.Segkk3267_pilon.1.exon4"
"Acerv_evm.TU.Segkk3322_pilon.20","Acerv_evm.TU.Segkk3322_pilon.20",22,0,51,46,19,33,0,18,42,64,16,0,13,32,11,"Segkk3322_pilon","EVM","gene",220596,223220,".","+",".","ID=Acerv_evm.TU.Segkk3322_pilon.20;Name=Acerv_gene.model.Segkk3322_pilon.20"
"Acerv_evm.TU.Segkk3352_pilon.2","Acerv_evm.TU.Segkk3352_pilon.2",27,0,39,39,12,0,0,130,445,519,99,0,17,0,7,"Segkk3352_pilon","EVM","mRNA",14433,26206,".","+",".","ID=Acerv_evm.model.Segkk3352_pilon.2;Parent=Acerv_evm.TU.Segkk3352_pilon.2;product=uncharacterized_protein_LOC110056013_isoform_X3_;transcript_id=Acerv_evm.model.Segkk3352_pilon.2"
"Acerv_evm.TU.Segkk3387_pilon.12","Acerv_evm.TU.Segkk3387_pilon.12",33,7,17,32,27,61,22,35,20,40,25,37,19,46,11,"Segkk3387_pilon","EVM","start_codon",102083,102085,".","+",".","ID=Acerv_evm.model.Segkk3387_pilon.12:start;Parent=Acerv_evm.model.Segkk3387_pilon.12;transcript_id=Acerv_evm.model.Segkk3387_pilon.12:start"
"Acerv_evm.TU.Segkk3394_pilon.16","Acerv_evm.TU.Segkk3394_pilon.16",311,12,28,12,288,513,246,188,6,6,152,155,186,521,123,"Segkk3394_pilon","EVM","gene",175925,179566,".","+",".","ID=Acerv_evm.TU.Segkk3394_pilon.16;Name=Acerv_gene.model.Segkk3394_pilon.16"
"Acerv_evm.TU.Segkk3395_pilon.4","Acerv_evm.TU.Segkk3395_pilon.4",74,4,63,50,79,161,76,112,91,156,73,99,43,163,29,"Segkk3395_pilon","EVM","CDS",17152,17359,".","+","0","ID=cds.Acerv_evm.model.Segkk3395_pilon.4;Parent=Acerv_evm.model.Segkk3395_pilon.4;transcript_id=cds.Acerv_evm.model.Segkk3395_pilon.4"
"Acerv_evm.TU.Segkk3420_pilon.1","Acerv_evm.TU.Segkk3420_pilon.1",0,0,67,95,21,45,21,19,44,79,0,27,19,32,0,"Segkk3420_pilon","EVM","stop_codon",2332,2334,".","+",".","ID=Acerv_evm.model.Segkk3420_pilon.1:stop;Parent=Acerv_evm.model.Segkk3420_pilon.1;transcript_id=Acerv_evm.model.Segkk3420_pilon.1:stop"
"Acerv_evm.TU.Segkk3422_pilon.23","Acerv_evm.TU.Segkk3422_pilon.23",799,711,15,8,471,680,524,537,22,14,402,449,304,1079,353,"Segkk3422_pilon","EVM","gene",236670,238357,".","+",".","ID=Acerv_evm.TU.Segkk3422_pilon.23;Name=Acerv_gene.model.Segkk3422_pilon.23"
"Acerv_evm.TU.Segkk3454_pilon.22","Acerv_evm.TU.Segkk3454_pilon.22",59,0,0,0,26,54,30,37,0,0,18,28,24,44,11,"Segkk3454_pilon","EVM","exon",198720,199201,".","+",".","ID=Acerv_evm.model.Segkk3454_pilon.22.exon3;Parent=Acerv_evm.model.Segkk3454_pilon.22;transcript_id=Acerv_evm.model.Segkk3454_pilon.22.exon3"
"Acerv_evm.TU.Segkk3469_pilon.8","Acerv_evm.TU.Segkk3469_pilon.8",32,0,60,113,0,63,0,234,1198,872,213,0,0,17,0,"Segkk3469_pilon","EVM","exon",84235,84280,".","+",".","ID=Acerv_evm.model.Segkk3469_pilon.8.exon3;Parent=Acerv_evm.model.Segkk3469_pilon.8;transcript_id=Acerv_evm.model.Segkk3469_pilon.8.exon3"
"Acerv_evm.TU.Segkk3770_pilon.4","Acerv_evm.TU.Segkk3770_pilon.4",37,43,83,63,39,67,32,30,63,79,21,36,35,57,18,"Segkk3770_pilon","EVM","mRNA",52498,54594,".","+",".","ID=Acerv_evm.model.Segkk3770_pilon.4;Parent=Acerv_evm.TU.Segkk3770_pilon.4;product=Nephrocystin-3_;transcript_id=Acerv_evm.model.Segkk3770_pilon.4"
"Acerv_evm.TU.Segkk3807_pilon.23","Acerv_evm.TU.Segkk3807_pilon.23",71,0,121,111,22,36,0,33,89,152,36,0,0,54,0,"Segkk3807_pilon","EVM","stop_codon",247686,247688,".","+",".","ID=Acerv_evm.model.Segkk3807_pilon.23:stop;Parent=Acerv_evm.model.Segkk3807_pilon.23;transcript_id=Acerv_evm.model.Segkk3807_pilon.23:stop"
"Acerv_evm.TU.Segkk3834_pilon.1","Acerv_evm.TU.Segkk3834_pilon.1",43,0,0,7,19,50,29,21,0,15,8,50,16,44,21,"Segkk3834_pilon","EVM","exon",12761,13242,".","+",".","ID=Acerv_evm.model.Segkk3834_pilon.1.exon3;Parent=Acerv_evm.model.Segkk3834_pilon.1;transcript_id=Acerv_evm.model.Segkk3834_pilon.1.exon3"
"Acerv_evm.TU.Segkk3913_pilon.4","Acerv_evm.TU.Segkk3913_pilon.4",23,0,82,77,20,46,0,29,70,85,24,0,0,58,0,"Segkk3913_pilon","EVM","CDS",22783,22801,".","+","0","ID=cds.Acerv_evm.model.Segkk3913_pilon.4;Parent=Acerv_evm.model.Segkk3913_pilon.4;transcript_id=cds.Acerv_evm.model.Segkk3913_pilon.4"
"Acerv_evm.TU.Segkk4263_pilon.5","Acerv_evm.TU.Segkk4263_pilon.5",30,17,10,17,20,45,23,15,15,44,10,21,22,33,13,"Segkk4263_pilon","EVM","stop_codon",37080,37082,".","+",".","ID=Acerv_evm.model.Segkk4263_pilon.5:stop;Parent=Acerv_evm.model.Segkk4263_pilon.5;transcript_id=Acerv_evm.model.Segkk4263_pilon.5:stop"
"Acerv_evm.TU.Segkk4282_pilon.1","Acerv_evm.TU.Segkk4282_pilon.1",34,0,74,51,0,43,24,0,67,83,37,41,0,40,0,"Segkk4282_pilon","EVM","exon",3465,3528,".","+",".","ID=Acerv_evm.model.Segkk4282_pilon.1.exon1;Parent=Acerv_evm.model.Segkk4282_pilon.1;transcript_id=Acerv_evm.model.Segkk4282_pilon.1.exon1"
"Acerv_evm.TU.Segkk4302_pilon.20","Acerv_evm.TU.Segkk4302_pilon.20",68,0,150,143,32,57,0,35,101,183,24,16,20,62,20,"Segkk4302_pilon","EVM","start_codon",154991,154993,".","+",".","ID=Acerv_evm.model.Segkk4302_pilon.20:start;Parent=Acerv_evm.model.Segkk4302_pilon.20;transcript_id=Acerv_evm.model.Segkk4302_pilon.20:start"
"Acerv_evm.TU.Segkk453_pilon.12","Acerv_evm.TU.Segkk453_pilon.12",28,0,69,36,29,59,0,30,51,99,23,0,24,63,16,"Segkk453_pilon","EVM","exon",107126,107188,".","+",".","ID=Acerv_evm.model.Segkk453_pilon.12.exon7;Parent=Acerv_evm.model.Segkk453_pilon.12;transcript_id=Acerv_evm.model.Segkk453_pilon.12.exon7"
"Acerv_evm.TU.Segkk759_pilon.8","Acerv_evm.TU.Segkk759_pilon.8",32,30,30,56,26,48,16,20,24,48,8,15,18,26,4,"Segkk759_pilon","EVM","mRNA",82525,84756,".","+",".","ID=Acerv_evm.model.Segkk759_pilon.8;Parent=Acerv_evm.TU.Segkk759_pilon.8;product=PREDICTED:_uncharacterized_protein_LOC107333111_;transcript_id=Acerv_evm.model.Segkk759_pilon.8"
"Acerv_evm.TU.Segkk845_pilon.1","Acerv_evm.TU.Segkk845_pilon.1",20,0,37,54,0,22,25,0,35,67,18,29,0,38,24,"Segkk845_pilon","EVM","exon",2757,2932,".","-",".","ID=Acerv_evm.model.Segkk845_pilon.1.exon1;Parent=Acerv_evm.model.Segkk845_pilon.1;transcript_id=Acerv_evm.model.Segkk845_pilon.1.exon1"
"Acerv_evm.TU.Segkk991_pilon.1","Acerv_evm.TU.Segkk991_pilon.1",1562,1203,1731,2197,708,1479,990,1112,2185,2603,955,1255,514,1348,786,"Segkk991_pilon","EVM","CDS",10411,10570,".","+","2","ID=cds.Acerv_evm.model.Segkk991_pilon.1;Parent=Acerv_evm.model.Segkk991_pilon.1;transcript_id=cds.Acerv_evm.model.Segkk991_pilon.1"
