"","gene_id","17_ctl2_Of_ZTH_1","18_T33_Of_VLL","23_ctl1_Of_CT_1","26_T12_Of_WCL","30_T23_Of_RPG","32_T22_Of_EVR","36_T43_Of_JJN","40_T13_Of_GWS","43_ctl3_Of_JVP_1","44_T41_Of_PVT_1","48_T31_Of_JNO","50_T21_Of_YZB","51_T42_Of_UOF","59_T11_Of_TQP","60_T32_Of_WY","scaffold","Gene.Predict","id","gene.start","gene.stop","pos1","pos2","pos3","attr"
"13","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","CDS",815909,815972,".","+","1","ID=cds-XP_020600746.1;Parent=rna-XM_020745087.1;Dbxref=GeneID:110039914,Genbank:XP_020600746.1;Name=XP_020600746.1;gbkey=CDS;gene=LOC110039914;product=adenosylhomocysteinase 2-like isoform X1;protein_id=XP_020600746.1"
"14","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","CDS",813251,813281,".","+","0","ID=cds-XP_020600746.1;Parent=rna-XM_020745087.1;Dbxref=GeneID:110039914,Genbank:XP_020600746.1;Name=XP_020600746.1;gbkey=CDS;gene=LOC110039914;product=adenosylhomocysteinase 2-like isoform X1;protein_id=XP_020600746.1"
"15","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","CDS",817093,817187,".","+","2","ID=cds-XP_020600746.1;Parent=rna-XM_020745087.1;Dbxref=GeneID:110039914,Genbank:XP_020600746.1;Name=XP_020600746.1;gbkey=CDS;gene=LOC110039914;product=adenosylhomocysteinase 2-like isoform X1;protein_id=XP_020600746.1"
"16","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","CDS",818078,818146,".","+","0","ID=cds-XP_020600747.1;Parent=rna-XM_020745088.1;Dbxref=GeneID:110039914,Genbank:XP_020600747.1;Name=XP_020600747.1;gbkey=CDS;gene=LOC110039914;product=adenosylhomocysteinase 2-like isoform X2;protein_id=XP_020600747.1"
"17","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","CDS",805004,805091,".","+","0","ID=cds-XP_020600746.1;Parent=rna-XM_020745087.1;Dbxref=GeneID:110039914,Genbank:XP_020600746.1;Name=XP_020600746.1;gbkey=CDS;gene=LOC110039914;product=adenosylhomocysteinase 2-like isoform X1;protein_id=XP_020600746.1"
"18","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","exon",802499,802560,".","+",".","ID=exon-XM_020745087.1-3;Parent=rna-XM_020745087.1;Dbxref=GeneID:110039914,Genbank:XM_020745087.1;gbkey=mRNA;gene=LOC110039914;product=adenosylhomocysteinase 2-like%2C transcript variant X1;transcript_id=XM_020745087.1"
"19","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","CDS",818719,818797,".","+","0","ID=cds-XP_020600746.1;Parent=rna-XM_020745087.1;Dbxref=GeneID:110039914,Genbank:XP_020600746.1;Name=XP_020600746.1;gbkey=CDS;gene=LOC110039914;product=adenosylhomocysteinase 2-like isoform X1;protein_id=XP_020600746.1"
"20","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","gene",801692,820379,".","+",".","ID=gene-LOC110039914;Dbxref=GeneID:110039914;Name=LOC110039914;gbkey=Gene;gene=LOC110039914;gene_biotype=protein_coding"
"21","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","CDS",815909,815972,".","+","1","ID=cds-XP_020600747.1;Parent=rna-XM_020745088.1;Dbxref=GeneID:110039914,Genbank:XP_020600747.1;Name=XP_020600747.1;gbkey=CDS;gene=LOC110039914;product=adenosylhomocysteinase 2-like isoform X2;protein_id=XP_020600747.1"
"22","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","exon",802511,802560,".","+",".","ID=exon-XM_020745088.1-1;Parent=rna-XM_020745088.1;Dbxref=GeneID:110039914,Genbank:XM_020745088.1;gbkey=mRNA;gene=LOC110039914;product=adenosylhomocysteinase 2-like%2C transcript variant X2;transcript_id=XM_020745088.1"
"23","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","CDS",812583,812654,".","+","0","ID=cds-XP_020600746.1;Parent=rna-XM_020745087.1;Dbxref=GeneID:110039914,Genbank:XP_020600746.1;Name=XP_020600746.1;gbkey=CDS;gene=LOC110039914;product=adenosylhomocysteinase 2-like isoform X1;protein_id=XP_020600746.1"
"24","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","CDS",817093,817187,".","+","2","ID=cds-XP_020600747.1;Parent=rna-XM_020745088.1;Dbxref=GeneID:110039914,Genbank:XP_020600747.1;Name=XP_020600747.1;gbkey=CDS;gene=LOC110039914;product=adenosylhomocysteinase 2-like isoform X2;protein_id=XP_020600747.1"
"25","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","exon",801692,801973,".","+",".","ID=exon-XM_020745087.1-1;Parent=rna-XM_020745087.1;Dbxref=GeneID:110039914,Genbank:XM_020745087.1;gbkey=mRNA;gene=LOC110039914;product=adenosylhomocysteinase 2-like%2C transcript variant X1;transcript_id=XM_020745087.1"
"26","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","exon",802051,802144,".","+",".","ID=exon-XM_020745087.1-2;Parent=rna-XM_020745087.1;Dbxref=GeneID:110039914,Genbank:XM_020745087.1;gbkey=mRNA;gene=LOC110039914;product=adenosylhomocysteinase 2-like%2C transcript variant X1;transcript_id=XM_020745087.1"
"27","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","CDS",818719,818797,".","+","0","ID=cds-XP_020600747.1;Parent=rna-XM_020745088.1;Dbxref=GeneID:110039914,Genbank:XP_020600747.1;Name=XP_020600747.1;gbkey=CDS;gene=LOC110039914;product=adenosylhomocysteinase 2-like isoform X2;protein_id=XP_020600747.1"
"28","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","CDS",820094,820100,".","+","1","ID=cds-XP_020600747.1;Parent=rna-XM_020745088.1;Dbxref=GeneID:110039914,Genbank:XP_020600747.1;Name=XP_020600747.1;gbkey=CDS;gene=LOC110039914;product=adenosylhomocysteinase 2-like isoform X2;protein_id=XP_020600747.1"
"29","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","exon",815043,815089,".","+",".","ID=exon-XM_020745088.1-7;Parent=rna-XM_020745088.1;Dbxref=GeneID:110039914,Genbank:XM_020745088.1;gbkey=mRNA;gene=LOC110039914;product=adenosylhomocysteinase 2-like%2C transcript variant X2;transcript_id=XM_020745088.1"
"30","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","CDS",817889,817987,".","+","0","ID=cds-XP_020600746.1;Parent=rna-XM_020745087.1;Dbxref=GeneID:110039914,Genbank:XP_020600746.1;Name=XP_020600746.1;gbkey=CDS;gene=LOC110039914;product=adenosylhomocysteinase 2-like isoform X1;protein_id=XP_020600746.1"
"31","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","CDS",818078,818146,".","+","0","ID=cds-XP_020600746.1;Parent=rna-XM_020745087.1;Dbxref=GeneID:110039914,Genbank:XP_020600746.1;Name=XP_020600746.1;gbkey=CDS;gene=LOC110039914;product=adenosylhomocysteinase 2-like isoform X1;protein_id=XP_020600746.1"
"32","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","CDS",802051,802144,".","+","0","ID=cds-XP_020600746.1;Parent=rna-XM_020745087.1;Dbxref=GeneID:110039914,Genbank:XP_020600746.1;Name=XP_020600746.1;gbkey=CDS;gene=LOC110039914;product=adenosylhomocysteinase 2-like isoform X1;protein_id=XP_020600746.1"
"33","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","CDS",820094,820100,".","+","1","ID=cds-XP_020600746.1;Parent=rna-XM_020745087.1;Dbxref=GeneID:110039914,Genbank:XP_020600746.1;Name=XP_020600746.1;gbkey=CDS;gene=LOC110039914;product=adenosylhomocysteinase 2-like isoform X1;protein_id=XP_020600746.1"
"34","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","exon",815909,815972,".","+",".","ID=exon-XM_020745087.1-11;Parent=rna-XM_020745087.1;Dbxref=GeneID:110039914,Genbank:XM_020745087.1;gbkey=mRNA;gene=LOC110039914;product=adenosylhomocysteinase 2-like%2C transcript variant X1;transcript_id=XM_020745087.1"
"35","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","CDS",812194,812294,".","+","2","ID=cds-XP_020600746.1;Parent=rna-XM_020745087.1;Dbxref=GeneID:110039914,Genbank:XP_020600746.1;Name=XP_020600746.1;gbkey=CDS;gene=LOC110039914;product=adenosylhomocysteinase 2-like isoform X1;protein_id=XP_020600746.1"
"36","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","exon",817093,817187,".","+",".","ID=exon-XM_020745088.1-11;Parent=rna-XM_020745088.1;Dbxref=GeneID:110039914,Genbank:XM_020745088.1;gbkey=mRNA;gene=LOC110039914;product=adenosylhomocysteinase 2-like%2C transcript variant X2;transcript_id=XM_020745088.1"
"37","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","exon",816259,816347,".","+",".","ID=exon-XM_020745087.1-12;Parent=rna-XM_020745087.1;Dbxref=GeneID:110039914,Genbank:XM_020745087.1;gbkey=mRNA;gene=LOC110039914;product=adenosylhomocysteinase 2-like%2C transcript variant X1;transcript_id=XM_020745087.1"
"38","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","CDS",813807,814008,".","+","2","ID=cds-XP_020600746.1;Parent=rna-XM_020745087.1;Dbxref=GeneID:110039914,Genbank:XP_020600746.1;Name=XP_020600746.1;gbkey=CDS;gene=LOC110039914;product=adenosylhomocysteinase 2-like isoform X1;protein_id=XP_020600746.1"
"39","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","exon",817093,817187,".","+",".","ID=exon-XM_020745087.1-14;Parent=rna-XM_020745087.1;Dbxref=GeneID:110039914,Genbank:XM_020745087.1;gbkey=mRNA;gene=LOC110039914;product=adenosylhomocysteinase 2-like%2C transcript variant X1;transcript_id=XM_020745087.1"
"40","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","exon",817889,817987,".","+",".","ID=exon-XM_020745087.1-15;Parent=rna-XM_020745087.1;Dbxref=GeneID:110039914,Genbank:XM_020745087.1;gbkey=mRNA;gene=LOC110039914;product=adenosylhomocysteinase 2-like%2C transcript variant X1;transcript_id=XM_020745087.1"
"41","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","exon",814849,814918,".","+",".","ID=exon-XM_020745088.1-6;Parent=rna-XM_020745088.1;Dbxref=GeneID:110039914,Genbank:XM_020745088.1;gbkey=mRNA;gene=LOC110039914;product=adenosylhomocysteinase 2-like%2C transcript variant X2;transcript_id=XM_020745088.1"
"42","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","exon",805004,805091,".","+",".","ID=exon-XM_020745087.1-4;Parent=rna-XM_020745087.1;Dbxref=GeneID:110039914,Genbank:XM_020745087.1;gbkey=mRNA;gene=LOC110039914;product=adenosylhomocysteinase 2-like%2C transcript variant X1;transcript_id=XM_020745087.1"
"43","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","exon",815909,815972,".","+",".","ID=exon-XM_020745088.1-8;Parent=rna-XM_020745088.1;Dbxref=GeneID:110039914,Genbank:XM_020745088.1;gbkey=mRNA;gene=LOC110039914;product=adenosylhomocysteinase 2-like%2C transcript variant X2;transcript_id=XM_020745088.1"
"44","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","CDS",801893,801973,".","+","0","ID=cds-XP_020600746.1;Parent=rna-XM_020745087.1;Dbxref=GeneID:110039914,Genbank:XP_020600746.1;Name=XP_020600746.1;gbkey=CDS;gene=LOC110039914;product=adenosylhomocysteinase 2-like isoform X1;protein_id=XP_020600746.1"
"45","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","exon",816259,816347,".","+",".","ID=exon-XM_020745088.1-9;Parent=rna-XM_020745088.1;Dbxref=GeneID:110039914,Genbank:XM_020745088.1;gbkey=mRNA;gene=LOC110039914;product=adenosylhomocysteinase 2-like%2C transcript variant X2;transcript_id=XM_020745088.1"
"46","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","CDS",814849,814918,".","+","1","ID=cds-XP_020600747.1;Parent=rna-XM_020745088.1;Dbxref=GeneID:110039914,Genbank:XP_020600747.1;Name=XP_020600747.1;gbkey=CDS;gene=LOC110039914;product=adenosylhomocysteinase 2-like isoform X2;protein_id=XP_020600747.1"
"47","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","CDS",802499,802560,".","+","2","ID=cds-XP_020600746.1;Parent=rna-XM_020745087.1;Dbxref=GeneID:110039914,Genbank:XP_020600746.1;Name=XP_020600746.1;gbkey=CDS;gene=LOC110039914;product=adenosylhomocysteinase 2-like isoform X1;protein_id=XP_020600746.1"
"48","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","exon",814849,814918,".","+",".","ID=exon-XM_020745087.1-9;Parent=rna-XM_020745087.1;Dbxref=GeneID:110039914,Genbank:XM_020745087.1;gbkey=mRNA;gene=LOC110039914;product=adenosylhomocysteinase 2-like%2C transcript variant X1;transcript_id=XM_020745087.1"
"49","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","CDS",816259,816347,".","+","0","ID=cds-XP_020600747.1;Parent=rna-XM_020745088.1;Dbxref=GeneID:110039914,Genbank:XP_020600747.1;Name=XP_020600747.1;gbkey=CDS;gene=LOC110039914;product=adenosylhomocysteinase 2-like isoform X2;protein_id=XP_020600747.1"
"50","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","CDS",816803,816873,".","+","1","ID=cds-XP_020600747.1;Parent=rna-XM_020745088.1;Dbxref=GeneID:110039914,Genbank:XP_020600747.1;Name=XP_020600747.1;gbkey=CDS;gene=LOC110039914;product=adenosylhomocysteinase 2-like isoform X2;protein_id=XP_020600747.1"
"51","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","exon",816803,816873,".","+",".","ID=exon-XM_020745087.1-13;Parent=rna-XM_020745087.1;Dbxref=GeneID:110039914,Genbank:XM_020745087.1;gbkey=mRNA;gene=LOC110039914;product=adenosylhomocysteinase 2-like%2C transcript variant X1;transcript_id=XM_020745087.1"
"52","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","CDS",817889,817987,".","+","0","ID=cds-XP_020600747.1;Parent=rna-XM_020745088.1;Dbxref=GeneID:110039914,Genbank:XP_020600747.1;Name=XP_020600747.1;gbkey=CDS;gene=LOC110039914;product=adenosylhomocysteinase 2-like isoform X2;protein_id=XP_020600747.1"
"53","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","exon",818719,818797,".","+",".","ID=exon-XM_020745088.1-14;Parent=rna-XM_020745088.1;Dbxref=GeneID:110039914,Genbank:XM_020745088.1;gbkey=mRNA;gene=LOC110039914;product=adenosylhomocysteinase 2-like%2C transcript variant X2;transcript_id=XM_020745088.1"
"54","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","exon",819378,819498,".","+",".","ID=exon-XM_020745088.1-15;Parent=rna-XM_020745088.1;Dbxref=GeneID:110039914,Genbank:XM_020745088.1;gbkey=mRNA;gene=LOC110039914;product=adenosylhomocysteinase 2-like%2C transcript variant X2;transcript_id=XM_020745088.1"
"55","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","exon",818078,818146,".","+",".","ID=exon-XM_020745087.1-16;Parent=rna-XM_020745087.1;Dbxref=GeneID:110039914,Genbank:XM_020745087.1;gbkey=mRNA;gene=LOC110039914;product=adenosylhomocysteinase 2-like%2C transcript variant X1;transcript_id=XM_020745087.1"
"56","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","exon",812194,812294,".","+",".","ID=exon-XM_020745087.1-5;Parent=rna-XM_020745087.1;Dbxref=GeneID:110039914,Genbank:XM_020745087.1;gbkey=mRNA;gene=LOC110039914;product=adenosylhomocysteinase 2-like%2C transcript variant X1;transcript_id=XM_020745087.1"
"57","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","exon",812583,812654,".","+",".","ID=exon-XM_020745087.1-6;Parent=rna-XM_020745087.1;Dbxref=GeneID:110039914,Genbank:XM_020745087.1;gbkey=mRNA;gene=LOC110039914;product=adenosylhomocysteinase 2-like%2C transcript variant X1;transcript_id=XM_020745087.1"
"58","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","CDS",813807,814008,".","+","2","ID=cds-XP_020600747.1;Parent=rna-XM_020745088.1;Dbxref=GeneID:110039914,Genbank:XP_020600747.1;Name=XP_020600747.1;gbkey=CDS;gene=LOC110039914;product=adenosylhomocysteinase 2-like isoform X2;protein_id=XP_020600747.1"
"59","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","exon",813251,813281,".","+",".","ID=exon-XM_020745087.1-7;Parent=rna-XM_020745087.1;Dbxref=GeneID:110039914,Genbank:XM_020745087.1;gbkey=mRNA;gene=LOC110039914;product=adenosylhomocysteinase 2-like%2C transcript variant X1;transcript_id=XM_020745087.1"
"60","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","exon",813807,814008,".","+",".","ID=exon-XM_020745087.1-8;Parent=rna-XM_020745087.1;Dbxref=GeneID:110039914,Genbank:XM_020745087.1;gbkey=mRNA;gene=LOC110039914;product=adenosylhomocysteinase 2-like%2C transcript variant X1;transcript_id=XM_020745087.1"
"61","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","CDS",815043,815089,".","+","0","ID=cds-XP_020600747.1;Parent=rna-XM_020745088.1;Dbxref=GeneID:110039914,Genbank:XP_020600747.1;Name=XP_020600747.1;gbkey=CDS;gene=LOC110039914;product=adenosylhomocysteinase 2-like isoform X2;protein_id=XP_020600747.1"
"62","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","exon",815043,815089,".","+",".","ID=exon-XM_020745087.1-10;Parent=rna-XM_020745087.1;Dbxref=GeneID:110039914,Genbank:XM_020745087.1;gbkey=mRNA;gene=LOC110039914;product=adenosylhomocysteinase 2-like%2C transcript variant X1;transcript_id=XM_020745087.1"
"63","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","exon",816803,816873,".","+",".","ID=exon-XM_020745088.1-10;Parent=rna-XM_020745088.1;Dbxref=GeneID:110039914,Genbank:XM_020745088.1;gbkey=mRNA;gene=LOC110039914;product=adenosylhomocysteinase 2-like%2C transcript variant X2;transcript_id=XM_020745088.1"
"64","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","exon",817889,817987,".","+",".","ID=exon-XM_020745088.1-12;Parent=rna-XM_020745088.1;Dbxref=GeneID:110039914,Genbank:XM_020745088.1;gbkey=mRNA;gene=LOC110039914;product=adenosylhomocysteinase 2-like%2C transcript variant X2;transcript_id=XM_020745088.1"
"65","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","exon",818078,818146,".","+",".","ID=exon-XM_020745088.1-13;Parent=rna-XM_020745088.1;Dbxref=GeneID:110039914,Genbank:XM_020745088.1;gbkey=mRNA;gene=LOC110039914;product=adenosylhomocysteinase 2-like%2C transcript variant X2;transcript_id=XM_020745088.1"
"66","LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370,"NW_018150388.1","Gnomon","exon",819378,819498,".","+",".","ID=exon-XM_020745087.1-18;Parent=rna-XM_020745087.1;Dbxref=GeneID:110039914,Genbank:XM_020745087.1;gbkey=mRNA;gene=LOC110039914;product=adenosylhomocysteinase 2-like%2C transcript variant X1;transcript_id=XM_020745087.1"
