Species,Site,gene_id,length,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,,ontology,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Treatment_Compare,Top BLAST hit,BLAST Description ,Species_Predicted,Score (bits),e-value,Top BLAST hit,BLAST Description ,Species_Predicted,Score (bits),e-value,PDB ID,PDB description,Species,Macromolecule ,e-value
Acervicornis,FL,Acerv_evm.model.Segkk2788_pilon.3,3141,GO:0020037,0.03354113,0.99268367,4,55,heme binding,,MF,155.159303,-0.839565,0.22468859,-3.7365715,0.00018655,0.02677089,CvsT4,XM_029343261.1,allene oxide synthase-lipoxygenase,Acropora millepora,3779,0,NA,NA,NA,NA,NA,"3DY5: Entity 1: Chains A, C",Allene oxide synthase 8R-lipoxygenase from Plexaura homomalla,Plexaura homomalla,Allene oxide synthase-lipoxygenase protein,4.74E-241
Acervicornis,FL,Acerv_evm.model.Segkk2909_pilon.1,1560,GO:0004821,0.02145742,1,1,1,histidine-tRNA ligase activity,,MF,208.023736,0.6965951,0.18655583,3.7339765,1.88E-04,0.0177505,CvsT2,XM_029335519.1,"histidine--tRNA ligase, cytoplasmic-like",Acropora millepora,2680,0,NM_002109.6,histidyl-tRNA synthetase 1 (HARS1),Homo sapiens,335,2.00E-88,"4X5O: Entity 1: Chains A, B",Human histidine tRNA synthetase,Homo sapiens,"Histidine--tRNA ligase, cytoplasmic",2.64E-217
Acervicornis,FL,Acerv_evm.model.Segkk2909_pilon.1,1560,GO:0006427,0.02145742,1,1,1,histidyl-tRNA aminoacylation,,BP,208.023736,0.6965951,0.18655583,3.7339765,1.88E-04,0.0177505,CvsT2,XM_029335519.2,"histidine--tRNA ligase, cytoplasmic-like",Acropora millepora,2680,0,NM_002109.6,histidyl-tRNA synthetase 1 (HARS1),Homo sapiens,335,2.00E-88,"4X5O: Entity 1: Chains A, B",Human histidine tRNA synthetase,Homo sapiens,"Histidine--tRNA ligase, cytoplasmic",2.64E-217
Acervicornis,FL,Acerv_evm.model.Segkk3059_pilon.1,1347,GO:0020037,0.03354113,0.99268367,4,55,heme binding,,MF,37.9908337,-1.3701436,0.3555386,-3.8537126,1.16E-04,1.24E-02,CvsT2,XM_015923612.1,"steroid 17-alpha-hydroxylase/17,20 lyase-like",Acropora digitifera,2368,0,NA,NA,NA,NA,NA,"6B82: Entity 1: Chains A, B",Zebra Fish CYP-450 17A1 Mutant Abiraterone Complex,Danio rerio,"Cytochrome P450, family 17, subfamily A, polypeptide 1",7.00E-120
Acervicornis,FL,Acerv_evm.model.Segkk3059_pilon.1,1347,GO:0016712,0.04325283,0.99952413,1,2,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",,MF,37.9908337,-1.3701436,0.3555386,-3.8537126,1.16E-04,1.24E-02,CvsT2,XM_015923612.2,"steroid 17-alpha-hydroxylase/17,20 lyase-like",Acropora digitifera,2368,0,NA,NA,NA,NA,NA,"6B82: Entity 1: Chains A, B",Zebra Fish CYP-450 17A1 Mutant Abiraterone Complex,Danio rerio,"Cytochrome P450, family 17, subfamily A, polypeptide 1",7.00E-120
Acervicornis,FL,Acerv_evm.model.Segkk3158_pilon.3,855,GO:0008417,0.02073281,0.99874552,2,10,fucosyltransferase activity,,MF,18.5150051,-1.7825436,0.4512224,-3.9504767,7.80E-05,1.33E-02,CvsT4,XM_029328825.1,galactoside 3(4)-L-fucosyltransferase-like,Acropora millepora,1369,0,NM_006581.4,fucosyltransferase 9 (FUT9),Homo sapiens,51.8,2.00E-03,"2NZW: Entity 1: Chains A, B, C","Crystal Structure of alpha1,3-Fucosyltransferase",Helicobacter pylori,"Alpha1,3-fucosyltransferase",1.60E-05
Acervicornis,FL,Acerv_evm.model.Segkk3158_pilon.3,855,GO:0008417,0.02073281,0.99874552,2,10,fucosyltransferase activity,,MF,18.5150051,-1.7822896,0.43479573,-4.0991424,4.15E-05,5.43E-03,CvsT2,XM_029328825.2,galactoside 3(4)-L-fucosyltransferase-like,Acropora millepora,1369,0,NM_006581.4,fucosyltransferase 9 (FUT9),Homo sapiens,51.8,2.00E-03,"2NZW: Entity 1: Chains A, B, C","Crystal Structure of alpha1,3-Fucosyltransferase",Helicobacter pylori,"Alpha1,3-fucosyltransferase",1.60E-05
Acervicornis,FL,Acerv_evm.model.Segkk3158_pilon.3,855,GO:0008417,0.02073281,0.99874552,2,10,fucosyltransferase activity,,MF,18.5150051,-1.8435705,0.48086916,-3.8338297,1.26E-04,0.0200113,CvsT1,XM_029328825.3,galactoside 3(4)-L-fucosyltransferase-like,Acropora millepora,1369,0,NM_006581.4,fucosyltransferase 9 (FUT9),Homo sapiens,51.8,2.00E-03,"2NZW: Entity 1: Chains A, B, C","Crystal Structure of alpha1,3-Fucosyltransferase",Helicobacter pylori,"Alpha1,3-fucosyltransferase",1.60E-05
Acervicornis,FL,Acerv_evm.model.Segkk3381_pilon.2,327,GO:0022904,0.03197838,1,1,1,respiratory electron transport chain,,BP,182.294545,0.66342224,0.1557687,4.25902154,2.05E-05,0.00328499,CvsT2,XM_015910698.1,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5-like,Acropora digitifera,604,0,NA,NA,NA,NA,NA,5GUP: Entity 14: Chain N,Cryo-EM structure of mammalian respiratory supercomplex I1III2IV1,Sus scrofa,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5,4.41E-32
Acervicornis,FL,Acerv_evm.model.Segkk4025_pilon.2,1644,GO:0030047,0.02143664,1,1,1,actin modification,,BP,273.904438,-0.8426055,0.22521929,-3.7412671,1.83E-04,0.03273781,T1vsT2,XM_029341535.1,actin-histidine N-methyltransferase-like,Acropora millepora,2804,0,NM_032233.3,"SET domain containing 3, actin histidine methyltransferase (SETD3)",Homo sapiens,81.5,7.00E-12,"6ICT: Entity 1: Chains A, B, C, D",Structure of SETD3 bound to SAH and methylated actin,Homo sapiens,Histone-lysine N-methyltransferase setd3,7.18E-123
Acervicornis,FL,Acerv_evm.model.Segkk4025_pilon.2,1644,GO:0018064,0.02143664,1,1,1,protein-histidine N-methyltransferase activity,,MF,273.904438,-0.8426055,0.22521929,-3.7412671,1.83E-04,0.03273781,T1vsT2,XM_029341535.2,actin-histidine N-methyltransferase-like,Acropora millepora,2804,0,NM_032233.3,"SET domain containing 3, actin histidine methyltransferase (SETD3)",Homo sapiens,81.5,7.00E-12,"6ICT: Entity 1: Chains A, B, C, D",Structure of SETD3 bound to SAH and methylated actin,Homo sapiens,Histone-lysine N-methyltransferase setd3,7.18E-123
Acervicornis,FL,Acerv_evm.model.Segkk4345_pilon.12,1752,GO:0006259,0.04148411,0.99956265,1,2,DNA metabolic process,,BP,52.0998326,-1.6462493,0.38983339,-4.2229561,2.41E-05,0.00589177,CvsT1,XM_015908782.1,ATP-dependent DNA helicase PIF1-like,Acropora digitifera,1718,0,NA,NA,NA,NA,NA,5FTF: Entity 1: Chain A,Crystal structure of Pif1 helicase from Bacteroides double mutant L95C-I339C,Bacteroides sp. 3_1_23,TPR DOMAIN PROTEIN,2.90E-11
Acervicornis,FL,Acerv_evm.model.Segkk673_pilon.1,1164,GO:0008417,0.02073281,0.99874552,2,10,fucosyltransferase activity,,MF,17.4765983,-1.7749237,0.46285129,-3.8347602,1.26E-04,2.00E-02,CvsT4,XM_029328662.1,"alpha-(1,3)-fucosyltransferase 6-like",Acropora millepora,1674,0,NM_006581.4,fucosyltransferase 9 (FUT9),Homo sapiens,5.18E+01,3.00E-03,"2NZW: Entity 1: Chains A, B, C","Crystal Structure of alpha1,3-Fucosyltransferase",Helicobacter pylori,"Alpha1,3-fucosyltransferase",2.93E-05
Acervicornis,FL,Acerv_evm.model.Segkk673_pilon.1,1164,GO:0008417,0.02073281,0.99874552,2,10,fucosyltransferase activity,,MF,17.4765983,-1.686743,0.4460021,-3.7819173,1.56E-04,1.53E-02,CvsT2,XM_029328662.2,"alpha-(1,3)-fucosyltransferase 6-like",Acropora millepora,1674,0,NM_006581.4,fucosyltransferase 9 (FUT9),Homo sapiens,5.18E+01,3.00E-03,"2NZW: Entity 1: Chains A, B, C","Crystal Structure of alpha1,3-Fucosyltransferase",Helicobacter pylori,"Alpha1,3-fucosyltransferase",2.93E-05
