Metadata,,,,GOSeq,,,,,,,DESeq2,,,,,,,BLASTn (pdam included),,,,,BLASTn (pdam excluded),,,,,BLASTn (Homo sapiens),,,,,PDB  ,,,,
Species,Site,gene_id,length,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Treatment_Compare,Top BLAST hit,BLAST Description ,Species_Predicted,Score (bits),e-value,Top BLAST hit,BLAST Description ,Species_Predicted,Score (bits),e-value,Top BLAST hit,BLAST Description ,Species_Predicted,Score (bits),e-value,PDB ID,PDB description,Species,Macromolecule ,e-value
Pdamicornis,Hawaii,LOC113665451,13761,GO:0006423,2.44E-02,1,1,1,cysteinyl-tRNA aminoacylation,BP,312.520084,-0.911683,0.27705643,-3.2906039,1.00E-03,0.03540205,CvsHigh,XM_027181141.1,"cysteine--tRNA ligase, cytoplasmic-like",Pocillopora damicornis,4650,0.00E+00,XM_022923201.1,"cysteine--tRNA ligase, cytoplasmic-like",Stylophora pistillata,3.45E+03,0.00E+00,NR_165430.1,cysteinyl-tRNA synthetase 1 (CARS1),Homo sapiens,176,2.00E-40,3TQO: Entity 1,Structure of the cysteinyl-tRNA synthetase (cysS) from Coxiella burnetii.,Coxiella burnetii,Cysteinyl-tRNA synthetase,5.49E-66
Pdamicornis,Hawaii,LOC113665701,1701,GO:0004713,3.46E-03,0.99913923,8,101,protein tyrosine kinase activity,MF,47.5725525,-1.2512696,0.32611484,-3.8368986,1.25E-04,0.00866926,CvsMid,XM_027181428.1,tyrosine kinase receptor Cad96Ca-like,Pocillopora damicornis,1330,0,XM_022952215.1,fibroblast growth factor receptor 2-like,Stylophora pistillata,736,0,NM_000141.5,fibroblast growth factor receptor 2 (FGFR2),Homo sapiens,49.1,1.90E-02,5AMN: Entity 1,"The Discovery of 2-Substituted Phenol Quinazolines as Potent and Selective RET Kinase Inhibitors
",Homo sapiens,PROTO-ONCOGENE TYROSINE-PROTEIN KINASE RECEPTOR RET,1.27E-47
Pdamicornis,Hawaii,LOC113665701,1701,GO:0004713,0.00345864,0.99913923,8,101,protein tyrosine kinase activity,MF,47.5725525,-1.9190997,0.31784634,-6.0378222,1.56E-09,4.33E-07,CvsHigh,XM_027181428.1,tyrosine kinase receptor Cad96Ca-like,Pocillopora damicornis,1330,0,XM_022952215.1,fibroblast growth factor receptor 2-like,Stylophora pistillata,736,0,NM_000141.5,fibroblast growth factor receptor 2 (FGFR2),Homo sapiens,49.1,1.90E-02,5AMN: Entity 1,"The Discovery of 2-Substituted Phenol Quinazolines as Potent and Selective RET Kinase Inhibitors
",Homo sapiens,PROTO-ONCOGENE TYROSINE-PROTEIN KINASE RECEPTOR RET,1.27E-47
Pdamicornis,Hawaii,LOC113665702,3403,GO:0004713,0.00345864,0.99913923,8,101,protein tyrosine kinase activity,MF,81.7010085,-1.4514256,0.39039221,-3.7178652,2.01E-04,0.01015273,CvsHigh,XM_027181429.1,tyrosine-protein kinase receptor Tie-1-like,Pocillopora damicornis,1766,0.00E+00,XM_022951989.1,tyrosine kinase receptor Cad96Ca-like,Stylophora pistillata,5.40E+02,9.00E-149,NM_001253357.2,tyrosine kinase with immunoglobulin like and EGF like domains 1 (TIE1),Homo sapiens,48.2,0.025,4CKI: Enity 1,Crystal Structure of oncogenic RET tyrosine kinase M918T bound to adenosine,Homo sapiens,PROTO-ONCOGENE TYROSINE-PROTEIN KINASE RECEPTOR RET,1.27E-31
Pdamicornis,Hawaii,LOC113666052,9672,GO:0017183,0.04679639,0.99944035,1,2,peptidyl-diphthamide biosynthetic process from peptidyl-histidine,BP,80.5324805,-0.8404924,0.23966083,-3.5070078,0.00045318,0.01979392,CvsHigh,XM_027181805.1,2-(3-amino-3-carboxypropyl)histidine synthase subunit 2-like,Pocillopora damicornis,3740,0,XM_022944201.1,2-(3-amino-3-carboxypropyl)histidine synthase subunit 2-like,Stylophora pistillata,2150,0,AC016711.9,BAC clone RP11-249O24 from 2,Homo sapiens,49.1,5.50E-02,6Q2D: Entity 1,Crystal structure of Methanobrevibacter smithii Dph2 in complex with Methanobrevibacter smithii elongation factor 2,Methanobrevibacter smithii,2-(3-amino-3-carboxypropyl)histidine synthase,3.87E-17
Pdamicornis,Hawaii,LOC113666259,10736,GO:0003868,0.02390053,1,1,1,4-hydroxyphenylpyruvate dioxygenase activity,MF,195.828683,-0.6513792,0.19295604,-3.3757906,7.36E-04,0.02838774,CvsHigh,XM_027182021.1,4-hydroxyphenylpyruvate dioxygenase-like,Pocillopora damicornis,2002,0.00E+00,XM_020771812.1,4-hydroxyphenylpyruvate dioxygenase-like,Orbicella faveolata,9.68E+02,0.00E+00,AK290826.1,"cDNA FLJ76150 complete cds, highly similar to Homo sapiens 4-hydroxyphenylpyruvate dioxygenase (HPD)",Homo sapiens,172,1.00E-39,5EC3: Entity 1,Structural insight into the catalyitc mechanism of human 4-Hydroxyphenylpyruvate dioxygenase,Homo sapiens,4-Hydroxyphenylpyruvate dioxygenase,3.56E-146
Pdamicornis,Hawaii,LOC113666259,10736,GO:0016701,0.02390053,1,1,1,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen",MF,195.828683,-0.6513792,0.19295604,-3.3757906,7.36E-04,0.02838774,CvsHigh,XM_027182021.1,4-hydroxyphenylpyruvate dioxygenase-like,Pocillopora damicornis,2002,0.00E+00,XM_020771812.1,4-hydroxyphenylpyruvate dioxygenase-like,Orbicella faveolata,9.68E+02,0.00E+00,AK290826.1,"cDNA FLJ76150 complete cds, highly similar to Homo sapiens 4-hydroxyphenylpyruvate dioxygenase (HPD)",Homo sapiens,172,1.00E-39,5EC3: Entity 1,Structural insight into the catalyitc mechanism of human 4-Hydroxyphenylpyruvate dioxygenase,Homo sapiens,4-Hydroxyphenylpyruvate dioxygenase,3.56E-146
Pdamicornis,Hawaii,LOC113666334,5179,GO:0004044,2.36E-02,1,1,1,amidophosphoribosyltransferase activity,MF,286.16643,0.75767095,0.19318046,3.92208891,8.78E-05,0.00506444,CvsHigh,XM_027182109.1 ,amidophosphoribosyltransferase-like,Pocillopora damicornis,5566,0.00E+00,XM_022945563.1,amidophosphoribosyltransferase-like,Stylophora pistillata,2.31E+03,0.00E+00,NR_156493.2,phosphoribosyl pyrophosphate amidotransferase (PPAT),Homo sapiens,244,5.00E-61,1AO0: Entity 1,GLUTAMINE PHOSPHORIBOSYLPYROPHOSPHATE (PRPP) AMIDOTRANSFERASE FROM B. SUBTILIS COMPLEXED WITH ADP AND GMP,Bacillus subtilis,GLUTAMINE PHOSPHORIBOSYLPYROPHOSPHATE AMIDOTRANSFERASE,3.34E-102
Pdamicornis,Hawaii,LOC113666334,5179,GO:0009113,4.67E-02,0.9994431,1,2,purine nucleobase biosynthetic process,BP,286.16643,0.75767095,0.19318046,3.92208891,8.78E-05,0.00506444,CvsHigh,XM_027182109.1 ,amidophosphoribosyltransferase-like,Pocillopora damicornis,5566,0.00E+00,XM_022945563.1,amidophosphoribosyltransferase-like,Stylophora pistillata,2.31E+03,0.00E+00,NR_156493.2,phosphoribosyl pyrophosphate amidotransferase (PPAT),Homo sapiens,244,5.00E-61,1AO0: Entity 1,GLUTAMINE PHOSPHORIBOSYLPYROPHOSPHATE (PRPP) AMIDOTRANSFERASE FROM B. SUBTILIS COMPLEXED WITH ADP AND GMP,Bacillus subtilis,GLUTAMINE PHOSPHORIBOSYLPYROPHOSPHATE AMIDOTRANSFERASE,3.34E-102
Pdamicornis,Hawaii,LOC113666513,2825,GO:0006278,4.64E-02,0.99944949,1,2,RNA-dependent DNA biosynthetic process,BP,23.8709757,-1.6777268,0.5051359,-3.3213374,8.96E-04,0.03299,CvsHigh,XR_003445798.1,uncharacterized,Pocillopora damicornis,3829,0,XM_022926224.1,uncharacterized,Stylophora pistillata,198,1.00E-45,AL158075.11,Human DNA sequence from clone RP11-348K2 on chromosome 9q33.1-34.13,Homo sapiens,51.8,0.005,NA,NA,NA,NA,NA
Pdamicornis,Hawaii,LOC113666660,4778,GO:0008289,4.09E-02,0.99303865,3,32,lipid binding,MF,387.445706,-1.5810448,0.3712979,-4.2581571,2.06E-05,0.00160333,CvsHigh,XM_027182452.1,uncharacterized,Pocillopora damicornis,5212,0.00E+00,XM_022926991.1,uncharacterized,Stylophora pistillata,1.47E+03,0.00E+00,AC074286.5,BAC clone RP11-83I14 from 2,Homo sapiens,44.6,0.93,NA,NA,NA,NA,NA
Pdamicornis,Hawaii,LOC113666660,4778,GO:0008289,4.09E-02,0.99303865,3,32,lipid binding,MF,387.445706,-1.9466241,0.37082696,-5.2494137,1.53E-07,2.67E-05,CvsMid,XM_027182452.1,uncharacterized,Pocillopora damicornis,5212,0.00E+00,XM_022926991.1,uncharacterized,Stylophora pistillata,1.47E+03,0.00E+00,AC074286.5,BAC clone RP11-83I14 from 2,Homo sapiens,44.6,0.93,NA,NA,NA,NA,NA
Pdamicornis,Hawaii,LOC113666995,4968,GO:0004733,2.36E-02,1,1,1,pyridoxamine-phosphate oxidase activity,MF,303.350673,1.47709732,0.26604193,5.55212233,2.82E-08,5.35E-06,CvsHigh,XM_027182787.1,pyridoxine-5'-phosphate oxidase-like,Pocillopora damicornis,2580,0.00E+00,XM_022951509.1,pyridoxine-5'-phosphate oxidase-like,Stylophora pistillata,1.04E+03,0.00E+00,CP068258.1,isolate CHM13 chromosome 20,Homo sapiens,49.1,0.037,6H00: Entity 1,"Crystal structure of human pyridoxine 5-phophate oxidase, R116Q variant",Homo sapiens,Pyridoxine-5'-phosphate oxidase,2.57E-77
Pdamicornis,Hawaii,LOC113666995,4968,GO:0004733,2.36E-02,1,1,1,pyridoxamine-phosphate oxidase activity,MF,303.350673,0.87752067,0.2635307,3.32986127,0.00086889,0.04134257,CvsMid,XM_027182787.1,pyridoxine-5'-phosphate oxidase-like,Pocillopora damicornis,2580,0.00E+00,XM_022951509.1,pyridoxine-5'-phosphate oxidase-like,Stylophora pistillata,1.04E+03,0.00E+00,CP068258.1,isolate CHM13 chromosome 20,Homo sapiens,49.1,0.037,6H00: Entity 1,"Crystal structure of human pyridoxine 5-phophate oxidase, R116Q variant",Homo sapiens,Pyridoxine-5'-phosphate oxidase,2.57E-77
Pdamicornis,Hawaii,LOC113666995,4968,GO:0008615,0.02361838,1,1,1,pyridoxine biosynthetic process,BP,303.350673,1.47709732,0.26604193,5.55212233,2.82E-08,5.35E-06,CvsHigh,XM_027182787.1,pyridoxine-5'-phosphate oxidase-like,Pocillopora damicornis,2580,0.00E+00,XM_022951509.1,pyridoxine-5'-phosphate oxidase-like,Stylophora pistillata,1.04E+03,0.00E+00,CP068258.1,isolate CHM13 chromosome 20,Homo sapiens,49.1,0.037,6H00: Entity 1,"Crystal structure of human pyridoxine 5-phophate oxidase, R116Q variant",Homo sapiens,Pyridoxine-5'-phosphate oxidase,2.57E-77
Pdamicornis,Hawaii,LOC113666995,4968,GO:0008615,2.36E-02,1,1,1,pyridoxine biosynthetic process,BP,303.350673,0.87752067,0.2635307,3.32986127,8.69E-04,4.13E-02,CvsMid,XM_027182787.1,pyridoxine-5'-phosphate oxidase-like,Pocillopora damicornis,2580,0.00E+00,XM_022951509.1,pyridoxine-5'-phosphate oxidase-like,Stylophora pistillata,1.04E+03,0.00E+00,CP068258.1,isolate CHM13 chromosome 20,Homo sapiens,49.1,0.037,6H00: Entity 1,"Crystal structure of human pyridoxine 5-phophate oxidase, R116Q variant",Homo sapiens,Pyridoxine-5'-phosphate oxidase,2.57E-77
Pdamicornis,Hawaii,LOC113667052,16654,GO:0030121,0.02497083,1,1,1,AP-1 adaptor complex,CC,164.780665,-1.0846198,0.31377579,-3.4566715,5.47E-04,2.27E-02,CvsHigh,XM_027182848.1,AP-1 complex subunit gamma-1-like,Pocillopora damicornis,5424,0.00E+00,XM_022948720.1,AP-1 complex subunit gamma-1-like,Stylophora pistillata,3.83E+03,0.00E+00,NM_001128.6,adaptor related protein complex 1 subunit gamma 1 (AP1G1),Homo sapiens,4.87E+02,1.00E-133,1W63: Entity 1,AP1 clathrin adaptor core,Mus musculus,ADAPTER-RELATED PROTEIN COMPLEX 1 GAMMA 1 SUBUNIT,1.05E-276
Pdamicornis,Hawaii,LOC113667052,16654,GO:0030117,0.04510503,0.99561411,2,14,membrane coat,CC,164.780665,-1.0846198,0.31377579,-3.4566715,5.47E-04,0.02273951,CvsHigh,XM_027182848.1,AP-1 complex subunit gamma-1-like,Pocillopora damicornis,5424,0.00E+00,XM_022948720.1,AP-1 complex subunit gamma-1-like,Stylophora pistillata,3.83E+03,0.00E+00,NM_001128.6,adaptor related protein complex 1 subunit gamma 1 (AP1G1),Homo sapiens,4.87E+02,1.00E-133,1W63: Entity 1,AP1 clathrin adaptor core,Mus musculus,ADAPTER-RELATED PROTEIN COMPLEX 1 GAMMA 1 SUBUNIT,1.05E-276
Pdamicornis,Hawaii,LOC113667989,10259,GO:0031464,2.38E-02,1,1,1,Cul4A-RING E3 ubiquitin ligase complex,CC,312.693423,3.41945827,0.75562932,4.52531177,6.03E-06,6.68E-04,CvsMid,XM_027183868.1,short transient receptor potential channel 4-associated protein-like ,Pocillopora damicornis,7156,0,XM_022940249.1,short transient receptor potential channel 4-associated protein-like,Stylophora pistillata,4106,0,AL356288.15,Human DNA sequence from clone RP11-6E3 on chromosome 1,Homo sapiens,50,0.03,NA,NA,NA,NA,NA
Pdamicornis,Hawaii,LOC113668014,2821,GO:0008113,2.35E-02,1,1,1,peptide-methionine (S)-S-oxide reductase activity,MF,721.839652,1.17276097,0.33320849,3.5196011,4.32E-04,1.94E-02,CvsHigh,XM_027183897.1,peptide methionine sulfoxide reductase-like,Pocillopora damicornis,1410,0,XM_022950971.1,peptide methionine sulfoxide reductase-like,Stylophora pistillata,739,0,AC007719.7,"chromosome , clone RP11-3A12",Homo sapiens,47.3,0.07,4LWJ: Entity 1,Crystal structure of methionine sulfoxide reductase U16C from clostridium oremlandii,Alkaliphilus oremlandii OhILAs,Peptide methionine sulfoxide reductase MsrA,1.81E-14
Pdamicornis,Hawaii,LOC113668931,6307,GO:0008299,0.01794582,0.99901122,2,9,isoprenoid biosynthetic process,BP,192.136329,0.81582248,0.16170459,5.04514123,4.53E-07,5.97E-05,CvsHigh,XM_027184910.1,hydroxymethylglutaryl-CoA synthase 1-like,Pocillopora damicornis,3072,0.00E+00,XM_022946596.1,"hydroxymethylglutaryl-CoA synthase, mitochondrial-like",Stylophora pistillata,8.48E+02,0.00E+00,NM_001324220.2,3-hydroxy-3-methylglutaryl-CoA synthase 1,Homo sapiens,301,5.00E-78,2P8U: Entity 1,Crystal structure of human 3-hydroxy-3-methylglutaryl CoA synthase I,Homo sapiens,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic",5.88E-172
Pdamicornis,Hawaii,LOC113668931,6307,GO:0008299,1.79E-02,0.99901122,2,9,isoprenoid biosynthetic process,BP,192.136329,0.61768755,0.16011082,3.85787512,1.14E-04,0.00812136,CvsMid,XM_027184910.1,hydroxymethylglutaryl-CoA synthase 1-like,Pocillopora damicornis,3072,0.00E+00,XM_022946596.1,"hydroxymethylglutaryl-CoA synthase, mitochondrial-like",Stylophora pistillata,8.48E+02,0.00E+00,NM_001324220.2,3-hydroxy-3-methylglutaryl-CoA synthase 1,Homo sapiens,301,5.00E-78,2P8U: Entity 1,Crystal structure of human 3-hydroxy-3-methylglutaryl CoA synthase I,Homo sapiens,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic",5.88E-172
Pdamicornis,Hawaii,LOC113668931,6307,GO:0004421,0.02362065,1,1,1,hydroxymethylglutaryl-CoA synthase activity,MF,192.136329,0.81582248,0.16170459,5.04514123,4.53E-07,5.97E-05,CvsHigh,XM_027184910.1,hydroxymethylglutaryl-CoA synthase 1-like,Pocillopora damicornis,3072,0.00E+00,XM_022946596.1,"hydroxymethylglutaryl-CoA synthase, mitochondrial-like",Stylophora pistillata,8.48E+02,0.00E+00,NM_001324220.2,3-hydroxy-3-methylglutaryl-CoA synthase 1,Homo sapiens,301,5.00E-78,2P8U: Entity 1,Crystal structure of human 3-hydroxy-3-methylglutaryl CoA synthase I,Homo sapiens,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic",5.88E-172
Pdamicornis,Hawaii,LOC113668931,6307,GO:0004421,0.02362065,1,1,1,hydroxymethylglutaryl-CoA synthase activity,MF,192.136329,0.61768755,0.16011082,3.85787512,1.14E-04,0.00812136,CvsMid,XM_027184910.1,hydroxymethylglutaryl-CoA synthase 1-like,Pocillopora damicornis,3072,0.00E+00,XM_022946596.1,"hydroxymethylglutaryl-CoA synthase, mitochondrial-like",Stylophora pistillata,8.48E+02,0.00E+00,NM_001324220.2,3-hydroxy-3-methylglutaryl-CoA synthase 1,Homo sapiens,301,5.00E-78,2P8U: Entity 1,Crystal structure of human 3-hydroxy-3-methylglutaryl CoA synthase I,Homo sapiens,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic",5.88E-172
Pdamicornis,Hawaii,LOC113669355,3732,GO:0003950,0.01216704,0.99807439,4,37,NAD+ ADP-ribosyltransferase activity,MF,96.3128319,-1.5226968,0.34179261,-4.4550315,8.39E-06,0.00078462,CvsHigh,XM_027185368.1,poly [ADP-ribose] polymerase 14-like,Pocillopora damicornis,3753,0.00E+00,XM_022922174.1,poly [ADP-ribose] polymerase 14-like,Stylophora pistillata,1.43E+03,0.00E+00,AC067947.6,BAC clone RP11-492I5 from 2,Homo sapiens,47.3,0.19,3GEY: Entity 1,"Crystal structure of human poly(ADP-ribose) polymerase 15, catalytic fragment in complex with an inhibitor Pj34",Homo sapiens,Poly [ADP-ribose] polymerase 15,2.69E-47
Pdamicornis,Hawaii,LOC113669355,3732,GO:0003950,0.01216704,0.99807439,4,37,NAD+ ADP-ribosyltransferase activity,MF,96.3128319,-1.7642814,0.34046201,-5.1820213,2.19E-07,3.71E-05,CvsMid,XM_027185368.1,poly [ADP-ribose] polymerase 14-like,Pocillopora damicornis,3753,0.00E+00,XM_022922174.1,poly [ADP-ribose] polymerase 14-like,Stylophora pistillata,1.43E+03,0.00E+00,AC067947.6,BAC clone RP11-492I5 from 2,Homo sapiens,47.3,0.19,3GEY: Entity 1,"Crystal structure of human poly(ADP-ribose) polymerase 15, catalytic fragment in complex with an inhibitor Pj34",Homo sapiens,Poly [ADP-ribose] polymerase 15,2.69E-47
Pdamicornis,Hawaii,LOC113669444,9628,GO:0003950,0.01216704,0.99807439,4,37,NAD+ ADP-ribosyltransferase activity,MF,193.174235,-1.2705041,0.31093548,-4.0860698,4.39E-05,0.00374989,CvsMid,XM_027185474.1,poly [ADP-ribose] polymerase 14-like,Pocillopora damicornis,8486,0.00E+00,XM_022922174.1,poly [ADP-ribose] polymerase 14-like,Stylophora pistillata,2.27E+03,0.00E+00,NG_029365.2,"chimerin 2 (CHN2), RefSeqGene on chromosome 7",Homo sapiens,57.2,3.00E-04,3GEY: Entity 1,"Crystal structure of human poly(ADP-ribose) polymerase 15, catalytic fragment in complex with an inhibitor Pj34",Homo sapiens,Poly [ADP-ribose] polymerase 15,2.69E-47
Pdamicornis,Hawaii,LOC113669444,9628,GO:0003950,1.22E-02,0.99807439,4,37,NAD+ ADP-ribosyltransferase activity,MF,193.174235,-1.0720496,0.31157718,-3.4407192,5.80E-04,0.02397922,CvsHigh,XM_027185474.1,poly [ADP-ribose] polymerase 14-like,Pocillopora damicornis,8486,0.00E+00,XM_022922174.1,poly [ADP-ribose] polymerase 14-like,Stylophora pistillata,2.27E+03,0.00E+00,NG_029365.2,"chimerin 2 (CHN2), RefSeqGene on chromosome 7",Homo sapiens,57.2,3.00E-04,3GEY: Entity 1,"Crystal structure of human poly(ADP-ribose) polymerase 15, catalytic fragment in complex with an inhibitor Pj34",Homo sapiens,Poly [ADP-ribose] polymerase 15,2.69E-47
Pdamicornis,Hawaii,LOC113669449,10000,GO:0003950,0.01216704,0.99807439,4,37,NAD+ ADP-ribosyltransferase activity,MF,60.9979866,-2.1471524,0.63621167,-3.3749025,0.00073842,0.03638484,CvsMid,XM_027185480.1,uncharacterized,Pocillopora damicornis,8641,0.00E+00,XM_022922174.1,poly [ADP-ribose] polymerase 14-like,Stylophora pistillata,1.51E+03,0.00E+00,AC034139.7,BAC clone RP11-67M24 from 4,Homo sapiens,47.3,0.46,3GEY: Entity 1,"Crystal structure of human poly(ADP-ribose) polymerase 15, catalytic fragment in complex with an inhibitor Pj34",Homo sapiens,Poly [ADP-ribose] polymerase 15,2.66E-43
Pdamicornis,Hawaii,LOC113669646,1086,GO:0016755,2.30E-02,1,1,1,"transferase activity, transferring amino-acyl groups",MF,33.4968309,-2.5805182,0.77846774,-3.3148685,9.17E-04,0.0427437,CvsMid,XM_027185718.1,uncharacterized,Pocillopora damicornis,1770,0.00E+00,XM_020761333.1,uncharacterized,Orbicella faveolata,2.61E+02,8.00E-65,AC104849.2,3 clone RP11-154D3,Homo sapiens,46.4,0.091,6WCW: Entity 2,Structure of human Rubicon RH domain in complex with GTP-bound Rab7,Homo sapiens,Run domain Beclin-1-interacting and cysteine-rich domain-containing protein,3.44E-43
