"","gene_id","Orthogroup"
"118","Pocillopora_acuta_HIv1_PredGene_g28596.t1","OG0004095"
"119","Pocillopora_acuta_HIv1_PredGene_g28764.t1","OG0001696"
"120","Pocillopora_acuta_HIv1_PredGene_g28764.t2","OG0001696"
"121","Pocillopora_acuta_HIv1_PredGene_g28764.t3","OG0001696"
"122","Pocillopora_acuta_HIv1_PredGene_g28849.t1","OG0000784"
"123","Pocillopora_acuta_HIv1_PredGene_g28908.t1","OG0013201"
"124","Pocillopora_acuta_HIv1_PredGene_g29047.t1","OG0002395"
"125","Pocillopora_acuta_HIv1_PredGene_g29112.t1","OG0000223"
"126","Pocillopora_acuta_HIv1_PredGene_g29458.t1","OG0000527"
"127","Pocillopora_acuta_HIv1_PredGene_g29580.t1","OG0000307"
"128","Pocillopora_acuta_HIv1_PredGene_g29708.t1","OG0001018"
"129","Pocillopora_acuta_HIv1_PredGene_g29791.t1","OG0012195"
"130","Pocillopora_acuta_HIv1_PredGene_g29845.t1","OG0000989"
"131","Pocillopora_acuta_HIv1_PredGene_g30033.t1","OG0012948"
"132","Pocillopora_acuta_HIv1_PredGene_g30103.t1","OG0003713"
"133","Pocillopora_acuta_HIv1_PredGene_g30295.t1","OG0009134"
"134","Pocillopora_acuta_HIv1_PredGene_g3030.t1","OG0007634"
"135","Pocillopora_acuta_HIv1_PredGene_g30373.t1","OG0002068"
"136","Pocillopora_acuta_HIv1_PredGene_g30378.t1","OG0005250"
"137","Pocillopora_acuta_HIv1_PredGene_g30590.t1","OG0008765"
"138","Pocillopora_acuta_HIv1_PredGene_g30602.t1","OG0008766"
"139","Pocillopora_acuta_HIv1_PredGene_g30769.t1","OG0001248"
"140","Pocillopora_acuta_HIv1_PredGene_g3078.t1","OG0000028"
"141","Pocillopora_acuta_HIv1_PredGene_g30872.t1","OG0010879"
"142","Pocillopora_acuta_HIv1_PredGene_g30925.t1","OG0004902"
"143","Pocillopora_acuta_HIv1_PredGene_g3121.t1","OG0001602"
"144","Pocillopora_acuta_HIv1_PredGene_g31212.t1","OG0000127"
"145","Pocillopora_acuta_HIv1_PredGene_g31214.t1","OG0000127"
"146","Pocillopora_acuta_HIv1_PredGene_g31353.t1","OG0016227"
"147","Pocillopora_acuta_HIv1_PredGene_g31480.t1","OG0016073"
"148","Pocillopora_acuta_HIv1_PredGene_g31487.t1","OG0001602"
"149","Pocillopora_acuta_HIv1_PredGene_g31487.t2","OG0001602"
"150","Pocillopora_acuta_HIv1_PredGene_g31607.t1","OG0014488"
"151","Pocillopora_acuta_HIv1_PredGene_g31953.t1","OG0004642"
"152","Pocillopora_acuta_HIv1_PredGene_g31960.t1","OG0001141"
"153","Pocillopora_acuta_HIv1_PredGene_g32018.t1","OG0005232"
"154","Pocillopora_acuta_HIv1_PredGene_g32171.t1","OG0000127"
"155","Pocillopora_acuta_HIv1_PredGene_g32172.t1","OG0000127"
"156","Pocillopora_acuta_HIv1_PredGene_g32194.t1","OG0012176"
"157","Pocillopora_acuta_HIv1_PredGene_g3221.t1","OG0001497"
"158","Pocillopora_acuta_HIv1_PredGene_g32496.t1","OG0001942"
"159","Pocillopora_acuta_HIv1_PredGene_g3306.t1","OG0013020"
"160","Pocillopora_acuta_HIv1_PredGene_g33271.t1","OG0009942"
"161","Pocillopora_acuta_HIv1_PredGene_g33391.t1","OG0006298"
"162","Pocillopora_acuta_HIv1_PredGene_g33597.t1","OG0007982"
"163","Pocillopora_acuta_HIv1_PredGene_g3547.t1","OG0010153"
"164","Pocillopora_acuta_HIv1_PredGene_g3577.t1","OG0000188"
"165","Pocillopora_acuta_HIv1_PredGene_g4057.t1","OG0013212"
"166","Pocillopora_acuta_HIv1_PredGene_g4343.t1","OG0021473"
"167","Pocillopora_acuta_HIv1_PredGene_g4463.t1","OG0002026"
"168","Pocillopora_acuta_HIv1_PredGene_g4677.t1","OG0001388"
"169","Pocillopora_acuta_HIv1_PredGene_g4724.t1","OG0000307"
"170","Pocillopora_acuta_HIv1_PredGene_g4955.t1","OG0005988"
"171","Pocillopora_acuta_HIv1_PredGene_g5277.t1","OG0002795"
"172","Pocillopora_acuta_HIv1_PredGene_g5395.t1","OG0018774"
"173","Pocillopora_acuta_HIv1_PredGene_g5469.t1","OG0001342"
"174","Pocillopora_acuta_HIv1_PredGene_g5677.t1","OG0000307"
"175","Pocillopora_acuta_HIv1_PredGene_g5781.t1","OG0002538"
"176","Pocillopora_acuta_HIv1_PredGene_g5916.t1","OG0003268"
"177","Pocillopora_acuta_HIv1_PredGene_g6135.t1","OG0004011"
"178","Pocillopora_acuta_HIv1_PredGene_g6360.t1","OG0004095"
"179","Pocillopora_acuta_HIv1_PredGene_g6941.t1","OG0001403"
"180","Pocillopora_acuta_HIv1_PredGene_g73.t1","OG0013318"
"181","Pocillopora_acuta_HIv1_PredGene_g7379.t1","OG0000414"
"182","Pocillopora_acuta_HIv1_PredGene_g7401.t1","OG0003246"
"183","Pocillopora_acuta_HIv1_PredGene_g7577.t1","OG0006523"
"184","Pocillopora_acuta_HIv1_PredGene_g7769.t1","OG0001238"
"185","Pocillopora_acuta_HIv1_PredGene_g7788.t1","OG0010541"
"186","Pocillopora_acuta_HIv1_PredGene_g8002.t1","OG0015626"
"187","Pocillopora_acuta_HIv1_PredGene_g8027.t1","OG0012706"
"188","Pocillopora_acuta_HIv1_PredGene_g808.t1","OG0000487"
"189","Pocillopora_acuta_HIv1_PredGene_g8202.t1","OG0013359"
"190","Pocillopora_acuta_HIv1_PredGene_g8863.t1","OG0001340"
"191","Pocillopora_acuta_HIv1_PredGene_g9091.t1","OG0015475"
"192","Pocillopora_acuta_HIv1_PredGene_g9372.t1","OG0003976"
"193","Pocillopora_acuta_HIv1_PredGene_g9372.t2","OG0003976"
"194","Pocillopora_acuta_HIv1_PredGene_g9384.t1","OG0006553"
"195","Pocillopora_acuta_HIv1_PredGene_g953.t1","OG0000382"
"196","Pocillopora_acuta_HIv1_PredGene_g9611.t1","OG0014169"
"197","Pocillopora_acuta_HIv1_PredGene_g9758.t1","OG0007958"
"198","Pocillopora_acuta_HIv1_PredGene_g9785.t1","OG0013855"
"199","Pocillopora_acuta_HIv1_PredGene_g9927.t1","OG0012948"
