Orthogroup	Mcavernosa.maker.proteins	plut2v1.1.proteins
OG0000005	Mcavernosa31190-RA	plut2.m8.12167.m1, plut2.m8.25156.m1, plut2.m8.1278.m1, plut2.m8.9273.m1, plut2.m8.11585.m1, plut2.m8.11587.m1, plut2.m8.9280.m1, plut2.m8.12185.m1, plut2.m8.23335.m1, plut2.m8.10392.m1, plut2.m8.33550.m1, plut2.m8.639.m1, plut2.m8.646.m1, plut2.m8.12186.m1, plut2.m8.33402.m1, plut2.m8.17586.m1, plut2.m8.11554.m1, plut2.m8.1283.m1, plut2.m8.32931.m1, plut2.m8.25219.m1, plut2.m8.17756.m1, plut2.m8.26274.m1, plut2.m8.11502.m1, plut2.m8.25480.m1, plut2.m8.25215.m1, plut2.m8.25217.m1, plut2.m8.17758.m1, plut2.m8.17759.m1, plut2.m8.28435.m1, plut2.m8.28443.m1, plut2.m8.16929.m1
OG0000006	Mcavernosa29868-RA	plut2.m8.17369.m1
OG0000006	Mcavernosa05195-RA, Mcavernosa30132-RA, Mcavernosa25815-RA	plut2.m8.17365.m1, plut2.m8.23604.m1, plut2.m8.17379.m1, plut2.m8.25655.m1, plut2.m8.17373.m1, plut2.m8.24292.m1, plut2.m8.23716.m1, jamg1.model.xfSc0002268.1, plut2.m8.9049.m1, plut2.m8.9050.m1, plut2.m8.9051.m1, plut2.m8.21821.m1
OG0000007	Mcavernosa01452-RA	plut2.m8.27420.m1, plut2.m8.17069.m1, plut2.m8.30549.m1
OG0000007	Mcavernosa25907-RA	jamg1.model.Sc0000013.22, plut2.m8.28514.m1, plut2.m8.9151.m1, jamg1.model.Sc0000467.7, plut2.m8.14928.m1, plut2.m8.25034.m1, plut2.m8.21734.m1, plut2.m8.15271.m1, plut2.m8.28534.m1, plut2.m8.25296.m1, plut2.m8.22129.m1, plut2.m8.23738.m1, jamg1.model.Sc0000250.1, jamg1.model.Sc0000518.15, jamg1.model.Sc0000096.13, jamg1.model.Sc0000270.22, jamg1.model.Sc0000250.4, jamg1.model.Sc0000278.53, plut2.m8.4743.m1, jamg1.model.xpSc0007078.4, jamg1.model.xpSc0007074.1, jamg1.model.Sc0000191.34
OG0000007	Mcavernosa29663-RA	plut2.m8.8634.m1, plut2.m8.27823.m1, plut2.m8.16308.m1, plut2.m8.9354.m1, plut2.m8.19922.m1, plut2.m8.31186.m1, jamg1.model.Sc0000390.1, plut2.m8.6242.m1, plut2.m8.23742.m1, plut2.m8.19136.m1, plut2.m8.9150.m1, plut2.m8.30243.m1
OG0000008	Mcavernosa22378-RA	plut2.m8.16439.m1
OG0000009	Mcavernosa07119-RA, Mcavernosa07120-RA, Mcavernosa32991-RA	jamg1.model.Sc0000320.78
OG0000010	Mcavernosa18524-RA, Mcavernosa18526-RA	plut2.m8.31139.m1, plut2.m8.31138.m1, plut2.m8.30690.m1
OG0000011	Mcavernosa29991-RA, Mcavernosa07525-RA, Mcavernosa32676-RA, Mcavernosa06309-RA	jamg1.model.Sc0000231.45
OG0000012	Mcavernosa24341-RA	jamg1.model.Sc0000488.16
OG0000013	Mcavernosa23938-RA	plut2.m8.31867.m1
OG0000013	Mcavernosa07294-RA	plut2.m8.32987.m1
OG0000013	Mcavernosa06544-RA, Mcavernosa25679-RA	plut2.m8.19878.m1
OG0000014	Mcavernosa08072-RA, Mcavernosa08071-RA	jamg1.model.xpSc0007142.5, jamg1.model.Sc0000021.101, plut2.m8.2680.m1, plut2.m8.33176.m1, plut2.m8.15689.m1, plut2.m8.15688.m1, plut2.m8.15691.m1, plut2.m8.33175.m1, plut2.m8.25313.m1, plut2.m8.25314.m1, plut2.m8.15690.m1, plut2.m8.7886.m1, plut2.m8.14383.m1, plut2.m8.14369.m1, plut2.m8.33424.m1, plut2.m8.32360.m1, plut2.m8.2662.m1, plut2.m8.6312.m1, plut2.m8.18661.m1, plut2.m8.33044.m1, plut2.m8.29943.m1, plut2.m8.18666.m1
OG0000014	Mcavernosa26712-RA	plut2.m8.32505.m1, plut2.m8.6451.m1
OG0000015	Mcavernosa12684-RA, Mcavernosa12683-RA	plut2.m8.15561.m1, plut2.m8.15565.m1, plut2.m8.15562.m1
OG0000015	Mcavernosa06424-RA, Mcavernosa06425-RA, Mcavernosa06422-RA	plut2.m8.1918.m1, plut2.m8.18835.m1
OG0000016	Mcavernosa11913-RA	jamg1.model.Sc0000023.3, jamg1.model.Sc0000175.80, jamg1.model.Sc0000004.44
OG0000017	Mcavernosa29307-RA	plut2.m8.11129.m1
OG0000017	Mcavernosa30106-RA	plut2.m8.2922.m1
OG0000017	Mcavernosa25308-RA	plut2.m8.25859.m1
OG0000018	Mcavernosa30129-RA	plut2.m8.29877.m1
OG0000018	Mcavernosa32281-RA, Mcavernosa09742-RA, Mcavernosa05088-RA	jamg1.model.Sc0000513.15
OG0000018	Mcavernosa24647-RA	plut2.m8.23850.m1
OG0000018	Mcavernosa08814-RA	plut2.m8.5732.m1, plut2.m8.5735.m1
OG0000020	Mcavernosa26396-RA	plut2.m8.28550.m1
OG0000020	Mcavernosa24651-RA, Mcavernosa04604-RA, Mcavernosa18302-RA, Mcavernosa02516-RA	plut2.m8.23003.m1
OG0000021	Mcavernosa05559-RA	plut2.m8.16968.m1
OG0000022	Mcavernosa28673-RA	plut2.m8.31378.m1
OG0000022	Mcavernosa29144-RA, Mcavernosa16488-RA	plut2.m8.32557.m1, plut2.m8.23565.m1
OG0000025	Mcavernosa20067-RA	plut2.m8.5900.m1, plut2.m8.20442.m1
OG0000025	Mcavernosa21314-RA, Mcavernosa21315-RA	plut2.m8.14241.m1, plut2.m8.14242.m1
OG0000025	Mcavernosa20066-RA	plut2.m8.20440.m1
OG0000025	Mcavernosa28460-RA, Mcavernosa28463-RA, Mcavernosa28462-RA	plut2.m8.6938.m1
OG0000026	Mcavernosa02665-RA	plut2.m8.23501.m1
OG0000026	Mcavernosa02666-RA	plut2.m8.23502.m1
OG0000027	Mcavernosa27416-RA, Mcavernosa22372-RA, Mcavernosa27417-RA, Mcavernosa22373-RA	plut2.m8.24225.m1
OG0000027	Mcavernosa27418-RA	plut2.m8.24214.m1
OG0000028	Mcavernosa17511-RA	plut2.m8.24164.m1
OG0000029	Mcavernosa31797-RA, Mcavernosa31795-RA	plut2.m8.21902.m1, plut2.m8.31425.m1
OG0000029	Mcavernosa32391-RA	plut2.m8.27791.m1, plut2.m8.25870.m1, plut2.m8.27789.m1, plut2.m8.31594.m1, plut2.m8.23050.m1, plut2.m8.25869.m1, plut2.m8.9223.m1, plut2.m8.9228.m1
OG0000029	Mcavernosa22650-RA	plut2.m8.22531.m1, plut2.m8.22530.m1, plut2.m8.21945.m1, plut2.m8.12389.m1, plut2.m8.21939.m1, plut2.m8.12325.m1
OG0000030	Mcavernosa04065-RA, Mcavernosa19067-RA	plut2.m8.32801.m1
OG0000030	Mcavernosa34429-RA, Mcavernosa27468-RA, Mcavernosa02512-RA, Mcavernosa14348-RA, Mcavernosa34603-RA, Mcavernosa10177-RA, Mcavernosa26151-RA	plut2.m8.26344.m1, plut2.m8.25055.m1, plut2.m8.21788.m1
OG0000030	Mcavernosa27512-RA	plut2.m8.26291.m1, jamg1.model.Sc0000804.2
OG0000030	Mcavernosa29578-RA, Mcavernosa04064-RA, Mcavernosa04619-RA	jamg1.model.Sc0000022.66
OG0000031	Mcavernosa24329-RA, Mcavernosa28166-RA, Mcavernosa28160-RA, Mcavernosa28161-RA, Mcavernosa24330-RA	plut2.m8.25305.m1
OG0000035	Mcavernosa33996-RA, Mcavernosa12914-RA, Mcavernosa09888-RA, Mcavernosa09882-RA, Mcavernosa17840-RA	plut2.m8.19567.m1, plut2.m8.25382.m1
OG0000035	Mcavernosa20960-RA	plut2.m8.23337.m1, plut2.m8.23329.m1
OG0000035	Mcavernosa33693-RA, Mcavernosa20206-RA, Mcavernosa20196-RA	plut2.m8.24993.m1, plut2.m8.22452.m1, plut2.m8.26219.m1
OG0000036	Mcavernosa01964-RA	plut2.m8.29667.m1, plut2.m8.21461.m1
OG0000036	Mcavernosa01967-RA	plut2.m8.21475.m1, plut2.m8.21474.m1, plut2.m8.21481.m1
OG0000036	Mcavernosa16945-RA	plut2.m8.12441.m1
OG0000036	Mcavernosa13380-RA, Mcavernosa13381-RA	plut2.m8.30939.m1
OG0000036	Mcavernosa03513-RA	plut2.m8.18058.m1
OG0000036	Mcavernosa28336-RA, Mcavernosa01966-RA, Mcavernosa28335-RA	plut2.m8.32972.m1
OG0000036	Mcavernosa28333-RA	plut2.m8.21460.m1, plut2.m8.29664.m1, plut2.m8.21468.m1, plut2.m8.21469.m1
OG0000038	Mcavernosa13579-RA	plut2.m8.12694.m1, plut2.m8.21941.m1
OG0000039	Mcavernosa23025-RA	plut2.m8.32130.m1
OG0000039	Mcavernosa30760-RA, Mcavernosa14857-RA, Mcavernosa21255-RA, Mcavernosa21256-RA, Mcavernosa01233-RA	plut2.m8.19859.m1
OG0000039	Mcavernosa03395-RA	plut2.m8.22556.m1, plut2.m8.24244.m1, plut2.m8.23187.m1, plut2.m8.10031.m1, plut2.m8.32928.m1, plut2.m8.25430.m1, plut2.m8.23086.m1, plut2.m8.10417.m1, plut2.m8.16912.m1, plut2.m8.11710.m1, plut2.m8.9326.m1, plut2.m8.31391.m1, plut2.m8.16711.m1, plut2.m8.9436.m1, plut2.m8.5565.m1, plut2.m8.1675.m1, plut2.m8.1676.m1, plut2.m8.2390.m1, plut2.m8.30581.m1, plut2.m8.19182.m1, plut2.m8.20955.m1, plut2.m8.33553.m1, plut2.m8.4770.m1, plut2.m8.9936.m1, plut2.m8.29630.m1, plut2.m8.29333.m1, plut2.m8.21521.m1, plut2.m8.13322.m1, plut2.m8.18942.m1, plut2.m8.23089.m1, plut2.m8.23968.m1, plut2.m8.7830.m1, plut2.m8.22674.m1, plut2.m8.12008.m1, plut2.m8.23433.m1, plut2.m8.4523.m1
OG0000041	Mcavernosa33475-RA	plut2.m8.14059.m1, plut2.m8.9353.m1, plut2.m8.33464.m1, plut2.m8.4941.m1
OG0000041	Mcavernosa19027-RA, Mcavernosa17537-RA	plut2.m8.15112.m1, jamg1.model.Sc0000211.52
OG0000041	Mcavernosa17819-RA	plut2.m8.2018.m1
OG0000043	Mcavernosa11047-RA	plut2.m8.6814.m1, plut2.m8.6813.m1, plut2.m8.4891.m1, plut2.m8.4890.m1, plut2.m8.18055.m1, plut2.m8.4892.m1, plut2.m8.4886.m1, plut2.m8.4888.m1, plut2.m8.33462.m1, plut2.m8.4895.m1, plut2.m8.18049.m1
OG0000043	Mcavernosa25231-RA, Mcavernosa16874-RA	plut2.m8.8494.m1
OG0000044	Mcavernosa31912-RA	plut2.m8.33178.m1
OG0000044	Mcavernosa31910-RA	plut2.m8.33593.m1
OG0000044	Mcavernosa31914-RA, Mcavernosa17893-RA, Mcavernosa23365-RA, Mcavernosa33624-RA, Mcavernosa31911-RA	plut2.m8.23125.m1, plut2.m8.31121.m1, plut2.m8.23122.m1, plut2.m8.31122.m1, plut2.m8.23132.m1, plut2.m8.23131.m1, plut2.m8.23127.m1, plut2.m8.23133.m1
OG0000045	Mcavernosa33134-RA, Mcavernosa24793-RA	jamg1.model.Sc0000672.8
OG0000045	Mcavernosa07115-RA	plut2.m8.23609.m1
OG0000047	Mcavernosa21359-RA	plut2.m8.19849.m1
OG0000047	Mcavernosa08538-RA, Mcavernosa14861-RA, Mcavernosa19212-RA	plut2.m8.14135.m1, plut2.m8.8953.m1, plut2.m8.32349.m1
OG0000048	Mcavernosa09943-RA	plut2.m8.3413.m1, plut2.m8.26442.m1
OG0000049	Mcavernosa19954-RA, Mcavernosa33237-RA, Mcavernosa28132-RA, Mcavernosa23280-RA	plut2.m8.23361.m1, jamg1.model.Sc0000523.32, jamg1.model.Sc0000023.123, plut2.m8.16108.m1
OG0000051	Mcavernosa09517-RA	jamg1.model.Sc0000612.3, jamg1.model.Sc0000827.7, jamg1.model.Sc0000377.15, jamg1.model.Sc0000141.73, jamg1.model.Sc0000076.44, jamg1.model.xpSc0007185.7, jamg1.model.xpSc0007481.6, jamg1.model.Sc0000500.16, jamg1.model.Sc0000415.14, jamg1.model.Sc0000415.17, jamg1.model.xpSc0007090.11, jamg1.model.Sc0000606.7, jamg1.model.Sc0000213.22, jamg1.model.Sc0000207.22, jamg1.model.Sc0000089.4, jamg1.model.Sc0000122.53, jamg1.model.Sc0000034.113, jamg1.model.Sc0000326.7, jamg1.model.Sc0000092.10, jamg1.model.Sc0000500.15, jamg1.model.Sc0000084.75, jamg1.model.Sc0000213.18, jamg1.model.Sc0000101.74, jamg1.model.xfSc0000241.14, jamg1.model.xpSc0007153.12, jamg1.model.xpSc0007481.5, jamg1.model.xpSc0007261.8, jamg1.model.Sc0000244.47, plut2.m8.11151.m1, jamg1.model.Sc0000546.8, jamg1.model.xfSc0000010.12, jamg1.model.Sc0000009.46, jamg1.model.Sc0000214.15, jamg1.model.Sc0000653.9, jamg1.model.xpSc0007232.11, jamg1.model.Sc0000254.7, jamg1.model.Sc0000456.17
OG0000053	Mcavernosa32765-RA, Mcavernosa23210-RA	jamg1.model.Sc0000013.139, plut2.m8.1796.m1
OG0000053	Mcavernosa23212-RA	plut2.m8.24625.m1
OG0000054	Mcavernosa02136-RA	plut2.m8.30343.m1, plut2.m8.30853.m1, plut2.m8.13233.m1, plut2.m8.32975.m1
OG0000054	Mcavernosa14358-RA	jamg1.model.Sc0000523.31
OG0000054	Mcavernosa04969-RA	plut2.m8.3119.m1, plut2.m8.16508.m1
OG0000055	Mcavernosa34575-RA	plut2.m8.25591.m1, plut2.m8.25596.m1, plut2.m8.25597.m1, plut2.m8.25590.m1, plut2.m8.20050.m1, plut2.m8.20051.m1, plut2.m8.5831.m1, plut2.m8.26060.m1, plut2.m8.26062.m1
OG0000055	Mcavernosa12136-RA	plut2.m8.17728.m1, plut2.m8.17726.m1
OG0000056	Mcavernosa07912-RA	plut2.m8.7800.m1
OG0000056	Mcavernosa07913-RA, Mcavernosa07916-RA	plut2.m8.10236.m1, plut2.m8.10237.m1
OG0000057	Mcavernosa20864-RA	plut2.m8.25326.m1, plut2.m8.33221.m1, plut2.m8.33434.m1, plut2.m8.33142.m1, jamg1.model.xfSc0000223.2, jamg1.model.Sc0000688.5, jamg1.model.Sc0000079.10, plut2.m8.7706.m1, plut2.m8.25327.m1, plut2.m8.7686.m1, plut2.m8.33222.m1, plut2.m8.33525.m1, jamg1.model.Sc0000079.4, plut2.m8.7692.m1, plut2.m8.7696.m1, plut2.m8.7694.m1, plut2.m8.7688.m1, plut2.m8.33141.m1, plut2.m8.7697.m1, plut2.m8.7693.m1, plut2.m8.31459.m1, jamg1.model.Sc0000688.7, jamg1.model.Sc0000688.9, jamg1.model.Sc0000689.3, plut2.m8.25328.m1, jamg1.model.Sc0000079.8, plut2.m8.7685.m1, plut2.m8.31530.m1, plut2.m8.497.m1, jamg1.model.xfSc0000020.43, plut2.m8.27617.m1, plut2.m8.27613.m1
OG0000058	Mcavernosa11660-RA	plut2.m8.7902.m1, plut2.m8.32933.m1, plut2.m8.7907.m1, plut2.m8.31193.m1, plut2.m8.7900.m1, plut2.m8.7897.m1, plut2.m8.7893.m1, plut2.m8.7898.m1, plut2.m8.7899.m1, plut2.m8.7894.m1, plut2.m8.7901.m1, plut2.m8.32934.m1, plut2.m8.2733.m1, plut2.m8.22652.m1, plut2.m8.33307.m1, plut2.m8.25263.m1, plut2.m8.23246.m1, plut2.m8.33419.m1, plut2.m8.25862.m1, plut2.m8.30756.m1, plut2.m8.23237.m1, plut2.m8.23241.m1, plut2.m8.25919.m1, plut2.m8.23240.m1, plut2.m8.23243.m1, plut2.m8.689.m1, plut2.m8.27487.m1, plut2.m8.27497.m1, plut2.m8.27492.m1, plut2.m8.31421.m1
OG0000059	Mcavernosa27878-RA, Mcavernosa27866-RA, Mcavernosa15770-RA, Mcavernosa27867-RA, Mcavernosa27868-RA	plut2.m8.32009.m1
OG0000060	Mcavernosa01859-RA, Mcavernosa10980-RA	plut2.m8.12079.m1
OG0000060	Mcavernosa16515-RA, Mcavernosa34230-RA, Mcavernosa29410-RA, Mcavernosa25858-RA	plut2.m8.17356.m1, plut2.m8.22030.m1, plut2.m8.17353.m1, plut2.m8.9331.m1, plut2.m8.9328.m1
OG0000061	Mcavernosa27448-RA	plut2.m8.28441.m1, plut2.m8.28442.m1, plut2.m8.16926.m1, plut2.m8.27369.m1
OG0000061	Mcavernosa18962-RA	plut2.m8.16930.m1, plut2.m8.28437.m1
OG0000063	Mcavernosa14374-RA	plut2.m8.8666.m1
OG0000064	Mcavernosa20927-RA, Mcavernosa20926-RA, Mcavernosa21729-RA	plut2.m8.11706.m1, plut2.m8.32699.m1
OG0000065	Mcavernosa31972-RA	plut2.m8.4222.m1, plut2.m8.4223.m1, plut2.m8.4221.m1
OG0000065	Mcavernosa07140-RA	plut2.m8.15705.m1
OG0000065	Mcavernosa25562-RA	plut2.m8.14950.m1, plut2.m8.14948.m1, plut2.m8.2040.m1, plut2.m8.14949.m1
OG0000067	Mcavernosa07904-RA	plut2.m8.5002.m1, plut2.m8.5005.m1, plut2.m8.5004.m1, plut2.m8.25907.m1, plut2.m8.25905.m1, plut2.m8.6280.m1
OG0000069	Mcavernosa17556-RA, Mcavernosa09501-RA, Mcavernosa17557-RA	jamg1.model.Sc0000707.3
OG0000069	Mcavernosa30138-RA, Mcavernosa05649-RA	plut2.m8.25902.m1, plut2.m8.20420.m1, plut2.m8.9582.m1
OG0000069	Mcavernosa27632-RA	plut2.m8.14233.m1
OG0000070	Mcavernosa08157-RA	plut2.m8.2174.m1
OG0000071	Mcavernosa12461-RA	jamg1.model.Sc0000551.11, jamg1.model.Sc0000551.7, jamg1.model.Sc0000014.24, jamg1.model.Sc0000551.9
OG0000071	Mcavernosa12462-RA, Mcavernosa12464-RA	jamg1.model.Sc0000551.10, jamg1.model.Sc0000551.6, jamg1.model.Sc0000625.16
OG0000071	Mcavernosa12458-RA, Mcavernosa12456-RA, Mcavernosa12459-RA	jamg1.model.Sc0000014.25
OG0000072	Mcavernosa28578-RA	plut2.m8.5828.m1, plut2.m8.5835.m1
OG0000074	Mcavernosa30542-RA, Mcavernosa29093-RA	plut2.m8.11523.m1
OG0000074	Mcavernosa16295-RA, Mcavernosa30541-RA, Mcavernosa32096-RA, Mcavernosa29092-RA, Mcavernosa19091-RA, Mcavernosa18234-RA	jamg1.model.Sc0000365.34, plut2.m8.23358.m1
OG0000075	Mcavernosa31903-RA	plut2.m8.7903.m1, plut2.m8.24642.m1, plut2.m8.24643.m1, plut2.m8.7885.m1, plut2.m8.25435.m1, plut2.m8.14375.m1, plut2.m8.14380.m1, plut2.m8.30619.m1, plut2.m8.14376.m1
OG0000076	Mcavernosa11352-RA	plut2.m8.9552.m1, plut2.m8.9553.m1
OG0000077	Mcavernosa16149-RA, Mcavernosa32819-RA, Mcavernosa34677-RA, Mcavernosa22487-RA, Mcavernosa15349-RA	plut2.m8.32957.m1, plut2.m8.29514.m1, plut2.m8.29517.m1, plut2.m8.21746.m1, plut2.m8.32951.m1, plut2.m8.21747.m1, plut2.m8.32953.m1, plut2.m8.21745.m1, plut2.m8.32954.m1, plut2.m8.21744.m1, plut2.m8.32952.m1, plut2.m8.29519.m1, plut2.m8.29516.m1, plut2.m8.23493.m1, plut2.m8.23494.m1, plut2.m8.29515.m1, plut2.m8.32955.m1, plut2.m8.32950.m1, plut2.m8.17057.m1
OG0000081	Mcavernosa11573-RA	plut2.m8.20870.m1, plut2.m8.31443.m1, plut2.m8.2082.m1, plut2.m8.4374.m1, plut2.m8.1044.m1, plut2.m8.33611.m1
OG0000082	Mcavernosa14362-RA, Mcavernosa31272-RA	jamg1.model.Sc0000034.100
OG0000083	Mcavernosa08890-RA	plut2.m8.17812.m1, plut2.m8.17810.m1, plut2.m8.17809.m1, plut2.m8.15316.m1, plut2.m8.11142.m1, plut2.m8.28451.m1, plut2.m8.28454.m1, plut2.m8.28455.m1, plut2.m8.28453.m1, jamg1.model.xfSc0000112.12, plut2.m8.28459.m1, plut2.m8.28460.m1, plut2.m8.17816.m1, plut2.m8.17815.m1
OG0000084	Mcavernosa24871-RA	plut2.m8.6419.m1
OG0000084	Mcavernosa07911-RA, Mcavernosa19272-RA	plut2.m8.31285.m1
OG0000084	Mcavernosa08142-RA, Mcavernosa21542-RA, Mcavernosa29104-RA	plut2.m8.19948.m1, plut2.m8.5262.m1
OG0000085	Mcavernosa01374-RA	plut2.m8.3627.m1, plut2.m8.7233.m1, plut2.m8.7232.m1
OG0000085	Mcavernosa34441-RA, Mcavernosa01371-RA	plut2.m8.18138.m1, plut2.m8.18130.m1, plut2.m8.5246.m1, plut2.m8.5245.m1, plut2.m8.5242.m1, plut2.m8.18122.m1
OG0000086	Mcavernosa29534-RA	jamg1.model.Sc0000152.38, plut2.m8.26179.m1, jamg1.model.Sc0000189.14, jamg1.model.Sc0000270.9, jamg1.model.Sc0000294.27, jamg1.model.xfSc0000877.2, plut2.m8.1987.m1, jamg1.model.Sc0000249.12, jamg1.model.xpSc0007187.5, plut2.m8.9924.m1, plut2.m8.23141.m1, jamg1.model.Sc0000053.178, jamg1.model.Sc0000301.1, plut2.m8.19768.m1, plut2.m8.25566.m1, plut2.m8.28800.m1, jamg1.model.Sc0000027.1, jamg1.model.Sc0000581.3, plut2.m8.16083.m1, jamg1.model.Sc0000446.7, jamg1.model.Sc0000207.27, jamg1.model.xfSc0000093.2, jamg1.model.Sc0000040.138, jamg1.model.Sc0000283.9, jamg1.model.Sc0000122.9, jamg1.model.Sc0000729.9, jamg1.model.Sc0000038.50, jamg1.model.Sc0000812.1, jamg1.model.Sc0000025.56, jamg1.model.Sc0000538.11
OG0000087	Mcavernosa03198-RA	plut2.m8.4564.m1, plut2.m8.30932.m1
OG0000087	Mcavernosa00408-RA	plut2.m8.33056.m1
OG0000088	Mcavernosa11682-RA	plut2.m8.4626.m1, plut2.m8.4622.m1, plut2.m8.4630.m1, plut2.m8.4633.m1, plut2.m8.4624.m1, plut2.m8.4625.m1, plut2.m8.4632.m1, plut2.m8.4623.m1, plut2.m8.4621.m1, plut2.m8.4627.m1, plut2.m8.4631.m1, plut2.m8.4629.m1, plut2.m8.4638.m1
OG0000088	Mcavernosa11680-RA	plut2.m8.4628.m1
OG0000088	Mcavernosa11683-RA, Mcavernosa11684-RA, Mcavernosa11681-RA	plut2.m8.4614.m1
OG0000089	Mcavernosa30315-RA	plut2.m8.20902.m1, plut2.m8.16744.m1, plut2.m8.16743.m1, plut2.m8.32921.m1, plut2.m8.32922.m1
OG0000089	Mcavernosa14214-RA, Mcavernosa06788-RA	plut2.m8.12766.m1, plut2.m8.24317.m1, plut2.m8.25770.m1, plut2.m8.25767.m1, plut2.m8.21702.m1, plut2.m8.17049.m1, jamg1.model.Sc0000288.6, plut2.m8.10001.m1, plut2.m8.11855.m1
OG0000093	Mcavernosa08536-RA, Mcavernosa34471-RA, Mcavernosa09533-RA, Mcavernosa27476-RA	plut2.m8.15984.m1
OG0000093	Mcavernosa24296-RA	plut2.m8.15983.m1, plut2.m8.4151.m1, jamg1.model.Sc0000188.39
OG0000093	Mcavernosa35053-RA	jamg1.model.Sc0000232.41
OG0000094	Mcavernosa29661-RA	jamg1.model.Sc0000500.9, plut2.m8.22990.m1, jamg1.model.xfSc0006175.1, jamg1.model.Sc0000175.34, jamg1.model.Sc0000175.33
OG0000095	Mcavernosa00664-RA, Mcavernosa15010-RA	plut2.m8.33017.m1, plut2.m8.7311.m1, plut2.m8.7298.m1, plut2.m8.7303.m1, plut2.m8.7322.m1, plut2.m8.14909.m1, plut2.m8.14914.m1
OG0000095	Mcavernosa23096-RA	plut2.m8.7313.m1, plut2.m8.14913.m1, plut2.m8.14927.m1, plut2.m8.14942.m1, plut2.m8.7299.m1, plut2.m8.7321.m1, plut2.m8.7302.m1, plut2.m8.7314.m1, plut2.m8.14933.m1, plut2.m8.7312.m1, plut2.m8.7293.m1, plut2.m8.14903.m1, plut2.m8.7307.m1
OG0000096	Mcavernosa32100-RA	jamg1.model.Sc0000355.12, jamg1.model.Sc0000584.11
OG0000096	Mcavernosa05993-RA, Mcavernosa32556-RA	jamg1.model.xpSc0007060.27
OG0000097	Mcavernosa22353-RA	plut2.m8.25362.m1
OG0000097	Mcavernosa30418-RA	plut2.m8.24791.m1
OG0000097	Mcavernosa24247-RA, Mcavernosa27974-RA	plut2.m8.32803.m1, jamg1.model.xpSc0007471.1, plut2.m8.23408.m1
