"","gene_id","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","length","5_2","10_2","13_2","14_2","15_2","16_2","19_2","20_2","40_2","45_2","48_2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare"
"590","Montipora_capitata_PredGene_g51186","GO:0045177",9.24264887756612e-05,0.999989008865545,7,131,"apical part of cell","CC",798,4471,541,1874,6024,569,748,887,723,792,1724,518,1323.2900181037,1.3965636389616,0.374702125693522,3.72713028082441,0.000193672360611744,0.0340543895112773,"CvsHigh"
"624","Montipora_capitata_PredGene_g51187","GO:0045177",9.24264887756612e-05,0.999989008865545,7,131,"apical part of cell","CC",783,2948,498,1167,2886,390,515,619,484,510,1318,468,869.495456393864,1.14828453083056,0.29641570652593,3.87389907332765,0.000107107784473112,0.0222784191704073,"CvsHigh"
"17","Montipora_capitata_PredGene_adi2mcaRNA10298_R0","GO:0045121",0.00924824026746311,0.99818939171242,5,162,"membrane raft","CC",1770,3202,1031,3368,4701,795,1221,931,730,1115,1941,1338,1555.02669736155,0.625802440730696,0.17378851955007,3.60094235425256,0.000317065877700654,0.0482240776358442,"CvsMid"
"20","Montipora_capitata_PredGene_adi2mcaRNA10298_R0","GO:0005769",0.0268156992433821,0.993126860535452,5,201,"early endosome","CC",1770,3202,1031,3368,4701,795,1221,931,730,1115,1941,1338,1555.02669736155,0.625802440730696,0.17378851955007,3.60094235425256,0.000317065877700654,0.0482240776358442,"CvsMid"
"84","Montipora_capitata_PredGene_adi2mcaRNA21693_R0","GO:0005769",0.0268156992433821,0.993126860535452,5,201,"early endosome","CC",4472,58,61,44,48,29,53,27,30,59,24,70,46.9544317639804,-1.36726050572403,0.299919090513731,-4.55876451006187,5.14554284365047e-06,0.00204098555212331,"CvsHigh"
"150","Montipora_capitata_PredGene_adi2mcaRNA5341_R0","GO:0030424",0.0282111375886663,0.992666665416212,5,218,"axon","CC",2532,11,61,22,24,21,50,35,34,27,9,79,38.6204870728771,-2.43934153989234,0.416075308061436,-5.8627404525821,4.55289601432318e-09,4.08706286422611e-06,"CvsMid"
"151","Montipora_capitata_PredGene_adi2mcaRNA5341_R0","GO:0030424",0.0282111375886663,0.992666665416212,5,218,"axon","CC",2532,11,61,22,24,21,50,35,34,27,9,79,38.6204870728771,-2.5327333068623,0.439802168352778,-5.75880131821161,8.4713340175773e-09,8.02705961132214e-06,"CvsHigh"
"174","Montipora_capitata_PredGene_adi2mcaRNA5341_R0","GO:0045121",0.00924824026746311,0.99818939171242,5,162,"membrane raft","CC",2532,11,61,22,24,21,50,35,34,27,9,79,38.6204870728771,-2.43934153989234,0.416075308061436,-5.8627404525821,4.55289601432318e-09,4.08706286422611e-06,"CvsMid"
"175","Montipora_capitata_PredGene_adi2mcaRNA5341_R0","GO:0045121",0.00924824026746311,0.99818939171242,5,162,"membrane raft","CC",2532,11,61,22,24,21,50,35,34,27,9,79,38.6204870728771,-2.5327333068623,0.439802168352778,-5.75880131821161,8.4713340175773e-09,8.02705961132214e-06,"CvsHigh"
"188","Montipora_capitata_PredGene_adi2mcaRNA5341_R0","GO:0005769",0.0268156992433821,0.993126860535452,5,201,"early endosome","CC",2532,11,61,22,24,21,50,35,34,27,9,79,38.6204870728771,-2.43934153989234,0.416075308061436,-5.8627404525821,4.55289601432318e-09,4.08706286422611e-06,"CvsMid"
"189","Montipora_capitata_PredGene_adi2mcaRNA5341_R0","GO:0005769",0.0268156992433821,0.993126860535452,5,201,"early endosome","CC",2532,11,61,22,24,21,50,35,34,27,9,79,38.6204870728771,-2.5327333068623,0.439802168352778,-5.75880131821161,8.4713340175773e-09,8.02705961132214e-06,"CvsHigh"
"200","Montipora_capitata_PredGene_adi2mcaRNA6174_R8","GO:0045121",0.00924824026746311,0.99818939171242,5,162,"membrane raft","CC",1623,43,37,36,29,24,34,30,31,46,20,32,34.6054495269257,-1.18945257083238,0.292990266525784,-4.05969995159448,4.91358156876931e-05,0.0119722924624185,"CvsMid"
"224","Montipora_capitata_PredGene_g12169","GO:0030424",0.0282111375886663,0.992666665416212,5,218,"axon","CC",2115,19,48,24,36,26,31,31,45,36,20,53,37.1305150601787,-1.54997666069958,0.321551385617445,-4.82030782645613,1.43336875077624e-06,0.000719045218036458,"CvsHigh"
"225","Montipora_capitata_PredGene_g12169","GO:0030424",0.0282111375886663,0.992666665416212,5,218,"axon","CC",2115,19,48,24,36,26,31,31,45,36,20,53,37.1305150601787,-1.84217616972498,0.301260288545527,-6.11489877613452,9.66182722485354e-10,1.09861416764735e-06,"CvsMid"
"274","Montipora_capitata_PredGene_g25159","GO:0045121",0.00924824026746311,0.99818939171242,5,162,"membrane raft","CC",1359,125,420,213,145,232,338,225,263,336,11,466,289.651168101481,-2.58694440135161,0.527880833177897,-4.90062195624331,9.55337317921335e-07,0.000543141109815543,"CvsHigh"
"275","Montipora_capitata_PredGene_g25159","GO:0045121",0.00924824026746311,0.99818939171242,5,162,"membrane raft","CC",1359,125,420,213,145,232,338,225,263,336,11,466,289.651168101481,-2.54840900624289,0.489704487092952,-5.2039731581205,1.95072194839099e-07,0.000118826834113417,"CvsMid"
"599","Montipora_capitata_PredGene_g51186","GO:0030424",0.0282111375886663,0.992666665416212,5,218,"axon","CC",798,4471,541,1874,6024,569,748,887,723,792,1724,518,1323.2900181037,1.3965636389616,0.374702125693522,3.72713028082441,0.000193672360611744,0.0340543895112773,"CvsHigh"
"627","Montipora_capitata_PredGene_g51187","GO:0030424",0.0282111375886663,0.992666665416212,5,218,"axon","CC",783,2948,498,1167,2886,390,515,619,484,510,1318,468,869.495456393864,1.14828453083056,0.29641570652593,3.87389907332765,0.000107107784473112,0.0222784191704073,"CvsHigh"
"646","Montipora_capitata_PredGene_g546","GO:0005769",0.0268156992433821,0.993126860535452,5,201,"early endosome","CC",3721,73,111,107,145,53,80,63,68,103,43,133,89.7292519951418,-1.09917120319562,0.303037418404449,-3.62717980169897,0.000286533771308301,0.043163854033813,"CvsHigh"
"746","Montipora_capitata_PredGene_g67062","GO:0030424",0.0282111375886663,0.992666665416212,5,218,"axon","CC",2532,0,47,21,16,27,37,34,37,37,19,48,34.7481775450266,-2.52361645621059,0.571474071180826,-4.41597717810029,1.00554693751764e-05,0.00350012419720427,"CvsMid"
"747","Montipora_capitata_PredGene_g67062","GO:0030424",0.0282111375886663,0.992666665416212,5,218,"axon","CC",2532,0,47,21,16,27,37,34,37,37,19,48,34.7481775450266,-2.31168186366529,0.612485417669534,-3.77426432854692,0.000160480535087214,0.0300786374334892,"CvsHigh"
"770","Montipora_capitata_PredGene_g67062","GO:0005769",0.0268156992433821,0.993126860535452,5,201,"early endosome","CC",2532,0,47,21,16,27,37,34,37,37,19,48,34.7481775450266,-2.52361645621059,0.571474071180826,-4.41597717810029,1.00554693751764e-05,0.00350012419720427,"CvsMid"
"771","Montipora_capitata_PredGene_g67062","GO:0005769",0.0268156992433821,0.993126860535452,5,201,"early endosome","CC",2532,0,47,21,16,27,37,34,37,37,19,48,34.7481775450266,-2.31168186366529,0.612485417669534,-3.77426432854692,0.000160480535087214,0.0300786374334892,"CvsHigh"
"774","Montipora_capitata_PredGene_g67062","GO:0045121",0.00924824026746311,0.99818939171242,5,162,"membrane raft","CC",2532,0,47,21,16,27,37,34,37,37,19,48,34.7481775450266,-2.52361645621059,0.571474071180826,-4.41597717810029,1.00554693751764e-05,0.00350012419720427,"CvsMid"
"775","Montipora_capitata_PredGene_g67062","GO:0045121",0.00924824026746311,0.99818939171242,5,162,"membrane raft","CC",2532,0,47,21,16,27,37,34,37,37,19,48,34.7481775450266,-2.31168186366529,0.612485417669534,-3.77426432854692,0.000160480535087214,0.0300786374334892,"CvsHigh"
"136","Montipora_capitata_PredGene_adi2mcaRNA4923_R2","GO:0031252",0.00591317610645157,0.99950502542925,3,49,"cell leading edge","CC",1809,8,647,76,103,325,693,544,299,546,18,867,461.938830677653,-4.46635203874297,0.527000218545759,-8.47504779232869,2.34983048780621e-17,5.72552982857469e-14,"CvsMid"
"137","Montipora_capitata_PredGene_adi2mcaRNA4923_R2","GO:0031252",0.00591317610645157,0.99950502542925,3,49,"cell leading edge","CC",1809,8,647,76,103,325,693,544,299,546,18,867,461.938830677653,-4.72041191506315,0.567271002270047,-8.32126425671944,8.70299723536133e-17,2.47397201410538e-13,"CvsHigh"
"230","Montipora_capitata_PredGene_g12169","GO:0099056",0.00894154691962879,0.999121601037696,3,66,"integral component of presynaptic membrane","CC",2115,19,48,24,36,26,31,31,45,36,20,53,37.1305150601787,-1.54997666069958,0.321551385617445,-4.82030782645613,1.43336875077624e-06,0.000719045218036458,"CvsHigh"
"231","Montipora_capitata_PredGene_g12169","GO:0099056",0.00894154691962879,0.999121601037696,3,66,"integral component of presynaptic membrane","CC",2115,19,48,24,36,26,31,31,45,36,20,53,37.1305150601787,-1.84217616972498,0.301260288545527,-6.11489877613452,9.66182722485354e-10,1.09861416764735e-06,"CvsMid"
"315","Montipora_capitata_PredGene_g27065","GO:0042788",0.00608554736227829,0.999500053090844,3,29,"polysomal ribosome","CC",837,8,14,9,7,12,11,6,13,15,0,12,11.0721378425775,-2.22099419879638,0.551912297914619,-4.02417957923446,5.71742787446175e-05,0.0133653026475754,"CvsMid"
"474","Montipora_capitata_PredGene_g32152","GO:0005902",0.00811051419088202,0.999238926389235,3,49,"microvillus","CC",1128,3394,639,1529,2372,590,597,726,788,569,1410,531,1017.2050019017,1.04145716651525,0.262916088204524,3.9611770189776,7.45812141389497e-05,0.0165202232253757,"CvsHigh"
"476","Montipora_capitata_PredGene_g33208","GO:0022625",0.0335676071859544,0.994647262284137,3,48,"cytosolic large ribosomal subunit","CC",375,3694,1025,3426,5323,701,1084,1024,861,1229,4045,1468,1800.91825461499,0.975340164404646,0.207054672682574,4.71054408851664,2.47056345740051e-06,0.00100328405546245,"CvsMid"
"477","Montipora_capitata_PredGene_g33208","GO:0022625",0.0335676071859544,0.994647262284137,3,48,"cytosolic large ribosomal subunit","CC",375,3694,1025,3426,5323,701,1084,1024,861,1229,4045,1468,1800.91825461499,0.885544094939295,0.223315626465115,3.96543721080634,7.32615363670225e-05,0.0165202232253757,"CvsHigh"
"532","Montipora_capitata_PredGene_g43717","GO:0031252",0.00591317610645157,0.99950502542925,3,49,"cell leading edge","CC",1092,155,197,168,200,124,208,158,185,201,63,264,186.717936654332,-1.52943072875012,0.225631527616109,-6.7784442400811,1.21476842027109e-11,2.58988627201797e-08,"CvsHigh"
"533","Montipora_capitata_PredGene_g43717","GO:0031252",0.00591317610645157,0.99950502542925,3,49,"cell leading edge","CC",1092,155,197,168,200,124,208,158,185,201,63,264,186.717936654332,-1.47623288869408,0.211413758235278,-6.98267180441117,2.89618454529632e-12,4.9397323604574e-09,"CvsMid"
"554","Montipora_capitata_PredGene_g46631","GO:0042788",0.00608554736227829,0.999500053090844,3,29,"polysomal ribosome","CC",306,4313,1227,4105,4452,700,1260,1157,919,1354,4161,1845,1952.96737711743,0.890613585940813,0.204544934894511,4.35412192631474,1.33601336768162e-05,0.0043821238459957,"CvsMid"
"555","Montipora_capitata_PredGene_g46631","GO:0022625",0.0335676071859544,0.994647262284137,3,48,"cytosolic large ribosomal subunit","CC",306,4313,1227,4105,4452,700,1260,1157,919,1354,4161,1845,1952.96737711743,0.890613585940813,0.204544934894511,4.35412192631474,1.33601336768162e-05,0.0043821238459957,"CvsMid"
"593","Montipora_capitata_PredGene_g51186","GO:0005902",0.00811051419088202,0.999238926389235,3,49,"microvillus","CC",798,4471,541,1874,6024,569,748,887,723,792,1724,518,1323.2900181037,1.3965636389616,0.374702125693522,3.72713028082441,0.000193672360611744,0.0340543895112773,"CvsHigh"
"615","Montipora_capitata_PredGene_g51187","GO:0005902",0.00811051419088202,0.999238926389235,3,49,"microvillus","CC",783,2948,498,1167,2886,390,515,619,484,510,1318,468,869.495456393864,1.14828453083056,0.29641570652593,3.87389907332765,0.000107107784473112,0.0222784191704073,"CvsHigh"
"659","Montipora_capitata_PredGene_g56282","GO:0099056",0.00894154691962879,0.999121601037696,3,66,"integral component of presynaptic membrane","CC",1761,51,43,51,56,33,62,48,52,47,32,58,50.9054367734939,-1.11354827429644,0.257273341657997,-4.32826917519001,1.50285726805848e-05,0.00545377309872457,"CvsHigh"
"660","Montipora_capitata_PredGene_g56282","GO:0099056",0.00894154691962879,0.999121601037696,3,66,"integral component of presynaptic membrane","CC",1761,51,43,51,56,33,62,48,52,47,32,58,50.9054367734939,-1.15398876748854,0.244098678489437,-4.72755024578502,2.27244841565362e-06,0.000945338540911905,"CvsMid"
"688","Montipora_capitata_PredGene_g63093","GO:0099056",0.00894154691962879,0.999121601037696,3,66,"integral component of presynaptic membrane","CC",1560,19,14,12,12,16,21,20,17,22,0,22,17.8346684624415,-1.96359340122121,0.53082981678128,-3.69910155598941,0.0002163640195069,0.0365376704624722,"CvsHigh"
"689","Montipora_capitata_PredGene_g63093","GO:0099056",0.00894154691962879,0.999121601037696,3,66,"integral component of presynaptic membrane","CC",1560,19,14,12,12,16,21,20,17,22,0,22,17.8346684624415,-1.99304080419224,0.502440397127628,-3.9667208599988,7.28682509058803e-05,0.0155355110931337,"CvsMid"
"702","Montipora_capitata_PredGene_g63102","GO:0031252",0.00591317610645157,0.99950502542925,3,49,"cell leading edge","CC",1923,676,2029,1284,1818,1052,2101,1756,990,1843,751,2808,1694.80006163767,-1.62812032445972,0.301484928672209,-5.40033736223645,6.65156903067049e-08,4.72704839112983e-05,"CvsMid"
"703","Montipora_capitata_PredGene_g63102","GO:0031252",0.00591317610645157,0.99950502542925,3,49,"cell leading edge","CC",1923,676,2029,1284,1818,1052,2101,1756,990,1843,751,2808,1694.80006163767,-1.87518715817811,0.325341060763531,-5.76375805063555,8.22613201357741e-09,8.02705961132214e-06,"CvsHigh"
"732","Montipora_capitata_PredGene_g64596","GO:0022625",0.0335676071859544,0.994647262284137,3,48,"cytosolic large ribosomal subunit","CC",486,7775,2041,6465,9255,1481,2244,2320,1699,2706,7127,3158,3559.31996450897,0.794641824895264,0.197472741547746,4.02405830124728,5.720374608777e-05,0.0133653026475754,"CvsMid"
"734","Montipora_capitata_PredGene_g64596","GO:0042788",0.00608554736227829,0.999500053090844,3,29,"polysomal ribosome","CC",486,7775,2041,6465,9255,1481,2244,2320,1699,2706,7127,3158,3559.31996450897,0.794641824895264,0.197472741547746,4.02405830124728,5.720374608777e-05,0.0133653026475754,"CvsMid"
"24","Montipora_capitata_PredGene_adi2mcaRNA10298_R0","GO:0031985",0.00486671078327801,0.999857999805858,2,12,"Golgi cisterna","CC",1770,3202,1031,3368,4701,795,1221,931,730,1115,1941,1338,1555.02669736155,0.625802440730696,0.17378851955007,3.60094235425256,0.000317065877700654,0.0482240776358442,"CvsMid"
"87","Montipora_capitata_PredGene_adi2mcaRNA25316_R4","GO:0000786",0.0325073161329042,0.997212683401842,2,29,"nucleosome","CC",682,236,11,90,113,13,15,18,17,18,71,15,40.5611100083613,1.81223075203382,0.399501583183967,4.53622921238664,5.72689378051336e-06,0.0021706200071208,"CvsMid"
"88","Montipora_capitata_PredGene_adi2mcaRNA25316_R4","GO:0000786",0.0325073161329042,0.997212683401842,2,29,"nucleosome","CC",682,236,11,90,113,13,15,18,17,18,71,15,40.5611100083613,2.09088576211133,0.433326153948061,4.82520093251041,1.39862190512836e-06,0.000719045218036458,"CvsHigh"
"91","Montipora_capitata_PredGene_adi2mcaRNA25316_R5","GO:0000786",0.0325073161329042,0.997212683401842,2,29,"nucleosome","CC",681,79,12,59,64,11,9,9,13,18,50,15,24.3642797088182,1.31576379141465,0.359541766426146,3.65955756543495,0.000252651084368645,0.0399001564351074,"CvsHigh"
"92","Montipora_capitata_PredGene_adi2mcaRNA25316_R5","GO:0000786",0.0325073161329042,0.997212683401842,2,29,"nucleosome","CC",681,79,12,59,64,11,9,9,13,18,50,15,24.3642797088182,1.23577479479792,0.340054713670907,3.63404694926198,0.000279010057012178,0.0449952101356858,"CvsMid"
"128","Montipora_capitata_PredGene_adi2mcaRNA4923_R2","GO:1990124",0.00459788880895489,0.999866913748727,2,14,"messenger ribonucleoprotein complex","CC",1809,8,647,76,103,325,693,544,299,546,18,867,461.938830677653,-4.46635203874297,0.527000218545759,-8.47504779232869,2.34983048780621e-17,5.72552982857469e-14,"CvsMid"
"129","Montipora_capitata_PredGene_adi2mcaRNA4923_R2","GO:1990124",0.00459788880895489,0.999866913748727,2,14,"messenger ribonucleoprotein complex","CC",1809,8,647,76,103,325,693,544,299,546,18,867,461.938830677653,-4.72041191506315,0.567271002270047,-8.32126425671944,8.70299723536133e-17,2.47397201410538e-13,"CvsHigh"
"140","Montipora_capitata_PredGene_adi2mcaRNA4923_R2","GO:0010494",0.0313280059329057,0.997346425334481,2,34,"cytoplasmic stress granule","CC",1809,8,647,76,103,325,693,544,299,546,18,867,461.938830677653,-4.46635203874297,0.527000218545759,-8.47504779232869,2.34983048780621e-17,5.72552982857469e-14,"CvsMid"
"141","Montipora_capitata_PredGene_adi2mcaRNA4923_R2","GO:0010494",0.0313280059329057,0.997346425334481,2,34,"cytoplasmic stress granule","CC",1809,8,647,76,103,325,693,544,299,546,18,867,461.938830677653,-4.72041191506315,0.567271002270047,-8.32126425671944,8.70299723536133e-17,2.47397201410538e-13,"CvsHigh"
"192","Montipora_capitata_PredGene_adi2mcaRNA5341_R0","GO:0098797",0.0218793211313671,0.998472164691982,2,33,"plasma membrane protein complex","CC",2532,11,61,22,24,21,50,35,34,27,9,79,38.6204870728771,-2.43934153989234,0.416075308061436,-5.8627404525821,4.55289601432318e-09,4.08706286422611e-06,"CvsMid"
"193","Montipora_capitata_PredGene_adi2mcaRNA5341_R0","GO:0098797",0.0218793211313671,0.998472164691982,2,33,"plasma membrane protein complex","CC",2532,11,61,22,24,21,50,35,34,27,9,79,38.6204870728771,-2.5327333068623,0.439802168352778,-5.75880131821161,8.4713340175773e-09,8.02705961132214e-06,"CvsHigh"
"260","Montipora_capitata_PredGene_g22334","GO:0000276",0.00563474583144852,0.999842385002618,2,7,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)","CC",312,1177,274,772,1057,203,310,237,260,340,584,353,427.877792455207,0.608923379644816,0.152648307806304,3.98906079206251,6.6335421175011e-05,0.0146937265397531,"CvsMid"
"428","Montipora_capitata_PredGene_g31443","GO:0031528",0.0033270934360418,0.999922584717336,2,10,"microvillus membrane","CC",816,133,144,171,145,98,114,77,104,144,62,181,127.567876354046,-1.08538323744018,0.259955577545479,-4.17526428049152,2.97640310685721e-05,0.00906527346259937,"CvsHigh"
"429","Montipora_capitata_PredGene_g31443","GO:0031528",0.0033270934360418,0.999922584717336,2,10,"microvillus membrane","CC",816,133,144,171,145,98,114,77,104,144,62,181,127.567876354046,-1.01012575443792,0.243743643575709,-4.14421373053845,3.40981614165011e-05,0.00923140065269592,"CvsMid"
"470","Montipora_capitata_PredGene_g32152","GO:0005771",0.0240532588990564,0.99824485886087,2,29,"multivesicular body","CC",1128,3394,639,1529,2372,590,597,726,788,569,1410,531,1017.2050019017,1.04145716651525,0.262916088204524,3.9611770189776,7.45812141389497e-05,0.0165202232253757,"CvsHigh"
"503","Montipora_capitata_PredGene_g36718","GO:0031528",0.0033270934360418,0.999922584717336,2,10,"microvillus membrane","CC",711,63,76,27,83,50,116,79,55,81,10,95,73.7681204268675,-1.86763135495931,0.415216999090618,-4.49796458008625,6.86071235414245e-06,0.00248970872153731,"CvsMid"
"504","Montipora_capitata_PredGene_g36718","GO:0031528",0.0033270934360418,0.999922584717336,2,10,"microvillus membrane","CC",711,63,76,27,83,50,116,79,55,81,10,95,73.7681204268675,-2.08212128142156,0.443461360247303,-4.69515828901178,2.66400353748086e-06,0.00122803363068307,"CvsHigh"
"572","Montipora_capitata_PredGene_g47600","GO:0000276",0.00563474583144852,0.999842385002618,2,7,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)","CC",201,1604,329,1269,1779,299,448,440,290,423,979,428,625.225191065038,0.81047151240387,0.209643344684832,3.86595393057813,0.000110655826425324,0.02273910572904,"CvsHigh"
"573","Montipora_capitata_PredGene_g47600","GO:0000276",0.00563474583144852,0.999842385002618,2,7,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)","CC",201,1604,329,1269,1779,299,448,440,290,423,979,428,625.225191065038,0.768820957368472,0.194653362529294,3.94969266073053,7.82516043415445e-05,0.0163810323061964,"CvsMid"
"637","Montipora_capitata_PredGene_g546","GO:0005771",0.0240532588990564,0.99824485886087,2,29,"multivesicular body","CC",3721,73,111,107,145,53,80,63,68,103,43,133,89.7292519951418,-1.09917120319562,0.303037418404449,-3.62717980169897,0.000286533771308301,0.043163854033813,"CvsHigh"
"644","Montipora_capitata_PredGene_g546","GO:0031985",0.00486671078327801,0.999857999805858,2,12,"Golgi cisterna","CC",3721,73,111,107,145,53,80,63,68,103,43,133,89.7292519951418,-1.09917120319562,0.303037418404449,-3.62717980169897,0.000286533771308301,0.043163854033813,"CvsHigh"
"706","Montipora_capitata_PredGene_g63102","GO:1990124",0.00459788880895489,0.999866913748727,2,14,"messenger ribonucleoprotein complex","CC",1923,676,2029,1284,1818,1052,2101,1756,990,1843,751,2808,1694.80006163767,-1.62812032445972,0.301484928672209,-5.40033736223645,6.65156903067049e-08,4.72704839112983e-05,"CvsMid"
"707","Montipora_capitata_PredGene_g63102","GO:1990124",0.00459788880895489,0.999866913748727,2,14,"messenger ribonucleoprotein complex","CC",1923,676,2029,1284,1818,1052,2101,1756,990,1843,751,2808,1694.80006163767,-1.87518715817811,0.325341060763531,-5.76375805063555,8.22613201357741e-09,8.02705961132214e-06,"CvsHigh"
"710","Montipora_capitata_PredGene_g63102","GO:0010494",0.0313280059329057,0.997346425334481,2,34,"cytoplasmic stress granule","CC",1923,676,2029,1284,1818,1052,2101,1756,990,1843,751,2808,1694.80006163767,-1.62812032445972,0.301484928672209,-5.40033736223645,6.65156903067049e-08,4.72704839112983e-05,"CvsMid"
"711","Montipora_capitata_PredGene_g63102","GO:0010494",0.0313280059329057,0.997346425334481,2,34,"cytoplasmic stress granule","CC",1923,676,2029,1284,1818,1052,2101,1756,990,1843,751,2808,1694.80006163767,-1.87518715817811,0.325341060763531,-5.76375805063555,8.22613201357741e-09,8.02705961132214e-06,"CvsHigh"
"780","Montipora_capitata_PredGene_g67062","GO:0098797",0.0218793211313671,0.998472164691982,2,33,"plasma membrane protein complex","CC",2532,0,47,21,16,27,37,34,37,37,19,48,34.7481775450266,-2.52361645621059,0.571474071180826,-4.41597717810029,1.00554693751764e-05,0.00350012419720427,"CvsMid"
