"","gene_id","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","length","5_2","10_2","13_2","14_2","15_2","16_2","19_2","20_2","40_2","45_2","48_2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare"
"579","Montipora_capitata_PredGene_g48239","GO:0004089",7.00887817282282e-05,0.999997428539973,4,23,"carbonate dehydratase activity","MF",1041,50,114,34,89,96,121,84,79,144,99,79,101.78252801131,-1.61859801516424,0.419506212947869,-3.85834098568019,0.000114159304154431,0.0220078617361787,"CvsMid"
"582","Montipora_capitata_PredGene_g48239","GO:0004064",3.92810004261384e-06,0.99999993885834,4,13,"arylesterase activity","MF",1041,50,114,34,89,96,121,84,79,144,99,79,101.78252801131,-1.61859801516424,0.419506212947869,-3.85834098568019,0.000114159304154431,0.0220078617361787,"CvsMid"
"603","Montipora_capitata_PredGene_g51186","GO:0004089",7.00887817282282e-05,0.999997428539973,4,23,"carbonate dehydratase activity","MF",798,4471,541,1874,6024,569,748,887,723,792,1724,518,1323.2900181037,1.3965636389616,0.374702125693522,3.72713028082441,0.000193672360611744,0.0340543895112773,"CvsHigh"
"608","Montipora_capitata_PredGene_g51186","GO:0004064",3.92810004261384e-06,0.99999993885834,4,13,"arylesterase activity","MF",798,4471,541,1874,6024,569,748,887,723,792,1724,518,1323.2900181037,1.3965636389616,0.374702125693522,3.72713028082441,0.000193672360611744,0.0340543895112773,"CvsHigh"
"619","Montipora_capitata_PredGene_g51187","GO:0004089",7.00887817282282e-05,0.999997428539973,4,23,"carbonate dehydratase activity","MF",783,2948,498,1167,2886,390,515,619,484,510,1318,468,869.495456393864,1.14828453083056,0.29641570652593,3.87389907332765,0.000107107784473112,0.0222784191704073,"CvsHigh"
"620","Montipora_capitata_PredGene_g51187","GO:0004064",3.92810004261384e-06,0.99999993885834,4,13,"arylesterase activity","MF",783,2948,498,1167,2886,390,515,619,484,510,1318,468,869.495456393864,1.14828453083056,0.29641570652593,3.87389907332765,0.000107107784473112,0.0222784191704073,"CvsHigh"
"798","Montipora_capitata_PredGene_g9676","GO:0005200",0.000708937443304743,0.999948767581069,4,51,"structural constituent of cytoskeleton","MF",555,42,66,17,42,27,34,21,41,36,8,45,37.202902028934,-1.8045899668721,0.421388734291401,-4.28248270544455,1.84819501153467e-05,0.00573142074849734,"CvsMid"
"23","Montipora_capitata_PredGene_adi2mcaRNA10298_R0","GO:0003725",0.0083117296560036,0.99921181433179,3,51,"double-stranded RNA binding","MF",1770,3202,1031,3368,4701,795,1221,931,730,1115,1941,1338,1555.02669736155,0.625802440730696,0.17378851955007,3.60094235425256,0.000317065877700654,0.0482240776358442,"CvsMid"
"108","Montipora_capitata_PredGene_adi2mcaRNA3796_R3","GO:0003725",0.0083117296560036,0.99921181433179,3,51,"double-stranded RNA binding","MF",1311,310,607,670,194,265,452,334,674,560,127,878,502.33038044213,-1.77806972826932,0.425181026425203,-4.18191221564803,2.89067584750406e-05,0.00809420291076694,"CvsMid"
"109","Montipora_capitata_PredGene_adi2mcaRNA3796_R3","GO:0003725",0.0083117296560036,0.99921181433179,3,51,"double-stranded RNA binding","MF",1311,310,607,670,194,265,452,334,674,560,127,878,502.33038044213,-1.82535909691005,0.45870695784242,-3.97935777014553,6.91016856655339e-05,0.0163694215376576,"CvsHigh"
"234","Montipora_capitata_PredGene_g12169","GO:0008201",0.0155177074516328,0.998132917692444,3,66,"heparin binding","MF",2115,19,48,24,36,26,31,31,45,36,20,53,37.1305150601787,-1.54997666069958,0.321551385617445,-4.82030782645613,1.43336875077624e-06,0.000719045218036458,"CvsHigh"
"235","Montipora_capitata_PredGene_g12169","GO:0008201",0.0155177074516328,0.998132917692444,3,66,"heparin binding","MF",2115,19,48,24,36,26,31,31,45,36,20,53,37.1305150601787,-1.84217616972498,0.301260288545527,-6.11489877613452,9.66182722485354e-10,1.09861416764735e-06,"CvsMid"
"237","Montipora_capitata_PredGene_g13046","GO:0016829",0.0043042152309689,0.999682332050127,3,38,"lyase activity","MF",2679,643,243,449,842,53,63,84,162,122,193,45,203.349467885992,1.82144765885357,0.481588566644661,3.78216549355401,0.000155469939852966,0.0294632810459133,"CvsHigh"
"269","Montipora_capitata_PredGene_g23310","GO:0008137",0.00323736537907427,0.99979391285702,3,21,"NADH dehydrogenase (ubiquinone) activity","MF",624,1751,471,1496,1906,325,531,477,413,437,901,498,702.883996721443,0.723467223105343,0.174427221303114,4.14767384184906,3.35870420784495e-05,0.00975865908591308,"CvsHigh"
"290","Montipora_capitata_PredGene_g2532","GO:0009055",0.0150950241482693,0.998216358479058,3,52,"electron transfer activity","MF",858,2061,744,1981,2930,506,665,682,564,820,1550,667,1020.89736428074,0.685400482557954,0.180008006382077,3.80761109649286,0.000140315708374889,0.0271957354777512,"CvsHigh"
"308","Montipora_capitata_PredGene_g27065","GO:0003725",0.0083117296560036,0.99921181433179,3,51,"double-stranded RNA binding","MF",837,8,14,9,7,12,11,6,13,15,0,12,11.0721378425775,-2.22099419879638,0.551912297914619,-4.02417957923446,5.71742787446175e-05,0.0133653026475754,"CvsMid"
"475","Montipora_capitata_PredGene_g32748","GO:0008137",0.00323736537907427,0.99979391285702,3,21,"NADH dehydrogenase (ubiquinone) activity","MF",567,1665,364,1491,2070,321,577,530,294,419,1549,548,744.431063691277,0.923254904804532,0.255511197993962,3.61336376664928,0.000302250193938004,0.0477331417389499,"CvsMid"
"480","Montipora_capitata_PredGene_g33208","GO:0008201",0.0155177074516328,0.998132917692444,3,66,"heparin binding","MF",375,3694,1025,3426,5323,701,1084,1024,861,1229,4045,1468,1800.91825461499,0.975340164404646,0.207054672682574,4.71054408851664,2.47056345740051e-06,0.00100328405546245,"CvsMid"
"481","Montipora_capitata_PredGene_g33208","GO:0008201",0.0155177074516328,0.998132917692444,3,66,"heparin binding","MF",375,3694,1025,3426,5323,701,1084,1024,861,1229,4045,1468,1800.91825461499,0.885544094939295,0.223315626465115,3.96543721080634,7.32615363670225e-05,0.0165202232253757,"CvsHigh"
"518","Montipora_capitata_PredGene_g41405","GO:0016829",0.0043042152309689,0.999682332050127,3,38,"lyase activity","MF",1011,1141,120,258,1700,137,101,263,147,116,525,42,309.895601890962,2.42009661688358,0.541965824571222,4.46540447231751,7.99176253378597e-06,0.00302905559502786,"CvsHigh"
"520","Montipora_capitata_PredGene_g41994","GO:0016829",0.0043042152309689,0.999682332050127,3,38,"lyase activity","MF",570,7,11,11,14,7,31,18,9,11,0,39,15.7534197595877,-2.71249215193627,0.652797176494673,-4.15518364601628,3.25026373967486e-05,0.00972570146384113,"CvsHigh"
"546","Montipora_capitata_PredGene_g44164","GO:0009055",0.0150950241482693,0.998216358479058,3,52,"electron transfer activity","MF",963,1912,432,1267,1546,395,403,344,365,513,982,453,660.098486436166,0.764288253617171,0.194781435871369,3.92382492817178,8.71540812264341e-05,0.0190576924281803,"CvsHigh"
"658","Montipora_capitata_PredGene_g55802","GO:0009055",0.0150950241482693,0.998216358479058,3,52,"electron transfer activity","MF",924,1533,374,1273,1611,294,329,341,341,412,580,341,557.221122506601,0.864332260152626,0.213994850393917,4.03903298869847,5.36720170362484e-05,0.0136631331726903,"CvsHigh"
"677","Montipora_capitata_PredGene_g61994","GO:0008137",0.00323736537907427,0.99979391285702,3,21,"NADH dehydrogenase (ubiquinone) activity","MF",245,480,105,413,563,83,146,123,99,142,391,151,203.198645460427,0.926078463079797,0.186972763940665,4.95301263971091,7.30732262035815e-07,0.000366569690037731,"CvsMid"
"678","Montipora_capitata_PredGene_g61994","GO:0008137",0.00323736537907427,0.99979391285702,3,21,"NADH dehydrogenase (ubiquinone) activity","MF",245,480,105,413,563,83,146,123,99,142,391,151,203.198645460427,0.798911223107039,0.198444685026075,4.02586354480628,5.67666025635855e-05,0.0142383996077134,"CvsHigh"
"740","Montipora_capitata_PredGene_g67062","GO:0008201",0.0155177074516328,0.998132917692444,3,66,"heparin binding","MF",2532,0,47,21,16,27,37,34,37,37,19,48,34.7481775450266,-2.52361645621059,0.571474071180826,-4.41597717810029,1.00554693751764e-05,0.00350012419720427,"CvsMid"
"741","Montipora_capitata_PredGene_g67062","GO:0008201",0.0155177074516328,0.998132917692444,3,66,"heparin binding","MF",2532,0,47,21,16,27,37,34,37,37,19,48,34.7481775450266,-2.31168186366529,0.612485417669534,-3.77426432854692,0.000160480535087214,0.0300786374334892,"CvsHigh"
"32","Montipora_capitata_PredGene_adi2mcaRNA13127_R1","GO:0016922",0.0201947685395331,0.998657098596811,2,29,"nuclear receptor binding","MF",2352,7,32,10,12,18,25,15,23,28,0,30,21.3763127182388,-2.85661826116617,0.472445476233012,-6.04645065911749,1.48071550837306e-09,1.68367224738739e-06,"CvsHigh"
"33","Montipora_capitata_PredGene_adi2mcaRNA13127_R1","GO:0016922",0.0201947685395331,0.998657098596811,2,29,"nuclear receptor binding","MF",2352,7,32,10,12,18,25,15,23,28,0,30,21.3763127182388,-2.89852247830336,0.452330498605317,-6.40797489278404,1.4746518493444e-10,2.0083389729596e-07,"CvsMid"
"122","Montipora_capitata_PredGene_adi2mcaRNA4923_R2","GO:0008143",0.015628374566083,0.999107815053229,2,22,"poly(A) binding","MF",1809,8,647,76,103,325,693,544,299,546,18,867,461.938830677653,-4.46635203874297,0.527000218545759,-8.47504779232869,2.34983048780621e-17,5.72552982857469e-14,"CvsMid"
"123","Montipora_capitata_PredGene_adi2mcaRNA4923_R2","GO:0008143",0.015628374566083,0.999107815053229,2,22,"poly(A) binding","MF",1809,8,647,76,103,325,693,544,299,546,18,867,461.938830677653,-4.72041191506315,0.567271002270047,-8.32126425671944,8.70299723536133e-17,2.47397201410538e-13,"CvsHigh"
"124","Montipora_capitata_PredGene_adi2mcaRNA4923_R2","GO:0008494",0.00175540540923807,0.999973008506115,2,7,"translation activator activity","MF",1809,8,647,76,103,325,693,544,299,546,18,867,461.938830677653,-4.46635203874297,0.527000218545759,-8.47504779232869,2.34983048780621e-17,5.72552982857469e-14,"CvsMid"
"125","Montipora_capitata_PredGene_adi2mcaRNA4923_R2","GO:0008494",0.00175540540923807,0.999973008506115,2,7,"translation activator activity","MF",1809,8,647,76,103,325,693,544,299,546,18,867,461.938830677653,-4.72041191506315,0.567271002270047,-8.32126425671944,8.70299723536133e-17,2.47397201410538e-13,"CvsHigh"
"138","Montipora_capitata_PredGene_adi2mcaRNA4923_R2","GO:0003730",0.0411518388619281,0.995941714788413,2,38,"mRNA 3'-UTR binding","MF",1809,8,647,76,103,325,693,544,299,546,18,867,461.938830677653,-4.46635203874297,0.527000218545759,-8.47504779232869,2.34983048780621e-17,5.72552982857469e-14,"CvsMid"
"139","Montipora_capitata_PredGene_adi2mcaRNA4923_R2","GO:0003730",0.0411518388619281,0.995941714788413,2,38,"mRNA 3'-UTR binding","MF",1809,8,647,76,103,325,693,544,299,546,18,867,461.938830677653,-4.72041191506315,0.567271002270047,-8.32126425671944,8.70299723536133e-17,2.47397201410538e-13,"CvsHigh"
"142","Montipora_capitata_PredGene_adi2mcaRNA4923_R2","GO:0008266",0.0136243840811937,0.999278822384173,2,21,"poly(U) RNA binding","MF",1809,8,647,76,103,325,693,544,299,546,18,867,461.938830677653,-4.46635203874297,0.527000218545759,-8.47504779232869,2.34983048780621e-17,5.72552982857469e-14,"CvsMid"
"143","Montipora_capitata_PredGene_adi2mcaRNA4923_R2","GO:0008266",0.0136243840811937,0.999278822384173,2,21,"poly(U) RNA binding","MF",1809,8,647,76,103,325,693,544,299,546,18,867,461.938830677653,-4.72041191506315,0.567271002270047,-8.32126425671944,8.70299723536133e-17,2.47397201410538e-13,"CvsHigh"
"199","Montipora_capitata_PredGene_adi2mcaRNA6174_R8","GO:0032217",0.0103581744363949,0.999528766317433,2,19,"riboflavin transmembrane transporter activity","MF",1623,43,37,36,29,24,34,30,31,46,20,32,34.6054495269257,-1.18945257083238,0.292990266525784,-4.05969995159448,4.91358156876931e-05,0.0119722924624185,"CvsMid"
"205","Montipora_capitata_PredGene_adi2mcaRNA9790_R0","GO:0008171",0.000845975321921354,0.999991497733277,2,6,"O-methyltransferase activity","MF",615,1145,318,1101,1360,270,399,336,295,390,941,468,545.711281752164,0.585538870655786,0.159438872162525,3.67249757047274,0.00024019143555392,0.0390162392838824,"CvsHigh"
"206","Montipora_capitata_PredGene_adi2mcaRNA9790_R0","GO:0008171",0.000845975321921354,0.999991497733277,2,6,"O-methyltransferase activity","MF",615,1145,318,1101,1360,270,399,336,295,390,941,468,545.711281752164,0.649596725341177,0.148815333129939,4.36511958599035,1.27053231833157e-05,0.00433403984429265,"CvsMid"
"208","Montipora_capitata_PredGene_g12169","GO:0050839",0.0263048370740886,0.997971090743194,2,34,"cell adhesion molecule binding","MF",2115,19,48,24,36,26,31,31,45,36,20,53,37.1305150601787,-1.54997666069958,0.321551385617445,-4.82030782645613,1.43336875077624e-06,0.000719045218036458,"CvsHigh"
"209","Montipora_capitata_PredGene_g12169","GO:0050839",0.0263048370740886,0.997971090743194,2,34,"cell adhesion molecule binding","MF",2115,19,48,24,36,26,31,31,45,36,20,53,37.1305150601787,-1.84217616972498,0.301260288545527,-6.11489877613452,9.66182722485354e-10,1.09861416764735e-06,"CvsMid"
"236","Montipora_capitata_PredGene_g13046","GO:0008171",0.000845975321921354,0.999991497733277,2,6,"O-methyltransferase activity","MF",2679,643,243,449,842,53,63,84,162,122,193,45,203.349467885992,1.82144765885357,0.481588566644661,3.78216549355401,0.000155469939852966,0.0294632810459133,"CvsHigh"
"238","Montipora_capitata_PredGene_g15708","GO:0046933",0.00596646981951797,0.999812501344131,2,10,"proton-transporting ATP synthase activity, rotational mechanism","MF",732,1937,507,1754,2159,446,618,592,407,622,1435,616,858.18051207082,0.638201279159489,0.175645221136825,3.63346793626875,0.000279637211209117,0.0449952101356858,"CvsMid"
"239","Montipora_capitata_PredGene_g15708","GO:0046933",0.00596646981951797,0.999812501344131,2,10,"proton-transporting ATP synthase activity, rotational mechanism","MF",732,1937,507,1754,2159,446,618,592,407,622,1435,616,858.18051207082,0.689084152666435,0.189258046279614,3.64097678387934,0.000271605630052586,0.0421136875106991,"CvsHigh"
"249","Montipora_capitata_PredGene_g17706","GO:0030331",0.0283352023268945,0.997732139683078,2,32,"estrogen receptor binding","MF",468,433,112,441,521,92,156,141,99,148,352,164,204.8838506533,0.723567900052907,0.18799956696469,3.8487742910004,0.000118710323623853,0.0220078617361787,"CvsMid"
"262","Montipora_capitata_PredGene_g22334","GO:0015078",0.0187195251548079,0.998843633393558,2,18,"proton transmembrane transporter activity","MF",312,1177,274,772,1057,203,310,237,260,340,584,353,427.877792455207,0.608923379644816,0.152648307806304,3.98906079206251,6.6335421175011e-05,0.0146937265397531,"CvsMid"
"267","Montipora_capitata_PredGene_g23310","GO:0051539",0.033103424677617,0.997111593133261,2,34,"4 iron, 4 sulfur cluster binding","MF",624,1751,471,1496,1906,325,531,477,413,437,901,498,702.883996721443,0.723467223105343,0.174427221303114,4.14767384184906,3.35870420784495e-05,0.00975865908591308,"CvsHigh"
"285","Montipora_capitata_PredGene_g2532","GO:0051539",0.033103424677617,0.997111593133261,2,34,"4 iron, 4 sulfur cluster binding","MF",858,2061,744,1981,2930,506,665,682,564,820,1550,667,1020.89736428074,0.685400482557954,0.180008006382077,3.80761109649286,0.000140315708374889,0.0271957354777512,"CvsHigh"
"334","Montipora_capitata_PredGene_g29986","GO:0052689",0.0114926409135474,0.99944153259056,2,22,"carboxylic ester hydrolase activity","MF",924,11,31,0,21,49,83,51,51,65,11,75,50.0495870981751,-3.66956557693475,0.560377952390625,-6.54837607596808,5.81660939094884e-11,1.10231210857804e-07,"CvsHigh"
"335","Montipora_capitata_PredGene_g29986","GO:0052689",0.0114926409135474,0.99944153259056,2,22,"carboxylic ester hydrolase activity","MF",924,11,31,0,21,49,83,51,51,65,11,75,50.0495870981751,-3.37116368580504,0.528715934636078,-6.37613407306412,1.81613950125194e-10,2.21257680952522e-07,"CvsMid"
"396","Montipora_capitata_PredGene_g31443","GO:0030331",0.0283352023268945,0.997732139683078,2,32,"estrogen receptor binding","MF",816,133,144,171,145,98,114,77,104,144,62,181,127.567876354046,-1.08538323744018,0.259955577545479,-4.17526428049152,2.97640310685721e-05,0.00906527346259937,"CvsHigh"
"397","Montipora_capitata_PredGene_g31443","GO:0030331",0.0283352023268945,0.997732139683078,2,32,"estrogen receptor binding","MF",816,133,144,171,145,98,114,77,104,144,62,181,127.567876354046,-1.01012575443792,0.243743643575709,-4.14421373053845,3.40981614165011e-05,0.00923140065269592,"CvsMid"
"489","Montipora_capitata_PredGene_g3562","GO:0052689",0.0114926409135474,0.99944153259056,2,22,"carboxylic ester hydrolase activity","MF",1660,184,35,92,147,18,30,35,34,31,181,33,61.0354791885978,1.47239485525273,0.383116680769682,3.84320216048721,0.000121439354431863,0.0243678779904689,"CvsHigh"
"526","Montipora_capitata_PredGene_g43715","GO:0004013",0.000461334814555791,0.999997299255581,2,4,"adenosylhomocysteinase activity","MF",513,633,640,647,581,267,439,428,364,531,304,789,514.504239209492,-0.988859316116855,0.249553258404314,-3.96251815119461,7.41633667121456e-05,0.0165202232253757,"CvsHigh"
"527","Montipora_capitata_PredGene_g43715","GO:0004013",0.000461334814555791,0.999997299255581,2,4,"adenosylhomocysteinase activity","MF",513,633,640,647,581,267,439,428,364,531,304,789,514.504239209492,-0.901570937230578,0.231854236248357,-3.88852475511742,0.00010085538490944,0.0203825458908383,"CvsMid"
"534","Montipora_capitata_PredGene_g43717","GO:0004013",0.000461334814555791,0.999997299255581,2,4,"adenosylhomocysteinase activity","MF",1092,155,197,168,200,124,208,158,185,201,63,264,186.717936654332,-1.52943072875012,0.225631527616109,-6.7784442400811,1.21476842027109e-11,2.58988627201797e-08,"CvsHigh"
"535","Montipora_capitata_PredGene_g43717","GO:0004013",0.000461334814555791,0.999997299255581,2,4,"adenosylhomocysteinase activity","MF",1092,155,197,168,200,124,208,158,185,201,63,264,186.717936654332,-1.47623288869408,0.211413758235278,-6.98267180441117,2.89618454529632e-12,4.9397323604574e-09,"CvsMid"
"566","Montipora_capitata_PredGene_g47600","GO:0015078",0.0187195251548079,0.998843633393558,2,18,"proton transmembrane transporter activity","MF",201,1604,329,1269,1779,299,448,440,290,423,979,428,625.225191065038,0.81047151240387,0.209643344684832,3.86595393057813,0.000110655826425324,0.02273910572904,"CvsHigh"
"567","Montipora_capitata_PredGene_g47600","GO:0015078",0.0187195251548079,0.998843633393558,2,18,"proton transmembrane transporter activity","MF",201,1604,329,1269,1779,299,448,440,290,423,979,428,625.225191065038,0.768820957368472,0.194653362529294,3.94969266073053,7.82516043415445e-05,0.0163810323061964,"CvsMid"
"570","Montipora_capitata_PredGene_g47600","GO:0046933",0.00596646981951797,0.999812501344131,2,10,"proton-transporting ATP synthase activity, rotational mechanism","MF",201,1604,329,1269,1779,299,448,440,290,423,979,428,625.225191065038,0.81047151240387,0.209643344684832,3.86595393057813,0.000110655826425324,0.02273910572904,"CvsHigh"
"571","Montipora_capitata_PredGene_g47600","GO:0046933",0.00596646981951797,0.999812501344131,2,10,"proton-transporting ATP synthase activity, rotational mechanism","MF",201,1604,329,1269,1779,299,448,440,290,423,979,428,625.225191065038,0.768820957368472,0.194653362529294,3.94969266073053,7.82516043415445e-05,0.0163810323061964,"CvsMid"
"575","Montipora_capitata_PredGene_g48085","GO:0071949",0.0367527017480922,0.996584525837561,2,40,"FAD binding","MF",1536,2026,833,2036,2293,497,587,647,559,716,1262,844,969.694294375853,0.538820440813931,0.144909264499989,3.7183298298638,0.00020054431710807,0.034902896659135,"CvsHigh"
"630","Montipora_capitata_PredGene_g53226","GO:0032217",0.0103581744363949,0.999528766317433,2,19,"riboflavin transmembrane transporter activity","MF",1377,660,142,423,530,88,121,122,145,145,330,138,213.545452508858,0.710090346461396,0.185801712815271,3.82176426525941,0.000132500321086476,0.0237886892257993,"CvsMid"
"631","Montipora_capitata_PredGene_g53226","GO:0032217",0.0103581744363949,0.999528766317433,2,19,"riboflavin transmembrane transporter activity","MF",1377,660,142,423,530,88,121,122,145,145,330,138,213.545452508858,0.969939273942068,0.200731261014715,4.83202899757087,1.3514856407974e-06,0.000719045218036458,"CvsHigh"
"661","Montipora_capitata_PredGene_g56282","GO:0019894",0.0450796368521339,0.995296531030317,2,46,"kinesin binding","MF",1761,51,43,51,56,33,62,48,52,47,32,58,50.9054367734939,-1.11354827429644,0.257273341657997,-4.32826917519001,1.50285726805848e-05,0.00545377309872457,"CvsHigh"
"662","Montipora_capitata_PredGene_g56282","GO:0019894",0.0450796368521339,0.995296531030317,2,46,"kinesin binding","MF",1761,51,43,51,56,33,62,48,52,47,32,58,50.9054367734939,-1.15398876748854,0.244098678489437,-4.72755024578502,2.27244841565362e-06,0.000945338540911905,"CvsMid"
"690","Montipora_capitata_PredGene_g63093","GO:0050839",0.0263048370740886,0.997971090743194,2,34,"cell adhesion molecule binding","MF",1560,19,14,12,12,16,21,20,17,22,0,22,17.8346684624415,-1.96359340122121,0.53082981678128,-3.69910155598941,0.0002163640195069,0.0365376704624722,"CvsHigh"
"691","Montipora_capitata_PredGene_g63093","GO:0050839",0.0263048370740886,0.997971090743194,2,34,"cell adhesion molecule binding","MF",1560,19,14,12,12,16,21,20,17,22,0,22,17.8346684624415,-1.99304080419224,0.502440397127628,-3.9667208599988,7.28682509058803e-05,0.0155355110931337,"CvsMid"
"700","Montipora_capitata_PredGene_g63102","GO:0008143",0.015628374566083,0.999107815053229,2,22,"poly(A) binding","MF",1923,676,2029,1284,1818,1052,2101,1756,990,1843,751,2808,1694.80006163767,-1.62812032445972,0.301484928672209,-5.40033736223645,6.65156903067049e-08,4.72704839112983e-05,"CvsMid"
"701","Montipora_capitata_PredGene_g63102","GO:0008143",0.015628374566083,0.999107815053229,2,22,"poly(A) binding","MF",1923,676,2029,1284,1818,1052,2101,1756,990,1843,751,2808,1694.80006163767,-1.87518715817811,0.325341060763531,-5.76375805063555,8.22613201357741e-09,8.02705961132214e-06,"CvsHigh"
"708","Montipora_capitata_PredGene_g63102","GO:0003730",0.0411518388619281,0.995941714788413,2,38,"mRNA 3'-UTR binding","MF",1923,676,2029,1284,1818,1052,2101,1756,990,1843,751,2808,1694.80006163767,-1.62812032445972,0.301484928672209,-5.40033736223645,6.65156903067049e-08,4.72704839112983e-05,"CvsMid"
