"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","5_2","10_2","13_2","14_2","15_2","16_2","19_2","20_2","40_2","45_2","48_2"
"Montipora_capitata_PredGene_adi2mcaRNA9790_R0",545.711281752164,0.649596725341177,0.148815333129939,4.36511958599035,1.27053231833157e-05,0.00433403984429265,"CvsMid",1145,318,1101,1360,270,399,336,295,390,941,468
"Montipora_capitata_PredGene_g6322",491.889637781014,0.579370992329777,0.141727000800684,4.08793658975801,4.35227071229959e-05,0.0111686762807594,"CvsMid",1083,307,1011,1181,244,335,330,269,350,815,395
"Montipora_capitata_PredGene_g62662",607.926471555564,-0.56957696914895,0.146541700411286,-3.88679104685129,0.000101578119179248,0.0203825458908383,"CvsMid",806,587,892,962,460,523,391,486,605,484,650
"Montipora_capitata_PredGene_g47600",625.225191065038,0.768820957368472,0.194653362529294,3.94969266073053,7.82516043415445e-05,0.0163810323061964,"CvsMid",1604,329,1269,1779,299,448,440,290,423,979,428
"Montipora_capitata_PredGene_g33707",28.5495877647328,-1.2602487194421,0.327371019031709,-3.84960380173431,0.000118309038496716,0.0220078617361787,"CvsMid",38,31,23,19,19,25,24,25,34,18,41
"Montipora_capitata_PredGene_g23209",987.955318921618,1.0990256363838,0.241452199660267,4.55173172135177,5.32061540485431e-06,0.00206246400784534,"CvsMid",1984,441,2220,2837,460,529,569,437,580,2498,674
"Montipora_capitata_PredGene_adi2mcaRNA9177_R0",230.139824834375,1.1125834418097,0.267919859832617,4.15267252866134,3.28614829256142e-05,0.00904008794805284,"CvsMid",678,107,407,784,61,154,123,145,121,391,212
"Montipora_capitata_PredGene_g18352",91.6285535103079,1.45820874850519,0.2837943979955,5.13825769220544,2.77297452765323e-07,0.00016308915015053,"CvsMid",220,38,226,307,35,45,53,28,39,242,55
"Montipora_capitata_PredGene_g48239",101.78252801131,-1.61859801516424,0.419506212947869,-3.85834098568019,0.000114159304154431,0.0220078617361787,"CvsMid",50,114,34,89,96,121,84,79,144,99,79
"Montipora_capitata_PredGene_g27065",11.0721378425775,-2.22099419879638,0.551912297914619,-4.02417957923446,5.71742787446175e-05,0.0133653026475754,"CvsMid",8,14,9,7,12,11,6,13,15,0,12
"Montipora_capitata_PredGene_adi2mcaRNA26986_R0",195.724422655658,0.777896979261678,0.190677563585501,4.07964610326512,4.51043144001772e-05,0.0113132233295503,"CvsMid",540,122,448,414,90,121,94,107,189,291,155
"Montipora_capitata_PredGene_g71443",14.1256988552797,-2.62741229641215,0.484379517409465,-5.42428447524774,5.81871502862579e-08,4.31495667514093e-05,"CvsMid",9,17,6,10,14,11,16,15,16,0,19
"Montipora_capitata_PredGene_g1833",657.483955752354,0.782209209872089,0.189391297005482,4.1301222508099,3.62570382694813e-05,0.00966250069881677,"CvsMid",1466,350,1290,1704,289,439,440,304,560,1193,527
"Montipora_capitata_PredGene_g29986",50.0495870981751,-3.37116368580504,0.528715934636078,-6.37613407306412,1.81613950125194e-10,2.21257680952522e-07,"CvsMid",11,31,0,21,49,83,51,51,65,11,75
"Montipora_capitata_PredGene_g45462",33.608572376504,-1.38402036103515,0.35916780136885,-3.85340878486437,0.000116484670788599,0.0220078617361787,"CvsMid",45,28,21,24,21,23,39,32,42,20,51
"Montipora_capitata_PredGene_g33968",37.5835298306989,2.07553285835009,0.483757204153511,4.29044330612483,1.78316805525307e-05,0.00563216932414749,"CvsMid",143,11,57,77,11,13,12,13,18,160,15
"Montipora_capitata_PredGene_adi2mcaRNA6174_R8",34.6054495269257,-1.18945257083238,0.292990266525784,-4.05969995159448,4.91358156876931e-05,0.0119722924624185,"CvsMid",43,37,36,29,24,34,30,31,46,20,32
"Montipora_capitata_PredGene_g42570",44.6175336951533,1.01994113368986,0.266130738034792,3.83248151349027,0.000126857134751334,0.0232653257023521,"CvsMid",143,25,90,128,18,24,26,22,30,81,25
"Montipora_capitata_PredGene_adi2mcaRNA26720_R3",548.673358547113,1.02894117474215,0.276678783707209,3.71890161202604,0.000200090964256231,0.0344722372359018,"CvsMid",1637,234,987,2350,248,292,379,270,273,818,273
"Montipora_capitata_PredGene_g37834",47.4544066068938,1.44990785208667,0.297725856589655,4.8699426670389,1.11630633773563e-06,0.000514587051254564,"CvsMid",99,21,147,145,21,34,15,19,31,102,27
"Montipora_capitata_PredGene_adi2mcaRNA25316_R5",24.3642797088182,1.23577479479792,0.340054713670907,3.63404694926198,0.000279010057012178,0.0449952101356858,"CvsMid",79,12,59,64,11,9,9,13,18,50,15
"Montipora_capitata_PredGene_adi2mcaRNA25316_R4",40.5611100083613,1.81223075203382,0.399501583183967,4.53622921238664,5.72689378051336e-06,0.0021706200071208,"CvsMid",236,11,90,113,13,15,18,17,18,71,15
"Montipora_capitata_PredGene_g18784",3906.8946893921,2.94860571746549,0.383719067616053,7.68428250330225,1.53856818633901e-14,3.28022737327478e-11,"CvsMid",14982,426,13843,23132,948,1560,1008,544,799,6991,1156
"Montipora_capitata_PredGene_g18788",356.44462098112,3.92586410120646,0.938846197162403,4.18158385587768,2.89485446503743e-05,0.00809420291076694,"CvsMid",554,59,2269,69,47,19,20,32,42,2100,99
"Montipora_capitata_PredGene_g12169",37.1305150601787,-1.84217616972498,0.301260288545527,-6.11489877613452,9.66182722485354e-10,1.09861416764735e-06,"CvsMid",19,48,24,36,26,31,31,45,36,20,53
"Montipora_capitata_PredGene_g3095",446.954944579587,1.9497582796828,0.495977273486411,3.93114439695434,8.45424735642172e-05,0.0173729690254372,"CvsMid",939,213,618,1385,110,301,197,82,124,2027,163
"Montipora_capitata_PredGene_g3096",1614.08001846609,1.65716099823368,0.459812061253065,3.6039963669453,0.000313361437341943,0.0481503844621999,"CvsMid",2671,857,3069,5692,401,1105,888,303,430,5660,1192
"Montipora_capitata_PredGene_adi2mcaRNA4923_R2",461.938830677653,-4.46635203874297,0.527000218545759,-8.47504779232869,2.34983048780621e-17,5.72552982857469e-14,"CvsMid",8,647,76,103,325,693,544,299,546,18,867
"Montipora_capitata_PredGene_g44936",17.8717819624003,-2.19750511362951,0.419423693115395,-5.23934424711891,1.61148187092316e-07,0.000105713210732559,"CvsMid",9,15,8,9,13,16,15,25,26,9,26
"Montipora_capitata_PredGene_g41469",235.857112073607,-0.833922722902318,0.192287440619425,-4.33685486798285,1.44535990725086e-05,0.00465133180718313,"CvsMid",357,242,319,280,153,189,240,189,202,160,263
"Montipora_capitata_PredGene_g43717",186.717936654332,-1.47623288869408,0.211413758235278,-6.98267180441117,2.89618454529632e-12,4.9397323604574e-09,"CvsMid",155,197,168,200,124,208,158,185,201,63,264
"Montipora_capitata_PredGene_g56247",342.382743021224,1.0474040067236,0.275685607372954,3.79926981573124,0.000145123029961647,0.0255177154538748,"CvsMid",582,195,835,836,126,197,204,153,206,911,260
"Montipora_capitata_PredGene_g64596",3559.31996450897,0.794641824895264,0.197472741547746,4.02405830124728,5.720374608777e-05,0.0133653026475754,"CvsMid",7775,2041,6465,9255,1481,2244,2320,1699,2706,7127,3158
"Montipora_capitata_PredGene_g26775",25.5999612610378,-1.74308342251578,0.390618889485119,-4.46236336602504,8.10606155846567e-06,0.0028803538737748,"CvsMid",24,29,13,25,11,32,21,38,29,9,27
"Montipora_capitata_PredGene_adi2mcaRNA34317_R1",59.4359417762718,-1.18371753253975,0.23946198954909,-4.9432376919974,7.68357089092152e-07,0.00037443138604445,"CvsMid",66,70,58,77,37,48,68,50,48,37,72
"Montipora_capitata_PredGene_adi2mcaRNA13127_R1",21.3763127182388,-2.89852247830336,0.452330498605317,-6.40797489278404,1.4746518493444e-10,2.0083389729596e-07,"CvsMid",7,32,10,12,18,25,15,23,28,0,30
"Montipora_capitata_PredGene_adi2mcaRNA39968_R0",205.397008831419,-0.645858414810529,0.158063279378024,-4.08607500332759,4.38732006807505e-05,0.0111686762807594,"CvsMid",294,183,281,276,134,196,154,166,227,137,240
"Montipora_capitata_PredGene_g15708",858.18051207082,0.638201279159489,0.175645221136825,3.63346793626875,0.000279637211209117,0.0449952101356858,"CvsMid",1937,507,1754,2159,446,618,592,407,622,1435,616
"Montipora_capitata_PredGene_g43721",63.3439453471004,3.58540157078825,0.378524144452048,9.47205514717821,2.74391098270537e-21,1.56000485736743e-17,"CvsMid",172,13,346,281,6,11,9,7,9,188,14
"Montipora_capitata_PredGene_g61994",203.198645460427,0.926078463079797,0.186972763940665,4.95301263971091,7.30732262035815e-07,0.000366569690037731,"CvsMid",480,105,413,563,83,146,123,99,142,391,151
"Montipora_capitata_PredGene_g22617",219.248918234482,0.930414808636493,0.192738707430394,4.82733759627659,1.38370445668217e-06,0.00062106482139924,"CvsMid",610,149,520,625,92,132,137,82,141,352,144
"Montipora_capitata_PredGene_g32259",25.8502593459304,-2.19753545994781,0.609104112455606,-3.60781583149789,0.000308785543444115,0.0478786020816621,"CvsMid",19,40,32,9,25,17,21,24,29,0,37
"Montipora_capitata_PredGene_g52059",36.1918559570561,-1.60100689403056,0.400133234997002,-4.00118449056739,6.30261923400541e-05,0.0141444044283153,"CvsMid",19,29,25,32,18,27,29,58,58,26,42
"Montipora_capitata_PredGene_g59067",529.697764025384,-0.981855605838823,0.272816698061975,-3.5989571489344,0.000319495823924155,0.0482240776358442,"CvsMid",543,745,744,669,364,413,252,549,524,336,620
"Montipora_capitata_PredGene_g43418",159.148642315622,0.745836513143528,0.187160377663556,3.98501286679524,6.74764692764355e-05,0.0147548546151139,"CvsMid",410,84,324,349,78,143,90,76,121,240,144
