"","gene_id","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","length","X20_T12_Mc_PWC","X21_T33_Mc_EOU","X22_ctl2_Mc_TWF_1","X28_ctl1_Mc_GBM_1","X29_T23_Mc_PND","X33_T43_Mc_RFV","X34_T22_Mc_SVS","X39_T13_Mc_FJE","X42_ctl3_Mc_MGR_1","X46_T41_Mc_QYH_1","X49_T31_Mc_SWQ","X55_T32_Mc_TWP","X56_T42_Mc_JAW","X58_T21_Mc_EAH","X61_T11_Mc_RAP","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare"
"15","Mcavernosa01252","GO:0050660",0.0309707540076524,0.997382278102247,2,59,"flavin adenine dinucleotide binding","MF",2403,90,28,23,63,81,21,80,103,32,14,19,20,57,182,46,60.0532481930039,-2.07815205376545,0.517408288717683,-4.01646455822313,5.90777438640372e-05,0.0396629316173504,"CvsT1"
"16","Mcavernosa01252","GO:0050660",0.0309707540076524,0.997382278102247,2,59,"flavin adenine dinucleotide binding","MF",2403,90,28,23,63,81,21,80,103,32,14,19,20,57,182,46,60.0532481930039,-2.69199768260755,0.515444491839361,-5.22267232500859,1.76359305833258e-07,0.000245061053194524,"CvsT2"
"39","Mcavernosa02968","GO:0009055",0.0108954554562625,0.999479650120068,2,34,"electron transfer activity","MF",1792,38,69,45,111,197,81,69,76,59,18,109,32,82,228,90,92.2075788241777,-2.38583104868871,0.624115958228142,-3.82273681234183,0.000131978625964294,0.0402566999099869,"CvsT2"
"41","Mcavernosa02968","GO:0050660",0.0309707540076524,0.997382278102247,2,59,"flavin adenine dinucleotide binding","MF",1792,38,69,45,111,197,81,69,76,59,18,109,32,82,228,90,92.2075788241777,-2.38583104868871,0.624115958228142,-3.82273681234183,0.000131978625964294,0.0402566999099869,"CvsT2"
"92","Mcavernosa09510","GO:0009055",0.0108954554562625,0.999479650120068,2,34,"electron transfer activity","MF",1733,81,47,41,97,41,65,44,62,81,35,84,89,61,66,55,62.576188560493,-1.08736157483386,0.278917169846064,-3.89851071353541,9.67861193461543e-05,0.047484759168444,"CvsT3"
"400","Mcavernosa30572","GO:0008137",0.00263301972619241,0.999942334309817,2,17,"NADH dehydrogenase (ubiquinone) activity","MF",1005,23,21,285,435,28,46,26,40,546,39,39,43,24,52,55,80.8354241079748,2.53692152780238,0.426786257639898,5.944243710731,2.77736131917406e-09,2.29765008228639e-05,"CvsT4"
"401","Mcavernosa30572","GO:0008137",0.00263301972619241,0.999942334309817,2,17,"NADH dehydrogenase (ubiquinone) activity","MF",1005,23,21,285,435,28,46,26,40,546,39,39,43,24,52,55,80.8354241079748,2.62108484345424,0.428316869575686,6.11949943986757,9.3869760369927e-10,1.71057523325541e-06,"CvsT3"
"402","Mcavernosa30572","GO:0008137",0.00263301972619241,0.999942334309817,2,17,"NADH dehydrogenase (ubiquinone) activity","MF",1005,23,21,285,435,28,46,26,40,546,39,39,43,24,52,55,80.8354241079748,2.52336795044712,0.428497658263626,5.88887220684567,3.88839968420303e-09,1.34432103053482e-05,"CvsT2"
"403","Mcavernosa30572","GO:0008137",0.00263301972619241,0.999942334309817,2,17,"NADH dehydrogenase (ubiquinone) activity","MF",1005,23,21,285,435,28,46,26,40,546,39,39,43,24,52,55,80.8354241079748,2.45473416846363,0.424001941201887,5.78944087261813,7.0621110826352e-09,1.50140481616824e-05,"CvsT1"
"412","Mcavernosa30573","GO:0008137",0.00263301972619241,0.999942334309817,2,17,"NADH dehydrogenase (ubiquinone) activity","MF",849,23,14,135,290,14,32,13,16,320,39,12,34,25,40,23,48.3775175556967,2.42937633581986,0.425734666869182,5.70631551732749,1.15447907174855e-08,2.40631921188122e-05,"CvsT2"
"413","Mcavernosa30573","GO:0008137",0.00263301972619241,0.999942334309817,2,17,"NADH dehydrogenase (ubiquinone) activity","MF",849,23,14,135,290,14,32,13,16,320,39,12,34,25,40,23,48.3775175556967,2.642152980966,0.425552325630858,6.20876170057148,5.34037312230422e-10,1.36243599096225e-06,"CvsT1"
"414","Mcavernosa30573","GO:0008137",0.00263301972619241,0.999942334309817,2,17,"NADH dehydrogenase (ubiquinone) activity","MF",849,23,14,135,290,14,32,13,16,320,39,12,34,25,40,23,48.3775175556967,1.877006535893,0.410691899248159,4.57035198242084,4.86905724777192e-06,0.00761155374257945,"CvsT4"
"415","Mcavernosa30573","GO:0008137",0.00263301972619241,0.999942334309817,2,17,"NADH dehydrogenase (ubiquinone) activity","MF",849,23,14,135,290,14,32,13,16,320,39,12,34,25,40,23,48.3775175556967,2.62160500530521,0.428284153526894,6.12118142526743,9.28840719071757e-10,1.71057523325541e-06,"CvsT3"
"7","Mcavernosa01252","GO:0052901",0.00422559493115674,1,1,1,"spermine:oxygen oxidoreductase (spermidine-forming) activity","MF",2403,90,28,23,63,81,21,80,103,32,14,19,20,57,182,46,60.0532481930039,-2.07815205376545,0.517408288717683,-4.01646455822313,5.90777438640372e-05,0.0396629316173504,"CvsT1"
"8","Mcavernosa01252","GO:0052901",0.00422559493115674,1,1,1,"spermine:oxygen oxidoreductase (spermidine-forming) activity","MF",2403,90,28,23,63,81,21,80,103,32,14,19,20,57,182,46,60.0532481930039,-2.69199768260755,0.515444491839361,-5.22267232500859,1.76359305833258e-07,0.000245061053194524,"CvsT2"
"11","Mcavernosa01252","GO:0052903",0.00422559493115674,1,1,1,"N1-acetylspermine:oxygen oxidoreductase (3-acetamidopropanal-forming) activity","MF",2403,90,28,23,63,81,21,80,103,32,14,19,20,57,182,46,60.0532481930039,-2.07815205376545,0.517408288717683,-4.01646455822313,5.90777438640372e-05,0.0396629316173504,"CvsT1"
"12","Mcavernosa01252","GO:0052903",0.00422559493115674,1,1,1,"N1-acetylspermine:oxygen oxidoreductase (3-acetamidopropanal-forming) activity","MF",2403,90,28,23,63,81,21,80,103,32,14,19,20,57,182,46,60.0532481930039,-2.69199768260755,0.515444491839361,-5.22267232500859,1.76359305833258e-07,0.000245061053194524,"CvsT2"
"13","Mcavernosa01252","GO:0052894",0.00422559493115674,1,1,1,"norspermine:oxygen oxidoreductase activity","MF",2403,90,28,23,63,81,21,80,103,32,14,19,20,57,182,46,60.0532481930039,-2.07815205376545,0.517408288717683,-4.01646455822313,5.90777438640372e-05,0.0396629316173504,"CvsT1"
"14","Mcavernosa01252","GO:0052894",0.00422559493115674,1,1,1,"norspermine:oxygen oxidoreductase activity","MF",2403,90,28,23,63,81,21,80,103,32,14,19,20,57,182,46,60.0532481930039,-2.69199768260755,0.515444491839361,-5.22267232500859,1.76359305833258e-07,0.000245061053194524,"CvsT2"
"17","Mcavernosa01252","GO:0046592",0.00921761403395423,0.999979010308408,1,2,"polyamine oxidase activity","MF",2403,90,28,23,63,81,21,80,103,32,14,19,20,57,182,46,60.0532481930039,-2.07815205376545,0.517408288717683,-4.01646455822313,5.90777438640372e-05,0.0396629316173504,"CvsT1"
"18","Mcavernosa01252","GO:0046592",0.00921761403395423,0.999979010308408,1,2,"polyamine oxidase activity","MF",2403,90,28,23,63,81,21,80,103,32,14,19,20,57,182,46,60.0532481930039,-2.69199768260755,0.515444491839361,-5.22267232500859,1.76359305833258e-07,0.000245061053194524,"CvsT2"
"19","Mcavernosa01252","GO:0052904",0.00422559493115674,1,1,1,"N1-acetylspermidine:oxygen oxidoreductase (3-acetamidopropanal-forming) activity","MF",2403,90,28,23,63,81,21,80,103,32,14,19,20,57,182,46,60.0532481930039,-2.07815205376545,0.517408288717683,-4.01646455822313,5.90777438640372e-05,0.0396629316173504,"CvsT1"
"20","Mcavernosa01252","GO:0052904",0.00422559493115674,1,1,1,"N1-acetylspermidine:oxygen oxidoreductase (3-acetamidopropanal-forming) activity","MF",2403,90,28,23,63,81,21,80,103,32,14,19,20,57,182,46,60.0532481930039,-2.69199768260755,0.515444491839361,-5.22267232500859,1.76359305833258e-07,0.000245061053194524,"CvsT2"
"24","Mcavernosa01732","GO:0036094",0.0350786868787837,0.999463301217994,1,8,"small molecule binding","MF",4318,152,136,55,107,131,89,99,119,104,61,86,60,146,195,122,117.065837293015,-1.79467512055639,0.434206366913683,-4.13323077990045,3.57699234252456e-05,0.0154254711157283,"CvsT2"
"30","Mcavernosa02339","GO:0035255",0.0339337040685974,0.999497990058881,1,8,"ionotropic glutamate receptor binding","MF",1231,159,84,190,578,44,148,65,81,358,85,89,148,94,132,105,129.019574017764,1.07151713337485,0.262199641296615,4.08664606891161,4.37653985972969e-05,0.0182443358285932,"CvsT2"
"38","Mcavernosa02621","GO:0005244",0.0356983293200588,0.999444038285108,1,8,"voltage-gated ion channel activity","MF",2097,69,42,0,31,108,62,27,26,0,15,35,47,45,52,32,43.7846153695325,-4.29135985059578,0.949815484700978,-4.51809843039861,6.23974779549939e-06,0.00433523810725085,"CvsT2"
"40","Mcavernosa02968","GO:0047865",0.0148059232597885,0.999927646808907,1,3,"dimethylglycine dehydrogenase activity","MF",1792,38,69,45,111,197,81,69,76,59,18,109,32,82,228,90,92.2075788241777,-2.38583104868871,0.624115958228142,-3.82273681234183,0.000131978625964294,0.0402566999099869,"CvsT2"
"43","Mcavernosa02968","GO:0005542",0.0200483522935589,0.999850483150814,1,4,"folic acid binding","MF",1792,38,69,45,111,197,81,69,76,59,18,109,32,82,228,90,92.2075788241777,-2.38583104868871,0.624115958228142,-3.82273681234183,0.000131978625964294,0.0402566999099869,"CvsT2"
"47","Mcavernosa03157","GO:0004698",0.0215441919564352,0.999815778161673,1,5,"calcium-dependent protein kinase C activity","MF",1357,274,139,152,300,731,246,155,401,120,120,145,206,160,231,294,267.071903947794,-2.30668169799512,0.549281470708991,-4.1994529599146,2.67560606103e-05,0.0133844517596965,"CvsT2"
"50","Mcavernosa03157","GO:0035276",0.00911092352785795,0.999979494511935,1,2,"ethanol binding","MF",1357,274,139,152,300,731,246,155,401,120,120,145,206,160,231,294,267.071903947794,-2.30668169799512,0.549281470708991,-4.1994529599146,2.67560606103e-05,0.0133844517596965,"CvsT2"
"62","Mcavernosa03157","GO:0030546",0.013898772308817,0.999936267678509,1,3,"signaling receptor activator activity","MF",1357,274,139,152,300,731,246,155,401,120,120,145,206,160,231,294,267.071903947794,-2.30668169799512,0.549281470708991,-4.1994529599146,2.67560606103e-05,0.0133844517596965,"CvsT2"
"63","Mcavernosa03157","GO:0004699",0.00911092352785795,0.999979494511935,1,2,"calcium-independent protein kinase C activity","MF",1357,274,139,152,300,731,246,155,401,120,120,145,206,160,231,294,267.071903947794,-2.30668169799512,0.549281470708991,-4.1994529599146,2.67560606103e-05,0.0133844517596965,"CvsT2"
"73","Mcavernosa03157","GO:0003785",0.0472566631304238,0.998993758800767,1,10,"actin monomer binding","MF",1357,274,139,152,300,731,246,155,401,120,120,145,206,160,231,294,267.071903947794,-2.30668169799512,0.549281470708991,-4.1994529599146,2.67560606103e-05,0.0133844517596965,"CvsT2"
"96","Mcavernosa11724","GO:0032217",0.019211729034885,0.999862750865827,1,4,"riboflavin transmembrane transporter activity","MF",407,574,372,476,808,338,496,300,321,458,461,378,494,372,504,360,437.765551457044,-0.688347847746797,0.172144527798967,-3.99866238298705,6.3701470249707e-05,0.0466918437674634,"CvsT4"
"129","Mcavernosa13005","GO:0008641",0.0145986780765393,0.999929664809453,1,3,"ubiquitin-like modifier activating enzyme activity","MF",597,70,23,117,209,52,40,45,42,130,16,30,39,36,51,50,53.9311192005941,1.25873796564157,0.291603627752727,4.31660598786841,1.58446618348196e-05,0.0152425646850965,"CvsT4"
"130","Mcavernosa13005","GO:0008641",0.0145986780765393,0.999929664809453,1,3,"ubiquitin-like modifier activating enzyme activity","MF",597,70,23,117,209,52,40,45,42,130,16,30,39,36,51,50,53.9311192005941,1.24001173319722,0.291394177728997,4.25544443908026,2.08634170593456e-05,0.0140070393688954,"CvsT3"
"135","Mcavernosa13005","GO:0019779",0.00565458694960487,1,1,1,"Atg8 activating enzyme activity","MF",597,70,23,117,209,52,40,45,42,130,16,30,39,36,51,50,53.9311192005941,1.25873796564157,0.291603627752727,4.31660598786841,1.58446618348196e-05,0.0152425646850965,"CvsT4"
"136","Mcavernosa13005","GO:0019779",0.00565458694960487,1,1,1,"Atg8 activating enzyme activity","MF",597,70,23,117,209,52,40,45,42,130,16,30,39,36,51,50,53.9311192005941,1.24001173319722,0.291394177728997,4.25544443908026,2.08634170593456e-05,0.0140070393688954,"CvsT3"
"139","Mcavernosa13005","GO:0019778",0.00565458694960487,1,1,1,"Atg12 activating enzyme activity","MF",597,70,23,117,209,52,40,45,42,130,16,30,39,36,51,50,53.9311192005941,1.25873796564157,0.291603627752727,4.31660598786841,1.58446618348196e-05,0.0152425646850965,"CvsT4"
"140","Mcavernosa13005","GO:0019778",0.00565458694960487,1,1,1,"Atg12 activating enzyme activity","MF",597,70,23,117,209,52,40,45,42,130,16,30,39,36,51,50,53.9311192005941,1.24001173319722,0.291394177728997,4.25544443908026,2.08634170593456e-05,0.0140070393688954,"CvsT3"
"159","Mcavernosa14558","GO:0015299",0.0175220740770618,0.999885913871514,1,4,"solute:proton antiporter activity","MF",2414,206,111,104,231,112,205,113,103,144,92,169,183,145,217,129,149.195413567758,-1.05065034770539,0.218054926622863,-4.81828300776041,1.44798887581662e-06,0.00153921217499306,"CvsT3"
"160","Mcavernosa14558","GO:0015299",0.0175220740770618,0.999885913871514,1,4,"solute:proton antiporter activity","MF",2414,206,111,104,231,112,205,113,103,144,92,169,183,145,217,129,149.195413567758,-0.948452579327108,0.218745521405172,-4.33587199058734,1.45183420432765e-05,0.0152425646850965,"CvsT4"
"161","Mcavernosa14558","GO:0015299",0.0175220740770618,0.999885913871514,1,4,"solute:proton antiporter activity","MF",2414,206,111,104,231,112,205,113,103,144,92,169,183,145,217,129,149.195413567758,-1.02900269275951,0.219041739249026,-4.69774708823715,2.63046868382246e-06,0.00219310942399224,"CvsT2"
"178","Mcavernosa15503","GO:0005025",0.0143942200141092,0.99993162751898,1,3,"transforming growth factor beta receptor activity, type I","MF",1002,54,46,13,28,18,57,39,23,36,15,49,64,42,78,45,41.6698066266137,-2.09934597043751,0.474278350051742,-4.42640059409939,9.58185075676447e-06,0.00814840588355251,"CvsT3"
"179","Mcavernosa15503","GO:0005025",0.0143942200141092,0.99993162751898,1,3,"transforming growth factor beta receptor activity, type I","MF",1002,54,46,13,28,18,57,39,23,36,15,49,64,42,78,45,41.6698066266137,-1.84784172095552,0.478265040559637,-3.86363535748564,0.000111711944696114,0.0367649889570948,"CvsT2"
"222","Mcavernosa15503","GO:0019211",0.0220819986001925,0.999818452924382,1,4,"phosphatase activator activity","MF",1002,54,46,13,28,18,57,39,23,36,15,49,64,42,78,45,41.6698066266137,-2.09934597043751,0.474278350051742,-4.42640059409939,9.58185075676447e-06,0.00814840588355251,"CvsT3"
"223","Mcavernosa15503","GO:0019211",0.0220819986001925,0.999818452924382,1,4,"phosphatase activator activity","MF",1002,54,46,13,28,18,57,39,23,36,15,49,64,42,78,45,41.6698066266137,-1.84784172095552,0.478265040559637,-3.86363535748564,0.000111711944696114,0.0367649889570948,"CvsT2"
"228","Mcavernosa15503","GO:0004675",0.00974673163076518,0.999976525051003,1,2,"transmembrane receptor protein serine/threonine kinase activity","MF",1002,54,46,13,28,18,57,39,23,36,15,49,64,42,78,45,41.6698066266137,-2.09934597043751,0.474278350051742,-4.42640059409939,9.58185075676447e-06,0.00814840588355251,"CvsT3"
"229","Mcavernosa15503","GO:0004675",0.00974673163076518,0.999976525051003,1,2,"transmembrane receptor protein serine/threonine kinase activity","MF",1002,54,46,13,28,18,57,39,23,36,15,49,64,42,78,45,41.6698066266137,-1.84784172095552,0.478265040559637,-3.86363535748564,0.000111711944696114,0.0367649889570948,"CvsT2"
"236","Mcavernosa15503","GO:0036122",0.00974673163076518,0.999976525051003,1,2,"BMP binding","MF",1002,54,46,13,28,18,57,39,23,36,15,49,64,42,78,45,41.6698066266137,-2.09934597043751,0.474278350051742,-4.42640059409939,9.58185075676447e-06,0.00814840588355251,"CvsT3"
"237","Mcavernosa15503","GO:0036122",0.00974673163076518,0.999976525051003,1,2,"BMP binding","MF",1002,54,46,13,28,18,57,39,23,36,15,49,64,42,78,45,41.6698066266137,-1.84784172095552,0.478265040559637,-3.86363535748564,0.000111711944696114,0.0367649889570948,"CvsT2"
"256","Mcavernosa15503","GO:0098821",0.00528937695178148,1,1,1,"BMP receptor activity","MF",1002,54,46,13,28,18,57,39,23,36,15,49,64,42,78,45,41.6698066266137,-2.09934597043751,0.474278350051742,-4.42640059409939,9.58185075676447e-06,0.00814840588355251,"CvsT3"
"257","Mcavernosa15503","GO:0098821",0.00528937695178148,1,1,1,"BMP receptor activity","MF",1002,54,46,13,28,18,57,39,23,36,15,49,64,42,78,45,41.6698066266137,-1.84784172095552,0.478265040559637,-3.86363535748564,0.000111711944696114,0.0367649889570948,"CvsT2"
"266","Mcavernosa18489","GO:0016805",0.0237298967477823,0.999776300729791,1,5,"dipeptidase activity","MF",1295,23,15,6,21,5,24,13,22,9,6,33,27,20,26,19,18.3986087081639,-2.21705037558269,0.520136386142232,-4.2624404572543,2.02206387283183e-05,0.0140070393688954,"CvsT3"
"279","Mcavernosa18547","GO:0005545",0.0447991388980873,0.999096549148177,1,10,"1-phosphatidylinositol binding","MF",2125,212,94,49,73,46,186,124,101,44,91,238,183,176,189,125,136.669690118324,-2.18273818988454,0.424178072908575,-5.14580627640079,2.66374206931727e-07,0.000320484810024745,"CvsT2"
"280","Mcavernosa18547","GO:0005545",0.0447991388980873,0.999096549148177,1,10,"1-phosphatidylinositol binding","MF",2125,212,94,49,73,46,186,124,101,44,91,238,183,176,189,125,136.669690118324,-2.47937307490951,0.42228621446106,-5.87130952895016,4.32366149794601e-09,2.29765008228639e-05,"CvsT4"
"281","Mcavernosa18547","GO:0005545",0.0447991388980873,0.999096549148177,1,10,"1-phosphatidylinositol binding","MF",2125,212,94,49,73,46,186,124,101,44,91,238,183,176,189,125,136.669690118324,-2.29551409666124,0.422600060806472,-5.43188302500616,5.57624728725876e-08,8.89132629953409e-05,"CvsT1"
"282","Mcavernosa18547","GO:0005545",0.0447991388980873,0.999096549148177,1,10,"1-phosphatidylinositol binding","MF",2125,212,94,49,73,46,186,124,101,44,91,238,183,176,189,125,136.669690118324,-2.68666737986224,0.421568033905823,-6.37303392045716,1.85324874966424e-10,4.72800821014342e-07,"CvsT3"
"283","Mcavernosa20093","GO:0008519",0.0280219981921447,0.999674588736258,1,6,"ammonium transmembrane transporter activity","MF",3467,275,194,183,412,199,276,172,182,338,171,168,249,221,353,224,234.587699043712,-0.762978101665355,0.19204156918151,-3.972984104,7.09777875731686e-05,0.0261073003350014,"CvsT2"
"294","Mcavernosa22344","GO:0016504",0.0340658011898242,0.999494047914926,1,8,"peptidase activator activity","MF",2456,526,73,27,18,54,345,31,97,77,102,65,17,605,496,108,180.791274146135,-4.00828950847396,0.938384448146441,-4.27147904719798,1.94180774624072e-05,0.0173458911960617,"CvsT4"
"297","Mcavernosa24249","GO:0004370",0.00504163952258754,1,1,1,"glycerol kinase activity","MF",1319,64,5,14,36,12,39,24,210,15,32,9,17,364,51,26,69.5541376499238,-3.98613950858077,0.922782606645192,-4.31969510464931,1.56244919680158e-05,0.0152425646850965,"CvsT4"
"299","Mcavernosa24709","GO:0019001",0.0370453749215416,0.999400973776754,1,8,"guanyl nucleotide binding","MF",1200,422,347,137,206,310,521,219,320,124,60,560,390,281,353,368,328.905102243987,-2.1903986648109,0.489426589964622,-4.47543862496158,7.62546022416995e-06,0.00676931171089288,"CvsT1"
"300","Mcavernosa24709","GO:0019001",0.0370453749215416,0.999400973776754,1,8,"guanyl nucleotide binding","MF",1200,422,347,137,206,310,521,219,320,124,60,560,390,281,353,368,328.905102243987,-2.55560671649893,0.489115330101454,-5.22495730397335,1.74195299830923e-07,0.000246892804960362,"CvsT3"
"301","Mcavernosa24709","GO:0019001",0.0370453749215416,0.999400973776754,1,8,"guanyl nucleotide binding","MF",1200,422,347,137,206,310,521,219,320,124,60,560,390,281,353,368,328.905102243987,-2.0685228159768,0.489967052949055,-4.22175900099118,2.42403208538774e-05,0.0126312271916079,"CvsT2"
"371","Mcavernosa26093","GO:0004820",0.00377484049634302,1,1,1,"glycine-tRNA ligase activity","MF",3092,78,53,24,53,65,88,52,81,31,13,63,87,60,82,64,62.8032387982434,-2.07888267123407,0.43310809841235,-4.79991641545069,1.58731864360719e-06,0.00141963360563987,"CvsT2"
"372","Mcavernosa26093","GO:0004820",0.00377484049634302,1,1,1,"glycine-tRNA ligase activity","MF",3092,78,53,24,53,65,88,52,81,31,13,63,87,60,82,64,62.8032387982434,-2.00555937079074,0.432774223566904,-4.63419321571653,3.58332198759111e-06,0.00351606579028555,"CvsT3"
"373","Mcavernosa26093","GO:0004820",0.00377484049634302,1,1,1,"glycine-tRNA ligase activity","MF",3092,78,53,24,53,65,88,52,81,31,13,63,87,60,82,64,62.8032387982434,-2.06582047765502,0.431381370647421,-4.78884953829743,1.67740186661444e-06,0.0023774375789482,"CvsT1"
"377","Mcavernosa26093","GO:0004081",0.00812198803532114,0.99998371265468,1,2,"bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity","MF",3092,78,53,24,53,65,88,52,81,31,13,63,87,60,82,64,62.8032387982434,-2.07888267123407,0.43310809841235,-4.79991641545069,1.58731864360719e-06,0.00141963360563987,"CvsT2"
"378","Mcavernosa26093","GO:0004081",0.00812198803532114,0.99998371265468,1,2,"bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity","MF",3092,78,53,24,53,65,88,52,81,31,13,63,87,60,82,64,62.8032387982434,-2.00555937079074,0.432774223566904,-4.63419321571653,3.58332198759111e-06,0.00351606579028555,"CvsT3"
"379","Mcavernosa26093","GO:0004081",0.00812198803532114,0.99998371265468,1,2,"bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity","MF",3092,78,53,24,53,65,88,52,81,31,13,63,87,60,82,64,62.8032387982434,-2.06582047765502,0.431381370647421,-4.78884953829743,1.67740186661444e-06,0.0023774375789482,"CvsT1"
"420","Mcavernosa33068","GO:0099635",0.0203117696110609,0.999846510933335,1,4,"voltage-gated calcium channel activity involved in positive regulation of presynaptic cytosolic calcium levels","MF",1118,55,37,34,90,39,48,38,46,39,23,41,63,37,71,41,45.8613326535666,-1.04686477194717,0.262721651694969,-3.98469165062429,6.75678061478118e-05,0.0261073003350014,"CvsT2"
