"","gene","GO.ID","term","ontology","over_represented_pvalue","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","41_ctl3_Ac_RN_1","37_T13_Ac_ML","52_T11_Ac_II","31_T22_Ac_UV","38_T23_Ac_IN","53_T21_Ac_NH","19_T33_Ac_WK","47_T31_Ac_JB","57_T32_Ac_NM","35_T43_Ac_MT","54_T42_Ac_JQ"
"17","Acerv_evm.TU.Segkk1386_pilon.25","GO:0016020","membrane","CC","0.329840291341399",215,200,275,48,50,47,54,18,85,38,27,55,57
"18","Acerv_evm.TU.Segkk1411_pilon.4","GO:0004672,GO:0004713,GO:0005515,GO:0005524,GO:0006468","protein kinase activity,protein tyrosine kinase activity,protein binding,ATP binding,protein phosphorylation","MF,MF,MF,MF,BP","0.84286377953194,0.280275164994933,0.257358007233903,0.980596643059766,0.853680920944346",2479,2277,2257,1057,1598,830,833,376,1402,550,617,1573,1365
"19","Acerv_evm.TU.Segkk1416_pilon.3","GO:0003677","DNA binding","MF","0.188811446933131",52,46,80,54,57,56,100,29,58,72,29,78,79
"20","Acerv_evm.TU.Segkk1424_pilon.6","NA","NA","NA","NA",626,341,387,202,280,125,83,49,285,106,139,245,285
"21","Acerv_evm.TU.Segkk1466_pilon.9","GO:0003700,GO:0006355","DNA-binding transcription factor activity,regulation of transcription, DNA-templated","MF,BP","0.424941242868705,0.0797918878437354",43,73,43,53,21,47,139,62,44,29,26,120,175
"22","Acerv_evm.TU.Segkk1480_pilon.1","GO:0005515","protein binding","MF","0.257358007233903",51,65,53,56,67,60,83,40,57,56,21,129,102
"23","Acerv_evm.TU.Segkk1480_pilon.2","NA","NA","NA","NA",7,6,10,12,13,12,18,6,12,10,8,22,24
"24","Acerv_evm.TU.Segkk1497_pilon.2","NA","NA","NA","NA",1462,1106,1221,426,366,690,721,490,791,364,221,1078,936
"25","Acerv_evm.TU.Segkk1509_pilon.11","GO:0046983","protein dimerization activity","MF","0.283273095409626",870,449,948,218,177,134,164,113,384,250,138,291,293
"26","Acerv_evm.TU.Segkk1560_pilon.6","NA","NA","NA","NA",707,611,658,251,283,202,190,111,333,187,150,349,345
"27","Acerv_evm.TU.Segkk1575_pilon.7","GO:0008376,GO:0032580","acetylgalactosaminyltransferase activity,Golgi cisterna membrane","MF,CC","0.219973702347547,0.219973702347547",22,9,8,15,14,24,19,11,18,12,10,42,20
"28","Acerv_evm.TU.Segkk1579_pilon.3","GO:0004672,GO:0005524,GO:0006468","protein kinase activity,ATP binding,protein phosphorylation","MF,MF,BP","0.84286377953194,0.980596643059766,0.853680920944346",378,318,197,264,169,304,715,331,235,96,199,403,561
"29","Acerv_evm.TU.Segkk1593_pilon.6","GO:0004930,GO:0007186,GO:0016021","G protein-coupled receptor activity,G protein-coupled receptor signaling pathway,integral component of membrane","MF,BP,CC","0.690442930071787,0.707448533339631,0.610347626540586",62,52,33,34,29,49,39,30,60,20,17,91,60
"30","Acerv_evm.TU.Segkk1613_pilon.8","GO:0006508,GO:0008234","proteolysis,cysteine-type peptidase activity","BP,MF","0.170772258731092,0.325334892060098",271,137,129,110,73,159,136,98,167,116,73,272,240
"31","Acerv_evm.TU.Segkk1630_pilon.6","NA","NA","NA","NA",10,15,8,97,134,99,80,48,112,56,62,178,179
"32","Acerv_evm.TU.Segkk1656_pilon.3","NA","NA","NA","NA",40,66,49,54,22,98,48,69,144,16,18,185,117
"33","Acerv_evm.TU.Segkk1677_pilon.1","GO:0005515","protein binding","MF","0.257358007233903",48,38,55,69,86,70,99,45,85,70,37,158,112
"34","Acerv_evm.TU.Segkk169_pilon.1","GO:0003824,GO:0004559,GO:0005975,GO:0006013","catalytic activity,alpha-mannosidase activity,carbohydrate metabolic process,mannose metabolic process","MF,MF,BP,BP","0.915281354083922,0.0355391360499109,0.157657808095619,0.0355391360499109",39,6,10,24,13,71,30,27,44,15,15,105,71
"35","Acerv_evm.TU.Segkk1708_pilon.21","NA","NA","NA","NA",7,4,11,10,18,10,20,9,14,10,7,14,22
"36","Acerv_evm.TU.Segkk1732_pilon.61","NA","NA","NA","NA",108,75,94,30,18,16,18,9,39,24,9,35,29
"37","Acerv_evm.TU.Segkk1732_pilon.65","NA","NA","NA","NA",151,104,100,25,33,19,27,13,33,16,12,38,47
"38","Acerv_evm.TU.Segkk1774_pilon.15","GO:0005506,GO:0016705,GO:0020037,GO:0055114","iron ion binding,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,heme binding,oxidation-reduction process","MF,MF,MF,BP","0.0841265302201906,0.1873813994967,0.0369943450710385,0.720060927670848",305,245,380,64,76,71,62,26,133,73,74,202,157
"39","Acerv_evm.TU.Segkk1777_pilon.32","GO:0004553,GO:0005975","hydrolase activity, hydrolyzing O-glycosyl compounds,carbohydrate metabolic process","MF,BP","0.400706360547357,0.157657808095619",259,135,145,64,100,40,25,26,92,40,35,82,93
"40","Acerv_evm.TU.Segkk1779_pilon.5","NA","NA","NA","NA",14,16,33,30,15,30,48,31,59,30,10,52,58
"41","Acerv_evm.TU.Segkk1793_pilon.1","NA","NA","NA","NA",6,9,6,25,37,24,41,14,36,33,13,38,37
"42","Acerv_evm.TU.Segkk1795_pilon.7","GO:0005515","protein binding","MF","0.257358007233903",34,41,15,70,33,84,49,112,34,13,80,66,302
"43","Acerv_evm.TU.Segkk1821_pilon.34","NA","NA","NA","NA",21,27,23,21,33,19,23,9,24,17,16,29,28
"44","Acerv_evm.TU.Segkk1822_pilon.2","GO:0005975","carbohydrate metabolic process","BP","0.157657808095619",406,368,250,404,224,522,1163,739,386,96,352,938,1588
"45","Acerv_evm.TU.Segkk1851_pilon.3","GO:0005515","protein binding","MF","0.257358007233903",29,44,18,24,38,36,43,25,40,24,8,53,43
"46","Acerv_evm.TU.Segkk1858_pilon.11","NA","NA","NA","NA",671,531,380,335,183,557,462,382,616,178,133,884,674
"47","Acerv_evm.TU.Segkk1883_pilon.14","GO:0005230,GO:0006811,GO:0016021","extracellular ligand-gated ion channel activity,ion transport,integral component of membrane","MF,BP,CC","0.437595430237997,0.63336931075418,0.610347626540586",21,24,28,24,37,22,27,13,27,16,24,41,28
"48","Acerv_evm.TU.Segkk1895_pilon.6","GO:0004222","metalloendopeptidase activity","MF","0.319671977458978",116,145,128,116,113,64,91,44,106,94,91,136,123
"49","Acerv_evm.TU.Segkk19_pilon.21","GO:0000981,GO:0003677,GO:0006355","DNA-binding transcription factor activity, RNA polymerase II-specific,DNA binding,regulation of transcription, DNA-templated","MF,MF,BP","0.110502700556159,0.188811446933131,0.0797918878437354",231,118,188,78,154,50,28,19,104,41,58,65,101
"50","Acerv_evm.TU.Segkk1929_pilon.4","NA","NA","NA","NA",211,265,254,118,105,169,146,135,229,98,74,263,252
"51","Acerv_evm.TU.Segkk1945_pilon.2","GO:0003676,GO:0005524,GO:0005576,GO:0030414","nucleic acid binding,ATP binding,extracellular region,peptidase inhibitor activity","MF,MF,CC,MF","0.945877097066016,0.980596643059766,0.383552455642363,0.203151994022315",8,12,0,17,19,16,18,7,34,12,12,18,24
"52","Acerv_evm.TU.Segkk1947_pilon.7","GO:0003676","nucleic acid binding","MF","0.945877097066016",5915,5070,4667,1006,1181,1052,1377,808,1871,900,689,1953,2889
"53","Acerv_evm.TU.Segkk1982_pilon.11","NA","NA","NA","NA",5,10,9,15,14,15,13,6,15,9,10,22,11
"54","Acerv_evm.TU.Segkk1991_pilon.4","NA","NA","NA","NA",166,161,100,67,59,104,144,94,129,28,43,202,356
"55","Acerv_evm.TU.Segkk20_pilon.1","GO:0005515","protein binding","MF","0.257358007233903",849,693,644,115,148,131,144,88,199,123,55,240,234
"56","Acerv_evm.TU.Segkk2008_pilon.3","GO:0005515","protein binding","MF","0.257358007233903",719,589,434,342,315,374,344,286,502,202,164,656,594
"57","Acerv_evm.TU.Segkk2012_pilon.2","NA","NA","NA","NA",780,857,783,291,386,215,276,144,389,229,158,475,450
"58","Acerv_evm.TU.Segkk2015_pilon.1","NA","NA","NA","NA",86,128,72,58,37,68,94,70,118,42,27,112,57
"59","Acerv_evm.TU.Segkk2116_pilon.21","GO:0008757","S-adenosylmethionine-dependent methyltransferase activity","MF","0.0865393291098183",1010,702,978,323,348,213,250,132,461,280,202,372,473
"60","Acerv_evm.TU.Segkk2117_pilon.21","NA","NA","NA","NA",30,17,28,27,18,32,40,24,45,26,16,61,44
"61","Acerv_evm.TU.Segkk2119_pilon.10","NA","NA","NA","NA",156,149,159,22,35,29,34,13,68,38,25,54,49
"62","Acerv_evm.TU.Segkk2163_pilon.7","GO:0004930,GO:0007186,GO:0016021","G protein-coupled receptor activity,G protein-coupled receptor signaling pathway,integral component of membrane","MF,BP,CC","0.690442930071787,0.707448533339631,0.610347626540586",26,49,21,12,6,25,53,33,30,6,9,45,55
"63","Acerv_evm.TU.Segkk2165_pilon.11","NA","NA","NA","NA",266,215,82,13,15,31,12,12,37,11,5,74,37
"64","Acerv_evm.TU.Segkk2166_pilon.1","NA","NA","NA","NA",148,188,111,103,128,85,85,54,105,61,55,180,145
"65","Acerv_evm.TU.Segkk2181_pilon.1","NA","NA","NA","NA",70,71,52,81,165,66,70,64,94,55,37,104,149
"66","Acerv_evm.TU.Segkk2199_pilon.3","NA","NA","NA","NA",10,11,9,12,18,11,18,11,20,11,10,18,18
"67","Acerv_evm.TU.Segkk223_pilon.4","GO:0005515","protein binding","MF","0.257358007233903",22,77,38,54,86,76,105,45,84,68,33,119,100
"68","Acerv_evm.TU.Segkk2237_pilon.14","NA","NA","NA","NA",1407,877,1428,473,631,263,181,101,712,383,311,353,507
"69","Acerv_evm.TU.Segkk2237_pilon.15","NA","NA","NA","NA",618,357,435,315,329,125,93,83,339,144,227,144,284
"70","Acerv_evm.TU.Segkk2242_pilon.3","GO:0005201","extracellular matrix structural constituent","MF","0.264680314057944",18,12,12,17,26,17,7,5,21,9,10,20,18
"71","Acerv_evm.TU.Segkk2246_pilon.2","GO:0016021","integral component of membrane","CC","0.610347626540586",3905,3529,4039,1170,831,1846,2662,1221,1736,1283,749,2760,2663
"72","Acerv_evm.TU.Segkk2261_pilon.8","NA","NA","NA","NA",223,182,252,29,47,32,51,20,22,32,20,40,58
"73","Acerv_evm.TU.Segkk227_pilon.2","NA","NA","NA","NA",7,12,0,11,8,12,21,12,18,10,6,25,26
"74","Acerv_evm.TU.Segkk2328_pilon.1","NA","NA","NA","NA",109,43,57,48,38,50,43,29,59,36,32,100,194
"75","Acerv_evm.TU.Segkk2328_pilon.2","NA","NA","NA","NA",153,60,90,161,122,118,119,107,116,99,100,271,529
"76","Acerv_evm.TU.Segkk2334_pilon.1","NA","NA","NA","NA",168,154,106,37,20,22,24,23,37,21,21,41,45
"77","Acerv_evm.TU.Segkk2335_pilon.20","GO:0004672,GO:0004713,GO:0005524,GO:0006468","protein kinase activity,protein tyrosine kinase activity,ATP binding,protein phosphorylation","MF,MF,MF,BP","0.84286377953194,0.280275164994933,0.980596643059766,0.853680920944346",43,64,46,44,76,35,45,24,57,40,33,62,70
"78","Acerv_evm.TU.Segkk2370_pilon.2","GO:0016021","integral component of membrane","CC","0.610347626540586",21,16,16,18,27,30,24,10,38,20,13,38,49
"79","Acerv_evm.TU.Segkk2424_pilon.11","GO:0003676,GO:0004190,GO:0006508,GO:0015074,GO:0016831,GO:0019752,GO:0030170","nucleic acid binding,aspartic-type endopeptidase activity,proteolysis,DNA integration,carboxy-lyase activity,carboxylic acid metabolic process,pyridoxal phosphate binding","MF,MF,BP,BP,MF,BP,MF","0.945877097066016,0.156053697302836,0.170772258731092,0.526224107257373,0.0679995598285009,0.0908670706335812,0.423872576080855",38,19,26,123,49,85,233,52,134,77,71,125,227
"80","Acerv_evm.TU.Segkk2518_pilon.2","GO:0006457,GO:0051082","protein folding,unfolded protein binding","BP,MF","0.456491950686519,0.302180669220491",59,78,54,78,98,114,48,97,46,18,46,151,163
"81","Acerv_evm.TU.Segkk2521_pilon.10","GO:0004061,GO:0019441","arylformamidase activity,tryptophan catabolic process to kynurenine","MF,BP","0.0461714810628931,0.070887905769479",116,109,93,60,59,79,66,49,83,44,32,123,94
"82","Acerv_evm.TU.Segkk2537_pilon.1","NA","NA","NA","NA",889,1206,608,257,145,862,830,510,400,162,116,1369,648
"83","Acerv_evm.TU.Segkk2537_pilon.25","GO:0005515","protein binding","MF","0.257358007233903",226,167,99,279,225,254,232,262,150,51,204,274,905
"84","Acerv_evm.TU.Segkk2551_pilon.2","NA","NA","NA","NA",42,51,50,39,44,53,55,32,53,31,16,97,73
"85","Acerv_evm.TU.Segkk2585_pilon.5","GO:0004930,GO:0007186,GO:0016021","G protein-coupled receptor activity,G protein-coupled receptor signaling pathway,integral component of membrane","MF,BP,CC","0.690442930071787,0.707448533339631,0.610347626540586",61,96,38,30,16,65,59,40,52,24,23,97,65
"86","Acerv_evm.TU.Segkk2595_pilon.2","GO:0005515","protein binding","MF","0.257358007233903",1038,779,754,368,523,284,333,179,488,259,219,446,475
"87","Acerv_evm.TU.Segkk2611_pilon.2","NA","NA","NA","NA",70,47,20,53,146,54,22,54,66,24,36,54,105
"88","Acerv_evm.TU.Segkk263_pilon.6","GO:0008270","zinc ion binding","MF","0.973674983661471",29,23,43,24,33,36,43,19,19,19,15,44,55
"89","Acerv_evm.TU.Segkk2634_pilon.14","GO:0004252,GO:0006508,GO:0016020","serine-type endopeptidase activity,proteolysis,membrane","MF,BP,CC","0.122982202115315,0.170772258731092,0.329840291341399",1497,705,709,566,1115,364,138,160,645,193,308,394,558
"90","Acerv_evm.TU.Segkk2634_pilon.20","GO:0004252,GO:0006508,GO:0016020","serine-type endopeptidase activity,proteolysis,membrane","MF,BP,CC","0.122982202115315,0.170772258731092,0.329840291341399",192,159,77,134,246,98,43,62,153,40,70,120,144
"91","Acerv_evm.TU.Segkk2701_pilon.2","NA","NA","NA","NA",110,135,161,77,37,100,176,101,108,74,29,164,186
"92","Acerv_evm.TU.Segkk2716_pilon.12","NA","NA","NA","NA",15,24,25,19,42,16,80,16,18,23,18,44,62
"93","Acerv_evm.TU.Segkk2725_pilon.8","GO:0005515","protein binding","MF","0.257358007233903",14,35,11,23,37,26,42,28,37,26,9,52,62
"94","Acerv_evm.TU.Segkk2758_pilon.32","NA","NA","NA","NA",4151,2453,2533,1099,1644,681,584,308,1169,604,797,1071,1184
"95","Acerv_evm.TU.Segkk2762_pilon.14","NA","NA","NA","NA",1267,861,629,189,129,187,242,107,220,66,86,407,355
"96","Acerv_evm.TU.Segkk2763_pilon.1","NA","NA","NA","NA",34,29,23,22,38,17,18,13,32,11,19,31,30
"97","Acerv_evm.TU.Segkk2772_pilon.8","GO:0005856","cytoskeleton","CC","0.316301781933212",1009,1072,812,397,270,498,628,402,626,309,207,922,837
"98","Acerv_evm.TU.Segkk2779_pilon.12","GO:0005515","protein binding","MF","0.257358007233903",551,589,490,164,82,304,276,189,266,186,93,428,315
"99","Acerv_evm.TU.Segkk2782_pilon.21","NA","NA","NA","NA",813,862,465,365,233,522,889,508,652,200,190,932,1025
"100","Acerv_evm.TU.Segkk2788_pilon.3","GO:0004096,GO:0005506,GO:0005515,GO:0016702,GO:0020037,GO:0046872,GO:0055114","catalase activity,iron ion binding,protein binding,oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen,heme binding,metal ion binding,oxidation-reduction process","MF,MF,MF,MF,MF,MF,BP","0.208454531067797,0.0841265302201906,0.257358007233903,0.279736762949787,0.0369943450710385,0.919935492103401,0.720060927670848",316,228,167,118,110,147,146,84,191,88,62,294,272
"101","Acerv_evm.TU.Segkk2792_pilon.2","NA","NA","NA","NA",34,39,19,26,36,30,32,22,45,25,18,53,49
"102","Acerv_evm.TU.Segkk2792_pilon.23","GO:0005515","protein binding","MF","0.257358007233903",253,248,277,85,76,90,92,59,131,58,63,150,147
"103","Acerv_evm.TU.Segkk2793_pilon.4","NA","NA","NA","NA",5686,6190,4194,2894,4619,1794,1408,1024,2973,873,1925,2218,3000
"104","Acerv_evm.TU.Segkk2795_pilon.15","GO:0003924,GO:0005525,GO:0007165,GO:0016020","GTPase activity,GTP binding,signal transduction,membrane","MF,MF,BP,CC","0.666034296176339,0.79245474525451,0.980646709856739,0.329840291341399",230,339,387,185,179,197,528,232,214,137,103,481,445
"105","Acerv_evm.TU.Segkk2811_pilon.9","NA","NA","NA","NA",204,165,181,84,89,54,52,38,84,39,38,99,99
"106","Acerv_evm.TU.Segkk2834_pilon.11","GO:0003723,GO:0003743,GO:0006413","RNA binding,translation initiation factor activity,translational initiation","MF,MF,BP","0.634354946691056,0.33310080708002,0.21904961683081",179,165,116,91,104,100,67,70,163,72,60,211,226
"107","Acerv_evm.TU.Segkk2838_pilon.7","NA","NA","NA","NA",97,69,161,15,11,15,13,10,38,20,8,40,37
"108","Acerv_evm.TU.Segkk2909_pilon.1","GO:0004812,GO:0004821,GO:0005524,GO:0006418,GO:0006427","aminoacyl-tRNA ligase activity,histidine-tRNA ligase activity,ATP binding,tRNA aminoacylation for protein translation,histidyl-tRNA aminoacylation","MF,MF,MF,BP,BP","0.216497339351205,0.0245280469951749,0.980596643059766,0.202854773887184,0.0245280469951749",528,590,525,142,189,131,138,97,199,123,95,237,256
"109","Acerv_evm.TU.Segkk2935_pilon.2","NA","NA","NA","NA",12,12,13,21,15,22,58,11,22,26,13,57,27
"110","Acerv_evm.TU.Segkk2954_pilon.6","NA","NA","NA","NA",1560,965,1189,322,232,225,105,147,615,210,278,497,512
"111","Acerv_evm.TU.Segkk2970_pilon.1","NA","NA","NA","NA",21,39,44,38,27,38,130,41,72,42,21,111,53
"112","Acerv_evm.TU.Segkk30_pilon.11","GO:0003677,GO:0006355","DNA binding,regulation of transcription, DNA-templated","MF,BP","0.188811446933131,0.0797918878437354",210,290,281,70,69,59,70,37,136,93,56,98,82
"113","Acerv_evm.TU.Segkk3047_pilon.14","NA","NA","NA","NA",304,211,245,36,57,51,53,20,57,31,23,76,109
"114","Acerv_evm.TU.Segkk3047_pilon.5","NA","NA","NA","NA",11,16,8,33,22,51,38,34,33,27,24,67,47
"115","Acerv_evm.TU.Segkk3052_pilon.15","NA","NA","NA","NA",91,82,20,58,20,153,84,109,91,15,18,220,173
"116","Acerv_evm.TU.Segkk3059_pilon.1","GO:0005506,GO:0016705,GO:0016712,GO:0020037,GO:0055114","iron ion binding,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen,heme binding,oxidation-reduction process","MF,MF,MF,MF,BP","0.0841265302201906,0.1873813994967,0.0308998644411916,0.0369943450710385,0.720060927670848",64,40,29,31,19,47,36,37,49,19,18,45,67
"117","Acerv_evm.TU.Segkk3087_pilon.2","GO:0005515","protein binding","MF","0.257358007233903",10,15,6,39,27,33,38,24,50,31,12,65,62
"118","Acerv_evm.TU.Segkk3091_pilon.8","NA","NA","NA","NA",5867,7599,4923,2287,858,3683,11822,2456,3386,2069,892,5847,4235
"119","Acerv_evm.TU.Segkk3092_pilon.14","NA","NA","NA","NA",810,649,451,221,148,432,331,323,379,214,121,613,593
"120","Acerv_evm.TU.Segkk3095_pilon.35","GO:0016020,GO:0022857,GO:0055085","membrane,transmembrane transporter activity,transmembrane transport","CC,MF,BP","0.329840291341399,0.580429065357732,0.802764057987146",302,382,344,92,45,244,183,134,172,99,45,388,167
"121","Acerv_evm.TU.Segkk3096_pilon.7","GO:0005515","protein binding","MF","0.257358007233903",9,16,8,13,21,11,17,11,25,8,9,19,15
"122","Acerv_evm.TU.Segkk3105_pilon.1","NA","NA","NA","NA",135,166,128,97,130,95,162,111,113,27,55,130,141
"123","Acerv_evm.TU.Segkk315_pilon.1","NA","NA","NA","NA",5,7,19,15,16,25,23,18,35,23,7,50,39
"124","Acerv_evm.TU.Segkk3158_pilon.3","GO:0006486,GO:0008417,GO:0016020","protein glycosylation,fucosyltransferase activity,membrane","BP,MF,CC","0.177813022614516,0.0273469947761552,0.329840291341399",13,15,12,17,17,21,18,11,14,16,11,33,29
"125","Acerv_evm.TU.Segkk3159_pilon.11","GO:0004222,GO:0006508,GO:0008237","metalloendopeptidase activity,proteolysis,metallopeptidase activity","MF,BP,MF","0.319671977458978,0.170772258731092,0.704551428030473",2575,921,1144,1069,1765,673,231,174,1161,274,540,675,918
"126","Acerv_evm.TU.Segkk318_pilon.5","GO:0016020","membrane","CC","0.329840291341399",1129,761,715,278,144,473,627,299,413,255,175,636,709
"127","Acerv_evm.TU.Segkk3192_pilon.40","NA","NA","NA","NA",354,466,316,119,55,255,244,238,281,71,72,491,444
"128","Acerv_evm.TU.Segkk3209_pilon.11","GO:0004930,GO:0007186,GO:0016021","G protein-coupled receptor activity,G protein-coupled receptor signaling pathway,integral component of membrane","MF,BP,CC","0.690442930071787,0.707448533339631,0.610347626540586",227,141,197,49,59,37,26,22,95,34,41,80,90
"129","Acerv_evm.TU.Segkk3209_pilon.7","GO:0005515","protein binding","MF","0.257358007233903",21,34,19,28,13,32,31,26,58,29,17,45,53
"130","Acerv_evm.TU.Segkk3213_pilon.37","NA","NA","NA","NA",257,759,204,225,159,477,627,268,437,241,159,761,394
"131","Acerv_evm.TU.Segkk3264_pilon.11","GO:0005515","protein binding","MF","0.257358007233903",209,140,101,78,92,47,26,17,102,37,31,65,69
"132","Acerv_evm.TU.Segkk3306_pilon.14","GO:0005515,GO:0035091","protein binding,phosphatidylinositol binding","MF,MF","0.257358007233903,0.432651406906425",1232,1362,929,454,209,798,1056,464,707,368,211,1451,1063
"133","Acerv_evm.TU.Segkk3317_pilon.1","GO:0005515","protein binding","MF","0.257358007233903",1770,1694,2222,367,659,294,409,206,413,353,229,541,627
"134","Acerv_evm.TU.Segkk3327_pilon.18","NA","NA","NA","NA",257,131,171,100,201,62,51,30,117,60,85,57,114
"135","Acerv_evm.TU.Segkk3339_pilon.1","GO:0005515","protein binding","MF","0.257358007233903",30,13,8,27,19,32,16,19,23,11,7,47,48
"136","Acerv_evm.TU.Segkk3363_pilon.30","NA","NA","NA","NA",93,151,99,60,37,87,136,54,94,76,36,130,91
"137","Acerv_evm.TU.Segkk3377_pilon.3","NA","NA","NA","NA",1267,1655,2214,258,244,115,311,71,992,258,92,292,197
"138","Acerv_evm.TU.Segkk338_pilon.10","GO:0003924,GO:0005200,GO:0005525,GO:0005874,GO:0007017","GTPase activity,structural constituent of cytoskeleton,GTP binding,microtubule,microtubule-based process","MF,MF,MF,CC,BP","0.666034296176339,0.229013124306421,0.79245474525451,0.26641662730175,0.293178482636877",1117,1147,967,644,501,695,714,615,1017,455,434,1242,1200
"139","Acerv_evm.TU.Segkk3381_pilon.2","GO:0022904","respiratory electron transport chain","BP","0.0245280469951749",488,481,474,121,117,117,143,73,225,119,82,221,221
"140","Acerv_evm.TU.Segkk3387_pilon.12","GO:0005515","protein binding","MF","0.257358007233903",17,32,20,22,37,27,35,19,33,25,11,61,46
"141","Acerv_evm.TU.Segkk3394_pilon.16","NA","NA","NA","NA",28,12,6,246,155,288,188,186,311,152,123,513,521
"142","Acerv_evm.TU.Segkk3395_pilon.4","GO:0005515","protein binding","MF","0.257358007233903",63,50,91,76,99,79,112,43,74,73,29,161,163
"143","Acerv_evm.TU.Segkk3397_pilon.3","NA","NA","NA","NA",46,54,25,32,44,27,31,28,54,25,16,44,47
"144","Acerv_evm.TU.Segkk3405_pilon.7","GO:0005515","protein binding","MF","0.257358007233903",40,42,56,65,103,81,91,35,112,62,39,158,128
"145","Acerv_evm.TU.Segkk3412_pilon.6","NA","NA","NA","NA",2377,939,2015,1391,2495,716,460,379,1652,619,931,909,1147
"146","Acerv_evm.TU.Segkk3417_pilon.5","NA","NA","NA","NA",112,136,111,16,23,10,20,8,18,20,9,21,25
"147","Acerv_evm.TU.Segkk3419_pilon.10","NA","NA","NA","NA",14,10,0,13,27,16,12,12,24,8,13,33,27
"148","Acerv_evm.TU.Segkk3422_pilon.23","NA","NA","NA","NA",15,8,22,524,449,471,537,304,799,402,353,680,1079
"149","Acerv_evm.TU.Segkk3450_pilon.3","GO:0005515","protein binding","MF","0.257358007233903",740,852,542,368,215,488,608,325,604,226,213,996,838
"150","Acerv_evm.TU.Segkk3453_pilon.14","NA","NA","NA","NA",226,210,187,46,35,37,34,17,96,28,26,74,38
"151","Acerv_evm.TU.Segkk3453_pilon.19","GO:0005515","protein binding","MF","0.257358007233903",32,29,47,29,23,33,59,18,51,29,20,67,59
"152","Acerv_evm.TU.Segkk3454_pilon.21","GO:0005515","protein binding","MF","0.257358007233903",433,437,315,32,38,26,40,26,52,32,14,65,39
"153","Acerv_evm.TU.Segkk3463_pilon.1","NA","NA","NA","NA",525,305,316,132,64,212,268,152,235,119,78,363,304
