"","gene_id","X1_2","X2_2","X4_2","X11_2","X28_2","X35_2","X36_2","X38_2","X39_2","X41_2","X42_2","X47_2","Treatment_Compare","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"518","LOC113673427",244,33,49,41,104,138,229,327,84,166,125,66,"CvsMid","GO:0016020",0,1,18,18,"membrane","CC"
"565","LOC113674392",110,0,409,263,35,25,13,9,473,666,40,133,"CvsHigh","GO:0016020",0,1,18,18,"membrane","CC"
"598","LOC113674956",364,137,638,528,246,211,210,156,857,911,375,269,"CvsHigh","GO:0016020",0,1,18,18,"membrane","CC"
"617","LOC113675263",30,15,11,18,40,29,32,36,32,40,40,39,"CvsMid","GO:0016020",0,1,18,18,"membrane","CC"
"785","LOC113678576",73,97,339,316,107,182,165,137,402,346,148,68,"CvsMid","GO:0016020",0,1,18,18,"membrane","CC"
"880","LOC113680923",5927,1857,2160,1606,5619,6733,3112,5185,1793,1531,6592,4534,"CvsMid","GO:0016020",0,1,18,18,"membrane","CC"
"1039","LOC113684226",13,15,12,7,32,25,20,5,9,8,18,6,"CvsMid","GO:0016020",0,1,18,18,"membrane","CC"
"1129","LOC113686438",272,70,725,549,363,321,210,234,826,797,376,242,"CvsHigh","GO:0016020",0,1,18,18,"membrane","CC"
"42","LOC113664618",107,133,461,457,66,287,340,210,450,607,159,142,"CvsMid","GO:0005634",5.81473606692821e-08,1,5,5,"nucleus","CC"
"70","LOC113664893",91,60,69,45,64,76,57,39,43,56,85,44,"CvsMid","GO:0005576",8.26072020122181e-08,1,5,5,"extracellular region","CC"
"76","LOC113664948",198,400,34,256,115,291,894,425,240,81,189,90,"CvsHigh","GO:0005576",8.26072020122181e-08,1,5,5,"extracellular region","CC"
"83","LOC113664961",161,100,152,238,90,241,232,269,237,317,212,97,"CvsHigh","GO:0005576",8.26072020122181e-08,1,5,5,"extracellular region","CC"
"168","LOC113666479",158,214,47,10,220,252,192,195,23,58,258,116,"CvsMid","GO:0005634",5.81473606692821e-08,1,5,5,"nucleus","CC"
"180","LOC113666660",467,180,136,382,589,520,356,450,285,200,522,227,"CvsMid","GO:0005576",8.26072020122181e-08,1,5,5,"extracellular region","CC"
"403","LOC113671244",598,1157,639,630,469,682,608,884,766,752,362,406,"CvsHigh","GO:0005634",5.81473606692821e-08,1,5,5,"nucleus","CC"
"465","LOC113672624",88,46,51,14,46,76,62,62,78,32,59,31,"CvsMid","GO:0005634",5.81473606692821e-08,1,5,5,"nucleus","CC"
"849","LOC113680204",611,355,171,304,140,821,563,737,415,348,729,507,"CvsMid","GO:0005576",8.26072020122181e-08,1,5,5,"extracellular region","CC"
"1080","LOC113685074",25,30,705,430,180,39,164,38,1145,653,360,26,"CvsHigh","GO:0005634",5.81473606692821e-08,1,5,5,"nucleus","CC"
"411","LOC113671440",2183,1078,10192,13926,5374,4102,3124,2078,11578,12265,3482,2639,"CvsHigh","GO:0005840",3.9594286143426e-06,1,4,4,"ribosome","CC"
"595","LOC113674953",1821,3155,11928,16941,1464,2042,5013,1696,12722,12421,1838,3051,"CvsMid","GO:0005840",3.9594286143426e-06,1,4,4,"ribosome","CC"
"629","LOC113675698",1180,1242,11565,16852,1391,2782,3696,366,11325,12376,1199,1915,"CvsMid","GO:0005840",3.9594286143426e-06,1,4,4,"ribosome","CC"
"945","LOC113682120",6228,1335,18398,22895,8532,4876,7997,4825,20289,20102,8295,8345,"CvsHigh","GO:0005840",3.9594286143426e-06,1,4,4,"ribosome","CC"
"212","LOC113667052",165,82,167,101,92,190,181,292,264,193,225,85,"CvsHigh","GO:0030117",0.00109094637663181,1,2,2,"membrane coat","CC"
"347","LOC113670165",71,111,68,85,108,87,141,102,132,91,111,94,"CvsMid","GO:0005874",0.00196923581363991,1,2,2,"microtubule","CC"
"463","LOC113672624",88,46,51,14,46,76,62,62,78,32,59,31,"CvsMid","GO:0005737",0.000999148516736487,1,2,2,"cytoplasm","CC"
"593","LOC113674953",1821,3155,11928,16941,1464,2042,5013,1696,12722,12421,1838,3051,"CvsMid","GO:0015934",0.00204265535434908,1,2,2,"large ribosomal subunit","CC"
"609","LOC113675180",386,186,930,963,321,428,366,351,931,929,463,281,"CvsHigh","GO:0005743",0.00109012614900637,1,2,2,"mitochondrial inner membrane","CC"
"655","LOC113676193",41,0,2019,1323,23,44,44,33,1392,245,27,25,"CvsMid","GO:0030117",0.00109094637663181,1,2,2,"membrane coat","CC"
"723","LOC113677344",58,38,70,54,89,67,96,93,71,76,66,292,"CvsMid","GO:0005737",0.000999148516736487,1,2,2,"cytoplasm","CC"
"843","LOC113680168",39,75,49,40,114,173,152,71,42,28,178,14,"CvsMid","GO:0005874",0.00196923581363991,1,2,2,"microtubule","CC"
"943","LOC113682120",6228,1335,18398,22895,8532,4876,7997,4825,20289,20102,8295,8345,"CvsHigh","GO:0015934",0.00204265535434908,1,2,2,"large ribosomal subunit","CC"
"965","LOC113682550",350,118,1193,1116,405,381,247,252,975,1070,462,313,"CvsHigh","GO:0005743",0.00109012614900637,1,2,2,"mitochondrial inner membrane","CC"
"1064","LOC113684657",48,20,124,202,58,62,32,39,185,237,89,50,"CvsHigh","GO:0032580",0.00121395869431733,1,2,2,"Golgi cisterna membrane","CC"
"1075","LOC113685002",155,106,124,223,215,206,149,184,240,172,203,119,"CvsMid","GO:0032580",0.00121395869431733,1,2,2,"Golgi cisterna membrane","CC"
"189","LOC113666760",52,7,152,143,9,37,25,44,155,166,47,29,"CvsHigh","GO:0005887",0.0362324676107091,1,1,1,"integral component of plasma membrane","CC"
"211","LOC113667052",165,82,167,101,92,190,181,292,264,193,225,85,"CvsHigh","GO:0030121",0.0316288272638316,1,1,1,"AP-1 adaptor complex","CC"
"214","LOC113667052",165,82,167,101,92,190,181,292,264,193,225,85,"CvsHigh","GO:0005794",0.0316288272638316,1,1,1,"Golgi apparatus","CC"
"249","LOC113667989",53,7,803,966,19,729,94,352,972,1236,55,44,"CvsMid","GO:0031464",0.031633862693398,1,1,1,"Cul4A-RING E3 ubiquitin ligase complex","CC"
"520","LOC113673427",244,33,49,41,104,138,229,327,84,166,125,66,"CvsMid","GO:0008076",0.0316343957565416,1,1,1,"voltage-gated potassium channel complex","CC"
"531","LOC113673651",14,18,9,13,12,10,114,11,13,11,56,134,"CvsMid","GO:0005741",0.0316345209120903,1,1,1,"mitochondrial outer membrane","CC"
"541","LOC113673972",1852,524,5138,4753,1940,2143,1494,1318,4592,5811,2382,1367,"CvsHigh","GO:0005856",0.0333267338493748,1,1,1,"cytoskeleton","CC"
"754","LOC113677848",64,30,55,66,92,141,108,70,76,76,115,45,"CvsMid","GO:0016592",0.0446277512374732,1,1,1,"mediator complex","CC"
"796","LOC113678765",197,83,796,631,220,197,157,162,541,522,305,181,"CvsHigh","GO:0031012",0.0350229286626792,1,1,1,"extracellular matrix","CC"
"922","LOC113681475",54,40,55,62,51,68,52,63,78,99,63,42,"CvsHigh","GO:0043240",0.031628897643356,1,1,1,"Fanconi anaemia nuclear complex","CC"
"933","LOC113681878",505,234,621,342,393,578,551,569,550,572,557,338,"CvsMid","GO:0000145",0.0316302610774038,1,1,1,"exocyst","CC"
"1051","LOC113684482",338,221,87,125,30,49,331,391,78,138,47,178,"CvsHigh","GO:0001534",0.0316335281524566,1,1,1,"radial spoke","CC"
