"","gene","GO.ID","term","ontology","over_represented_pvalue","4_2","11_2","39_2","41_2","1_2","28_2","42_2","47_2","2_2","35_2","36_2","38_2"
"11","LOC113664401","GO:0003700,GO:0006355","DNA-binding transcription factor activity,regulation of transcription, DNA-templated","MF,BP","1.50935961164739e-10,3.81978759635764e-12",4742,15618,4714,2417,47297,77733,82870,56243,110592,62370,61573,62264
"12","LOC113664439","GO:0005515","protein binding","MF","4.55882921845145e-116",111,327,15,111,462,521,582,379,332,488,376,445
"13","LOC113664448","GO:0005515,GO:0008270,GO:0046872","protein binding,zinc ion binding,metal ion binding","MF,MF,MF","4.55882921845145e-116,0,1.92102818190639e-07",20,3,23,27,22,20,27,22,15,22,23,26
"14","LOC113664491","GO:0004930,GO:0007186,GO:0016021,GO:0016021","G protein-coupled receptor activity,G protein-coupled receptor signaling pathway,integral component of membrane,integral component of membrane","MF,BP,CC,CC","0,0,1.05240798224272e-41,1.05240798224272e-41",19,5,10,17,14,26,35,25,34,23,32,23
"15","LOC113664501","NA","NA","NA","NA",565,1330,1126,750,866,1073,1440,632,412,1245,947,625
"16","LOC113664618","GO:0003676,GO:0003723,GO:0005634,GO:0006397","nucleic acid binding,RNA binding,nucleus,mRNA processing","MF,MF,CC,BP","0,1.20929554067477e-06,5.81473606692821e-08,0.031616516014208",461,457,450,607,107,66,159,142,133,287,340,210
"17","LOC113664632","GO:0005247,GO:0006821,GO:0016020,GO:0055085","voltage-gated chloride channel activity,chloride transport,membrane,transmembrane transport","MF,BP,CC,BP","0.0316317445733613,0.0316317445733613,0,0",336,494,564,401,53,90,20,38,75,165,35,318
"18","LOC113664651","GO:0005515,GO:0007165","protein binding,signal transduction","MF,BP","4.55882921845145e-116,0",129,122,154,148,47,35,45,26,12,46,40,59
"19","LOC113664667","NA","NA","NA","NA",50,50,36,30,68,42,48,52,40,50,45,42
"20","LOC113664669","GO:0005515","protein binding","MF","4.55882921845145e-116",16,13,43,13,14,37,45,26,21,23,11,38
"21","LOC113664685","GO:0016021","integral component of membrane","CC","1.05240798224272e-41",533,1578,549,525,840,867,1128,873,758,1232,1099,819
"22","LOC113664742","GO:0005509","calcium ion binding","MF","4.40274315060415e-12",1131,719,948,1152,198,123,263,131,97,226,138,144
"23","LOC113664750","NA","NA","NA","NA",207,231,187,227,91,42,107,86,30,57,48,48
"24","LOC113664769","GO:0005515,GO:0005515","protein binding,protein binding","MF,MF","4.55882921845145e-116,4.55882921845145e-116",289,143,261,825,571,586,729,473,477,523,510,654
"25","LOC113664778","GO:0016787,GO:0016787,GO:0016787,GO:0070573,GO:0070573","hydrolase activity,hydrolase activity,hydrolase activity,metallodipeptidase activity,metallodipeptidase activity","MF,MF,MF,MF,MF","4.16634370844935e-10,4.16634370844935e-10,4.16634370844935e-10,0.0316323059277053,0.0316323059277053",460,495,588,670,10,6,19,10,9,21,20,22
"26","LOC113664782","NA","NA","NA","NA",280,149,397,285,281,298,355,178,212,345,191,281
"27","LOC113664893","GO:0004888,GO:0004930,GO:0004930,GO:0005576,GO:0007166,GO:0007186,GO:0007186,GO:0008061,GO:0008061,GO:0016021,GO:0016021","transmembrane signaling receptor activity,G protein-coupled receptor activity,G protein-coupled receptor activity,extracellular region,cell surface receptor signaling pathway,G protein-coupled receptor signaling pathway,G protein-coupled receptor signaling pathway,chitin binding,chitin binding,integral component of membrane,integral component of membrane","MF,MF,MF,CC,BP,BP,BP,MF,MF,CC,CC","1.03215887517103e-06,0,0,8.26072020122181e-08,1.03215887517103e-06,0,0,0.0316332470560527,0.0316332470560527,1.05240798224272e-41,1.05240798224272e-41",69,45,43,56,91,64,85,44,60,76,57,39
"28","LOC113664907","GO:0005515,GO:0005515,GO:0008270,GO:0008270","protein binding,protein binding,zinc ion binding,zinc ion binding","MF,MF,MF,MF","4.55882921845145e-116,4.55882921845145e-116,0,0",5229,5619,4480,4382,1423,1974,2290,1607,842,1834,1653,1316
"29","LOC113664948","GO:0005102,GO:0005576,GO:0007275,GO:0016055","signaling receptor binding,extracellular region,multicellular organism development,Wnt signaling pathway","MF,CC,BP,BP","0.00220424694765822,8.26072020122181e-08,7.3152451733381e-05,0.00220424694765822",34,256,240,81,198,115,189,90,400,291,894,425
"30","LOC113664961","GO:0005102,GO:0005576,GO:0007275,GO:0016055","signaling receptor binding,extracellular region,multicellular organism development,Wnt signaling pathway","MF,CC,BP,BP","0.00220424694765822,8.26072020122181e-08,7.3152451733381e-05,0.00220424694765822",152,238,237,317,161,90,212,97,100,241,232,269
"31","LOC113665132","GO:0005515","protein binding","MF","4.55882921845145e-116",3208,2492,2641,2193,832,623,1249,741,342,422,806,346
"32","LOC113665188","GO:0006807,GO:0016811","nitrogen compound metabolic process,hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides","BP,MF","0.0427482399727904,0.0427482399727904",138,378,357,431,82,32,103,43,30,43,27,31
"33","LOC113665263","NA","NA","NA","NA",21,24,18,13,34,32,48,26,18,47,35,29
"34","LOC113665266","GO:0007021,GO:0007023,GO:0048487","tubulin complex assembly,post-chaperonin tubulin folding pathway,beta-tubulin binding","BP,BP,MF","0.042713126426555,0.042713126426555,0.042713126426555",7,13,7,15,236,123,237,202,41,307,186,305
"35","LOC113665304","NA","NA","NA","NA",56,59,76,41,59,36,59,32,95,52,47,76
"36","LOC113665340","NA","NA","NA","NA",33,69,65,28,15,20,15,34,29,72,71,90
"37","LOC113665371","GO:0003676,GO:0016787,GO:0046872","nucleic acid binding,hydrolase activity,metal ion binding","MF,MF,MF","0,4.16634370844935e-10,1.92102818190639e-07",34,22,24,29,42,27,58,25,34,61,32,57
"38","LOC113665402","NA","NA","NA","NA",28,17,35,67,57,64,73,70,25,74,86,105
"39","LOC113665451","GO:0000166,GO:0004812,GO:0004817,GO:0005524,GO:0005524,GO:0006418,GO:0006423","nucleotide binding,aminoacyl-tRNA ligase activity,cysteine-tRNA ligase activity,ATP binding,ATP binding,tRNA aminoacylation for protein translation,cysteinyl-tRNA aminoacylation","MF,MF,MF,MF,MF,BP,BP","0.0316312485052222,0.0316312485052222,0.0316312485052222,2.32907656908861e-37,2.32907656908861e-37,0.0316312485052222,0.0316312485052222",187,467,350,374,270,228,357,265,168,419,303,385
"40","LOC113665455","NA","NA","NA","NA",10,34,11,24,522,238,510,345,0,572,266,387
"41","LOC113665493","GO:0004672,GO:0004672,GO:0004672,GO:0004672,GO:0004674,GO:0004674,GO:0004674,GO:0004674,GO:0005524,GO:0005524,GO:0005524,GO:0005524,GO:0005524,GO:0005524,GO:0006468,GO:0006468,GO:0006468,GO:0006468,GO:0006468,GO:0006468,GO:0006468,GO:0006468,GO:0007165,GO:0007165","protein kinase activity,protein kinase activity,protein kinase activity,protein kinase activity,protein serine/threonine kinase activity,protein serine/threonine kinase activity,protein serine/threonine kinase activity,protein serine/threonine kinase activity,ATP binding,ATP binding,ATP binding,ATP binding,ATP binding,ATP binding,protein phosphorylation,protein phosphorylation,protein phosphorylation,protein phosphorylation,protein phosphorylation,protein phosphorylation,protein phosphorylation,protein phosphorylation,signal transduction,signal transduction","MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP","0,0,0,0,0.0316328242686161,0.0316328242686161,0.0316328242686161,0.0316328242686161,2.32907656908861e-37,2.32907656908861e-37,2.32907656908861e-37,2.32907656908861e-37,2.32907656908861e-37,2.32907656908861e-37,0,0,0,0,0,0,0,0,0,0",1257,959,1328,1344,580,425,545,368,132,449,277,328
"42","LOC113665515","NA","NA","NA","NA",29,23,35,19,29,22,50,42,46,45,31,23
"43","LOC113665605","GO:0055114","oxidation-reduction process","BP","0",498,515,360,436,126,108,173,116,34,149,52,88
"44","LOC113665670","GO:0005515,GO:0005515,GO:0042981","protein binding,protein binding,regulation of apoptotic process","MF,MF,BP","4.55882921845145e-116,4.55882921845145e-116,0.00153365125050997",66,58,39,61,143,71,128,93,45,97,147,201
"45","LOC113665701","GO:0004672,GO:0004672,GO:0004713,GO:0005524,GO:0005524,GO:0006468,GO:0006468,GO:0006468","protein kinase activity,protein kinase activity,protein tyrosine kinase activity,ATP binding,ATP binding,protein phosphorylation,protein phosphorylation,protein phosphorylation","MF,MF,MF,MF,MF,BP,BP,BP","0,0,7.43980754955202e-13,2.32907656908861e-37,2.32907656908861e-37,0,0,0",38,29,31,38,56,28,41,25,49,58,46,87
"46","LOC113665702","GO:0004672,GO:0004672,GO:0004713,GO:0005524,GO:0006468,GO:0006468,GO:0006468","protein kinase activity,protein kinase activity,protein tyrosine kinase activity,ATP binding,protein phosphorylation,protein phosphorylation,protein phosphorylation","MF,MF,MF,MF,BP,BP,BP","0,0,7.43980754955202e-13,2.32907656908861e-37,0,0,0",49,81,108,71,68,52,89,39,117,83,75,82
"47","LOC113665823","GO:0005515","protein binding","MF","4.55882921845145e-116",78,84,93,124,34,12,34,17,10,32,21,33
"48","LOC113665830","NA","NA","NA","NA",397,454,249,453,40,74,110,96,75,42,34,26
"49","LOC113665832","GO:0003824","catalytic activity","MF","3.80630945264323e-08",231,235,325,344,227,171,274,169,94,317,214,248
"50","LOC113665851","NA","NA","NA","NA",59,41,71,61,99,39,74,155,170,67,52,66
"51","LOC113665852","NA","NA","NA","NA",50,51,46,65,141,78,159,214,114,109,98,101
"52","LOC113665914","NA","NA","NA","NA",258,158,334,345,309,237,293,164,88,284,235,320
"53","LOC113665943","NA","NA","NA","NA",48,20,102,51,109,394,173,173,127,430,27,109
"54","LOC113666052","GO:0017183","peptidyl-diphthamide biosynthetic process from peptidyl-histidine","BP","0.0316341476075572",72,104,80,136,65,60,74,60,44,112,82,104
"55","LOC113666077","NA","NA","NA","NA",13,5,29,34,30,60,29,45,17,135,62,75
"56","LOC113666117","GO:0008270","zinc ion binding","MF","0",6,4,11,7,14,7,14,8,8,11,24,10
"57","LOC113666137","GO:0005515","protein binding","MF","4.55882921845145e-116",16,20,3,23,17,14,54,14,31,19,17,66
"58","LOC113666179","NA","NA","NA","NA",1030,1112,679,804,266,171,346,211,44,234,159,109
"59","LOC113666187","GO:0003676,GO:0003676","nucleic acid binding,nucleic acid binding","MF,MF","0,0",89,91,209,230,12,13,12,6,3,38,20,32
"60","LOC113666192","NA","NA","NA","NA",125,361,217,178,26,20,24,11,44,20,44,7
"61","LOC113666244","NA","NA","NA","NA",816,1395,3692,1885,137,53,286,152,977,208,153,298
"62","LOC113666259","GO:0003868,GO:0009072,GO:0016701,GO:0055114","4-hydroxyphenylpyruvate dioxygenase activity,aromatic amino acid family metabolic process,oxidoreductase activity, acting on single donors with incorporation of molecular oxygen,oxidation-reduction process","MF,BP,MF,BP","0.0316335862438309,0.0316335862438309,0.0316335862438309,0",235,200,386,309,131,117,174,120,115,212,264,253
"63","LOC113666334","GO:0004044,GO:0009113,GO:0009116","amidophosphoribosyltransferase activity,purine nucleobase biosynthetic process,nucleoside metabolic process","MF,BP,BP","0.0334780658815923,0.0334780658815923,0.0334780658815923",652,592,557,661,250,217,277,161,77,244,213,192
"64","LOC113666378","GO:0004499,GO:0050660,GO:0050660,GO:0050661,GO:0050661,GO:0055114,GO:0055114","N,N-dimethylaniline monooxygenase activity,flavin adenine dinucleotide binding,flavin adenine dinucleotide binding,NADP binding,NADP binding,oxidation-reduction process,oxidation-reduction process","MF,MF,MF,MF,MF,BP,BP","0.0377160435090376,0.00120058390275393,0.00120058390275393,0.0377160435090376,0.0377160435090376,0,0",129,127,154,155,50,64,100,43,24,57,30,48
"65","LOC113666383","NA","NA","NA","NA",8,50,53,61,45,153,134,289,22,195,115,140
"66","LOC113666401","GO:0006486,GO:0016020","protein glycosylation,membrane","BP,CC","0.00268882271877833,0",15,7,19,31,39,13,49,13,7,57,18,38
"67","LOC113666479","GO:0000387,GO:0000398,GO:0003676,GO:0003676,GO:0005634,GO:0005685,GO:0008270,GO:0008270,GO:0008270","spliceosomal snRNP assembly,mRNA splicing, via spliceosome,nucleic acid binding,nucleic acid binding,nucleus,U1 snRNP,zinc ion binding,zinc ion binding,zinc ion binding","BP,BP,MF,MF,CC,CC,MF,MF,MF","0.0525299098519947,0.0525299098519947,0,0,5.81473606692821e-08,0.0525299098519947,0,0,0",47,10,23,58,158,220,258,116,214,252,192,195
"68","LOC113666513","NA","NA","NA","NA",24,17,24,9,37,11,23,11,27,20,42,18
"69","LOC113666586","GO:0004089,GO:0008270","carbonate dehydratase activity,zinc ion binding","MF,MF","0.0318350511875513,0",191,267,228,434,75,51,123,110,25,87,58,85
"70","LOC113666599","NA","NA","NA","NA",446,456,520,729,884,324,503,643,467,381,746,627
"71","LOC113666614","NA","NA","NA","NA",21,45,43,45,39,171,293,133,84,100,84,34
"72","LOC113666660","GO:0005576,GO:0006869,GO:0008289,GO:0042157","extracellular region,lipid transport,lipid binding,lipoprotein metabolic process","CC,BP,MF,BP","8.26072020122181e-08,0.0342817661584337,3.43370475472157e-05,0.0342817661584337",136,382,285,200,467,589,522,227,180,520,356,450
"73","LOC113666711","NA","NA","NA","NA",6,2,12,14,19,13,19,9,6,15,15,22
"74","LOC113666714","NA","NA","NA","NA",10,6,8,10,17,14,17,13,3,12,7,25
"75","LOC113666721","NA","NA","NA","NA",17,20,17,11,50,40,40,16,22,26,99,10
"76","LOC113666760","GO:0005887,GO:0032217,GO:0032218","integral component of plasma membrane,riboflavin transmembrane transporter activity,riboflavin transport","CC,MF,BP","0.0362324676107091,0.0362324676107091,0.0362324676107091",152,143,155,166,52,9,47,29,7,37,25,44
"77","LOC113666770","GO:0016702,GO:0046872,GO:0055114","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen,metal ion binding,oxidation-reduction process","MF,MF,BP","0.00117178486033722,1.92102818190639e-07,0",334,1538,689,972,1864,1238,2272,476,538,972,1083,2313
"78","LOC113666855","GO:0003924,GO:0005525","GTPase activity,GTP binding","MF,MF","2.89515814022128e-09,3.66775810938267e-12",2653,3157,3605,3518,1613,1716,1959,1321,564,855,1014,1517
"79","LOC113666862","GO:0003700,GO:0006355,GO:0043565","DNA-binding transcription factor activity,regulation of transcription, DNA-templated,sequence-specific DNA binding","MF,BP,MF","1.50935961164739e-10,3.81978759635764e-12,3.14695262282064e-05",40,40,53,41,32,84,70,74,13,28,26,18
"80","LOC113666891","GO:0005515","protein binding","MF","4.55882921845145e-116",50,66,79,121,140,48,112,63,76,115,93,191
"81","LOC113666995","GO:0004733,GO:0008615,GO:0010181,GO:0016638,GO:0055114","pyridoxamine-phosphate oxidase activity,pyridoxine biosynthetic process,FMN binding,oxidoreductase activity, acting on the CH-NH2 group of donors,oxidation-reduction process","MF,BP,MF,MF,BP","0.0338635832484807,0.0338635832484807,0.0338635832484807,0.0338635832484807,0",773,1091,671,670,207,172,262,180,72,210,148,150
"82","LOC113667025","NA","NA","NA","NA",275,442,534,231,64,46,85,63,222,205,251,291
"83","LOC113667052","GO:0005794,GO:0006886,GO:0006886,GO:0016192,GO:0016192,GO:0016192,GO:0030117,GO:0030121","Golgi apparatus,intracellular protein transport,intracellular protein transport,vesicle-mediated transport,vesicle-mediated transport,vesicle-mediated transport,membrane coat,AP-1 adaptor complex","CC,BP,BP,BP,BP,BP,CC,CC","0.0316288272638316,1.0828150295302e-06,1.0828150295302e-06,0.00109094637663181,0.00109094637663181,0.00109094637663181,0.00109094637663181,0.0316288272638316",167,101,264,193,165,92,225,85,82,190,181,292
"84","LOC113667133","GO:0005515","protein binding","MF","4.55882921845145e-116",168,70,125,129,154,104,129,86,70,106,120,217
"85","LOC113667213","GO:0003676,GO:0003676,GO:0003723,GO:0004386,GO:0004386,GO:0005524,GO:0005524","nucleic acid binding,nucleic acid binding,RNA binding,helicase activity,helicase activity,ATP binding,ATP binding","MF,MF,MF,MF,MF,MF,MF","0,0,1.20929554067477e-06,0.000998000960399258,0.000998000960399258,2.32907656908861e-37,2.32907656908861e-37",518,535,536,588,214,180,235,168,100,203,132,200
"86","LOC113667220","NA","NA","NA","NA",92,46,71,63,131,218,85,93,32,225,92,63
"87","LOC113667295","NA","NA","NA","NA",4,6,6,39,48,52,25,48,11,128,23,54
"88","LOC113667329","NA","NA","NA","NA",60,22,4,14,127,105,6,67,98,45,83,228
"89","LOC113667399","NA","NA","NA","NA",7,8,9,10,10,8,9,16,12,13,18,21
"90","LOC113667417","NA","NA","NA","NA",31,61,91,61,104,26,44,36,105,111,188,65
"91","LOC113667471","GO:0016021,GO:0022857,GO:0022857,GO:0055085","integral component of membrane,transmembrane transporter activity,transmembrane transporter activity,transmembrane transport","CC,MF,MF,BP","1.05240798224272e-41,1.83973803155488e-06,1.83973803155488e-06,0",237,293,396,569,294,362,422,300,181,366,249,420
"92","LOC113667488","GO:0005975","carbohydrate metabolic process","BP","4.79867506343484e-05",180,156,202,238,25,19,63,22,104,60,42,122
"93","LOC113667540","NA","NA","NA","NA",114,108,63,76,64,252,298,221,47,96,217,140
"94","LOC113667610","NA","NA","NA","NA",9,17,9,17,11,7,6,16,32,10,17,20
"95","LOC113667613","NA","NA","NA","NA",740,974,932,691,591,38,56,25,0,35,37,65
"96","LOC113667767","NA","NA","NA","NA",416,447,348,324,112,110,167,88,41,138,84,67
"97","LOC113667788","NA","NA","NA","NA",25,100,10,129,224,149,237,149,297,226,212,151
"98","LOC113667816","NA","NA","NA","NA",6,31,7,9,7,66,18,75,4,95,76,30
"99","LOC113667883","NA","NA","NA","NA",10,13,16,12,28,16,28,13,4,13,30,26
"100","LOC113667899","GO:0016021,GO:0022857,GO:0022857,GO:0055085","integral component of membrane,transmembrane transporter activity,transmembrane transporter activity,transmembrane transport","CC,MF,MF,BP","1.05240798224272e-41,1.83973803155488e-06,1.83973803155488e-06,0",10,4,8,6,201,95,243,178,82,13,259,15
"101","LOC113667981","NA","NA","NA","NA",22,18,30,40,41,24,41,15,26,31,40,53
"102","LOC113667989","GO:0006511,GO:0031464","ubiquitin-dependent protein catabolic process,Cul4A-RING E3 ubiquitin ligase complex","BP,CC","0.031633862693398,0.031633862693398",803,966,972,1236,53,19,55,44,7,729,94,352
"103","LOC113668013","NA","NA","NA","NA",67,78,207,72,164,33,236,122,233,305,197,146
"104","LOC113668014","GO:0008113,GO:0055114","peptide-methionine (S)-S-oxide reductase activity,oxidation-reduction process","MF,BP","0.0457938836599337,0",1568,2024,1404,1581,499,389,894,627,111,550,459,401
"105","LOC113668070","NA","NA","NA","NA",12,6,6,12,14,20,18,22,15,68,34,28
"106","LOC113668080","GO:0016491,GO:0055114","oxidoreductase activity,oxidation-reduction process","MF,BP","7.40020079886829e-08,0",402,936,504,723,20,7,52,109,24,89,274,135
"107","LOC113668119","NA","NA","NA","NA",38,47,50,61,39,47,65,31,15,187,52,45
"108","LOC113668150","GO:0003723,GO:0003723,GO:0003723,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515","RNA binding,RNA binding,RNA binding,protein binding,protein binding,protein binding,protein binding,protein binding,protein binding","MF,MF,MF,MF,MF,MF,MF,MF,MF","1.20929554067477e-06,1.20929554067477e-06,1.20929554067477e-06,4.55882921845145e-116,4.55882921845145e-116,4.55882921845145e-116,4.55882921845145e-116,4.55882921845145e-116,4.55882921845145e-116",59,214,197,381,974,355,1090,328,1112,842,796,930
"109","LOC113668167","GO:0016787","hydrolase activity","MF","4.16634370844935e-10",1307,1822,1242,1208,338,358,593,481,244,346,297,253
"110","LOC113668306","NA","NA","NA","NA",32,38,24,28,50,46,61,67,70,114,166,52
"111","LOC113668327","NA","NA","NA","NA",19,17,43,18,52,31,38,12,35,38,34,62
"112","LOC113668410","NA","NA","NA","NA",31,27,75,42,63,32,82,6,69,214,35,45
"113","LOC113668440","GO:0005515","protein binding","MF","4.55882921845145e-116",54,69,130,136,518,440,616,317,207,506,499,468
"114","LOC113668461","GO:0015267,GO:0016020,GO:0055085","channel activity,membrane,transmembrane transport","MF,CC,BP","0.0352826585315981,0,0",25,14,29,26,25,22,38,27,17,26,13,17
"115","LOC113668481","GO:0000981,GO:0000981,GO:0003677,GO:0003677,GO:0003677,GO:0003677,GO:0006355,GO:0006355,GO:0006355,GO:0006355","DNA-binding transcription factor activity, RNA polymerase II-specific,DNA-binding transcription factor activity, RNA polymerase II-specific,DNA binding,DNA binding,DNA binding,DNA binding,regulation of transcription, DNA-templated,regulation of transcription, DNA-templated,regulation of transcription, DNA-templated,regulation of transcription, DNA-templated","MF,MF,MF,MF,MF,MF,BP,BP,BP,BP","0.0406946940677567,0.0406946940677567,1.39255035582582e-07,1.39255035582582e-07,1.39255035582582e-07,1.39255035582582e-07,3.81978759635764e-12,3.81978759635764e-12,3.81978759635764e-12,3.81978759635764e-12",381,218,288,264,802,216,197,438,171,166,165,147
"116","LOC113668497","NA","NA","NA","NA",159,230,164,204,34,67,62,57,14,59,58,31
"117","LOC113668658","NA","NA","NA","NA",22,62,36,48,87,46,99,59,78,126,91,59
"118","LOC113668755","NA","NA","NA","NA",505,366,657,437,750,708,1006,492,96,1224,767,717
"119","LOC113668902","NA","NA","NA","NA",32,23,54,54,82,33,43,28,15,40,18,52
"120","LOC113668931","GO:0004421,GO:0008299,GO:0016746","hydroxymethylglutaryl-CoA synthase activity,isoprenoid biosynthetic process,transferase activity, transferring acyl groups","MF,BP,MF","0.0322054359198057,0.00102119676814115,0.0322054359198057",399,403,538,456,139,114,163,118,57,169,120,153
"121","LOC113668956","NA","NA","NA","NA",13,1,9,7,40,11,34,7,16,43,53,37
"122","LOC113669005","NA","NA","NA","NA",328,311,279,331,108,92,129,74,74,119,85,95
"123","LOC113669015","GO:0004222,GO:0004222,GO:0006508,GO:0006508,GO:0006508,GO:0006508,GO:0008237,GO:0008237","metalloendopeptidase activity,metalloendopeptidase activity,proteolysis,proteolysis,proteolysis,proteolysis,metallopeptidase activity,metallopeptidase activity","MF,MF,BP,BP,BP,BP,MF,MF","0.00110881784793199,0.00110881784793199,0,0,0,0,1.10079518269249e-06,1.10079518269249e-06",324,316,565,337,279,504,711,170,358,686,267,515
"124","LOC113669063","GO:0016020,GO:0030001,GO:0046873,GO:0055085","membrane,metal ion transport,metal ion transmembrane transporter activity,transmembrane transport","CC,BP,MF,BP","0,0.0323053976687428,0.0323053976687428,0",627,778,892,533,9,33,64,23,13,8,156,15
"125","LOC113669105","GO:0005524,GO:0016887","ATP binding,ATPase activity","MF,MF","2.32907656908861e-37,1.43742768325253e-06",254,192,284,104,296,159,236,147,156,298,256,288
"126","LOC113669170","NA","NA","NA","NA",387,576,736,521,737,248,889,602,510,998,972,1074
"127","LOC113669293","NA","NA","NA","NA",14,35,42,44,95,58,84,7,42,54,100,62
"128","LOC113669355","GO:0003950,GO:0003950","NAD+ ADP-ribosyltransferase activity,NAD+ ADP-ribosyltransferase activity","MF,MF","1.22128963638952e-06,1.22128963638952e-06",63,69,92,47,94,137,110,76,83,85,69,118
"129","LOC113669444","GO:0003950","NAD+ ADP-ribosyltransferase activity","MF","1.22128963638952e-06",228,121,224,148,179,250,235,130,147,161,159,229
"130","LOC113669449","GO:0003950","NAD+ ADP-ribosyltransferase activity","MF","1.22128963638952e-06",49,9,29,59,60,67,145,35,72,21,27,76
"131","LOC113669493","GO:0008146","sulfotransferase activity","MF","0.0022902068483408",37,26,23,29,85,95,103,117,34,114,16,64
"132","LOC113669646","GO:0016755","transferase activity, transferring amino-acyl groups","MF","0.0701931396394726",33,5,23,7,41,49,18,65,10,81,8,11
"133","LOC113669658","NA","NA","NA","NA",16,23,19,31,28,13,30,20,16,25,20,22
"134","LOC113669730","NA","NA","NA","NA",1617,2259,1167,1617,517,422,803,444,186,484,333,266
"135","LOC113669770","GO:0005509","calcium ion binding","MF","4.40274315060415e-12",103,33,76,61,77,77,116,91,111,113,104,90
"136","LOC113669782","GO:0005515","protein binding","MF","4.55882921845145e-116",29,32,31,20,96,62,70,38,55,69,102,117
"137","LOC113669798","NA","NA","NA","NA",1007,3469,3976,5003,805,342,812,781,432,397,631,770
