"","gene_id","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","X1_2","X2_2","X4_2","X11_2","X28_2","X35_2","X36_2","X38_2","X39_2","X41_2","X42_2","X47_2"
"123","LOC113670163","GO:0015377",0.0478188577994163,0.999415314945379,1,2,"cation:chloride symporter activity","MF",338.75254341186,0.780259740854195,0.238420708316255,3.27261732575348,0.00106556637706442,0.0371633049290529,"CvsHigh",278,116,662,402,305,254,154,223,709,938,373,296
"154","LOC113672399","GO:0004122",0.0475188316528492,0.999422718813608,1,2,"cystathionine beta-synthase activity","MF",39.7914511828995,-1.44823137629141,0.268885415834233,-5.38605402527386,7.20213228013238e-08,1.3475773452799e-05,"CvsMid",44,17,35,30,36,57,35,40,41,33,44,47
"155","LOC113672399","GO:0004122",0.0475188316528492,0.999422718813608,1,2,"cystathionine beta-synthase activity","MF",39.7914511828995,-1.13080027389517,0.273802827297435,-4.12998026739428,3.62794371839791e-05,0.00243609735778959,"CvsHigh",44,17,35,30,36,57,35,40,41,33,44,47
"183","LOC113673942","GO:0019781",0.0471274068320963,0.999432305505108,1,2,"NEDD8 activating enzyme activity","MF",121.825884930526,3.8139611933623,0.944201081968218,4.0393527037821,5.35989151037685e-05,0.00440773526417776,"CvsMid",14,80,265,361,8,0,165,26,570,583,11,21
"220","LOC113676704","GO:0004719",0.0499573993651556,0.9993611391726,1,2,"protein-L-isoaspartate (D-aspartate) O-methyltransferase activity","MF",129.518261733919,1.22506993137963,0.334694664355024,3.660261312323,0.000251958164481727,0.0122407464751368,"CvsHigh",102,25,298,434,54,80,86,88,224,319,126,92
"223","LOC113677344","GO:0008253",0.0236587900822044,1,1,1,"5'-nucleotidase activity","MF",102.528765822501,-2.19211823119427,0.549303712236053,-3.99072167612122,6.58725471576765e-05,0.00515294512963384,"CvsMid",58,38,70,54,89,67,96,93,71,76,66,292
"236","LOC113678608","GO:0042284",0.0235143554754799,1,1,1,"sphingolipid delta-4 desaturase activity","MF",1176.3857048497,1.05549464547682,0.239546770604786,4.40621529904996,1.05192410665941e-05,0.000939673624568144,"CvsHigh",908,339,2826,2355,1165,1001,522,617,2746,2549,1298,626
"269","LOC113680594","GO:0032422",0.0240028421936103,1,1,1,"purine-rich negative regulatory element binding","MF",950.968176373921,-2.77922539513829,0.818383311208124,-3.39599470941741,0.000683796812645035,0.0268211067078843,"CvsHigh",1190,1038,190,610,1087,1351,24,1361,270,112,1265,934
"270","LOC113680594","GO:0032422",0.0240028421936103,1,1,1,"purine-rich negative regulatory element binding","MF",950.968176373921,-2.98552879020641,0.818336609458777,-3.6482894150134,0.000263992158695237,0.016102358719358,"CvsMid",1190,1038,190,610,1087,1351,24,1361,270,112,1265,934
"310","LOC113682887","GO:0008119",0.0457080750837349,0.999466378271985,1,2,"thiopurine S-methyltransferase activity","MF",152.769285902976,1.66082389287102,0.353204312085306,4.70216199532101,2.57421132962372e-06,0.000276298682712946,"CvsHigh",91,31,431,431,85,101,51,55,323,315,172,163
"361","LOC113686913","GO:0008239",0.0480356765860252,0.999409934320708,1,2,"dipeptidyl-peptidase activity","MF",132.168190832929,-1.10972005717129,0.291452910206312,-3.80754495258169,0.000140353232030967,0.00957305837783628,"CvsMid",153,101,119,151,108,188,117,79,134,121,170,99
"362","LOC113686913","GO:0008239",0.0480356765860252,0.999409934320708,1,2,"dipeptidyl-peptidase activity","MF",132.168190832929,-0.978097004450725,0.292107166614121,-3.34841837599558,0.000812742175097675,0.0305331561750006,"CvsHigh",153,101,119,151,108,188,117,79,134,121,170,99
