"","gene_id","X1_2","X2_2","X4_2","X11_2","X28_2","X35_2","X36_2","X38_2","X39_2","X41_2","X42_2","X47_2","Treatment_Compare","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"320","LOC113669920",362,178,296,368,305,264,340,426,366,470,337,389,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"324","LOC113669947",238,21,83,136,175,91,306,322,76,160,257,178,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"338","LOC113670157",20,13,580,526,17,292,83,0,393,485,27,7,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"361","LOC113670244",62,46,4,15,40,88,42,115,25,59,41,56,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"374","LOC113670459",76,25,354,499,57,165,113,98,510,653,127,70,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"400","LOC113671094",233,157,87,113,166,115,274,284,133,226,228,141,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"402","LOC113671171",117,100,57,37,75,51,43,59,66,41,122,25,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"418","LOC113671517",111,235,100,99,132,151,159,149,21,146,100,144,"CvsHigh","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"441","LOC113672368",31,32,26,46,29,75,25,46,56,44,27,19,"CvsHigh","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"454","LOC113672564",261,158,777,1082,222,171,152,158,575,683,256,242,"CvsHigh","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"462","LOC113672624",88,46,51,14,46,76,62,62,78,32,59,31,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"477","LOC113672776",28,10,10,1,11,14,22,26,11,13,20,12,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"484","LOC113672842",35,29,53,38,25,55,187,72,27,59,48,29,"CvsHigh","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"488","LOC113673056",162,47,421,444,158,171,115,143,448,517,239,123,"CvsHigh","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"492","LOC113673097",165,75,84,193,103,214,335,238,230,144,165,142,"CvsHigh","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"512","LOC113673390",935,431,81,145,893,1166,1125,824,252,99,986,384,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"515","LOC113673427",244,33,49,41,104,138,229,327,84,166,125,66,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"525","LOC113673554",33,25,270,176,45,36,20,27,148,84,86,27,"CvsHigh","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"535","LOC113673745",184,447,236,206,161,365,430,121,212,147,335,116,"CvsHigh","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"543","LOC113673983",198,49,774,632,205,249,120,134,763,799,386,194,"CvsHigh","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"581","LOC113674672",44,27,133,160,46,91,79,59,147,209,50,20,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"582","LOC113674693",136,224,103,204,183,249,159,196,55,21,286,147,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"584","LOC113674773",16,114,294,168,12,13,23,199,221,206,30,14,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"625","LOC113675528",109,80,115,85,84,97,95,145,56,71,125,103,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"636","LOC113675828",178,162,20,70,151,164,202,206,36,12,180,110,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"650","LOC113676077",41,37,42,37,38,43,40,85,55,42,39,37,"CvsHigh","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"659","LOC113676347",231,130,838,979,236,410,291,258,958,1064,277,185,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"673","LOC113676604",56,109,29,11,79,12,58,47,20,9,103,45,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"681","LOC113676766",20,11,10,10,24,25,22,23,12,5,17,15,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"694","LOC113677102",30,37,131,147,28,34,65,37,111,113,29,16,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"713","LOC113677300",152,0,587,665,87,44,65,101,491,554,161,143,"CvsHigh","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"716","LOC113677321",135,120,39,43,123,145,141,146,46,40,147,82,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"729","LOC113677411",25,36,6,55,8,21,99,86,7,12,23,49,"CvsHigh","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"737","LOC113677629",207,44,109,116,246,142,129,190,185,28,226,108,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"750","LOC113677808",64,20,65,23,22,62,80,101,56,60,64,26,"CvsHigh","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"760","LOC113678090",92,56,83,60,49,68,107,130,81,71,83,61,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"790","LOC113678667",75,19,27,19,47,34,29,110,45,31,48,22,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"804","LOC113678949",29,7,15,14,19,21,37,37,16,6,5,12,"CvsHigh","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"810","LOC113679025",91,16,1150,293,139,128,72,90,622,450,259,103,"CvsHigh","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"813","LOC113679109",221,112,195,101,157,223,230,307,94,170,257,196,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"821","LOC113679436",29,27,41,20,24,32,33,31,35,35,20,19,"CvsHigh","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"867","LOC113680469",77,43,91,77,55,91,72,169,56,104,80,107,"CvsHigh","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"878","LOC113680735",129,75,366,327,80,172,142,128,337,380,136,93,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"879","LOC113680763",34,7,190,163,16,34,39,51,139,319,41,75,"CvsHigh","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"882","LOC113680950",160,111,187,218,141,211,184,258,195,339,192,156,"CvsHigh","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"888","LOC113680970",112,39,157,108,86,134,168,144,110,131,123,68,"CvsHigh","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"894","LOC113681196",509,455,1977,3572,223,506,826,1007,2733,3013,976,471,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"896","LOC113681218",46,120,52,6,51,217,384,68,2,84,171,57,"CvsHigh","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"913","LOC113681388",45,35,54,85,43,54,88,64,47,58,52,33,"CvsHigh","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"942","LOC113682109",150,185,101,270,112,150,395,162,162,125,171,148,"CvsHigh","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"959","LOC113682541",44,16,137,167,39,64,40,28,143,173,86,36,"CvsHigh","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"976","LOC113682635",187,0,14,25,51,45,31,47,19,49,61,126,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"994","LOC113683282",91,47,41,7,83,51,33,69,8,27,24,45,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"1010","LOC113683602",32,82,149,190,27,89,96,106,172,267,40,25,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"1016","LOC113683627",391,236,105,109,263,268,369,389,105,82,311,54,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"1020","LOC113683721",25,31,4,13,19,10,16,12,12,10,11,8,"CvsHigh","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"1030","LOC113684175",22,10,8,14,8,11,16,19,10,11,12,8,"CvsHigh","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"1031","LOC113684177",325,205,36,13,349,237,20,386,29,56,24,290,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"1037","LOC113684224",530,274,218,466,407,406,530,546,686,670,529,332,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"1124","LOC113686351",37,50,5,42,20,32,34,44,7,9,41,44,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"1126","LOC113686389",15,8,5,10,12,14,13,17,8,10,16,8,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"1130","LOC113686444",67,35,27,33,56,30,50,88,15,15,55,51,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"1135","LOC113686485",119,29,378,406,100,151,77,73,344,320,197,92,"CvsHigh","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"1150","LOC113687093",103,33,51,65,78,141,110,135,77,88,113,71,"CvsMid","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"102","LOC113665451",270,168,187,467,228,419,303,385,350,374,357,265,"CvsHigh","GO:0005524",2.32907656908861e-37,1,25,25,"ATP binding","MF"
"111","LOC113665493",580,132,1257,959,425,449,277,328,1328,1344,545,368,"CvsHigh","GO:0005524",2.32907656908861e-37,1,25,25,"ATP binding","MF"
"122","LOC113665701",56,49,38,29,28,58,46,87,31,38,41,25,"CvsMid","GO:0005524",2.32907656908861e-37,1,25,25,"ATP binding","MF"
"126","LOC113665702",68,117,49,81,52,83,75,82,108,71,89,39,"CvsHigh","GO:0005524",2.32907656908861e-37,1,25,25,"ATP binding","MF"
"220","LOC113667213",214,100,518,535,180,203,132,200,536,588,235,168,"CvsHigh","GO:0005524",2.32907656908861e-37,1,25,25,"ATP binding","MF"
"296","LOC113669105",296,156,254,192,159,298,256,288,284,104,236,147,"CvsMid","GO:0005524",2.32907656908861e-37,1,25,25,"ATP binding","MF"
"357","LOC113670218",92,16,24,25,46,71,7,97,14,26,71,43,"CvsMid","GO:0005524",2.32907656908861e-37,1,25,25,"ATP binding","MF"
"362","LOC113670244",62,46,4,15,40,88,42,115,25,59,41,56,"CvsMid","GO:0005524",2.32907656908861e-37,1,25,25,"ATP binding","MF"
"370","LOC113670426",109,0,8,14,28,88,47,140,7,43,110,65,"CvsMid","GO:0005524",2.32907656908861e-37,1,25,25,"ATP binding","MF"
"431","LOC113671849",146,79,339,397,132,132,76,115,389,455,216,129,"CvsHigh","GO:0005524",2.32907656908861e-37,1,25,25,"ATP binding","MF"
"458","LOC113672621",121,78,79,25,79,98,92,209,91,39,170,12,"CvsHigh","GO:0005524",2.32907656908861e-37,1,25,25,"ATP binding","MF"
"489","LOC113673097",165,75,84,193,103,214,335,238,230,144,165,142,"CvsHigh","GO:0005524",2.32907656908861e-37,1,25,25,"ATP binding","MF"
"496","LOC113673162",75,83,21,12,47,56,88,72,9,24,28,39,"CvsMid","GO:0005524",2.32907656908861e-37,1,25,25,"ATP binding","MF"
"573","LOC113674426",71,22,189,138,53,68,34,42,168,239,93,52,"CvsHigh","GO:0005524",2.32907656908861e-37,1,25,25,"ATP binding","MF"
"744","LOC113677713",118,141,80,237,109,160,188,190,73,73,145,85,"CvsHigh","GO:0005524",2.32907656908861e-37,1,25,25,"ATP binding","MF"
"800","LOC113678791",95,19,11,20,35,180,36,112,23,67,63,61,"CvsMid","GO:0005524",2.32907656908861e-37,1,25,25,"ATP binding","MF"
"805","LOC113678968",60,37,24,2,30,61,42,65,26,26,63,31,"CvsMid","GO:0005524",2.32907656908861e-37,1,25,25,"ATP binding","MF"
"818","LOC113679283",104,112,51,172,159,146,121,119,68,119,93,87,"CvsHigh","GO:0005524",2.32907656908861e-37,1,25,25,"ATP binding","MF"
"884","LOC113680964",125,75,364,368,102,119,107,160,428,431,216,113,"CvsHigh","GO:0005524",2.32907656908861e-37,1,25,25,"ATP binding","MF"
"901","LOC113681278",366,220,425,488,320,474,442,327,367,444,393,169,"CvsHigh","GO:0005524",2.32907656908861e-37,1,25,25,"ATP binding","MF"
"960","LOC113682549",61,14,254,248,42,71,47,64,206,253,95,64,"CvsHigh","GO:0005524",2.32907656908861e-37,1,25,25,"ATP binding","MF"
"974","LOC113682626",200,103,48,112,112,231,265,252,37,102,333,139,"CvsMid","GO:0005524",2.32907656908861e-37,1,25,25,"ATP binding","MF"
"1014","LOC113683627",391,236,105,109,263,268,369,389,105,82,311,54,"CvsMid","GO:0005524",2.32907656908861e-37,1,25,25,"ATP binding","MF"
"1059","LOC113684634",10,4,14,10,14,17,12,14,7,17,13,32,"CvsMid","GO:0005524",2.32907656908861e-37,1,25,25,"ATP binding","MF"
"1156","LOC113687128",30,26,18,21,23,22,37,29,22,42,29,23,"CvsMid","GO:0005524",2.32907656908861e-37,1,25,25,"ATP binding","MF"
"3","LOC113664124",27,20,20,5,21,15,16,31,21,6,34,15,"CvsMid","GO:0004930",0,1,15,15,"G protein-coupled receptor activity","MF"
"34","LOC113664448",22,15,20,3,20,22,23,26,23,27,27,22,"CvsMid","GO:0008270",0,1,15,15,"zinc ion binding","MF"
"38","LOC113664491",14,34,19,5,26,23,32,23,10,17,35,25,"CvsMid","GO:0004930",0,1,15,15,"G protein-coupled receptor activity","MF"
"69","LOC113664893",91,60,69,45,64,76,57,39,43,56,85,44,"CvsMid","GO:0004930",0,1,15,15,"G protein-coupled receptor activity","MF"
"74","LOC113664907",1423,842,5229,5619,1974,1834,1653,1316,4480,4382,2290,1607,"CvsHigh","GO:0008270",0,1,15,15,"zinc ion binding","MF"
"110","LOC113665493",580,132,1257,959,425,449,277,328,1328,1344,545,368,"CvsHigh","GO:0004672",0,1,15,15,"protein kinase activity","MF"
"123","LOC113665701",56,49,38,29,28,58,46,87,31,38,41,25,"CvsMid","GO:0004672",0,1,15,15,"protein kinase activity","MF"
"129","LOC113665702",68,117,49,81,52,83,75,82,108,71,89,39,"CvsHigh","GO:0004672",0,1,15,15,"protein kinase activity","MF"
"143","LOC113666117",14,8,6,4,7,11,24,10,11,7,14,8,"CvsMid","GO:0008270",0,1,15,15,"zinc ion binding","MF"
"167","LOC113666479",158,214,47,10,220,252,192,195,23,58,258,116,"CvsMid","GO:0008270",0,1,15,15,"zinc ion binding","MF"
"172","LOC113666586",75,25,191,267,51,87,58,85,228,434,123,110,"CvsHigh","GO:0008270",0,1,15,15,"zinc ion binding","MF"
"330","LOC113670042",23,48,18,35,25,17,54,45,41,38,33,40,"CvsHigh","GO:0004930",0,1,15,15,"G protein-coupled receptor activity","MF"
"333","LOC113670052",99,23,50,33,51,93,71,75,60,47,75,61,"CvsMid","GO:0008270",0,1,15,15,"zinc ion binding","MF"
"358","LOC113670218",92,16,24,25,46,71,7,97,14,26,71,43,"CvsMid","GO:0004672",0,1,15,15,"protein kinase activity","MF"
"363","LOC113670244",62,46,4,15,40,88,42,115,25,59,41,56,"CvsMid","GO:0004672",0,1,15,15,"protein kinase activity","MF"
"369","LOC113670426",109,0,8,14,28,88,47,140,7,43,110,65,"CvsMid","GO:0004672",0,1,15,15,"protein kinase activity","MF"
"395","LOC113671029",40,36,25,17,9,25,44,34,24,8,28,45,"CvsMid","GO:0004930",0,1,15,15,"G protein-coupled receptor activity","MF"
"439","LOC113672358",30,8,232,222,15,17,24,34,348,129,15,0,"CvsMid","GO:0008270",0,1,15,15,"zinc ion binding","MF"
"457","LOC113672621",121,78,79,25,79,98,92,209,91,39,170,12,"CvsHigh","GO:0004672",0,1,15,15,"protein kinase activity","MF"
"467","LOC113672662",1775,650,1077,1485,1433,1854,1499,1343,2219,2107,1665,785,"CvsMid","GO:0008270",0,1,15,15,"zinc ion binding","MF"
"485","LOC113672901",37,14,38,36,27,48,43,40,48,46,38,19,"CvsHigh","GO:0004930",0,1,15,15,"G protein-coupled receptor activity","MF"
"490","LOC113673097",165,75,84,193,103,214,335,238,230,144,165,142,"CvsHigh","GO:0004672",0,1,15,15,"protein kinase activity","MF"
"495","LOC113673162",75,83,21,12,47,56,88,72,9,24,28,39,"CvsMid","GO:0004672",0,1,15,15,"protein kinase activity","MF"
"507","LOC113673305",19,18,15,14,19,18,15,21,15,18,21,6,"CvsHigh","GO:0004930",0,1,15,15,"G protein-coupled receptor activity","MF"
"547","LOC113674261",94,32,13,30,56,127,118,14,67,29,100,57,"CvsMid","GO:0004930",0,1,15,15,"G protein-coupled receptor activity","MF"
"571","LOC113674426",71,22,189,138,53,68,34,42,168,239,93,52,"CvsHigh","GO:0004672",0,1,15,15,"protein kinase activity","MF"
"637","LOC113675828",178,162,20,70,151,164,202,206,36,12,180,110,"CvsMid","GO:0008270",0,1,15,15,"zinc ion binding","MF"
"639","LOC113675830",88,43,51,53,40,50,83,98,81,48,29,31,"CvsHigh","GO:0008270",0,1,15,15,"zinc ion binding","MF"
"651","LOC113676077",41,37,42,37,38,43,40,85,55,42,39,37,"CvsHigh","GO:0008270",0,1,15,15,"zinc ion binding","MF"
"675","LOC113676627",239,275,369,296,254,317,307,305,472,440,267,149,"CvsHigh","GO:0008270",0,1,15,15,"zinc ion binding","MF"
"689","LOC113676989",26,54,24,39,38,29,40,33,24,25,35,23,"CvsHigh","GO:0004930",0,1,15,15,"G protein-coupled receptor activity","MF"
"742","LOC113677713",118,141,80,237,109,160,188,190,73,73,145,85,"CvsHigh","GO:0004672",0,1,15,15,"protein kinase activity","MF"
"794","LOC113678765",197,83,796,631,220,197,157,162,541,522,305,181,"CvsHigh","GO:0008270",0,1,15,15,"zinc ion binding","MF"
"806","LOC113678968",60,37,24,2,30,61,42,65,26,26,63,31,"CvsMid","GO:0004672",0,1,15,15,"protein kinase activity","MF"
"817","LOC113679283",104,112,51,172,159,146,121,119,68,119,93,87,"CvsHigh","GO:0004672",0,1,15,15,"protein kinase activity","MF"
"889","LOC113681103",50,124,60,22,63,20,33,96,18,43,23,24,"CvsHigh","GO:0004930",0,1,15,15,"G protein-coupled receptor activity","MF"
"911","LOC113681384",46,39,10,9,40,52,15,10,12,21,4,36,"CvsMid","GO:0004930",0,1,15,15,"G protein-coupled receptor activity","MF"
"938","LOC113681925",8,343,43,28,171,305,15,15,35,36,16,153,"CvsHigh","GO:0004930",0,1,15,15,"G protein-coupled receptor activity","MF"
"1006","LOC113683506",194,118,620,531,215,196,137,236,645,553,210,138,"CvsHigh","GO:0008270",0,1,15,15,"zinc ion binding","MF"
"1055","LOC113684534",18,6,25,15,26,38,21,28,20,24,40,24,"CvsMid","GO:0004930",0,1,15,15,"G protein-coupled receptor activity","MF"
"1058","LOC113684634",10,4,14,10,14,17,12,14,7,17,13,32,"CvsMid","GO:0004672",0,1,15,15,"protein kinase activity","MF"
"1085","LOC113685434",52,27,50,45,64,66,54,46,46,36,57,34,"CvsMid","GO:0004930",0,1,15,15,"G protein-coupled receptor activity","MF"
"1108","LOC113686179",17,10,7,7,11,25,19,24,18,3,12,9,"CvsMid","GO:0004930",0,1,15,15,"G protein-coupled receptor activity","MF"
"1151","LOC113687093",103,33,51,65,78,141,110,135,77,88,113,71,"CvsMid","GO:0008270",0,1,15,15,"zinc ion binding","MF"
"1154","LOC113687128",30,26,18,21,23,22,37,29,22,42,29,23,"CvsMid","GO:0004672",0,1,15,15,"protein kinase activity","MF"
"24","LOC113664340",29,17,115,185,26,34,37,32,128,96,45,37,"CvsHigh","GO:0003676",0,1,10,10,"nucleic acid binding","MF"
"45","LOC113664618",107,133,461,457,66,287,340,210,450,607,159,142,"CvsMid","GO:0003676",0,1,10,10,"nucleic acid binding","MF"
"96","LOC113665371",42,34,34,22,27,61,32,57,24,29,58,25,"CvsMid","GO:0003676",0,1,10,10,"nucleic acid binding","MF"
"147","LOC113666187",12,3,89,91,13,38,20,32,209,230,12,6,"CvsMid","GO:0003676",0,1,10,10,"nucleic acid binding","MF"
"169","LOC113666479",158,214,47,10,220,252,192,195,23,58,258,116,"CvsMid","GO:0003676",0,1,10,10,"nucleic acid binding","MF"
"217","LOC113667213",214,100,518,535,180,203,132,200,536,588,235,168,"CvsHigh","GO:0003676",0,1,10,10,"nucleic acid binding","MF"
"438","LOC113672358",30,8,232,222,15,17,24,34,348,129,15,0,"CvsMid","GO:0003676",0,1,10,10,"nucleic acid binding","MF"
"771","LOC113678426",16,75,41,36,20,41,50,38,36,33,40,14,"CvsHigh","GO:0003676",0,1,10,10,"nucleic acid binding","MF"
"905","LOC113681354",30,54,17,18,17,36,56,37,34,12,39,24,"CvsMid","GO:0003676",0,1,10,10,"nucleic acid binding","MF"
"1158","LOC113687133",55,52,56,77,65,71,49,128,93,82,81,38,"CvsHigh","GO:0003676",0,1,10,10,"nucleic acid binding","MF"
"14","LOC113664234",73,30,215,208,74,79,75,67,238,250,108,56,"CvsHigh","GO:0005525",3.66775810938267e-12,1,8,8,"GTP binding","MF"
"56","LOC113664742",198,97,1131,719,123,226,138,144,948,1152,263,131,"CvsMid","GO:0005509",4.40274315060415e-12,1,8,8,"calcium ion binding","MF"
"124","LOC113665701",56,49,38,29,28,58,46,87,31,38,41,25,"CvsMid","GO:0004713",7.43980754955202e-13,1,8,8,"protein tyrosine kinase activity","MF"
"128","LOC113665702",68,117,49,81,52,83,75,82,108,71,89,39,"CvsHigh","GO:0004713",7.43980754955202e-13,1,8,8,"protein tyrosine kinase activity","MF"
"194","LOC113666855",1613,564,2653,3157,1716,855,1014,1517,3605,3518,1959,1321,"CvsHigh","GO:0005525",3.66775810938267e-12,1,8,8,"GTP binding","MF"
"313","LOC113669770",77,111,103,33,77,113,104,90,76,61,116,91,"CvsMid","GO:0005509",4.40274315060415e-12,1,8,8,"calcium ion binding","MF"
"335","LOC113670059",499,225,429,465,323,937,652,475,724,608,661,297,"CvsHigh","GO:0005509",4.40274315060415e-12,1,8,8,"calcium ion binding","MF"
"346","LOC113670165",71,111,68,85,108,87,141,102,132,91,111,94,"CvsMid","GO:0005525",3.66775810938267e-12,1,8,8,"GTP binding","MF"
"372","LOC113670426",109,0,8,14,28,88,47,140,7,43,110,65,"CvsMid","GO:0004713",7.43980754955202e-13,1,8,8,"protein tyrosine kinase activity","MF"
"390","LOC113670989",98,161,44,76,47,92,193,78,61,33,100,79,"CvsMid","GO:0005509",4.40274315060415e-12,1,8,8,"calcium ion binding","MF"
"416","LOC113671494",385,215,946,858,291,412,365,406,1067,1044,493,360,"CvsHigh","GO:0005525",3.66775810938267e-12,1,8,8,"GTP binding","MF"
"491","LOC113673097",165,75,84,193,103,214,335,238,230,144,165,142,"CvsHigh","GO:0004713",7.43980754955202e-13,1,8,8,"protein tyrosine kinase activity","MF"
"498","LOC113673162",75,83,21,12,47,56,88,72,9,24,28,39,"CvsMid","GO:0004713",7.43980754955202e-13,1,8,8,"protein tyrosine kinase activity","MF"
"574","LOC113674431",1979,715,820,391,1609,1627,1762,1796,476,811,1770,267,"CvsMid","GO:0005509",4.40274315060415e-12,1,8,8,"calcium ion binding","MF"
"641","LOC113675837",128,77,805,527,98,109,72,111,428,364,139,100,"CvsMid","GO:0005525",3.66775810938267e-12,1,8,8,"GTP binding","MF"
"657","LOC113676278",193,152,190,162,255,122,103,92,181,190,178,214,"CvsMid","GO:0005525",3.66775810938267e-12,1,8,8,"GTP binding","MF"
"683","LOC113676896",24,70,12,36,17,27,27,29,13,17,49,32,"CvsHigh","GO:0005509",4.40274315060415e-12,1,8,8,"calcium ion binding","MF"
"745","LOC113677713",118,141,80,237,109,160,188,190,73,73,145,85,"CvsHigh","GO:0004713",7.43980754955202e-13,1,8,8,"protein tyrosine kinase activity","MF"
"819","LOC113679283",104,112,51,172,159,146,121,119,68,119,93,87,"CvsHigh","GO:0004713",7.43980754955202e-13,1,8,8,"protein tyrosine kinase activity","MF"
"844","LOC113680168",39,75,49,40,114,173,152,71,42,28,178,14,"CvsMid","GO:0005525",3.66775810938267e-12,1,8,8,"GTP binding","MF"
"853","LOC113680256",65,33,7,7,90,71,35,45,7,6,86,67,"CvsMid","GO:0005525",3.66775810938267e-12,1,8,8,"GTP binding","MF"
"1106","LOC113686086",195,167,149,171,155,195,196,146,102,192,198,179,"CvsMid","GO:0005509",4.40274315060415e-12,1,8,8,"calcium ion binding","MF"
