Orthogroup	Pocillopora_acuta_HIv1.genes.pep	Mcavernosa.maker.proteins
OG0000005	Pocillopora_acuta_HIv1_PredGene_g2399.t1	Mcavernosa30941-RA
OG0000006	Pocillopora_acuta_HIv1_PredGene_g12233.t1	Mcavernosa06791-RA, Mcavernosa06790-RA
OG0000006	Pocillopora_acuta_HIv1_PredGene_g12236.t1	Mcavernosa06384-RA
OG0000007	Pocillopora_acuta_HIv1_PredGene_g9348.t1, Pocillopora_acuta_HIv1_PredGene_g9349.t1, Pocillopora_acuta_HIv1_PredGene_g21114.t1, Pocillopora_acuta_HIv1_PredGene_g21116.t1, Pocillopora_acuta_HIv1_PredGene_g9350.t1, Pocillopora_acuta_HIv1_PredGene_g21115.t1, Pocillopora_acuta_HIv1_PredGene_g21113.t1, Pocillopora_acuta_HIv1_PredGene_g1206.t1	Mcavernosa20927-RA, Mcavernosa20926-RA, Mcavernosa21729-RA
OG0000008	Pocillopora_acuta_HIv1_PredGene_g31977.t1, Pocillopora_acuta_HIv1_PredGene_g9949.t2, Pocillopora_acuta_HIv1_PredGene_g9949.t3	Mcavernosa23941-RA
OG0000008	Pocillopora_acuta_HIv1_PredGene_g9500.t1, Pocillopora_acuta_HIv1_PredGene_g11091.t1	Mcavernosa27182-RA
OG0000009	Pocillopora_acuta_HIv1_PredGene_g12554.t1	Mcavernosa29373-RA, Mcavernosa18809-RA, Mcavernosa18811-RA
OG0000010	Pocillopora_acuta_HIv1_PredGene_g2730.t1, Pocillopora_acuta_HIv1_PredGene_g2731.t1, Pocillopora_acuta_HIv1_PredGene_g10839.t1, Pocillopora_acuta_HIv1_PredGene_g16472.t1	Mcavernosa08812-RA
OG0000010	Pocillopora_acuta_HIv1_PredGene_g26951.t1	Mcavernosa27646-RA, Mcavernosa27642-RA
OG0000010	Pocillopora_acuta_HIv1_PredGene_g8666.t1	Mcavernosa24647-RA
OG0000010	Pocillopora_acuta_HIv1_PredGene_g6927.t1, Pocillopora_acuta_HIv1_PredGene_g25762.t1	Mcavernosa30129-RA, Mcavernosa09742-RA, Mcavernosa32281-RA, Mcavernosa05088-RA
OG0000010	Pocillopora_acuta_HIv1_PredGene_g9408.t1	Mcavernosa23787-RA, Mcavernosa21569-RA, Mcavernosa27765-RA
OG0000012	Pocillopora_acuta_HIv1_PredGene_g1167.t1, Pocillopora_acuta_HIv1_PredGene_g21029.t1, Pocillopora_acuta_HIv1_PredGene_g24261.t1, Pocillopora_acuta_HIv1_PredGene_g8404.t1	Mcavernosa26506-RA
OG0000013	Pocillopora_acuta_HIv1_PredGene_g14829.t1, Pocillopora_acuta_HIv1_PredGene_g14830.t1, Pocillopora_acuta_HIv1_PredGene_g14834.t1	Mcavernosa01928-RA
OG0000013	Pocillopora_acuta_HIv1_PredGene_g15241.t1, Pocillopora_acuta_HIv1_PredGene_g31369.t1	Mcavernosa05514-RA, Mcavernosa31190-RA
OG0000014	Pocillopora_acuta_HIv1_PredGene_g26723.t1	Mcavernosa04969-RA
OG0000014	Pocillopora_acuta_HIv1_PredGene_g6036.t1, Pocillopora_acuta_HIv1_PredGene_g12645.t1	Mcavernosa35084-RA
OG0000015	Pocillopora_acuta_HIv1_PredGene_g27468.t1, Pocillopora_acuta_HIv1_PredGene_g25530.t1, Pocillopora_acuta_HIv1_PredGene_g25982.t1	Mcavernosa11759-RA
OG0000015	Pocillopora_acuta_HIv1_PredGene_g24744.t1	Mcavernosa22085-RA, Mcavernosa22082-RA
OG0000015	Pocillopora_acuta_HIv1_PredGene_g9746.t1	Mcavernosa32426-RA, Mcavernosa07340-RA, Mcavernosa19284-RA
OG0000016	Pocillopora_acuta_HIv1_PredGene_g30798.t1, Pocillopora_acuta_HIv1_PredGene_g3479.t1, Pocillopora_acuta_HIv1_PredGene_g3478.t1	Mcavernosa02666-RA
OG0000016	Pocillopora_acuta_HIv1_PredGene_g25711.t1, Pocillopora_acuta_HIv1_PredGene_g30152.t1, Pocillopora_acuta_HIv1_PredGene_g30150.t1	Mcavernosa17232-RA
OG0000016	Pocillopora_acuta_HIv1_PredGene_g3480.t1, Pocillopora_acuta_HIv1_PredGene_g30799.t1, Pocillopora_acuta_HIv1_PredGene_g30800.t1	Mcavernosa02665-RA
OG0000016	Pocillopora_acuta_HIv1_PredGene_g16962.t1	Mcavernosa08533-RA
OG0000017	Pocillopora_acuta_HIv1_PredGene_g24676.t1	Mcavernosa13033-RA
OG0000022	Pocillopora_acuta_HIv1_PredGene_g13382.t1, Pocillopora_acuta_HIv1_PredGene_g7747.t1, Pocillopora_acuta_HIv1_PredGene_g24661.t1, Pocillopora_acuta_HIv1_PredGene_g18490.t1, Pocillopora_acuta_HIv1_PredGene_g27530.t1, Pocillopora_acuta_HIv1_PredGene_g13383.t1, Pocillopora_acuta_HIv1_PredGene_g3522.t1, Pocillopora_acuta_HIv1_PredGene_g24660.t1, Pocillopora_acuta_HIv1_PredGene_g18491.t1, Pocillopora_acuta_HIv1_PredGene_g24662.t1, Pocillopora_acuta_HIv1_PredGene_g18489.t1, Pocillopora_acuta_HIv1_PredGene_g7746.t1	Mcavernosa09517-RA
OG0000024	Pocillopora_acuta_HIv1_PredGene_g14061.t1	Mcavernosa20067-RA
OG0000024	Pocillopora_acuta_HIv1_PredGene_g15187.t1, Pocillopora_acuta_HIv1_PredGene_g15190.t1	Mcavernosa28462-RA, Mcavernosa28463-RA, Mcavernosa28460-RA
OG0000025	Pocillopora_acuta_HIv1_PredGene_g30711.t1	Mcavernosa17511-RA
OG0000026	Pocillopora_acuta_HIv1_PredGene_g4215.t1	Mcavernosa21836-RA
OG0000026	Pocillopora_acuta_HIv1_PredGene_g8424.t1	Mcavernosa35125-RA
OG0000026	Pocillopora_acuta_HIv1_PredGene_g13341.t1	Mcavernosa30421-RA, Mcavernosa32102-RA
OG0000026	Pocillopora_acuta_HIv1_PredGene_g25956.t1	Mcavernosa23528-RA
OG0000026	Pocillopora_acuta_HIv1_PredGene_g19298.t1	Mcavernosa27409-RA
OG0000026	Pocillopora_acuta_HIv1_PredGene_g12651.t1	Mcavernosa35169-RA
OG0000026	Pocillopora_acuta_HIv1_PredGene_g25957.t1	Mcavernosa23527-RA, Mcavernosa27410-RA
OG0000026	Pocillopora_acuta_HIv1_PredGene_g3538.t1	Mcavernosa05764-RA
OG0000028	Pocillopora_acuta_HIv1_PredGene_g8017.t1, Pocillopora_acuta_HIv1_PredGene_g8018.t1	Mcavernosa12684-RA
OG0000028	Pocillopora_acuta_HIv1_PredGene_g8032.t1	Mcavernosa12683-RA
OG0000028	Pocillopora_acuta_HIv1_PredGene_g3078.t1	Mcavernosa06422-RA, Mcavernosa06424-RA, Mcavernosa06425-RA
OG0000029	Pocillopora_acuta_HIv1_PredGene_g27339.t1, Pocillopora_acuta_HIv1_PredGene_g3536.t1, Pocillopora_acuta_HIv1_PredGene_g12774.t1	Mcavernosa08557-RA
OG0000030	Pocillopora_acuta_HIv1_PredGene_17023_t	Mcavernosa11106-RA
OG0000030	Pocillopora_acuta_HIv1_PredGene_g19660.t1, Pocillopora_acuta_HIv1_PredGene_g11125.t1	Mcavernosa05559-RA
OG0000031	Pocillopora_acuta_HIv1_PredGene_g951.t1	Mcavernosa08071-RA, Mcavernosa08072-RA
OG0000031	Pocillopora_acuta_HIv1_PredGene_g948.t2, Pocillopora_acuta_HIv1_PredGene_g948.t1	Mcavernosa22757-RA
OG0000031	Pocillopora_acuta_HIv1_PredGene_g8165.t1, Pocillopora_acuta_HIv1_PredGene_878_t, Pocillopora_acuta_HIv1_PredGene_g8166.t1	Mcavernosa26713-RA
OG0000032	Pocillopora_acuta_HIv1_PredGene_g131.t1, Pocillopora_acuta_HIv1_PredGene_g3565.t1, Pocillopora_acuta_HIv1_PredGene_g748.t1, Pocillopora_acuta_HIv1_PredGene_g26732.t1, Pocillopora_acuta_HIv1_PredGene_g16655.t1, Pocillopora_acuta_HIv1_PredGene_g5846.t1, Pocillopora_acuta_HIv1_PredGene_g17219.t1	Mcavernosa04771-RA, Mcavernosa20647-RA, Mcavernosa35142-RA
OG0000033	Pocillopora_acuta_HIv1_PredGene_g22838.t1	Mcavernosa10155-RA, Mcavernosa17863-RA
OG0000033	Pocillopora_acuta_HIv1_PredGene_g13238.t1, Pocillopora_acuta_HIv1_PredGene_g13239.t1	Mcavernosa07294-RA, Mcavernosa34016-RA, Mcavernosa15363-RA, Mcavernosa09402-RA, Mcavernosa06544-RA, Mcavernosa25679-RA, Mcavernosa30294-RA
OG0000036	Pocillopora_acuta_HIv1_PredGene_g16774.t1, Pocillopora_acuta_HIv1_PredGene_g16773.t1, Pocillopora_acuta_HIv1_PredGene_g16771.t1, Pocillopora_acuta_HIv1_PredGene_g16770.t1, Pocillopora_acuta_HIv1_PredGene_15826_t, Pocillopora_acuta_HIv1_PredGene_g16777.t1, Pocillopora_acuta_HIv1_PredGene_g16778.t1, Pocillopora_acuta_HIv1_PredGene_g16779.t1	Mcavernosa16240-RA, Mcavernosa16237-RA, Mcavernosa31508-RA
OG0000036	Pocillopora_acuta_HIv1_PredGene_g16775.t1	Mcavernosa16239-RA, Mcavernosa31509-RA, Mcavernosa16235-RA
OG0000036	Pocillopora_acuta_HIv1_PredGene_g27875.t1	Mcavernosa14061-RA, Mcavernosa14062-RA
OG0000037	Pocillopora_acuta_HIv1_PredGene_g19977.t1, Pocillopora_acuta_HIv1_PredGene_g8372.t1	Mcavernosa16912-RA, Mcavernosa33765-RA
OG0000038	Pocillopora_acuta_HIv1_PredGene_g29150.t1, Pocillopora_acuta_HIv1_PredGene_g29150.t2, Pocillopora_acuta_HIv1_PredGene_g23887.t1, Pocillopora_acuta_HIv1_PredGene_g17537.t1, Pocillopora_acuta_HIv1_PredGene_g32219.t1, Pocillopora_acuta_HIv1_PredGene_g18248.t1, Pocillopora_acuta_HIv1_PredGene_g3504.t1, Pocillopora_acuta_HIv1_PredGene_g13017.t3, Pocillopora_acuta_HIv1_PredGene_g16991.t1	Mcavernosa29578-RA, Mcavernosa04064-RA
OG0000038	Pocillopora_acuta_HIv1_PredGene_g7005.t1, Pocillopora_acuta_HIv1_PredGene_g16675.t2	Mcavernosa27468-RA
OG0000039	Pocillopora_acuta_HIv1_PredGene_g3924.t1	Mcavernosa08607-RA
OG0000040	Pocillopora_acuta_HIv1_PredGene_g29224.t2, Pocillopora_acuta_HIv1_PredGene_g29224.t1	Mcavernosa33843-RA
OG0000041	Pocillopora_acuta_HIv1_PredGene_g15756.t1, Pocillopora_acuta_HIv1_PredGene_g1809.t1, Pocillopora_acuta_HIv1_PredGene_g16511.t1, Pocillopora_acuta_HIv1_PredGene_g27097.t1, Pocillopora_acuta_HIv1_PredGene_g2343.t1	Mcavernosa29757-RA
OG0000042	Pocillopora_acuta_HIv1_PredGene_g964.t1	Mcavernosa21359-RA
OG0000044	Pocillopora_acuta_HIv1_PredGene_g6446.t2	Mcavernosa26607-RA
OG0000046	Pocillopora_acuta_HIv1_PredGene_g17090.t1, Pocillopora_acuta_HIv1_PredGene_g15032.t1, Pocillopora_acuta_HIv1_PredGene_g15036.t1, Pocillopora_acuta_HIv1_PredGene_g15021.t1, Pocillopora_acuta_HIv1_PredGene_g15043.t1	Mcavernosa16709-RA
OG0000046	Pocillopora_acuta_HIv1_PredGene_g8532.t1	Mcavernosa00477-RA
OG0000046	Pocillopora_acuta_HIv1_PredGene_g17135.t1	Mcavernosa02618-RA
OG0000048	Pocillopora_acuta_HIv1_PredGene_g7180.t1, Pocillopora_acuta_HIv1_PredGene_g7176.t1, Pocillopora_acuta_HIv1_PredGene_g7182.t1, Pocillopora_acuta_HIv1_PredGene_g7174.t1, Pocillopora_acuta_HIv1_PredGene_169_t, Pocillopora_acuta_HIv1_PredGene_g7175.t1, Pocillopora_acuta_HIv1_PredGene_g7181.t1, Pocillopora_acuta_HIv1_PredGene_g7179.t1, Pocillopora_acuta_HIv1_PredGene_g7183.t1, Pocillopora_acuta_HIv1_PredGene_g33513.t1, Pocillopora_acuta_HIv1_PredGene_g33512.t1, Pocillopora_acuta_HIv1_PredGene_g7173.t1, Pocillopora_acuta_HIv1_PredGene_g7178.t1, Pocillopora_acuta_HIv1_PredGene_g7185.t1	Mcavernosa07912-RA
OG0000048	Pocillopora_acuta_HIv1_PredGene_g8093.t1	Mcavernosa07916-RA, Mcavernosa07913-RA
OG0000049	Pocillopora_acuta_HIv1_PredGene_g30645.t1, Pocillopora_acuta_HIv1_PredGene_g30638.t1, Pocillopora_acuta_HIv1_PredGene_g30635.t1, Pocillopora_acuta_HIv1_PredGene_g30642.t1, Pocillopora_acuta_HIv1_PredGene_g30636.t1, Pocillopora_acuta_HIv1_PredGene_g30634.t1, Pocillopora_acuta_HIv1_PredGene_g30643.t1, Pocillopora_acuta_HIv1_PredGene_g30644.t1, Pocillopora_acuta_HIv1_PredGene_g30639.t1	Mcavernosa17537-RA, Mcavernosa19027-RA
OG0000049	Pocillopora_acuta_HIv1_PredGene_g22297.t1, Pocillopora_acuta_HIv1_PredGene_g31777.t1, Pocillopora_acuta_HIv1_PredGene_g31780.t1	Mcavernosa17819-RA
OG0000051	Pocillopora_acuta_HIv1_PredGene_g13215.t1, Pocillopora_acuta_HIv1_PredGene_g13214.t1	Mcavernosa32390-RA
OG0000051	Pocillopora_acuta_HIv1_PredGene_g11414.t1, Pocillopora_acuta_HIv1_PredGene_g21689.t1	Mcavernosa22649-RA
OG0000051	Pocillopora_acuta_HIv1_PredGene_g8684.t1, Pocillopora_acuta_HIv1_PredGene_g8683.t1, Pocillopora_acuta_HIv1_PredGene_g8685.t1	Mcavernosa31795-RA
OG0000052	Pocillopora_acuta_HIv1_PredGene_g5305.t1	Mcavernosa07140-RA
OG0000052	Pocillopora_acuta_HIv1_PredGene_g26863.t1, Pocillopora_acuta_HIv1_PredGene_g26862.t1, Pocillopora_acuta_HIv1_PredGene_g26864.t1, Pocillopora_acuta_HIv1_PredGene_g26861.t1	Mcavernosa31972-RA
OG0000052	Pocillopora_acuta_HIv1_PredGene_g15564.t1	Mcavernosa25562-RA
OG0000053	Pocillopora_acuta_HIv1_PredGene_g5680.t1	Mcavernosa27418-RA
OG0000053	Pocillopora_acuta_HIv1_PredGene_g5679.t1, Pocillopora_acuta_HIv1_PredGene_g5676.t1	Mcavernosa27416-RA, Mcavernosa22372-RA, Mcavernosa27417-RA, Mcavernosa22373-RA
OG0000055	Pocillopora_acuta_HIv1_PredGene_g29118.t1, Pocillopora_acuta_HIv1_PredGene_g21266.t1, Pocillopora_acuta_HIv1_PredGene_g13620.t1, Pocillopora_acuta_HIv1_PredGene_g32217.t1, Pocillopora_acuta_HIv1_PredGene_g21157.t1, Pocillopora_acuta_HIv1_PredGene_g24920.t1, Pocillopora_acuta_HIv1_PredGene_g25688.t1, Pocillopora_acuta_HIv1_PredGene_g6059.t1, Pocillopora_acuta_HIv1_PredGene_g12668.t1, Pocillopora_acuta_HIv1_PredGene_g750.t1, Pocillopora_acuta_HIv1_PredGene_g30469.t1, Pocillopora_acuta_HIv1_PredGene_g19881.t1, Pocillopora_acuta_HIv1_PredGene_g21156.t1, Pocillopora_acuta_HIv1_PredGene_g24921.t1, Pocillopora_acuta_HIv1_PredGene_g9631.t1	Mcavernosa19954-RA, Mcavernosa33237-RA, Mcavernosa28132-RA, Mcavernosa23280-RA
OG0000056	Pocillopora_acuta_HIv1_PredGene_g14538.t1, Pocillopora_acuta_HIv1_PredGene_g24967.t1	Mcavernosa00495-RA
OG0000058	Pocillopora_acuta_HIv1_PredGene_1273_t, Pocillopora_acuta_HIv1_PredGene_g3895.t1, Pocillopora_acuta_HIv1_PredGene_g3894.t1, Pocillopora_acuta_HIv1_PredGene_g8618.t1	Mcavernosa28662-RA
OG0000060	Pocillopora_acuta_HIv1_PredGene_g13707.t1, Pocillopora_acuta_HIv1_PredGene_g12367.t1	Mcavernosa12136-RA
OG0000060	Pocillopora_acuta_HIv1_PredGene_g9456.t1, Pocillopora_acuta_HIv1_PredGene_g9539.t1, Pocillopora_acuta_HIv1_PredGene_g24909.t1, Pocillopora_acuta_HIv1_PredGene_6429_t, Pocillopora_acuta_HIv1_PredGene_18915_t	Mcavernosa34575-RA
OG0000063	Pocillopora_acuta_HIv1_PredGene_g12566.t1	Mcavernosa09943-RA
OG0000068	Pocillopora_acuta_HIv1_PredGene_g8818.t1, Pocillopora_acuta_HIv1_PredGene_g28712.t1	Mcavernosa10989-RA, Mcavernosa30593-RA
OG0000079	Pocillopora_acuta_HIv1_PredGene_g29397.t1	Mcavernosa08890-RA
OG0000080	Pocillopora_acuta_HIv1_PredGene_g19087.t1, Pocillopora_acuta_HIv1_PredGene_19175_t	Mcavernosa16945-RA
OG0000080	Pocillopora_acuta_HIv1_PredGene_g15675.t1, Pocillopora_acuta_HIv1_PredGene_20115_t, Pocillopora_acuta_HIv1_PredGene_g15676.t1	Mcavernosa01964-RA, Mcavernosa01967-RA, Mcavernosa21321-RA, Mcavernosa13381-RA
OG0000080	Pocillopora_acuta_HIv1_PredGene_g25354.t1, Pocillopora_acuta_HIv1_PredGene_g9513.t1, Pocillopora_acuta_HIv1_PredGene_g21360.t1	Mcavernosa28333-RA
OG0000081	Pocillopora_acuta_HIv1_PredGene_g25876.t1, Pocillopora_acuta_HIv1_PredGene_g23276.t1	Mcavernosa10724-RA, Mcavernosa06335-RA
OG0000082	Pocillopora_acuta_HIv1_PredGene_g9123.t1	Mcavernosa24329-RA, Mcavernosa28166-RA, Mcavernosa28160-RA, Mcavernosa28161-RA, Mcavernosa24330-RA
OG0000083	Pocillopora_acuta_HIv1_PredGene_g29627.t1	Mcavernosa26646-RA
OG0000084	Pocillopora_acuta_HIv1_PredGene_g22315.t1, Pocillopora_acuta_HIv1_PredGene_27094_t	Mcavernosa07904-RA
OG0000086	Pocillopora_acuta_HIv1_PredGene_g10793.t1, Pocillopora_acuta_HIv1_PredGene_g1728.t1	Mcavernosa18302-RA
OG0000087	Pocillopora_acuta_HIv1_PredGene_g1420.t1, Pocillopora_acuta_HIv1_PredGene_g16639.t1	Mcavernosa17557-RA, Mcavernosa17556-RA, Mcavernosa09501-RA
OG0000087	Pocillopora_acuta_HIv1_PredGene_g12929.t1	Mcavernosa29983-RA
OG0000088	Pocillopora_acuta_HIv1_PredGene_g22485.t1, Pocillopora_acuta_HIv1_PredGene_g22486.t1, Pocillopora_acuta_HIv1_PredGene_g22484.t1	Mcavernosa25231-RA, Mcavernosa16874-RA
OG0000088	Pocillopora_acuta_HIv1_PredGene_5822_t, Pocillopora_acuta_HIv1_PredGene_g10916.t1, Pocillopora_acuta_HIv1_PredGene_g10917.t1, Pocillopora_acuta_HIv1_PredGene_g23969.t1, Pocillopora_acuta_HIv1_PredGene_g21322.t1, Pocillopora_acuta_HIv1_PredGene_g21324.t1, Pocillopora_acuta_HIv1_PredGene_g21324.t2, Pocillopora_acuta_HIv1_PredGene_g21328.t1, Pocillopora_acuta_HIv1_PredGene_g2002.t1, Pocillopora_acuta_HIv1_PredGene_g31039.t1, Pocillopora_acuta_HIv1_PredGene_g31038.t1, Pocillopora_acuta_HIv1_PredGene_g31040.t1, Pocillopora_acuta_HIv1_PredGene_g31063.t1	Mcavernosa11047-RA
OG0000090	Pocillopora_acuta_HIv1_PredGene_g1851.t1, Pocillopora_acuta_HIv1_PredGene_g10643.t1, Pocillopora_acuta_HIv1_PredGene_g10647.t1, Pocillopora_acuta_HIv1_PredGene_g19097.t1, Pocillopora_acuta_HIv1_PredGene_g1103.t1, Pocillopora_acuta_HIv1_PredGene_g1107.t1, Pocillopora_acuta_HIv1_PredGene_g1108.t1, Pocillopora_acuta_HIv1_PredGene_g1109.t1, Pocillopora_acuta_HIv1_PredGene_13939_t, Pocillopora_acuta_HIv1_PredGene_g1110.t1	Mcavernosa31911-RA, Mcavernosa23365-RA, Mcavernosa33624-RA, Mcavernosa17893-RA, Mcavernosa31914-RA
OG0000090	Pocillopora_acuta_HIv1_PredGene_13938_t	Mcavernosa31912-RA, Mcavernosa31910-RA
OG0000092	Pocillopora_acuta_HIv1_PredGene_g988.t1, Pocillopora_acuta_HIv1_PredGene_g12111.t1, Pocillopora_acuta_HIv1_PredGene_g7722.t1, Pocillopora_acuta_HIv1_PredGene_g2230.t1, Pocillopora_acuta_HIv1_PredGene_g989.t1, Pocillopora_acuta_HIv1_PredGene_g12110.t1	Mcavernosa29307-RA
OG0000092	Pocillopora_acuta_HIv1_PredGene_g22448.t1	Mcavernosa25308-RA
OG0000092	Pocillopora_acuta_HIv1_PredGene_g987.t1	Mcavernosa30106-RA
OG0000097	Pocillopora_acuta_HIv1_PredGene_g124.t1	Mcavernosa04648-RA, Mcavernosa04647-RA
OG0000099	Pocillopora_acuta_HIv1_PredGene_g23552.t1, Pocillopora_acuta_HIv1_PredGene_g16877.t1	Mcavernosa26601-RA, Mcavernosa27775-RA
OG0000099	Pocillopora_acuta_HIv1_PredGene_g17233.t1, Pocillopora_acuta_HIv1_PredGene_g32749.t1, Pocillopora_acuta_HIv1_PredGene_g15504.t1, Pocillopora_acuta_HIv1_PredGene_g25353.t1, Pocillopora_acuta_HIv1_PredGene_g22164.t1, Pocillopora_acuta_HIv1_PredGene_g26173.t1, Pocillopora_acuta_HIv1_PredGene_g29693.t1, Pocillopora_acuta_HIv1_PredGene_g5496.t1, Pocillopora_acuta_HIv1_PredGene_g7434.t1, Pocillopora_acuta_HIv1_PredGene_g29253.t1, Pocillopora_acuta_HIv1_PredGene_g13820.t1, Pocillopora_acuta_HIv1_PredGene_g1069.t1	Mcavernosa15253-RA
OG0000099	Pocillopora_acuta_HIv1_PredGene_g8669.t1, Pocillopora_acuta_HIv1_PredGene_g1070.t1, Pocillopora_acuta_HIv1_PredGene_g10750.t1	Mcavernosa33913-RA, Mcavernosa19214-RA
OG0000099	Pocillopora_acuta_HIv1_PredGene_g21403.t1	Mcavernosa35119-RA, Mcavernosa15254-RA
OG0000101	Pocillopora_acuta_HIv1_PredGene_g9446.t1	Mcavernosa05771-RA, Mcavernosa30591-RA, Mcavernosa32315-RA, Mcavernosa35043-RA
OG0000103	Pocillopora_acuta_HIv1_PredGene_g3625.t1, Pocillopora_acuta_HIv1_PredGene_g8391.t1	Mcavernosa11573-RA
OG0000108	Pocillopora_acuta_HIv1_PredGene_21038_t, Pocillopora_acuta_HIv1_PredGene_g20683.t1, Pocillopora_acuta_HIv1_PredGene_g20679.t1, Pocillopora_acuta_HIv1_PredGene_g160.t1	Mcavernosa33265-RA, Mcavernosa24775-RA, Mcavernosa19090-RA, Mcavernosa30468-RA, Mcavernosa29157-RA, Mcavernosa04549-RA, Mcavernosa11148-RA, Mcavernosa04769-RA, Mcavernosa32249-RA, Mcavernosa33565-RA, Mcavernosa26922-RA, Mcavernosa30540-RA, Mcavernosa16297-RA, Mcavernosa32097-RA
OG0000109	Pocillopora_acuta_HIv1_PredGene_g9610.t1, Pocillopora_acuta_HIv1_PredGene_g9608.t1, Pocillopora_acuta_HIv1_PredGene_g5926.t1, Pocillopora_acuta_HIv1_PredGene_g29031.t1, Pocillopora_acuta_HIv1_PredGene_g5934.t1, Pocillopora_acuta_HIv1_PredGene_g13441.t3, Pocillopora_acuta_HIv1_PredGene_g13441.t1, Pocillopora_acuta_HIv1_PredGene_g13441.t2	Mcavernosa00408-RA
OG0000110	Pocillopora_acuta_HIv1_PredGene_g1073.t1	Mcavernosa34762-RA
OG0000112	Pocillopora_acuta_HIv1_PredGene_g22349.t1	Mcavernosa14437-RA
OG0000114	Pocillopora_acuta_HIv1_PredGene_g2803.t1, Pocillopora_acuta_HIv1_PredGene_g5919.t1, Pocillopora_acuta_HIv1_PredGene_g5347.t1, Pocillopora_acuta_HIv1_PredGene_g29068.t1, Pocillopora_acuta_HIv1_PredGene_g29071.t1, Pocillopora_acuta_HIv1_PredGene_g2798.t1	Mcavernosa33996-RA, Mcavernosa12914-RA, Mcavernosa09888-RA, Mcavernosa09882-RA, Mcavernosa17840-RA
OG0000114	Pocillopora_acuta_HIv1_PredGene_g23088.t1	Mcavernosa34420-RA, Mcavernosa10404-RA
