Orthogroup	plut2v1.1.proteins	Pocillopora_acuta_HIv1.genes.pep
OG0000006	plut2.m8.19233.m1, plut2.m8.979.m1, jamg1.model.Sc0000699.2, jamg1.model.Sc0000003.132, plut2.m8.27325.m1, plut2.m8.23957.m1, plut2.m8.25413.m1, jamg1.model.xpSc0007110.2	Pocillopora_acuta_HIv1_PredGene_g5028.t1, Pocillopora_acuta_HIv1_PredGene_g4985.t1, Pocillopora_acuta_HIv1_PredGene_g4994.t1, Pocillopora_acuta_HIv1_PredGene_g29506.t1, Pocillopora_acuta_HIv1_PredGene_g29500.t1, Pocillopora_acuta_HIv1_PredGene_g29497.t1, Pocillopora_acuta_HIv1_PredGene_g29503.t1, Pocillopora_acuta_HIv1_PredGene_g4989.t1, Pocillopora_acuta_HIv1_PredGene_g8849.t1, Pocillopora_acuta_HIv1_PredGene_g8846.t1
OG0000007	plut2.m8.30961.m1, plut2.m8.32710.m1, plut2.m8.32709.m1, plut2.m8.32702.m1, plut2.m8.11699.m1, plut2.m8.32708.m1, plut2.m8.33520.m1, plut2.m8.11700.m1	Pocillopora_acuta_HIv1_PredGene_g9348.t1, Pocillopora_acuta_HIv1_PredGene_g9349.t1, Pocillopora_acuta_HIv1_PredGene_g21114.t1, Pocillopora_acuta_HIv1_PredGene_g21116.t1, Pocillopora_acuta_HIv1_PredGene_g9350.t1, Pocillopora_acuta_HIv1_PredGene_g21115.t1
OG0000007	plut2.m8.11712.m1, plut2.m8.11692.m1	Pocillopora_acuta_HIv1_PredGene_g21113.t1
OG0000007	plut2.m8.10139.m1, plut2.m8.9359.m1	Pocillopora_acuta_HIv1_PredGene_g1206.t1
OG0000007	plut2.m8.24249.m1, plut2.m8.24250.m1	Pocillopora_acuta_HIv1_PredGene_g32542.t1, Pocillopora_acuta_HIv1_PredGene_g32542.t2, Pocillopora_acuta_HIv1_PredGene_g30061.t1
OG0000007	plut2.m8.7134.m1	Pocillopora_acuta_HIv1_PredGene_g2033.t1
OG0000008	plut2.m8.15205.m1, jamg1.model.Sc0000617.8, jamg1.model.Sc0000484.1, plut2.m8.18662.m1, plut2.m8.18893.m1, plut2.m8.32615.m1, plut2.m8.354.m1, plut2.m8.29940.m1, plut2.m8.25453.m1, plut2.m8.24842.m1, plut2.m8.24301.m1, jamg1.model.Sc0000021.100, jamg1.model.Sc0000021.93, plut2.m8.2670.m1, plut2.m8.24344.m1	Pocillopora_acuta_HIv1_PredGene_g31977.t1, Pocillopora_acuta_HIv1_PredGene_g9949.t2, Pocillopora_acuta_HIv1_PredGene_g9949.t3
OG0000008	plut2.m8.32858.m1, plut2.m8.15177.m1, plut2.m8.24346.m1, plut2.m8.33431.m1, jamg1.model.xpSc0007170.7, plut2.m8.15159.m1, plut2.m8.24352.m1, plut2.m8.25568.m1, plut2.m8.30977.m1, plut2.m8.24349.m1, plut2.m8.26821.m1, plut2.m8.26820.m1, plut2.m8.26813.m1, plut2.m8.26809.m1, plut2.m8.26808.m1, plut2.m8.26830.m1, plut2.m8.26812.m1, plut2.m8.26831.m1, plut2.m8.24926.m1, plut2.m8.32633.m1	Pocillopora_acuta_HIv1_PredGene_g9500.t1, Pocillopora_acuta_HIv1_PredGene_g11091.t1
OG0000009	plut2.m8.3437.m1, plut2.m8.3436.m1	Pocillopora_acuta_HIv1_PredGene_g12554.t1
OG0000010	plut2.m8.5732.m1, plut2.m8.5735.m1	Pocillopora_acuta_HIv1_PredGene_g28353.t1, Pocillopora_acuta_HIv1_PredGene_g6784.t1
OG0000010	plut2.m8.23850.m1	Pocillopora_acuta_HIv1_PredGene_g8666.t1
OG0000010	plut2.m8.29877.m1, jamg1.model.Sc0000513.15	Pocillopora_acuta_HIv1_PredGene_g6927.t1, Pocillopora_acuta_HIv1_PredGene_g25762.t1
OG0000010	plut2.m8.11367.m1	Pocillopora_acuta_HIv1_PredGene_g9408.t1, Pocillopora_acuta_HIv1_PredGene_g9455.t1
OG0000011	plut2.m8.8860.m1	Pocillopora_acuta_HIv1_PredGene_g702.t1
OG0000011	plut2.m8.17170.m1, plut2.m8.3443.m1, plut2.m8.6448.m1, plut2.m8.15089.m1, plut2.m8.15086.m1, plut2.m8.26130.m1, plut2.m8.5411.m1, plut2.m8.32001.m1, plut2.m8.26164.m1, plut2.m8.27711.m1, plut2.m8.12947.m1, plut2.m8.16991.m1, plut2.m8.1550.m1, plut2.m8.9693.m1, plut2.m8.906.m1, plut2.m8.33585.m1, plut2.m8.907.m1, plut2.m8.15413.m1	Pocillopora_acuta_HIv1_PredGene_g7114.t1, Pocillopora_acuta_HIv1_PredGene_g7111.t1, Pocillopora_acuta_HIv1_PredGene_g7110.t1
OG0000012	plut2.m8.16439.m1, plut2.m8.32563.m1	Pocillopora_acuta_HIv1_PredGene_g8404.t1
OG0000012	plut2.m8.760.m1, plut2.m8.32609.m1	Pocillopora_acuta_HIv1_PredGene_g905.t1
OG0000012	jamg1.model.Sc0000035.6	Pocillopora_acuta_HIv1_PredGene_g13715.t1
OG0000012	jamg1.model.Sc0000289.21, plut2.m8.10751.m1, plut2.m8.681.m1	Pocillopora_acuta_HIv1_PredGene_g21868.t1, Pocillopora_acuta_HIv1_PredGene_g16404.t1
OG0000013	plut2.m8.8653.m1	Pocillopora_acuta_HIv1_PredGene_g14829.t1, Pocillopora_acuta_HIv1_PredGene_g14830.t1, Pocillopora_acuta_HIv1_PredGene_g14834.t1
OG0000013	plut2.m8.12167.m1, plut2.m8.23335.m1, plut2.m8.9280.m1, plut2.m8.9273.m1, plut2.m8.11587.m1, plut2.m8.11585.m1, plut2.m8.12185.m1, plut2.m8.1278.m1, plut2.m8.10392.m1, plut2.m8.639.m1, plut2.m8.33550.m1, plut2.m8.25156.m1, plut2.m8.646.m1, plut2.m8.33402.m1, plut2.m8.17586.m1, plut2.m8.12186.m1, plut2.m8.11554.m1, plut2.m8.1283.m1, plut2.m8.26274.m1, plut2.m8.17756.m1, plut2.m8.11502.m1, plut2.m8.25219.m1, plut2.m8.25480.m1, plut2.m8.25215.m1, plut2.m8.25217.m1, plut2.m8.17758.m1, plut2.m8.17759.m1, plut2.m8.32931.m1, plut2.m8.16929.m1, plut2.m8.28443.m1, plut2.m8.28435.m1	Pocillopora_acuta_HIv1_PredGene_g15241.t1, Pocillopora_acuta_HIv1_PredGene_g31369.t1
OG0000014	plut2.m8.763.m1	Pocillopora_acuta_HIv1_PredGene_g15391.t1
OG0000015	jamg1.model.Sc0000664.1	Pocillopora_acuta_HIv1_PredGene_g15130.t1, Pocillopora_acuta_HIv1_PredGene_g27468.t1, Pocillopora_acuta_HIv1_PredGene_g25530.t1, Pocillopora_acuta_HIv1_PredGene_g25982.t1, Pocillopora_acuta_HIv1_PredGene_g24744.t1, Pocillopora_acuta_HIv1_PredGene_g9746.t1, Pocillopora_acuta_HIv1_PredGene_g21207.t1
OG0000016	plut2.m8.23502.m1	Pocillopora_acuta_HIv1_PredGene_g30798.t1, Pocillopora_acuta_HIv1_PredGene_g3479.t1, Pocillopora_acuta_HIv1_PredGene_g3478.t1
OG0000016	plut2.m8.33465.m1, plut2.m8.21889.m1	Pocillopora_acuta_HIv1_PredGene_g1182.t1, Pocillopora_acuta_HIv1_PredGene_g25678.t1, Pocillopora_acuta_HIv1_PredGene_g30175.t1, Pocillopora_acuta_HIv1_PredGene_g30180.t1, Pocillopora_acuta_HIv1_PredGene_g25696.t1, Pocillopora_acuta_HIv1_PredGene_g25700.t1, Pocillopora_acuta_HIv1_PredGene_g30179.t1, Pocillopora_acuta_HIv1_PredGene_g25697.t1, Pocillopora_acuta_HIv1_PredGene_g25690.t1, Pocillopora_acuta_HIv1_PredGene_g30172.t1, Pocillopora_acuta_HIv1_PredGene_g30168.t1, Pocillopora_acuta_HIv1_PredGene_g30174.t1, Pocillopora_acuta_HIv1_PredGene_g25711.t1, Pocillopora_acuta_HIv1_PredGene_g30152.t1, Pocillopora_acuta_HIv1_PredGene_g30150.t1, Pocillopora_acuta_HIv1_PredGene_g3480.t1, Pocillopora_acuta_HIv1_PredGene_g30799.t1, Pocillopora_acuta_HIv1_PredGene_g30800.t1, Pocillopora_acuta_HIv1_PredGene_g16962.t1
OG0000018	plut2.m8.33120.m1	Pocillopora_acuta_HIv1_PredGene_g15827.t1, Pocillopora_acuta_HIv1_PredGene_g6658.t1
OG0000020	plut2.m8.6876.m1	Pocillopora_acuta_HIv1_PredGene_15668_t
OG0000020	plut2.m8.27603.m1, jamg1.model.Sc0000207.38, plut2.m8.17545.m1, plut2.m8.19539.m1, plut2.m8.20021.m1	Pocillopora_acuta_HIv1_PredGene_g31939.t1
OG0000022	jamg1.model.Sc0000141.73, jamg1.model.Sc0000827.7, jamg1.model.Sc0000377.15, jamg1.model.Sc0000612.3, jamg1.model.xpSc0007185.7, jamg1.model.Sc0000076.44, jamg1.model.xpSc0007481.6, jamg1.model.Sc0000500.16, jamg1.model.Sc0000415.14, jamg1.model.Sc0000415.17, jamg1.model.Sc0000606.7, jamg1.model.Sc0000213.22, jamg1.model.Sc0000207.22, jamg1.model.xpSc0007090.11, jamg1.model.Sc0000122.53, jamg1.model.Sc0000034.113, jamg1.model.Sc0000326.7, jamg1.model.Sc0000092.10, jamg1.model.Sc0000500.15, jamg1.model.Sc0000089.4, jamg1.model.xpSc0007261.8, jamg1.model.xpSc0007481.5, jamg1.model.xpSc0007153.12, jamg1.model.Sc0000101.74, jamg1.model.xfSc0000241.14, jamg1.model.Sc0000213.18, jamg1.model.Sc0000084.75, jamg1.model.Sc0000244.47, jamg1.model.Sc0000546.8	Pocillopora_acuta_HIv1_PredGene_g28505.t1, Pocillopora_acuta_HIv1_PredGene_g28505.t2, Pocillopora_acuta_HIv1_PredGene_g12432.t1, Pocillopora_acuta_HIv1_PredGene_g28649.t1, Pocillopora_acuta_HIv1_PredGene_g26230.t1, Pocillopora_acuta_HIv1_PredGene_g24309.t1
OG0000022	jamg1.model.xfSc0000010.12, jamg1.model.Sc0000009.46, jamg1.model.Sc0000214.15, jamg1.model.Sc0000653.9, jamg1.model.xpSc0007232.11, jamg1.model.Sc0000254.7, jamg1.model.Sc0000456.17	Pocillopora_acuta_HIv1_PredGene_g12431.t1, Pocillopora_acuta_HIv1_PredGene_g28650.t1, Pocillopora_acuta_HIv1_PredGene_g26229.t1, Pocillopora_acuta_HIv1_PredGene_g13382.t1, Pocillopora_acuta_HIv1_PredGene_g7747.t1, Pocillopora_acuta_HIv1_PredGene_g24661.t1, Pocillopora_acuta_HIv1_PredGene_g18490.t1, Pocillopora_acuta_HIv1_PredGene_g27530.t1, Pocillopora_acuta_HIv1_PredGene_g13383.t1, Pocillopora_acuta_HIv1_PredGene_g3522.t1, Pocillopora_acuta_HIv1_PredGene_g24660.t1, Pocillopora_acuta_HIv1_PredGene_g18491.t1, Pocillopora_acuta_HIv1_PredGene_g24662.t1, Pocillopora_acuta_HIv1_PredGene_g18489.t1, Pocillopora_acuta_HIv1_PredGene_g7746.t1
OG0000023	jamg1.model.Sc0000214.14, jamg1.model.Sc0000653.8, jamg1.model.Sc0000009.45, plut2.m8.16792.m1, jamg1.model.xpSc0007232.10, jamg1.model.Sc0000851.8, jamg1.model.Sc0000456.16	Pocillopora_acuta_HIv1_PredGene_g12430.t1, Pocillopora_acuta_HIv1_PredGene_g28651.t1, Pocillopora_acuta_HIv1_PredGene_g26228.t1, Pocillopora_acuta_HIv1_PredGene_g26228.t2, Pocillopora_acuta_HIv1_PredGene_g5441.t1
OG0000023	jamg1.model.Sc0000827.8, jamg1.model.Sc0000141.74, jamg1.model.Sc0000377.14, jamg1.model.Sc0000089.3, jamg1.model.Sc0000636.13, jamg1.model.Sc0000092.11, jamg1.model.Sc0000390.9, jamg1.model.xfSc0000241.13, jamg1.model.Sc0000076.45, jamg1.model.Sc0000034.114, jamg1.model.Sc0000645.8, jamg1.model.xpSc0007481.3, jamg1.model.xpSc0007481.4, jamg1.model.Sc0000500.14, jamg1.model.Sc0000213.19, plut2.m8.24554.m1, jamg1.model.Sc0000213.24, jamg1.model.xfSc0000241.12, jamg1.model.Sc0000092.12, jamg1.model.Sc0000834.9, jamg1.model.xpSc0007123.23, jamg1.model.Sc0000207.21, jamg1.model.xpSc0007153.11, jamg1.model.Sc0000326.8, jamg1.model.xfSc0000241.10, jamg1.model.Sc0000101.73, jamg1.model.xpSc0007261.7, jamg1.model.xpSc0007185.6, jamg1.model.Sc0000546.10, jamg1.model.xfSc0000076.25, plut2.m8.5808.m1, jamg1.model.xfSc0000044.19, jamg1.model.Sc0000083.6, jamg1.model.Sc0000338.15, jamg1.model.Sc0000322.20, jamg1.model.Sc0000107.70, jamg1.model.xfSc0000091.8, jamg1.model.Sc0000183.33	Pocillopora_acuta_HIv1_PredGene_g2301.t1, Pocillopora_acuta_HIv1_PredGene_g10753.t1, Pocillopora_acuta_HIv1_PredGene_g14002.t1, Pocillopora_acuta_HIv1_PredGene_g20117.t1, Pocillopora_acuta_HIv1_PredGene_g4219.t1, Pocillopora_acuta_HIv1_PredGene_g21249.t1, Pocillopora_acuta_HIv1_PredGene_g8813.t1, Pocillopora_acuta_HIv1_PredGene_g12426.t1, Pocillopora_acuta_HIv1_PredGene_g32413.t1
OG0000024	plut2.m8.5900.m1, plut2.m8.20442.m1	Pocillopora_acuta_HIv1_PredGene_g14061.t1
OG0000024	plut2.m8.6938.m1, plut2.m8.6936.m1, plut2.m8.6941.m1	Pocillopora_acuta_HIv1_PredGene_g15187.t1, Pocillopora_acuta_HIv1_PredGene_g15190.t1
OG0000025	plut2.m8.24164.m1	Pocillopora_acuta_HIv1_PredGene_g30711.t1
OG0000025	plut2.m8.22987.m1, plut2.m8.22379.m1	Pocillopora_acuta_HIv1_PredGene_g3413.t1
OG0000026	plut2.m8.24033.m1	Pocillopora_acuta_HIv1_PredGene_g4215.t1
OG0000026	plut2.m8.4389.m1	Pocillopora_acuta_HIv1_PredGene_g8424.t1
OG0000026	plut2.m8.10331.m1	Pocillopora_acuta_HIv1_PredGene_g27335.t1
OG0000026	plut2.m8.31728.m1	Pocillopora_acuta_HIv1_PredGene_g8657.t1, Pocillopora_acuta_HIv1_PredGene_g25956.t1, Pocillopora_acuta_HIv1_PredGene_g19298.t1, Pocillopora_acuta_HIv1_PredGene_g12651.t1, Pocillopora_acuta_HIv1_PredGene_g25957.t1, Pocillopora_acuta_HIv1_PredGene_g3538.t1
OG0000027	plut2.m8.24865.m1, plut2.m8.24867.m1, plut2.m8.24335.m1, plut2.m8.31329.m1, plut2.m8.19044.m1, plut2.m8.24332.m1	Pocillopora_acuta_HIv1_PredGene_g23803.t1, Pocillopora_acuta_HIv1_PredGene_g23801.t1, Pocillopora_acuta_HIv1_PredGene_g23800.t1, Pocillopora_acuta_HIv1_PredGene_g23802.t1, Pocillopora_acuta_HIv1_PredGene_g23797.t1, Pocillopora_acuta_HIv1_PredGene_g23804.t1
OG0000027	plut2.m8.23346.m1, plut2.m8.23343.m1	Pocillopora_acuta_HIv1_PredGene_g32518.t1
OG0000027	plut2.m8.14634.m1	Pocillopora_acuta_HIv1_PredGene_g23805.t1, Pocillopora_acuta_HIv1_PredGene_g23811.t1, Pocillopora_acuta_HIv1_PredGene_g23812.t1, Pocillopora_acuta_HIv1_PredGene_g5014.t1, Pocillopora_acuta_HIv1_PredGene_g32512.t1
OG0000028	plut2.m8.29548.m1	Pocillopora_acuta_HIv1_PredGene_g6098.t1, Pocillopora_acuta_HIv1_PredGene_g5052.t1
OG0000028	plut2.m8.29557.m1	Pocillopora_acuta_HIv1_PredGene_g8017.t1, Pocillopora_acuta_HIv1_PredGene_g8018.t1
OG0000028	plut2.m8.15565.m1, plut2.m8.15561.m1, plut2.m8.15562.m1	Pocillopora_acuta_HIv1_PredGene_g8032.t1
OG0000028	plut2.m8.18835.m1	Pocillopora_acuta_HIv1_PredGene_g3078.t1
OG0000028	plut2.m8.18836.m1, plut2.m8.18837.m1, plut2.m8.18840.m1	Pocillopora_acuta_HIv1_PredGene_g3077.t1
OG0000029	plut2.m8.30628.m1	Pocillopora_acuta_HIv1_PredGene_g16471.t1, Pocillopora_acuta_HIv1_PredGene_g18434.t1, Pocillopora_acuta_HIv1_PredGene_g24655.t1, Pocillopora_acuta_HIv1_PredGene_g24675.t1, Pocillopora_acuta_HIv1_PredGene_g24687.t1, Pocillopora_acuta_HIv1_PredGene_g10794.t1, Pocillopora_acuta_HIv1_PredGene_g23257.t1, Pocillopora_acuta_HIv1_PredGene_g24815.t1
OG0000029	plut2.m8.2190.m1, plut2.m8.8666.m1	Pocillopora_acuta_HIv1_PredGene_g11520.t1
OG0000030	plut2.m8.16968.m1	Pocillopora_acuta_HIv1_PredGene_g31808.t1, Pocillopora_acuta_HIv1_PredGene_17023_t, Pocillopora_acuta_HIv1_PredGene_g19660.t1, Pocillopora_acuta_HIv1_PredGene_g11125.t1
OG0000031	jamg1.model.xpSc0007142.5, jamg1.model.Sc0000021.101, plut2.m8.2680.m1, plut2.m8.25314.m1, plut2.m8.15690.m1, plut2.m8.33175.m1, plut2.m8.25313.m1, plut2.m8.15691.m1, plut2.m8.33176.m1, plut2.m8.15689.m1, plut2.m8.15688.m1, plut2.m8.14383.m1, plut2.m8.14369.m1, plut2.m8.7886.m1, plut2.m8.33424.m1, plut2.m8.32360.m1, plut2.m8.2662.m1, plut2.m8.33044.m1, plut2.m8.6312.m1, plut2.m8.18661.m1, plut2.m8.29943.m1, plut2.m8.18666.m1	Pocillopora_acuta_HIv1_PredGene_g951.t1
OG0000031	plut2.m8.19936.m1	Pocillopora_acuta_HIv1_PredGene_6507_t
OG0000031	plut2.m8.14069.m1	Pocillopora_acuta_HIv1_PredGene_g8165.t1, Pocillopora_acuta_HIv1_PredGene_878_t, Pocillopora_acuta_HIv1_PredGene_g8166.t1
OG0000033	plut2.m8.10666.m1	Pocillopora_acuta_HIv1_PredGene_g26868.t1
OG0000033	plut2.m8.3998.m1, plut2.m8.32987.m1, plut2.m8.33262.m1, plut2.m8.1599.m1, plut2.m8.31134.m1, plut2.m8.31804.m1, plut2.m8.19878.m1, plut2.m8.26433.m1, plut2.m8.3041.m1, plut2.m8.15262.m1, plut2.m8.5761.m1, plut2.m8.30615.m1, plut2.m8.10926.m1	Pocillopora_acuta_HIv1_PredGene_g13238.t1, Pocillopora_acuta_HIv1_PredGene_g13239.t1
OG0000034	plut2.m8.17284.m1, plut2.m8.15074.m1, plut2.m8.17283.m1, plut2.m8.17277.m1, plut2.m8.2453.m1, jamg1.model.Sc0000267.33, plut2.m8.17285.m1, plut2.m8.8216.m1, plut2.m8.15072.m1, plut2.m8.15070.m1, plut2.m8.20565.m1, plut2.m8.24418.m1, plut2.m8.25408.m1, plut2.m8.24055.m1, plut2.m8.15905.m1, plut2.m8.15904.m1, plut2.m8.80.m1, plut2.m8.14171.m1, plut2.m8.14173.m1, plut2.m8.14170.m1, plut2.m8.14172.m1, plut2.m8.14215.m1, plut2.m8.20670.m1, plut2.m8.14182.m1, plut2.m8.20669.m1, plut2.m8.14179.m1, plut2.m8.14178.m1	Pocillopora_acuta_HIv1_PredGene_g24460.t1
OG0000034	jamg1.model.xfSc0003787.1	Pocillopora_acuta_HIv1_PredGene_g13636.t1, Pocillopora_acuta_HIv1_PredGene_g31280.t1, Pocillopora_acuta_HIv1_PredGene_g19771.t1
OG0000035	jamg1.model.Sc0000010.116, jamg1.model.Sc0000010.118, jamg1.model.Sc0000010.117, jamg1.model.Sc0000029.5, jamg1.model.Sc0000132.66, plut2.m8.10879.m1, jamg1.model.Sc0000416.37, plut2.m8.10857.m1, plut2.m8.11781.m1, jamg1.model.Sc0000152.1, jamg1.model.Sc0000132.10, jamg1.model.Sc0000132.11, plut2.m8.26375.m1, plut2.m8.10856.m1	Pocillopora_acuta_HIv1_PredGene_g8624.t1
