Orthogroup	Pocillopora_acuta_HIv1.genes.pep	Acerv_assembly_v1.0.protein
OG0000003	Pocillopora_acuta_HIv1_PredGene_g12236.t1	Acerv_evm.model.Segkk3933_pilon.14, Acerv_evm.model.Segkk2361_pilon.3, Acerv_evm.model.Segkk2361_pilon.1, Acerv_evm.model.Segkk2361_pilon.7, Acerv_evm.model.Segkk2361_pilon.5, Acerv_evm.model.Segkk3213_pilon.18, Acerv_evm.model.Segkk3061_pilon.5, Acerv_evm.model.Segkk3213_pilon.12, Acerv_evm.model.Segkk4332_pilon.13, Acerv_evm.model.Segkk601_pilon.11, Acerv_evm.model.Segkk895_pilon.9, Acerv_evm.model.Segkk896_pilon.2, Acerv_evm.model.Segkk1983_pilon.2, Acerv_evm.model.Segkk374_pilon.11, Acerv_evm.model.Segkk719_pilon.3, Acerv_evm.model.Segkk643_pilon.15, Acerv_evm.model.Segkk64_pilon.1, Acerv_evm.model.Segkk643_pilon.10, Acerv_evm.model.Segkk4088_pilon.4, Acerv_evm.model.Segkk1983_pilon.3, Acerv_evm.model.Segkk220_pilon.1
OG0000004	Pocillopora_acuta_HIv1_PredGene_g9153.t1, Pocillopora_acuta_HIv1_PredGene_3330_t	Acerv_evm.model.Segkk1976_pilon.9
OG0000004	Pocillopora_acuta_HIv1_PredGene_g21021.t1, Pocillopora_acuta_HIv1_PredGene_g21019.t1	Acerv_evm.model.Segkk1426_pilon.5
OG0000005	Pocillopora_acuta_HIv1_PredGene_g14339.t1	Acerv_evm.model.Segkk3116_pilon.8
OG0000006	Pocillopora_acuta_HIv1_PredGene_g14581.t3, Pocillopora_acuta_HIv1_PredGene_g21306.t3, Pocillopora_acuta_HIv1_PredGene_g14581.t1, Pocillopora_acuta_HIv1_PredGene_g21306.t1, Pocillopora_acuta_HIv1_PredGene_g14581.t2, Pocillopora_acuta_HIv1_PredGene_g21306.t2	Acerv_evm.model.Segkk2089_pilon.8
OG0000006	Pocillopora_acuta_HIv1_PredGene_g12361.t1	Acerv_evm.model.Segkk2319_pilon.17
OG0000006	Pocillopora_acuta_HIv1_PredGene_g25396.t1, Pocillopora_acuta_HIv1_PredGene_g30390.t1, Pocillopora_acuta_HIv1_PredGene_g30383.t1, Pocillopora_acuta_HIv1_PredGene_g21239.t1, Pocillopora_acuta_HIv1_PredGene_g27970.t1, Pocillopora_acuta_HIv1_PredGene_g27965.t2, Pocillopora_acuta_HIv1_PredGene_g21914.t1, Pocillopora_acuta_HIv1_PredGene_g21230.t1, Pocillopora_acuta_HIv1_PredGene_g32428.t1, Pocillopora_acuta_HIv1_PredGene_g21246.t1	Acerv_evm.model.Segkk1222_pilon.1
OG0000006	Pocillopora_acuta_HIv1_PredGene_g27334.t1, Pocillopora_acuta_HIv1_PredGene_g27965.t1, Pocillopora_acuta_HIv1_PredGene_g21913.t1, Pocillopora_acuta_HIv1_PredGene_g21931.t1, Pocillopora_acuta_HIv1_PredGene_g8897.t1, Pocillopora_acuta_HIv1_PredGene_g26731.t1, Pocillopora_acuta_HIv1_PredGene_g26751.t1, Pocillopora_acuta_HIv1_PredGene_g21918.t1, Pocillopora_acuta_HIv1_PredGene_g28495.t1, Pocillopora_acuta_HIv1_PredGene_g13717.t1	Acerv_evm.model.Segkk2733_pilon.12
OG0000007	Pocillopora_acuta_HIv1_PredGene_g2059.t1, Pocillopora_acuta_HIv1_PredGene_g13487.t1	Acerv_evm.model.Segkk2112_pilon.21, Acerv_evm.model.Segkk2722_pilon.40, Acerv_evm.model.Segkk3860_pilon.16
OG0000007	Pocillopora_acuta_HIv1_PredGene_g9409.t1, Pocillopora_acuta_HIv1_PredGene_g16436.t1, Pocillopora_acuta_HIv1_PredGene_g24234.t1, Pocillopora_acuta_HIv1_PredGene_g16848.t1	Acerv_evm.model.Segkk993_pilon.66, Acerv_evm.model.Segkk1674_pilon.3, Acerv_evm.model.Segkk2594_pilon.5, Acerv_evm.model.Segkk3672_pilon.15, Acerv_evm.model.Segkk4308_pilon.23, Acerv_evm.model.Segkk609_pilon.14, Acerv_evm.model.Segkk2782_pilon.38, Acerv_evm.model.Segkk582_pilon.4, Acerv_evm.model.Segkk3655_pilon.32, Acerv_evm.model.Segkk3050_pilon.44, Acerv_evm.model.Segkk3407_pilon.28, Acerv_evm.model.Segkk1281_pilon.46, Acerv_evm.model.Segkk2978_pilon.29, Acerv_evm.model.Segkk3709_pilon.3, Acerv_evm.model.Segkk514_pilon.6, Acerv_evm.model.Segkk524_pilon.75, Acerv_evm.model.Segkk3668_pilon.24, Acerv_evm.model.Segkk582_pilon.5, Acerv_evm.model.Segkk3655_pilon.31, Acerv_evm.model.Segkk2113_pilon.2, Acerv_evm.model.Segkk4065_pilon.16, Acerv_evm.model.Segkk3407_pilon.27, Acerv_evm.model.Segkk3050_pilon.43, Acerv_evm.model.Segkk208_pilon.10, Acerv_evm.model.Segkk564_pilon.1, Acerv_evm.model.Segkk1845_pilon.3, Acerv_evm.model.Segkk2216_pilon.11, Acerv_evm.model.Segkk3859_pilon.7, Acerv_evm.model.Segkk2407_pilon.3, Acerv_evm.model.Segkk2213_pilon.4, Acerv_evm.model.Segkk3883_pilon.8, Acerv_evm.model.Segkk1440_pilon.18, Acerv_evm.model.Segkk4109_pilon.12, Acerv_evm.model.Segkk3167_pilon.6, Acerv_evm.model.Segkk2407_pilon.4, Acerv_evm.model.Segkk2213_pilon.3, Acerv_evm.model.Segkk3859_pilon.8, Acerv_evm.model.Segkk587_pilon.8
OG0000007	Pocillopora_acuta_HIv1_PredGene_g15890.t1	Acerv_evm.model.Segkk2112_pilon.20
OG0000007	Pocillopora_acuta_HIv1_PredGene_g13486.t1	Acerv_evm.model.Segkk20_pilon.10, Acerv_evm.model.Segkk5_pilon.1, Acerv_evm.model.Segkk3171_pilon.3, Acerv_evm.model.Segkk4258_pilon.2, Acerv_evm.model.Segkk3493_pilon.2
OG0000008	Pocillopora_acuta_HIv1_PredGene_g5041.t1	Acerv_evm.model.Segkk1302_pilon.1, Acerv_evm.model.Segkk3057_pilon.1, Acerv_evm.model.Segkk4201_pilon.21, Acerv_evm.model.Segkk771_pilon.2, Acerv_evm.model.Segkk3057_pilon.2, Acerv_evm.model.Segkk1334_pilon.13, Acerv_evm.model.Segkk1302_pilon.9, Acerv_evm.model.Segkk3057_pilon.3, Acerv_evm.model.Segkk1334_pilon.12
OG0000008	Pocillopora_acuta_HIv1_PredGene_g21868.t1, Pocillopora_acuta_HIv1_PredGene_g16404.t1, Pocillopora_acuta_HIv1_PredGene_g21033.t1, Pocillopora_acuta_HIv1_PredGene_g21032.t1, Pocillopora_acuta_HIv1_PredGene_g21030.t1, Pocillopora_acuta_HIv1_PredGene_g21004.t1, Pocillopora_acuta_HIv1_PredGene_g11057.t3, Pocillopora_acuta_HIv1_PredGene_g11057.t2, Pocillopora_acuta_HIv1_PredGene_g11057.t1, Pocillopora_acuta_HIv1_PredGene_g21081.t1, Pocillopora_acuta_HIv1_PredGene_g19213.t1, Pocillopora_acuta_HIv1_PredGene_13620_t, Pocillopora_acuta_HIv1_PredGene_g19217.t1, Pocillopora_acuta_HIv1_PredGene_g32490.t2, Pocillopora_acuta_HIv1_PredGene_g32490.t1, Pocillopora_acuta_HIv1_PredGene_g6087.t1, Pocillopora_acuta_HIv1_PredGene_g5042.t1, Pocillopora_acuta_HIv1_PredGene_g17456.t1, Pocillopora_acuta_HIv1_PredGene_g13715.t1, Pocillopora_acuta_HIv1_PredGene_g905.t1	Acerv_evm.model.Segkk2697_pilon.2, Acerv_evm.model.Segkk771_pilon.3, Acerv_evm.model.Segkk1571_pilon.3, Acerv_evm.model.Segkk1729_pilon.7, Acerv_evm.model.Segkk4201_pilon.22, Acerv_evm.model.Segkk1302_pilon.5, Acerv_evm.model.Segkk4077_pilon.3, Acerv_evm.model.Segkk20_pilon.44, Acerv_evm.model.Segkk1193_pilon.8, Acerv_evm.model.Segkk1099_pilon.5, Acerv_evm.model.Segkk1099_pilon.4, Acerv_evm.model.Segkk1193_pilon.7, Acerv_evm.model.Segkk4077_pilon.4, Acerv_evm.model.Segkk1302_pilon.4, Acerv_evm.model.Segkk771_pilon.4, Acerv_evm.model.Segkk1334_pilon.11
OG0000009	Pocillopora_acuta_HIv1_PredGene_g2305.t1	Acerv_evm.model.Segkk3336_pilon.8, Acerv_evm.model.Segkk2050_pilon.19, Acerv_evm.model.Segkk1151_pilon.37
OG0000009	Pocillopora_acuta_HIv1_PredGene_g2102.t1, Pocillopora_acuta_HIv1_PredGene_g26225.t1	Acerv_evm.model.Segkk650_pilon.52, Acerv_evm.model.Segkk4195_pilon.25
OG0000009	Pocillopora_acuta_HIv1_PredGene_g2094.t1, Pocillopora_acuta_HIv1_PredGene_g10836.t1	Acerv_evm.model.Segkk1837_pilon.3
OG0000009	Pocillopora_acuta_HIv1_PredGene_g11217.t1	Acerv_evm.model.Segkk1197_pilon.9, Acerv_evm.model.Segkk3190_pilon.2, Acerv_evm.model.Segkk4195_pilon.24, Acerv_evm.model.Segkk4159_pilon.14, Acerv_evm.model.Segkk3867_pilon.3, Acerv_evm.model.Segkk668_pilon.11, Acerv_evm.model.Segkk2302_pilon.7, Acerv_evm.model.Segkk2853_pilon.22, Acerv_evm.model.Segkk2112_pilon.9, Acerv_evm.model.Segkk4159_pilon.13, Acerv_evm.model.Segkk565_pilon.2, Acerv_evm.model.Segkk2245_pilon.2, Acerv_evm.model.Segkk3993_pilon.1, Acerv_evm.model.Segkk668_pilon.10, Acerv_evm.model.Segkk3857_pilon.14, Acerv_evm.model.Segkk2302_pilon.8, Acerv_evm.model.Segkk3867_pilon.4
OG0000010	Pocillopora_acuta_HIv1_PredGene_g22080.t1	Acerv_evm.model.Segkk3577_pilon.2
OG0000011	Pocillopora_acuta_HIv1_PredGene_g24676.t1	Acerv_evm.model.Segkk2529_pilon.12
OG0000011	Pocillopora_acuta_HIv1_PredGene_g10389.t1	Acerv_evm.model.Segkk4189_pilon.1, Acerv_evm.model.Segkk1844_pilon.7, Acerv_evm.model.Segkk3417_pilon.11, Acerv_evm.model.Segkk4273_pilon.2, Acerv_evm.model.Segkk2205_pilon.5, Acerv_evm.model.Segkk3238_pilon.20, Acerv_evm.model.Segkk1554_pilon.5, Acerv_evm.model.Segkk1946_pilon.18, Acerv_evm.model.Segkk1343_pilon.13, Acerv_evm.model.Segkk3324_pilon.1, Acerv_evm.model.Segkk2612_pilon.7, Acerv_evm.model.Segkk3618_pilon.1, Acerv_evm.model.Segkk3221_pilon.18, Acerv_evm.model.Segkk1037_pilon.5, Acerv_evm.model.Segkk3431_pilon.24, Acerv_evm.model.Segkk1003_pilon.2, Acerv_evm.model.Segkk71_pilon.3, Acerv_evm.model.Segkk469_pilon.77, Acerv_evm.model.Segkk1502_pilon.5, Acerv_evm.model.Segkk2908_pilon.9, Acerv_evm.model.Segkk2046_pilon.1, Acerv_evm.model.Segkk1582_pilon.4, Acerv_evm.model.Segkk1380_pilon.13, Acerv_evm.model.Segkk971_pilon.55
OG0000011	Pocillopora_acuta_HIv1_PredGene_g3292.t1, Pocillopora_acuta_HIv1_PredGene_g30483.t1	Acerv_evm.model.Segkk926_pilon.2, Acerv_evm.model.Segkk2851_pilon.12
OG0000011	Pocillopora_acuta_HIv1_PredGene_g20713.t1	Acerv_evm.model.Segkk1170_pilon.1, Acerv_evm.model.Segkk971_pilon.69, Acerv_evm.model.Segkk1280_pilon.7
OG0000012	Pocillopora_acuta_HIv1_PredGene_g702.t1	Acerv_evm.model.Segkk1878_pilon.3
OG0000013	Pocillopora_acuta_HIv1_PredGene_g22838.t1	Acerv_evm.model.Segkk266_pilon.1, Acerv_evm.model.Segkk4113_pilon.18, Acerv_evm.model.Segkk4193_pilon.28
OG0000013	Pocillopora_acuta_HIv1_PredGene_g13238.t1, Pocillopora_acuta_HIv1_PredGene_g13239.t1	Acerv_evm.model.Segkk1436_pilon.30, Acerv_evm.model.Segkk2481_pilon.28, Acerv_evm.model.Segkk2481_pilon.123, Acerv_evm.model.Segkk650_pilon.23, Acerv_evm.model.Segkk3940_pilon.27, Acerv_evm.model.Segkk2481_pilon.73, Acerv_evm.model.Segkk3900_pilon.11, Acerv_evm.model.Segkk3416_pilon.13, Acerv_evm.model.Segkk389_pilon.14, Acerv_evm.model.Segkk1478_pilon.9, Acerv_evm.model.Segkk389_pilon.34, Acerv_evm.model.Segkk1516_pilon.2, Acerv_evm.model.Segkk1379_pilon.6, Acerv_evm.model.Segkk236_pilon.37, Acerv_evm.model.Segkk1834_pilon.2, Acerv_evm.model.Segkk1436_pilon.19
OG0000014	Pocillopora_acuta_HIv1_PredGene_g951.t1	Acerv_evm.model.Segkk1796_pilon.24, Acerv_evm.model.Segkk1796_pilon.23, Acerv_evm.model.Segkk1796_pilon.22
OG0000014	Pocillopora_acuta_HIv1_PredGene_g948.t2, Pocillopora_acuta_HIv1_PredGene_g948.t1	Acerv_evm.model.Segkk3203_pilon.2, Acerv_evm.model.Segkk2789_pilon.1, Acerv_evm.model.Segkk1709_pilon.2, Acerv_evm.model.Segkk1583_pilon.2, Acerv_evm.model.Segkk3417_pilon.34, Acerv_evm.model.Segkk3333_pilon.2, Acerv_evm.model.Segkk3519_pilon.1, Acerv_evm.model.Segkk2930_pilon.1, Acerv_evm.model.Segkk3124_pilon.2, Acerv_evm.model.Segkk1514_pilon.7, Acerv_evm.model.Segkk2741_pilon.13, Acerv_evm.model.Segkk465_pilon.5, Acerv_evm.model.Segkk671_pilon.20, Acerv_evm.model.Segkk1622_pilon.2, Acerv_evm.model.Segkk719_pilon.4, Acerv_evm.model.Segkk4189_pilon.2, Acerv_evm.model.Segkk2205_pilon.4, Acerv_evm.model.Segkk3417_pilon.12
OG0000015	Pocillopora_acuta_HIv1_PredGene_g3077.t1, Pocillopora_acuta_HIv1_PredGene_g3078.t1	Acerv_evm.model.Segkk2482_pilon.7, Acerv_evm.model.Segkk2482_pilon.8
OG0000016	Pocillopora_acuta_HIv1_PredGene_g32253.t1, Pocillopora_acuta_HIv1_PredGene_g6940.t1	Acerv_evm.model.Segkk2515_pilon.2, Acerv_evm.model.Segkk3859_pilon.10, Acerv_evm.model.Segkk3057_pilon.23
OG0000016	Pocillopora_acuta_HIv1_PredGene_g18537.t1	Acerv_evm.model.Segkk2056_pilon.11
OG0000016	Pocillopora_acuta_HIv1_PredGene_g23059.t1, Pocillopora_acuta_HIv1_PredGene_g2144.t1, Pocillopora_acuta_HIv1_PredGene_g16678.t1, Pocillopora_acuta_HIv1_PredGene_g13157.t1, Pocillopora_acuta_HIv1_PredGene_g16254.t1, Pocillopora_acuta_HIv1_PredGene_g25477.t1, Pocillopora_acuta_HIv1_PredGene_g24199.t1, Pocillopora_acuta_HIv1_PredGene_g6694.t1	Acerv_evm.model.Segkk949_pilon.4, Acerv_evm.model.Segkk1172_pilon.4
OG0000016	Pocillopora_acuta_HIv1_PredGene_g16658.t1, Pocillopora_acuta_HIv1_PredGene_g5429.t1	Acerv_evm.model.Segkk126_pilon.24
OG0000016	Pocillopora_acuta_HIv1_PredGene_g7752.t1	Acerv_evm.model.Segkk2076_pilon.7
OG0000016	Pocillopora_acuta_HIv1_PredGene_g4327.t1	Acerv_evm.model.Segkk2264_pilon.20
OG0000016	Pocillopora_acuta_HIv1_PredGene_g29936.t1, Pocillopora_acuta_HIv1_PredGene_g12107.t1, Pocillopora_acuta_HIv1_PredGene_g20888.t1, Pocillopora_acuta_HIv1_PredGene_g16476.t1	Acerv_evm.model.Segkk2076_pilon.16
OG0000016	Pocillopora_acuta_HIv1_PredGene_g27950.t1, Pocillopora_acuta_HIv1_PredGene_g12112.t1, Pocillopora_acuta_HIv1_PredGene_g10144.t1, Pocillopora_acuta_HIv1_PredGene_g30980.t1	Acerv_evm.model.Segkk1292_pilon.9, Acerv_evm.model.Segkk1356_pilon.5
OG0000017	Pocillopora_acuta_HIv1_PredGene_g988.t1	Acerv_evm.model.Segkk2540_pilon.8
OG0000017	Pocillopora_acuta_HIv1_PredGene_g12110.t1	Acerv_evm.model.Segkk2523_pilon.2
OG0000017	Pocillopora_acuta_HIv1_PredGene_g24283.t1, Pocillopora_acuta_HIv1_PredGene_g323.t2, Pocillopora_acuta_HIv1_PredGene_g989.t1	Acerv_evm.model.Segkk3742_pilon.5, Acerv_evm.model.Segkk1011_pilon.56, Acerv_evm.model.Segkk1835_pilon.1, Acerv_evm.model.Segkk3325_pilon.3, Acerv_evm.model.Segkk1946_pilon.1, Acerv_evm.model.Segkk3509_pilon.8
OG0000017	Pocillopora_acuta_HIv1_PredGene_g2230.t1	Acerv_evm.model.Segkk1003_pilon.41, Acerv_evm.model.Segkk4201_pilon.16, Acerv_evm.model.Segkk2195_pilon.47, Acerv_evm.model.Segkk1158_pilon.20
OG0000017	Pocillopora_acuta_HIv1_PredGene_g4261.t1, Pocillopora_acuta_HIv1_PredGene_g125.t1, Pocillopora_acuta_HIv1_PredGene_g8748.t1, Pocillopora_acuta_HIv1_PredGene_g4260.t1	Acerv_evm.model.Segkk1793_pilon.3
OG0000018	Pocillopora_acuta_HIv1_PredGene_g2457.t1	Acerv_evm.model.Segkk3931_pilon.4, Acerv_evm.model.Segkk464_pilon.9, Acerv_evm.model.Segkk582_pilon.9, Acerv_evm.model.Segkk1845_pilon.7, Acerv_evm.model.Segkk650_pilon.2, Acerv_evm.model.Segkk1318_pilon.15
OG0000018	Pocillopora_acuta_HIv1_PredGene_g2730.t1, Pocillopora_acuta_HIv1_PredGene_g2731.t1	Acerv_evm.model.Segkk2111_pilon.3
OG0000018	Pocillopora_acuta_HIv1_PredGene_g25762.t1, Pocillopora_acuta_HIv1_PredGene_g6927.t1	Acerv_evm.model.Segkk3675_pilon.5
OG0000018	Pocillopora_acuta_HIv1_PredGene_g9455.t1	Acerv_evm.model.Segkk2737_pilon.10
OG0000018	Pocillopora_acuta_HIv1_PredGene_g16472.t1, Pocillopora_acuta_HIv1_PredGene_g9408.t1	Acerv_evm.model.Segkk4292_pilon.3, Acerv_evm.model.Segkk1684_pilon.2, Acerv_evm.model.Segkk1729_pilon.2, Acerv_evm.model.Segkk2534_pilon.3, Acerv_evm.model.Segkk524_pilon.3, Acerv_evm.model.Segkk3971_pilon.23, Acerv_evm.model.Segkk1932_pilon.25, Acerv_evm.model.Segkk3693_pilon.21, Acerv_evm.model.Segkk2231_pilon.1, Acerv_evm.model.Segkk1610_pilon.1, Acerv_evm.model.Segkk3971_pilon.16, Acerv_evm.model.Segkk807_pilon.1, Acerv_evm.model.Segkk2725_pilon.3, Acerv_evm.model.Segkk1008_pilon.2, Acerv_evm.model.Segkk3741_pilon.10, Acerv_evm.model.Segkk249_pilon.4, Acerv_evm.model.Segkk1844_pilon.5, Acerv_evm.model.Segkk4328_pilon.1, Acerv_evm.model.Segkk230_pilon.11
OG0000018	Pocillopora_acuta_HIv1_PredGene_g6784.t1	Acerv_evm.model.Segkk392_pilon.2
OG0000018	Pocillopora_acuta_HIv1_PredGene_g28353.t1	Acerv_evm.model.Segkk2611_pilon.18
OG0000020	Pocillopora_acuta_HIv1_PredGene_g4990.t1	Acerv_evm.model.Segkk993_pilon.41, Acerv_evm.model.Segkk2908_pilon.5
OG0000020	Pocillopora_acuta_HIv1_PredGene_g15385.t1	Acerv_evm.model.Segkk2017_pilon.4, Acerv_evm.model.Segkk3937_pilon.9
OG0000020	Pocillopora_acuta_HIv1_PredGene_g11435.t1, Pocillopora_acuta_HIv1_PredGene_g27617.t1, Pocillopora_acuta_HIv1_PredGene_g26434.t1, Pocillopora_acuta_HIv1_PredGene_g28866.t1, Pocillopora_acuta_HIv1_PredGene_g1647.t1	Acerv_evm.model.Segkk971_pilon.22
OG0000020	Pocillopora_acuta_HIv1_PredGene_g30482.t1	Acerv_evm.model.Segkk2510_pilon.29
OG0000020	Pocillopora_acuta_HIv1_PredGene_g15401.t1, Pocillopora_acuta_HIv1_PredGene_g13630.t1	Acerv_evm.model.Segkk1292_pilon.12
OG0000020	Pocillopora_acuta_HIv1_PredGene_g10793.t1, Pocillopora_acuta_HIv1_PredGene_g1728.t1, Pocillopora_acuta_HIv1_PredGene_g14236.t1, Pocillopora_acuta_HIv1_PredGene_g23327.t1, Pocillopora_acuta_HIv1_PredGene_g16698.t1	Acerv_evm.model.Segkk1003_pilon.76, Acerv_evm.model.Segkk971_pilon.39, Acerv_evm.model.Segkk235_pilon.3
OG0000020	Pocillopora_acuta_HIv1_PredGene_g13186.t1	Acerv_evm.model.Segkk4098_pilon.1, Acerv_evm.model.Segkk2451_pilon.3, Acerv_evm.model.Segkk102_pilon.2
OG0000020	Pocillopora_acuta_HIv1_PredGene_g5941.t1, Pocillopora_acuta_HIv1_PredGene_g5940.t1, Pocillopora_acuta_HIv1_PredGene_g599.t1, Pocillopora_acuta_HIv1_PredGene_g29313.t1, Pocillopora_acuta_HIv1_PredGene_g3846.t1, Pocillopora_acuta_HIv1_PredGene_g14705.t1	Acerv_evm.model.Segkk650_pilon.50
OG0000020	Pocillopora_acuta_HIv1_PredGene_g21762.t1, Pocillopora_acuta_HIv1_PredGene_g4749.t1	Acerv_evm.model.Segkk3550_pilon.5, Acerv_evm.model.Segkk2771_pilon.1, Acerv_evm.model.Segkk1151_pilon.16, Acerv_evm.model.Segkk73_pilon.3
OG0000020	Pocillopora_acuta_HIv1_PredGene_g17459.t1	Acerv_evm.model.Segkk4106_pilon.10, Acerv_evm.model.Segkk3900_pilon.58
OG0000021	Pocillopora_acuta_HIv1_PredGene_g31808.t1	Acerv_evm.model.Segkk383_pilon.16
OG0000021	Pocillopora_acuta_HIv1_PredGene_g19660.t1	Acerv_evm.model.Segkk4232_pilon.5, Acerv_evm.model.Segkk4232_pilon.6
OG0000022	Pocillopora_acuta_HIv1_PredGene_g20391.t1, Pocillopora_acuta_HIv1_PredGene_g2406.t1	Acerv_evm.model.Segkk3238_pilon.17, Acerv_evm.model.Segkk2280_pilon.10
OG0000022	Pocillopora_acuta_HIv1_PredGene_g8652.t1	Acerv_evm.model.Segkk2355_pilon.21, Acerv_evm.model.Segkk1112_pilon.4, Acerv_evm.model.Segkk389_pilon.52, Acerv_evm.model.Segkk1325_pilon.3, Acerv_evm.model.Segkk678_pilon.3, Acerv_evm.model.Segkk1046_pilon.5, Acerv_evm.model.Segkk601_pilon.6, Acerv_evm.model.Segkk3002_pilon.2, Acerv_evm.model.Segkk3388_pilon.24, Acerv_evm.model.Segkk3479_pilon.1, Acerv_evm.model.Segkk1438_pilon.14, Acerv_evm.model.Segkk789_pilon.47, Acerv_evm.model.Segkk2585_pilon.13, Acerv_evm.model.Segkk3638_pilon.2, Acerv_evm.model.Segkk1853_pilon.2, Acerv_evm.model.Segkk1800_pilon.14, Acerv_evm.model.Segkk3193_pilon.2, Acerv_evm.model.Segkk2156_pilon.18, Acerv_evm.model.Segkk2464_pilon.5, Acerv_evm.model.Segkk3935_pilon.19
OG0000023	Pocillopora_acuta_HIv1_PredGene_g24460.t1	Acerv_evm.model.Segkk652_pilon.3
OG0000023	Pocillopora_acuta_HIv1_PredGene_g13636.t1, Pocillopora_acuta_HIv1_PredGene_g31280.t1	Acerv_evm.model.Segkk1271_pilon.4, Acerv_evm.model.Segkk1317_pilon.19, Acerv_evm.model.Segkk1317_pilon.14, Acerv_evm.model.Segkk2837_pilon.3, Acerv_evm.model.Segkk1404_pilon.2, Acerv_evm.model.Segkk2594_pilon.22, Acerv_evm.model.Segkk2594_pilon.24, Acerv_evm.model.Segkk2949_pilon.3, Acerv_evm.model.Segkk1574_pilon.4, Acerv_evm.model.Segkk1574_pilon.3, Acerv_evm.model.Segkk4041_pilon.2, Acerv_evm.model.Segkk3422_pilon.2, Acerv_evm.model.Segkk476_pilon.4, Acerv_evm.model.Segkk3422_pilon.3, Acerv_evm.model.Segkk1317_pilon.17, Acerv_evm.model.Segkk3331_pilon.32, Acerv_evm.model.Segkk3470_pilon.4, Acerv_evm.model.Segkk3231_pilon.2, Acerv_evm.model.Segkk551_pilon.5, Acerv_evm.model.Segkk1574_pilon.6, Acerv_evm.model.Segkk3539_pilon.1, Acerv_evm.model.Segkk3231_pilon.3, Acerv_evm.model.Segkk785_pilon.13, Acerv_evm.model.Segkk1559_pilon.1, Acerv_evm.model.Segkk2445_pilon.1, Acerv_evm.model.Segkk2445_pilon.10, Acerv_evm.model.Segkk3231_pilon.1, Acerv_evm.model.Segkk2445_pilon.12, Acerv_evm.model.Segkk1867_pilon.9, Acerv_evm.model.Segkk1988_pilon.16, Acerv_evm.model.Segkk1108_pilon.2, Acerv_evm.model.Segkk1317_pilon.15, Acerv_evm.model.Segkk1069_pilon.3, Acerv_evm.model.Segkk1913_pilon.2, Acerv_evm.model.Segkk3539_pilon.5, Acerv_evm.model.Segkk2837_pilon.2, Acerv_evm.model.Segkk476_pilon.2, Acerv_evm.model.Segkk476_pilon.5, Acerv_evm.model.Segkk2445_pilon.11, Acerv_evm.model.Segkk785_pilon.15
OG0000025	Pocillopora_acuta_HIv1_PredGene_g14061.t1	Acerv_evm.model.Segkk759_pilon.29
