"","gene","19_T33_Ac_WK","24_T12_Ac_FM","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","31_T22_Ac_UV","35_T43_Ac_MT","37_T13_Ac_ML","38_T23_Ac_IN","41_ctl3_Ac_RN_1","45_T41_Ac_SC_1","47_T31_Ac_JB","52_T11_Ac_II","53_T21_Ac_NH","54_T42_Ac_JQ","57_T32_Ac_NM","scaffold","Gene.Predict","id","gene.start","gene.stop","pos1","pos2","pos3","attr"
"Acerv_evm.TU.Segkk1822_pilon.2","Acerv_evm.TU.Segkk1822_pilon.2",386,10,406,368,522,938,404,1163,250,484,96,224,739,1588,352,"Segkk1822_pilon","EVM","mRNA",16495,26028,".","+",".","ID=Acerv_evm.model.Segkk1822_pilon.2;Parent=Acerv_evm.TU.Segkk1822_pilon.2;product=PREDICTED:_uncharacterized_protein_YMR196W-like_;transcript_id=Acerv_evm.model.Segkk1822_pilon.2"
"Acerv_evm.TU.Segkk1852_pilon.2","Acerv_evm.TU.Segkk1852_pilon.2",163,239,229,322,109,265,158,239,298,300,143,260,87,218,161,"Segkk1852_pilon","EVM","exon",18257,18365,".","+",".","ID=Acerv_evm.model.Segkk1852_pilon.2.exon2;Parent=Acerv_evm.model.Segkk1852_pilon.2;transcript_id=Acerv_evm.model.Segkk1852_pilon.2.exon2"
"Acerv_evm.TU.Segkk1945_pilon.2","Acerv_evm.TU.Segkk1945_pilon.2",34,0,8,12,16,18,17,18,0,11,12,19,7,24,12,"Segkk1945_pilon","EVM","start_codon",18713,18715,".","+",".","ID=Acerv_evm.model.Segkk1945_pilon.2:start;Parent=Acerv_evm.model.Segkk1945_pilon.2;transcript_id=Acerv_evm.model.Segkk1945_pilon.2:start"
"Acerv_evm.TU.Segkk2117_pilon.21","Acerv_evm.TU.Segkk2117_pilon.21",45,0,30,17,32,61,27,40,28,33,26,18,24,44,16,"Segkk2117_pilon","EVM","gene",110038,110653,".","+",".","ID=Acerv_evm.TU.Segkk2117_pilon.21;Name=Acerv_gene.model.Segkk2117_pilon.21"
"Acerv_evm.TU.Segkk2165_pilon.11","Acerv_evm.TU.Segkk2165_pilon.11",37,0,266,215,31,74,13,12,82,83,11,15,12,37,5,"Segkk2165_pilon","EVM","start_codon",176927,176929,".","+",".","ID=Acerv_evm.model.Segkk2165_pilon.11:start;Parent=Acerv_evm.model.Segkk2165_pilon.11;transcript_id=Acerv_evm.model.Segkk2165_pilon.11:start"
"Acerv_evm.TU.Segkk2181_pilon.1","Acerv_evm.TU.Segkk2181_pilon.1",94,0,70,71,66,104,81,70,52,76,55,165,64,149,37,"Segkk2181_pilon","EVM","start_codon",5710,5712,".","+",".","ID=Acerv_evm.model.Segkk2181_pilon.1:start;Parent=Acerv_evm.model.Segkk2181_pilon.1;transcript_id=Acerv_evm.model.Segkk2181_pilon.1:start"
"Acerv_evm.TU.Segkk223_pilon.4","Acerv_evm.TU.Segkk223_pilon.4",84,0,22,77,76,119,54,105,38,63,68,86,45,100,33,"Segkk223_pilon","EVM","stop_codon",25821,25823,".","+",".","ID=Acerv_evm.model.Segkk223_pilon.4:stop;Parent=Acerv_evm.model.Segkk223_pilon.4;transcript_id=Acerv_evm.model.Segkk223_pilon.4:stop"
"Acerv_evm.TU.Segkk2242_pilon.3","Acerv_evm.TU.Segkk2242_pilon.3",21,0,18,12,17,20,17,7,12,15,9,26,5,18,10,"Segkk2242_pilon","EVM","CDS",24304,24591,".","+","0","ID=cds.Acerv_evm.model.Segkk2242_pilon.3;Parent=Acerv_evm.model.Segkk2242_pilon.3;transcript_id=cds.Acerv_evm.model.Segkk2242_pilon.3"
"Acerv_evm.TU.Segkk2424_pilon.11","Acerv_evm.TU.Segkk2424_pilon.11",134,0,38,19,85,125,123,233,26,28,77,49,52,227,71,"Segkk2424_pilon","EVM","exon",99223,99471,".","+",".","ID=Acerv_evm.model.Segkk2424_pilon.11.exon15;Parent=Acerv_evm.model.Segkk2424_pilon.11;transcript_id=Acerv_evm.model.Segkk2424_pilon.11.exon15"
"Acerv_evm.TU.Segkk2517_pilon.9","Acerv_evm.TU.Segkk2517_pilon.9",139,11,175,125,65,160,83,122,115,154,45,153,75,126,35,"Segkk2517_pilon","EVM","exon",79516,80112,".","+",".","ID=Acerv_evm.model.Segkk2517_pilon.9.exon2;Parent=Acerv_evm.model.Segkk2517_pilon.9;transcript_id=Acerv_evm.model.Segkk2517_pilon.9.exon2"
"Acerv_evm.TU.Segkk2563_pilon.1","Acerv_evm.TU.Segkk2563_pilon.1",52,22,10,20,13,41,11,13,7,20,7,11,18,16,4,"Segkk2563_pilon","EVM","CDS",3974,4296,".","-","2","ID=cds.Acerv_evm.model.Segkk2563_pilon.1;Parent=Acerv_evm.model.Segkk2563_pilon.1;transcript_id=cds.Acerv_evm.model.Segkk2563_pilon.1"
"Acerv_evm.TU.Segkk2611_pilon.2","Acerv_evm.TU.Segkk2611_pilon.2",66,0,70,47,54,54,53,22,20,53,24,146,54,105,36,"Segkk2611_pilon","EVM","CDS",4477,5109,".","+","0","ID=cds.Acerv_evm.model.Segkk2611_pilon.2;Parent=Acerv_evm.model.Segkk2611_pilon.2;transcript_id=cds.Acerv_evm.model.Segkk2611_pilon.2"
"Acerv_evm.TU.Segkk2716_pilon.12","Acerv_evm.TU.Segkk2716_pilon.12",18,0,15,24,16,44,19,80,25,106,23,42,16,62,18,"Segkk2716_pilon","EVM","mRNA",203329,203637,".","+",".","ID=Acerv_evm.model.Segkk2716_pilon.12;Parent=Acerv_evm.TU.Segkk2716_pilon.12;product=hypothetical_protein;transcript_id=Acerv_evm.model.Segkk2716_pilon.12"
"Acerv_evm.TU.Segkk2725_pilon.8","Acerv_evm.TU.Segkk2725_pilon.8",37,1,14,35,26,52,23,42,11,19,26,37,28,62,9,"Segkk2725_pilon","EVM","gene",84647,87955,".","+",".","ID=Acerv_evm.TU.Segkk2725_pilon.8;Name=Acerv_gene.model.Segkk2725_pilon.8"
"Acerv_evm.TU.Segkk2794_pilon.7","Acerv_evm.TU.Segkk2794_pilon.7",45,11,11,15,17,42,25,15,21,39,4,29,32,35,8,"Segkk2794_pilon","EVM","mRNA",66617,69580,".","+",".","ID=Acerv_evm.model.Segkk2794_pilon.7;Parent=Acerv_evm.TU.Segkk2794_pilon.7;product=Probable_serine/threonine-protein_kinase_kinX_;transcript_id=Acerv_evm.model.Segkk2794_pilon.7"
"Acerv_evm.TU.Segkk2935_pilon.2","Acerv_evm.TU.Segkk2935_pilon.2",22,1,12,12,22,57,21,58,13,19,26,15,11,27,13,"Segkk2935_pilon","EVM","start_codon",10056,10058,".","+",".","ID=Acerv_evm.model.Segkk2935_pilon.2:start;Parent=Acerv_evm.model.Segkk2935_pilon.2;transcript_id=Acerv_evm.model.Segkk2935_pilon.2:start"
"Acerv_evm.TU.Segkk2970_pilon.1","Acerv_evm.TU.Segkk2970_pilon.1",72,0,21,39,38,111,38,130,44,68,42,27,41,53,21,"Segkk2970_pilon","EVM","CDS",4362,4936,".","+","2","ID=cds.Acerv_evm.model.Segkk2970_pilon.1;Parent=Acerv_evm.model.Segkk2970_pilon.1;transcript_id=cds.Acerv_evm.model.Segkk2970_pilon.1"
"Acerv_evm.TU.Segkk3047_pilon.5","Acerv_evm.TU.Segkk3047_pilon.5",33,0,11,16,51,67,33,38,8,5,27,22,34,47,24,"Segkk3047_pilon","EVM","gene",67268,69713,".","+",".","ID=Acerv_evm.TU.Segkk3047_pilon.5;Name=Acerv_gene.model.Segkk3047_pilon.5"
"Acerv_evm.TU.Segkk3087_pilon.2","Acerv_evm.TU.Segkk3087_pilon.2",50,0,10,15,33,65,39,38,6,15,31,27,24,62,12,"Segkk3087_pilon","EVM","CDS",17458,21852,".","+","1","ID=cds.Acerv_evm.model.Segkk3087_pilon.2;Parent=Acerv_evm.model.Segkk3087_pilon.2;transcript_id=cds.Acerv_evm.model.Segkk3087_pilon.2"
"Acerv_evm.TU.Segkk315_pilon.1","Acerv_evm.TU.Segkk315_pilon.1",35,0,5,7,25,50,15,23,19,23,23,16,18,39,7,"Segkk315_pilon","EVM","CDS",17107,17231,".","+","2","ID=cds.Acerv_evm.model.Segkk315_pilon.1;Parent=Acerv_evm.model.Segkk315_pilon.1;transcript_id=cds.Acerv_evm.model.Segkk315_pilon.1"
"Acerv_evm.TU.Segkk3209_pilon.7","Acerv_evm.TU.Segkk3209_pilon.7",58,2,21,34,32,45,28,31,19,26,29,13,26,53,17,"Segkk3209_pilon","EVM","CDS",43307,44251,".","+","0","ID=cds.Acerv_evm.model.Segkk3209_pilon.7;Parent=Acerv_evm.model.Segkk3209_pilon.7;transcript_id=cds.Acerv_evm.model.Segkk3209_pilon.7"
"Acerv_evm.TU.Segkk3209_pilon.9","Acerv_evm.TU.Segkk3209_pilon.9",8,21,14,22,9,14,9,7,8,13,3,6,7,9,3,"Segkk3209_pilon","EVM","gene",56757,58100,".","+",".","ID=Acerv_evm.TU.Segkk3209_pilon.9;Name=Acerv_gene.model.Segkk3209_pilon.9"
"Acerv_evm.TU.Segkk3387_pilon.12","Acerv_evm.TU.Segkk3387_pilon.12",33,7,17,32,27,61,22,35,20,40,25,37,19,46,11,"Segkk3387_pilon","EVM","stop_codon",106676,106678,".","+",".","ID=Acerv_evm.model.Segkk3387_pilon.12:stop;Parent=Acerv_evm.model.Segkk3387_pilon.12;transcript_id=Acerv_evm.model.Segkk3387_pilon.12:stop"
"Acerv_evm.TU.Segkk3394_pilon.16","Acerv_evm.TU.Segkk3394_pilon.16",311,12,28,12,288,513,246,188,6,6,152,155,186,521,123,"Segkk3394_pilon","EVM","exon",176434,176508,".","+",".","ID=Acerv_evm.model.Segkk3394_pilon.16.exon3;Parent=Acerv_evm.model.Segkk3394_pilon.16;transcript_id=Acerv_evm.model.Segkk3394_pilon.16.exon3"
"Acerv_evm.TU.Segkk3395_pilon.4","Acerv_evm.TU.Segkk3395_pilon.4",74,4,63,50,79,161,76,112,91,156,73,99,43,163,29,"Segkk3395_pilon","EVM","exon",22694,22837,".","+",".","ID=Acerv_evm.model.Segkk3395_pilon.4.exon5;Parent=Acerv_evm.model.Segkk3395_pilon.4;transcript_id=Acerv_evm.model.Segkk3395_pilon.4.exon5"
"Acerv_evm.TU.Segkk3405_pilon.7","Acerv_evm.TU.Segkk3405_pilon.7",112,0,40,42,81,158,65,91,56,57,62,103,35,128,39,"Segkk3405_pilon","EVM","CDS",68210,68219,".","+","1","ID=cds.Acerv_evm.model.Segkk3405_pilon.7;Parent=Acerv_evm.model.Segkk3405_pilon.7;transcript_id=cds.Acerv_evm.model.Segkk3405_pilon.7"
"Acerv_evm.TU.Segkk3422_pilon.23","Acerv_evm.TU.Segkk3422_pilon.23",799,711,15,8,471,680,524,537,22,14,402,449,304,1079,353,"Segkk3422_pilon","EVM","stop_codon",238355,238357,".","+",".","ID=Acerv_evm.model.Segkk3422_pilon.23:stop;Parent=Acerv_evm.model.Segkk3422_pilon.23;transcript_id=Acerv_evm.model.Segkk3422_pilon.23:stop"
"Acerv_evm.TU.Segkk3454_pilon.21","Acerv_evm.TU.Segkk3454_pilon.21",52,0,433,437,26,65,32,40,315,439,32,38,26,39,14,"Segkk3454_pilon","EVM","exon",197071,197620,".","+",".","ID=Acerv_evm.model.Segkk3454_pilon.21.exon1;Parent=Acerv_evm.model.Segkk3454_pilon.21;transcript_id=Acerv_evm.model.Segkk3454_pilon.21.exon1"
"Acerv_evm.TU.Segkk3525_pilon.1","Acerv_evm.TU.Segkk3525_pilon.1",48,0,19,11,27,58,21,24,9,10,28,39,27,45,10,"Segkk3525_pilon","EVM","stop_codon",14804,14806,".","+",".","ID=Acerv_evm.model.Segkk3525_pilon.1:stop;Parent=Acerv_evm.model.Segkk3525_pilon.1;transcript_id=Acerv_evm.model.Segkk3525_pilon.1:stop"
"Acerv_evm.TU.Segkk3540_pilon.3","Acerv_evm.TU.Segkk3540_pilon.3",13,0,31,22,16,20,21,189,35,34,14,28,30,37,10,"Segkk3540_pilon","EVM","gene",42423,46588,".","+",".","ID=Acerv_evm.TU.Segkk3540_pilon.3;Name=Acerv_gene.model.Segkk3540_pilon.3"
"Acerv_evm.TU.Segkk3668_pilon.23","Acerv_evm.TU.Segkk3668_pilon.23",96,14,45,101,42,110,59,36,42,45,25,68,41,76,33,"Segkk3668_pilon","EVM","exon",289479,289552,".","+",".","ID=Acerv_evm.model.Segkk3668_pilon.23.exon1;Parent=Acerv_evm.model.Segkk3668_pilon.23;transcript_id=Acerv_evm.model.Segkk3668_pilon.23.exon1"
"Acerv_evm.TU.Segkk3750_pilon.2","Acerv_evm.TU.Segkk3750_pilon.2",25,0,10,12,12,23,13,30,9,10,13,10,11,20,4,"Segkk3750_pilon","EVM","exon",25667,26006,".","-",".","ID=Acerv_evm.model.Segkk3750_pilon.2.exon1;Parent=Acerv_evm.model.Segkk3750_pilon.2;transcript_id=Acerv_evm.model.Segkk3750_pilon.2.exon1"
"Acerv_evm.TU.Segkk3858_pilon.8","Acerv_evm.TU.Segkk3858_pilon.8",156,10,92,120,161,94,175,185,216,222,123,86,99,156,81,"Segkk3858_pilon","EVM","stop_codon",74840,74842,".","+",".","ID=Acerv_evm.model.Segkk3858_pilon.8:stop;Parent=Acerv_evm.model.Segkk3858_pilon.8;transcript_id=Acerv_evm.model.Segkk3858_pilon.8:stop"
"Acerv_evm.TU.Segkk398_pilon.1","Acerv_evm.TU.Segkk398_pilon.1",36,0,11,5,19,36,14,17,8,11,7,12,14,32,8,"Segkk398_pilon","EVM","exon",1441,1802,".","-",".","ID=Acerv_evm.model.Segkk398_pilon.1.exon2;Parent=Acerv_evm.model.Segkk398_pilon.1;transcript_id=Acerv_evm.model.Segkk398_pilon.1.exon2"
"Acerv_evm.TU.Segkk398_pilon.2","Acerv_evm.TU.Segkk398_pilon.2",26,0,14,7,19,38,16,17,12,19,9,11,15,29,9,"Segkk398_pilon","EVM","exon",3931,4292,".","+",".","ID=Acerv_evm.model.Segkk398_pilon.2.exon2;Parent=Acerv_evm.model.Segkk398_pilon.2;transcript_id=Acerv_evm.model.Segkk398_pilon.2.exon2"
"Acerv_evm.TU.Segkk4074_pilon.1","Acerv_evm.TU.Segkk4074_pilon.1",56,0,21,25,41,76,19,43,23,25,21,16,26,41,8,"Segkk4074_pilon","EVM","mRNA",458,1909,".","-",".","ID=Acerv_evm.model.Segkk4074_pilon.1;Parent=Acerv_evm.TU.Segkk4074_pilon.1;product=Nephrocystin-3_;transcript_id=Acerv_evm.model.Segkk4074_pilon.1"
"Acerv_evm.TU.Segkk4263_pilon.5","Acerv_evm.TU.Segkk4263_pilon.5",30,17,10,17,20,45,23,15,15,44,10,21,22,33,13,"Segkk4263_pilon","EVM","stop_codon",37080,37082,".","+",".","ID=Acerv_evm.model.Segkk4263_pilon.5:stop;Parent=Acerv_evm.model.Segkk4263_pilon.5;transcript_id=Acerv_evm.model.Segkk4263_pilon.5:stop"
"Acerv_evm.TU.Segkk4302_pilon.20","Acerv_evm.TU.Segkk4302_pilon.20",68,0,150,143,32,57,0,35,101,183,24,16,20,62,20,"Segkk4302_pilon","EVM","exon",155327,155436,".","+",".","ID=Acerv_evm.model.Segkk4302_pilon.20.exon2;Parent=Acerv_evm.model.Segkk4302_pilon.20;transcript_id=Acerv_evm.model.Segkk4302_pilon.20.exon2"
"Acerv_evm.TU.Segkk991_pilon.1","Acerv_evm.TU.Segkk991_pilon.1",1562,1203,1731,2197,708,1479,990,1112,2185,2603,955,1255,514,1348,786,"Segkk991_pilon","EVM","exon",10276,10279,".","+",".","ID=Acerv_evm.model.Segkk991_pilon.1.exon1;Parent=Acerv_evm.model.Segkk991_pilon.1;transcript_id=Acerv_evm.model.Segkk991_pilon.1.exon1"
