"","gene","19_T33_Ac_WK","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","31_T22_Ac_UV","35_T43_Ac_MT","37_T13_Ac_ML","38_T23_Ac_IN","41_ctl3_Ac_RN_1","47_T31_Ac_JB","52_T11_Ac_II","53_T21_Ac_NH","54_T42_Ac_JQ","57_T32_Ac_NM","scaffold","Gene.Predict","id","gene.start","gene.stop","pos1","pos2","pos3","attr"
"Acerv_evm.TU.Segkk1291_pilon.1","Acerv_evm.TU.Segkk1291_pilon.1",521,1316,1108,316,501,438,393,1200,301,564,181,592,274,"Segkk1291_pilon","EVM","exon",811,839,".","-",".","ID=Acerv_evm.model.Segkk1291_pilon.1.exon41;Parent=Acerv_evm.model.Segkk1291_pilon.1;transcript_id=Acerv_evm.model.Segkk1291_pilon.1.exon41"
"Acerv_evm.TU.Segkk1299_pilon.1","Acerv_evm.TU.Segkk1299_pilon.1",28,27,24,19,33,24,25,35,32,47,21,45,15,"Segkk1299_pilon","EVM","stop_codon",4568,4570,".","+",".","ID=Acerv_evm.model.Segkk1299_pilon.1:stop;Parent=Acerv_evm.model.Segkk1299_pilon.1;transcript_id=Acerv_evm.model.Segkk1299_pilon.1:stop"
"Acerv_evm.TU.Segkk1303_pilon.10","Acerv_evm.TU.Segkk1303_pilon.10",392,655,957,784,1092,212,414,473,246,88,431,501,105,"Segkk1303_pilon","EVM","stop_codon",88819,88821,".","+",".","ID=Acerv_evm.model.Segkk1303_pilon.10:stop;Parent=Acerv_evm.model.Segkk1303_pilon.10;transcript_id=Acerv_evm.model.Segkk1303_pilon.10:stop"
"Acerv_evm.TU.Segkk1318_pilon.7","Acerv_evm.TU.Segkk1318_pilon.7",79,143,111,77,158,51,103,110,27,31,59,117,25,"Segkk1318_pilon","EVM","gene",64257,65948,".","+",".","ID=Acerv_evm.TU.Segkk1318_pilon.7;Name=Acerv_gene.model.Segkk1318_pilon.7"
"Acerv_evm.TU.Segkk1350_pilon.5","Acerv_evm.TU.Segkk1350_pilon.5",92,157,200,166,224,73,133,110,53,51,109,152,43,"Segkk1350_pilon","EVM","CDS",52438,52519,".","+","0","ID=cds.Acerv_evm.model.Segkk1350_pilon.5;Parent=Acerv_evm.model.Segkk1350_pilon.5;transcript_id=cds.Acerv_evm.model.Segkk1350_pilon.5"
"Acerv_evm.TU.Segkk1375_pilon.15","Acerv_evm.TU.Segkk1375_pilon.15",133,228,168,62,93,104,51,237,44,147,24,87,69,"Segkk1375_pilon","EVM","mRNA",168270,175880,".","+",".","ID=Acerv_evm.model.Segkk1375_pilon.15;Parent=Acerv_evm.TU.Segkk1375_pilon.15;product=A_disintegrin_and_metalloproteinase_with_thrombospondin_motifs_6_;transcript_id=Acerv_evm.model.Segkk1375_pilon.15"
"Acerv_evm.TU.Segkk1386_pilon.25","Acerv_evm.TU.Segkk1386_pilon.25",85,215,200,47,55,48,54,275,38,50,18,57,27,"Segkk1386_pilon","EVM","exon",234083,234284,".","+",".","ID=Acerv_evm.model.Segkk1386_pilon.25.exon1;Parent=Acerv_evm.model.Segkk1386_pilon.25;transcript_id=Acerv_evm.model.Segkk1386_pilon.25.exon1"
"Acerv_evm.TU.Segkk1411_pilon.4","Acerv_evm.TU.Segkk1411_pilon.4",1402,2479,2277,830,1573,1057,833,2257,550,1598,376,1365,617,"Segkk1411_pilon","EVM","stop_codon",36781,36783,".","+",".","ID=Acerv_evm.model.Segkk1411_pilon.4:stop;Parent=Acerv_evm.model.Segkk1411_pilon.4;transcript_id=Acerv_evm.model.Segkk1411_pilon.4:stop"
"Acerv_evm.TU.Segkk1416_pilon.3","Acerv_evm.TU.Segkk1416_pilon.3",58,52,46,56,78,54,100,80,72,57,29,79,29,"Segkk1416_pilon","EVM","gene",6664,7713,".","+",".","ID=Acerv_evm.TU.Segkk1416_pilon.3;Name=Acerv_gene.model.Segkk1416_pilon.3"
"Acerv_evm.TU.Segkk1424_pilon.6","Acerv_evm.TU.Segkk1424_pilon.6",285,626,341,125,245,202,83,387,106,280,49,285,139,"Segkk1424_pilon","EVM","start_codon",46340,46342,".","+",".","ID=Acerv_evm.model.Segkk1424_pilon.6:start;Parent=Acerv_evm.model.Segkk1424_pilon.6;transcript_id=Acerv_evm.model.Segkk1424_pilon.6:start"
"Acerv_evm.TU.Segkk1466_pilon.9","Acerv_evm.TU.Segkk1466_pilon.9",44,43,73,47,120,53,139,43,29,21,62,175,26,"Segkk1466_pilon","EVM","CDS",86641,86680,".","+","0","ID=cds.Acerv_evm.model.Segkk1466_pilon.9;Parent=Acerv_evm.model.Segkk1466_pilon.9;transcript_id=cds.Acerv_evm.model.Segkk1466_pilon.9"
"Acerv_evm.TU.Segkk1480_pilon.1","Acerv_evm.TU.Segkk1480_pilon.1",57,51,65,60,129,56,83,53,56,67,40,102,21,"Segkk1480_pilon","EVM","stop_codon",6157,6159,".","+",".","ID=Acerv_evm.model.Segkk1480_pilon.1:stop;Parent=Acerv_evm.model.Segkk1480_pilon.1;transcript_id=Acerv_evm.model.Segkk1480_pilon.1:stop"
"Acerv_evm.TU.Segkk1480_pilon.2","Acerv_evm.TU.Segkk1480_pilon.2",12,7,6,12,22,12,18,10,10,13,6,24,8,"Segkk1480_pilon","EVM","start_codon",6589,6591,".","+",".","ID=Acerv_evm.model.Segkk1480_pilon.2:start;Parent=Acerv_evm.model.Segkk1480_pilon.2;transcript_id=Acerv_evm.model.Segkk1480_pilon.2:start"
"Acerv_evm.TU.Segkk1497_pilon.2","Acerv_evm.TU.Segkk1497_pilon.2",791,1462,1106,690,1078,426,721,1221,364,366,490,936,221,"Segkk1497_pilon","EVM","CDS",36842,36913,".","+","0","ID=cds.Acerv_evm.model.Segkk1497_pilon.2;Parent=Acerv_evm.model.Segkk1497_pilon.2;transcript_id=cds.Acerv_evm.model.Segkk1497_pilon.2"
"Acerv_evm.TU.Segkk1509_pilon.11","Acerv_evm.TU.Segkk1509_pilon.11",384,870,449,134,291,218,164,948,250,177,113,293,138,"Segkk1509_pilon","EVM","stop_codon",118128,118130,".","+",".","ID=Acerv_evm.model.Segkk1509_pilon.11:stop;Parent=Acerv_evm.model.Segkk1509_pilon.11;transcript_id=Acerv_evm.model.Segkk1509_pilon.11:stop"
"Acerv_evm.TU.Segkk1560_pilon.6","Acerv_evm.TU.Segkk1560_pilon.6",333,707,611,202,349,251,190,658,187,283,111,345,150,"Segkk1560_pilon","EVM","CDS",67660,67750,".","-","0","ID=cds.Acerv_evm.model.Segkk1560_pilon.6;Parent=Acerv_evm.model.Segkk1560_pilon.6;transcript_id=cds.Acerv_evm.model.Segkk1560_pilon.6"
"Acerv_evm.TU.Segkk1575_pilon.7","Acerv_evm.TU.Segkk1575_pilon.7",18,22,9,24,42,15,19,8,12,14,11,20,10,"Segkk1575_pilon","EVM","gene",118058,121480,".","+",".","ID=Acerv_evm.TU.Segkk1575_pilon.7;Name=Acerv_gene.model.Segkk1575_pilon.7"
"Acerv_evm.TU.Segkk1579_pilon.3","Acerv_evm.TU.Segkk1579_pilon.3",235,378,318,304,403,264,715,197,96,169,331,561,199,"Segkk1579_pilon","EVM","CDS",44416,44766,".","+","2","ID=cds.Acerv_evm.model.Segkk1579_pilon.3;Parent=Acerv_evm.model.Segkk1579_pilon.3;transcript_id=cds.Acerv_evm.model.Segkk1579_pilon.3"
"Acerv_evm.TU.Segkk1593_pilon.6","Acerv_evm.TU.Segkk1593_pilon.6",60,62,52,49,91,34,39,33,20,29,30,60,17,"Segkk1593_pilon","EVM","CDS",49842,49957,".","+","2","ID=cds.Acerv_evm.model.Segkk1593_pilon.6;Parent=Acerv_evm.model.Segkk1593_pilon.6;transcript_id=cds.Acerv_evm.model.Segkk1593_pilon.6"
"Acerv_evm.TU.Segkk1613_pilon.8","Acerv_evm.TU.Segkk1613_pilon.8",167,271,137,159,272,110,136,129,116,73,98,240,73,"Segkk1613_pilon","EVM","exon",60501,60593,".","+",".","ID=Acerv_evm.model.Segkk1613_pilon.8.exon1;Parent=Acerv_evm.model.Segkk1613_pilon.8;transcript_id=Acerv_evm.model.Segkk1613_pilon.8.exon1"
"Acerv_evm.TU.Segkk1630_pilon.6","Acerv_evm.TU.Segkk1630_pilon.6",112,10,15,99,178,97,80,8,56,134,48,179,62,"Segkk1630_pilon","EVM","exon",27681,27757,".","+",".","ID=Acerv_evm.model.Segkk1630_pilon.6.exon2;Parent=Acerv_evm.model.Segkk1630_pilon.6;transcript_id=Acerv_evm.model.Segkk1630_pilon.6.exon2"
"Acerv_evm.TU.Segkk1656_pilon.3","Acerv_evm.TU.Segkk1656_pilon.3",144,40,66,98,185,54,48,49,16,22,69,117,18,"Segkk1656_pilon","EVM","exon",11562,12434,".","+",".","ID=Acerv_evm.model.Segkk1656_pilon.3.exon1;Parent=Acerv_evm.model.Segkk1656_pilon.3;transcript_id=Acerv_evm.model.Segkk1656_pilon.3.exon1"
"Acerv_evm.TU.Segkk1677_pilon.1","Acerv_evm.TU.Segkk1677_pilon.1",85,48,38,70,158,69,99,55,70,86,45,112,37,"Segkk1677_pilon","EVM","stop_codon",15448,15450,".","+",".","ID=Acerv_evm.model.Segkk1677_pilon.1:stop;Parent=Acerv_evm.model.Segkk1677_pilon.1;transcript_id=Acerv_evm.model.Segkk1677_pilon.1:stop"
"Acerv_evm.TU.Segkk169_pilon.1","Acerv_evm.TU.Segkk169_pilon.1",44,39,6,71,105,24,30,10,15,13,27,71,15,"Segkk169_pilon","EVM","CDS",6246,7111,".","+","2","ID=cds.Acerv_evm.model.Segkk169_pilon.1;Parent=Acerv_evm.model.Segkk169_pilon.1;transcript_id=cds.Acerv_evm.model.Segkk169_pilon.1"
"Acerv_evm.TU.Segkk1708_pilon.21","Acerv_evm.TU.Segkk1708_pilon.21",14,7,4,10,14,10,20,11,10,18,9,22,7,"Segkk1708_pilon","EVM","exon",195006,195205,".","+",".","ID=Acerv_evm.model.Segkk1708_pilon.21.exon7;Parent=Acerv_evm.model.Segkk1708_pilon.21;transcript_id=Acerv_evm.model.Segkk1708_pilon.21.exon7"
"Acerv_evm.TU.Segkk1732_pilon.61","Acerv_evm.TU.Segkk1732_pilon.61",39,108,75,16,35,30,18,94,24,18,9,29,9,"Segkk1732_pilon","EVM","start_codon",524986,524988,".","+",".","ID=Acerv_evm.model.Segkk1732_pilon.61:start;Parent=Acerv_evm.model.Segkk1732_pilon.61;transcript_id=Acerv_evm.model.Segkk1732_pilon.61:start"
"Acerv_evm.TU.Segkk1732_pilon.65","Acerv_evm.TU.Segkk1732_pilon.65",33,151,104,19,38,25,27,100,16,33,13,47,12,"Segkk1732_pilon","EVM","exon",551778,551816,".","+",".","ID=Acerv_evm.model.Segkk1732_pilon.65.exon3;Parent=Acerv_evm.model.Segkk1732_pilon.65;transcript_id=Acerv_evm.model.Segkk1732_pilon.65.exon3"
"Acerv_evm.TU.Segkk1774_pilon.15","Acerv_evm.TU.Segkk1774_pilon.15",133,305,245,71,202,64,62,380,73,76,26,157,74,"Segkk1774_pilon","EVM","exon",189162,189231,".","-",".","ID=Acerv_evm.model.Segkk1774_pilon.15.exon1;Parent=Acerv_evm.model.Segkk1774_pilon.15;transcript_id=Acerv_evm.model.Segkk1774_pilon.15.exon1"
"Acerv_evm.TU.Segkk1777_pilon.32","Acerv_evm.TU.Segkk1777_pilon.32",92,259,135,40,82,64,25,145,40,100,26,93,35,"Segkk1777_pilon","EVM","start_codon",258209,258211,".","+",".","ID=Acerv_evm.model.Segkk1777_pilon.32:start;Parent=Acerv_evm.model.Segkk1777_pilon.32;transcript_id=Acerv_evm.model.Segkk1777_pilon.32:start"
"Acerv_evm.TU.Segkk1779_pilon.5","Acerv_evm.TU.Segkk1779_pilon.5",59,14,16,30,52,30,48,33,30,15,31,58,10,"Segkk1779_pilon","EVM","exon",31878,31963,".","+",".","ID=Acerv_evm.model.Segkk1779_pilon.5.exon2;Parent=Acerv_evm.model.Segkk1779_pilon.5;transcript_id=Acerv_evm.model.Segkk1779_pilon.5.exon2"
"Acerv_evm.TU.Segkk1793_pilon.1","Acerv_evm.TU.Segkk1793_pilon.1",36,6,9,24,38,25,41,6,33,37,14,37,13,"Segkk1793_pilon","EVM","CDS",2457,2543,".","+","2","ID=cds.Acerv_evm.model.Segkk1793_pilon.1;Parent=Acerv_evm.model.Segkk1793_pilon.1;transcript_id=cds.Acerv_evm.model.Segkk1793_pilon.1"
"Acerv_evm.TU.Segkk1795_pilon.7","Acerv_evm.TU.Segkk1795_pilon.7",34,34,41,84,66,70,49,15,13,33,112,302,80,"Segkk1795_pilon","EVM","gene",66551,67738,".","+",".","ID=Acerv_evm.TU.Segkk1795_pilon.7;Name=Acerv_gene.model.Segkk1795_pilon.7"
"Acerv_evm.TU.Segkk1821_pilon.34","Acerv_evm.TU.Segkk1821_pilon.34",24,21,27,19,29,21,23,23,17,33,9,28,16,"Segkk1821_pilon","EVM","CDS",264495,264592,".","+","2","ID=cds.Acerv_evm.model.Segkk1821_pilon.34;Parent=Acerv_evm.model.Segkk1821_pilon.34;transcript_id=cds.Acerv_evm.model.Segkk1821_pilon.34"
"Acerv_evm.TU.Segkk1822_pilon.2","Acerv_evm.TU.Segkk1822_pilon.2",386,406,368,522,938,404,1163,250,96,224,739,1588,352,"Segkk1822_pilon","EVM","gene",16495,26028,".","+",".","ID=Acerv_evm.TU.Segkk1822_pilon.2;Name=Acerv_gene.model.Segkk1822_pilon.2"
"Acerv_evm.TU.Segkk1851_pilon.3","Acerv_evm.TU.Segkk1851_pilon.3",40,29,44,36,53,24,43,18,24,38,25,43,8,"Segkk1851_pilon","EVM","stop_codon",22789,22791,".","+",".","ID=Acerv_evm.model.Segkk1851_pilon.3:stop;Parent=Acerv_evm.model.Segkk1851_pilon.3;transcript_id=Acerv_evm.model.Segkk1851_pilon.3:stop"
"Acerv_evm.TU.Segkk1858_pilon.11","Acerv_evm.TU.Segkk1858_pilon.11",616,671,531,557,884,335,462,380,178,183,382,674,133,"Segkk1858_pilon","EVM","CDS",114272,114877,".","+","2","ID=cds.Acerv_evm.model.Segkk1858_pilon.11;Parent=Acerv_evm.model.Segkk1858_pilon.11;transcript_id=cds.Acerv_evm.model.Segkk1858_pilon.11"
"Acerv_evm.TU.Segkk1883_pilon.14","Acerv_evm.TU.Segkk1883_pilon.14",27,21,24,22,41,24,27,28,16,37,13,28,24,"Segkk1883_pilon","EVM","mRNA",157632,161502,".","+",".","ID=Acerv_evm.model.Segkk1883_pilon.14;Parent=Acerv_evm.TU.Segkk1883_pilon.14;product=Gamma-aminobutyric_acid_receptor_subunit_gamma-2_;transcript_id=Acerv_evm.model.Segkk1883_pilon.14"
"Acerv_evm.TU.Segkk1895_pilon.6","Acerv_evm.TU.Segkk1895_pilon.6",106,116,145,64,136,116,91,128,94,113,44,123,91,"Segkk1895_pilon","EVM","exon",34451,34537,".","+",".","ID=Acerv_evm.model.Segkk1895_pilon.6.exon4;Parent=Acerv_evm.model.Segkk1895_pilon.6;transcript_id=Acerv_evm.model.Segkk1895_pilon.6.exon4"
"Acerv_evm.TU.Segkk19_pilon.21","Acerv_evm.TU.Segkk19_pilon.21",104,231,118,50,65,78,28,188,41,154,19,101,58,"Segkk19_pilon","EVM","CDS",281061,281433,".","+","1","ID=cds.Acerv_evm.model.Segkk19_pilon.21;Parent=Acerv_evm.model.Segkk19_pilon.21;transcript_id=cds.Acerv_evm.model.Segkk19_pilon.21"
"Acerv_evm.TU.Segkk1929_pilon.4","Acerv_evm.TU.Segkk1929_pilon.4",229,211,265,169,263,118,146,254,98,105,135,252,74,"Segkk1929_pilon","EVM","exon",11813,12388,".","+",".","ID=Acerv_evm.model.Segkk1929_pilon.4.exon1;Parent=Acerv_evm.model.Segkk1929_pilon.4;transcript_id=Acerv_evm.model.Segkk1929_pilon.4.exon1"
"Acerv_evm.TU.Segkk1945_pilon.2","Acerv_evm.TU.Segkk1945_pilon.2",34,8,12,16,18,17,18,0,12,19,7,24,12,"Segkk1945_pilon","EVM","exon",22049,22201,".","+",".","ID=Acerv_evm.model.Segkk1945_pilon.2.exon3;Parent=Acerv_evm.model.Segkk1945_pilon.2;transcript_id=Acerv_evm.model.Segkk1945_pilon.2.exon3"
"Acerv_evm.TU.Segkk1947_pilon.7","Acerv_evm.TU.Segkk1947_pilon.7",1871,5915,5070,1052,1953,1006,1377,4667,900,1181,808,2889,689,"Segkk1947_pilon","EVM","exon",65325,65424,".","+",".","ID=Acerv_evm.model.Segkk1947_pilon.7.exon1;Parent=Acerv_evm.model.Segkk1947_pilon.7;transcript_id=Acerv_evm.model.Segkk1947_pilon.7.exon1"
"Acerv_evm.TU.Segkk1982_pilon.11","Acerv_evm.TU.Segkk1982_pilon.11",15,5,10,15,22,15,13,9,9,14,6,11,10,"Segkk1982_pilon","EVM","start_codon",86990,86992,".","+",".","ID=Acerv_evm.model.Segkk1982_pilon.11:start;Parent=Acerv_evm.model.Segkk1982_pilon.11;transcript_id=Acerv_evm.model.Segkk1982_pilon.11:start"
"Acerv_evm.TU.Segkk1991_pilon.4","Acerv_evm.TU.Segkk1991_pilon.4",129,166,161,104,202,67,144,100,28,59,94,356,43,"Segkk1991_pilon","EVM","CDS",53051,53093,".","+","0","ID=cds.Acerv_evm.model.Segkk1991_pilon.4;Parent=Acerv_evm.model.Segkk1991_pilon.4;transcript_id=cds.Acerv_evm.model.Segkk1991_pilon.4"
"Acerv_evm.TU.Segkk20_pilon.1","Acerv_evm.TU.Segkk20_pilon.1",199,849,693,131,240,115,144,644,123,148,88,234,55,"Segkk20_pilon","EVM","exon",1089,2698,".","+",".","ID=Acerv_evm.model.Segkk20_pilon.1.exon3;Parent=Acerv_evm.model.Segkk20_pilon.1;transcript_id=Acerv_evm.model.Segkk20_pilon.1.exon3"
"Acerv_evm.TU.Segkk2008_pilon.3","Acerv_evm.TU.Segkk2008_pilon.3",502,719,589,374,656,342,344,434,202,315,286,594,164,"Segkk2008_pilon","EVM","gene",15842,28408,".","+",".","ID=Acerv_evm.TU.Segkk2008_pilon.3;Name=Acerv_gene.model.Segkk2008_pilon.3"
"Acerv_evm.TU.Segkk2012_pilon.2","Acerv_evm.TU.Segkk2012_pilon.2",389,780,857,215,475,291,276,783,229,386,144,450,158,"Segkk2012_pilon","EVM","CDS",14264,14395,".","+","0","ID=cds.Acerv_evm.model.Segkk2012_pilon.2;Parent=Acerv_evm.model.Segkk2012_pilon.2;transcript_id=cds.Acerv_evm.model.Segkk2012_pilon.2"
"Acerv_evm.TU.Segkk2015_pilon.1","Acerv_evm.TU.Segkk2015_pilon.1",118,86,128,68,112,58,94,72,42,37,70,57,27,"Segkk2015_pilon","EVM","exon",1,57,".","+",".","ID=Acerv_evm.model.Segkk2015_pilon.1.exon1;Parent=Acerv_evm.model.Segkk2015_pilon.1;transcript_id=Acerv_evm.model.Segkk2015_pilon.1.exon1"
"Acerv_evm.TU.Segkk2116_pilon.21","Acerv_evm.TU.Segkk2116_pilon.21",461,1010,702,213,372,323,250,978,280,348,132,473,202,"Segkk2116_pilon","EVM","stop_codon",239966,239968,".","+",".","ID=Acerv_evm.model.Segkk2116_pilon.21:stop;Parent=Acerv_evm.model.Segkk2116_pilon.21;transcript_id=Acerv_evm.model.Segkk2116_pilon.21:stop"
"Acerv_evm.TU.Segkk2117_pilon.21","Acerv_evm.TU.Segkk2117_pilon.21",45,30,17,32,61,27,40,28,26,18,24,44,16,"Segkk2117_pilon","EVM","CDS",110558,110653,".","+","0","ID=cds.Acerv_evm.model.Segkk2117_pilon.21;Parent=Acerv_evm.model.Segkk2117_pilon.21;transcript_id=cds.Acerv_evm.model.Segkk2117_pilon.21"
"Acerv_evm.TU.Segkk2119_pilon.10","Acerv_evm.TU.Segkk2119_pilon.10",68,156,149,29,54,22,34,159,38,35,13,49,25,"Segkk2119_pilon","EVM","gene",73230,74003,".","+",".","ID=Acerv_evm.TU.Segkk2119_pilon.10;Name=Acerv_gene.model.Segkk2119_pilon.10"
"Acerv_evm.TU.Segkk2163_pilon.7","Acerv_evm.TU.Segkk2163_pilon.7",30,26,49,25,45,12,53,21,6,6,33,55,9,"Segkk2163_pilon","EVM","stop_codon",72022,72024,".","+",".","ID=Acerv_evm.model.Segkk2163_pilon.7:stop;Parent=Acerv_evm.model.Segkk2163_pilon.7;transcript_id=Acerv_evm.model.Segkk2163_pilon.7:stop"
"Acerv_evm.TU.Segkk2165_pilon.11","Acerv_evm.TU.Segkk2165_pilon.11",37,266,215,31,74,13,12,82,11,15,12,37,5,"Segkk2165_pilon","EVM","start_codon",176927,176929,".","+",".","ID=Acerv_evm.model.Segkk2165_pilon.11:start;Parent=Acerv_evm.model.Segkk2165_pilon.11;transcript_id=Acerv_evm.model.Segkk2165_pilon.11:start"
"Acerv_evm.TU.Segkk2166_pilon.1","Acerv_evm.TU.Segkk2166_pilon.1",105,148,188,85,180,103,85,111,61,128,54,145,55,"Segkk2166_pilon","EVM","CDS",2077,2183,".","-","2","ID=cds.Acerv_evm.model.Segkk2166_pilon.1;Parent=Acerv_evm.model.Segkk2166_pilon.1;transcript_id=cds.Acerv_evm.model.Segkk2166_pilon.1"
"Acerv_evm.TU.Segkk2181_pilon.1","Acerv_evm.TU.Segkk2181_pilon.1",94,70,71,66,104,81,70,52,55,165,64,149,37,"Segkk2181_pilon","EVM","exon",5631,5712,".","-",".","ID=Acerv_evm.model.Segkk2181_pilon.1.exon1;Parent=Acerv_evm.model.Segkk2181_pilon.1;transcript_id=Acerv_evm.model.Segkk2181_pilon.1.exon1"
"Acerv_evm.TU.Segkk2199_pilon.3","Acerv_evm.TU.Segkk2199_pilon.3",20,10,11,11,18,12,18,9,11,18,11,18,10,"Segkk2199_pilon","EVM","CDS",32743,32837,".","+","2","ID=cds.Acerv_evm.model.Segkk2199_pilon.3;Parent=Acerv_evm.model.Segkk2199_pilon.3;transcript_id=cds.Acerv_evm.model.Segkk2199_pilon.3"
"Acerv_evm.TU.Segkk223_pilon.4","Acerv_evm.TU.Segkk223_pilon.4",84,22,77,76,119,54,105,38,68,86,45,100,33,"Segkk223_pilon","EVM","mRNA",18746,25823,".","+",".","ID=Acerv_evm.model.Segkk223_pilon.4;Parent=Acerv_evm.TU.Segkk223_pilon.4;product=Tetratricopeptide_repeat_protein_28;transcript_id=Acerv_evm.model.Segkk223_pilon.4"
"Acerv_evm.TU.Segkk2237_pilon.14","Acerv_evm.TU.Segkk2237_pilon.14",712,1407,877,263,353,473,181,1428,383,631,101,507,311,"Segkk2237_pilon","EVM","mRNA",124429,126467,".","+",".","ID=Acerv_evm.model.Segkk2237_pilon.14;Parent=Acerv_evm.TU.Segkk2237_pilon.14;product=PREDICTED:_uncharacterized_protein_LOC107334018_;transcript_id=Acerv_evm.model.Segkk2237_pilon.14"
"Acerv_evm.TU.Segkk2237_pilon.15","Acerv_evm.TU.Segkk2237_pilon.15",339,618,357,125,144,315,93,435,144,329,83,284,227,"Segkk2237_pilon","EVM","CDS",130805,130937,".","+","0","ID=cds.Acerv_evm.model.Segkk2237_pilon.15;Parent=Acerv_evm.model.Segkk2237_pilon.15;transcript_id=cds.Acerv_evm.model.Segkk2237_pilon.15"
"Acerv_evm.TU.Segkk2242_pilon.3","Acerv_evm.TU.Segkk2242_pilon.3",21,18,12,17,20,17,7,12,9,26,5,18,10,"Segkk2242_pilon","EVM","exon",25255,25303,".","+",".","ID=Acerv_evm.model.Segkk2242_pilon.3.exon2;Parent=Acerv_evm.model.Segkk2242_pilon.3;transcript_id=Acerv_evm.model.Segkk2242_pilon.3.exon2"
