"","gene_id","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","length","1_2","2_2","4_2","11_2","28_2","35_2","36_2","38_2","39_2","41_2","42_2","47_2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare"
"21","Pocillopora_acuta_HIv1_PredGene_18567_t","GO:0097198",0.00187009089603829,0.999899738234797,3,25,"histone H3-K36 trimethylation","BP",1473,52,31,23,30,15,41,59,49,35,63,23,18,37.863830609849,-1.52662654379321,0.372535464826014,-4.09793613745255,4.16850244220809e-05,0.00980473459431766,"CvsHigh"
"23","Pocillopora_acuta_HIv1_PredGene_18567_t","GO:0048232",0.0227951793809806,0.99837201542663,2,31,"male gamete generation","BP",1473,52,31,23,30,15,41,59,49,35,63,23,18,37.863830609849,-1.52662654379321,0.372535464826014,-4.09793613745255,4.16850244220809e-05,0.00980473459431766,"CvsHigh"
"24","Pocillopora_acuta_HIv1_PredGene_18567_t","GO:0097676",0.00215862812533471,0.99987786254385,3,26,"histone H3-K36 dimethylation","BP",1473,52,31,23,30,15,41,59,49,35,63,23,18,37.863830609849,-1.52662654379321,0.372535464826014,-4.09793613745255,4.16850244220809e-05,0.00980473459431766,"CvsHigh"
"25","Pocillopora_acuta_HIv1_PredGene_18567_t","GO:1990918",0.0127338837671867,0.999349489418349,2,20,"double-strand break repair involved in meiotic recombination","BP",1473,52,31,23,30,15,41,59,49,35,63,23,18,37.863830609849,-1.52662654379321,0.372535464826014,-4.09793613745255,4.16850244220809e-05,0.00980473459431766,"CvsHigh"
"26","Pocillopora_acuta_HIv1_PredGene_18567_t","GO:0010845",0.00834556267726665,0.999670072685893,2,14,"positive regulation of reciprocal meiotic recombination","BP",1473,52,31,23,30,15,41,59,49,35,63,23,18,37.863830609849,-1.52662654379321,0.372535464826014,-4.09793613745255,4.16850244220809e-05,0.00980473459431766,"CvsHigh"
"27","Pocillopora_acuta_HIv1_PredGene_18567_t","GO:0051568",0.00504657188127514,0.999362358835271,4,72,"histone H3-K4 methylation","BP",1473,52,31,23,30,15,41,59,49,35,63,23,18,37.863830609849,-1.52662654379321,0.372535464826014,-4.09793613745255,4.16850244220809e-05,0.00980473459431766,"CvsHigh"
"28","Pocillopora_acuta_HIv1_PredGene_18567_t","GO:2001255",0.0106746494777866,0.999509893341534,2,17,"positive regulation of histone H3-K36 trimethylation","BP",1473,52,31,23,30,15,41,59,49,35,63,23,18,37.863830609849,-1.52662654379321,0.372535464826014,-4.09793613745255,4.16850244220809e-05,0.00980473459431766,"CvsHigh"
"29","Pocillopora_acuta_HIv1_PredGene_18567_t","GO:0034968",0.00890611851318778,0.999134281731999,3,45,"histone lysine methylation","BP",1473,52,31,23,30,15,41,59,49,35,63,23,18,37.863830609849,-1.52662654379321,0.372535464826014,-4.09793613745255,4.16850244220809e-05,0.00980473459431766,"CvsHigh"
"30","Pocillopora_acuta_HIv1_PredGene_18567_t","GO:0097692",0.0141177618491436,0.999235779669535,2,21,"histone H3-K4 monomethylation","BP",1473,52,31,23,30,15,41,59,49,35,63,23,18,37.863830609849,-1.52662654379321,0.372535464826014,-4.09793613745255,4.16850244220809e-05,0.00980473459431766,"CvsHigh"
"31","Pocillopora_acuta_HIv1_PredGene_22960_t","GO:0043588",0.0106514626816518,0.998325451188554,4,85,"skin development","BP",1515,37,18,271,134,27,26,29,37,132,135,42,43,60.2934226057095,1.45712845689804,0.359258887620552,4.05592876643613,4.99354775782682e-05,0.0102405265234838,"CvsHigh"
"32","Pocillopora_acuta_HIv1_PredGene_22960_t","GO:0030500",0.000165419440609687,0.999992148360721,4,29,"regulation of bone mineralization","BP",1515,37,18,271,134,27,26,29,37,132,135,42,43,60.2934226057095,1.45712845689804,0.359258887620552,4.05592876643613,4.99354775782682e-05,0.0102405265234838,"CvsHigh"
"33","Pocillopora_acuta_HIv1_PredGene_22960_t","GO:0014909",2.51535444050308e-06,0.999999968107792,4,10,"smooth muscle cell migration","BP",1515,37,18,271,134,27,26,29,37,132,135,42,43,60.2934226057095,1.45712845689804,0.359258887620552,4.05592876643613,4.99354775782682e-05,0.0102405265234838,"CvsHigh"
"34","Pocillopora_acuta_HIv1_PredGene_22960_t","GO:0045669",0.000965590383002573,0.999828446081098,7,142,"positive regulation of osteoblast differentiation","BP",1515,37,18,271,134,27,26,29,37,132,135,42,43,60.2934226057095,1.45712845689804,0.359258887620552,4.05592876643613,4.99354775782682e-05,0.0102405265234838,"CvsHigh"
"35","Pocillopora_acuta_HIv1_PredGene_22960_t","GO:0010763",3.83078358459964e-05,0.999996953055467,6,71,"positive regulation of fibroblast migration","BP",1515,37,18,271,134,27,26,29,37,132,135,42,43,60.2934226057095,1.45712845689804,0.359258887620552,4.05592876643613,4.99354775782682e-05,0.0102405265234838,"CvsHigh"
"36","Pocillopora_acuta_HIv1_PredGene_22960_t","GO:0003416",0.000596884925278045,0.999958781596577,4,46,"endochondral bone growth","BP",1515,37,18,271,134,27,26,29,37,132,135,42,43,60.2934226057095,1.45712845689804,0.359258887620552,4.05592876643613,4.99354775782682e-05,0.0102405265234838,"CvsHigh"
"37","Pocillopora_acuta_HIv1_PredGene_22960_t","GO:0034103",1.44581514389834e-05,0.999999666484389,4,16,"regulation of tissue remodeling","BP",1515,37,18,271,134,27,26,29,37,132,135,42,43,60.2934226057095,1.45712845689804,0.359258887620552,4.05592876643613,4.99354775782682e-05,0.0102405265234838,"CvsHigh"
"38","Pocillopora_acuta_HIv1_PredGene_22960_t","GO:0018108",0.00680741518544651,0.997893454485635,9,383,"peptidyl-tyrosine phosphorylation","BP",1515,37,18,271,134,27,26,29,37,132,135,42,43,60.2934226057095,1.45712845689804,0.359258887620552,4.05592876643613,4.99354775782682e-05,0.0102405265234838,"CvsHigh"
"39","Pocillopora_acuta_HIv1_PredGene_22960_t","GO:0031100",0.0016427876363374,0.99978706869992,5,87,"animal organ regeneration","BP",1515,37,18,271,134,27,26,29,37,132,135,42,43,60.2934226057095,1.45712845689804,0.359258887620552,4.05592876643613,4.99354775782682e-05,0.0102405265234838,"CvsHigh"
"41","Pocillopora_acuta_HIv1_PredGene_22960_t","GO:0035988",0.000980804882012351,0.999922335482012,4,49,"chondrocyte proliferation","BP",1515,37,18,271,134,27,26,29,37,132,135,42,43,60.2934226057095,1.45712845689804,0.359258887620552,4.05592876643613,4.99354775782682e-05,0.0102405265234838,"CvsHigh"
"42","Pocillopora_acuta_HIv1_PredGene_22960_t","GO:0030199",0.014932311427517,0.99609388125688,6,219,"collagen fibril organization","BP",1515,37,18,271,134,27,26,29,37,132,135,42,43,60.2934226057095,1.45712845689804,0.359258887620552,4.05592876643613,4.99354775782682e-05,0.0102405265234838,"CvsHigh"
"44","Pocillopora_acuta_HIv1_PredGene_22960_t","GO:0001503",0.0021581027612895,0.999495751784279,8,224,"ossification","BP",1515,37,18,271,134,27,26,29,37,132,135,42,43,60.2934226057095,1.45712845689804,0.359258887620552,4.05592876643613,4.99354775782682e-05,0.0102405265234838,"CvsHigh"
"45","Pocillopora_acuta_HIv1_PredGene_22960_t","GO:0007565",0.00167844387213663,0.999723768477568,6,113,"female pregnancy","BP",1515,37,18,271,134,27,26,29,37,132,135,42,43,60.2934226057095,1.45712845689804,0.359258887620552,4.05592876643613,4.99354775782682e-05,0.0102405265234838,"CvsHigh"
"46","Pocillopora_acuta_HIv1_PredGene_22960_t","GO:0044319",3.34561551355441e-05,0.999998233328484,5,37,"wound healing, spreading of cells","BP",1515,37,18,271,134,27,26,29,37,132,135,42,43,60.2934226057095,1.45712845689804,0.359258887620552,4.05592876643613,4.99354775782682e-05,0.0102405265234838,"CvsHigh"
"47","Pocillopora_acuta_HIv1_PredGene_22960_t","GO:0001952",2.80737211418797e-05,0.999999205607228,4,19,"regulation of cell-matrix adhesion","BP",1515,37,18,271,134,27,26,29,37,132,135,42,43,60.2934226057095,1.45712845689804,0.359258887620552,4.05592876643613,4.99354775782682e-05,0.0102405265234838,"CvsHigh"
"48","Pocillopora_acuta_HIv1_PredGene_22960_t","GO:1990138",0.000907821576603974,0.999929523649651,4,50,"neuron projection extension","BP",1515,37,18,271,134,27,26,29,37,132,135,42,43,60.2934226057095,1.45712845689804,0.359258887620552,4.05592876643613,4.99354775782682e-05,0.0102405265234838,"CvsHigh"
"51","Pocillopora_acuta_HIv1_PredGene_22960_t","GO:0060444",0.000126149951408219,0.999994404365066,4,30,"branching involved in mammary gland duct morphogenesis","BP",1515,37,18,271,134,27,26,29,37,132,135,42,43,60.2934226057095,1.45712845689804,0.359258887620552,4.05592876643613,4.99354775782682e-05,0.0102405265234838,"CvsHigh"
"52","Pocillopora_acuta_HIv1_PredGene_22960_t","GO:0090091",0.000162867174906491,0.999992300996863,4,29,"positive regulation of extracellular matrix disassembly","BP",1515,37,18,271,134,27,26,29,37,132,135,42,43,60.2934226057095,1.45712845689804,0.359258887620552,4.05592876643613,4.99354775782682e-05,0.0102405265234838,"CvsHigh"
"53","Pocillopora_acuta_HIv1_PredGene_22960_t","GO:0007595",0.00573473109235968,0.999247454418836,4,76,"lactation","BP",1515,37,18,271,134,27,26,29,37,132,135,42,43,60.2934226057095,1.45712845689804,0.359258887620552,4.05592876643613,4.99354775782682e-05,0.0102405265234838,"CvsHigh"
"54","Pocillopora_acuta_HIv1_PredGene_22960_t","GO:0010715",0.000150786457450313,0.999993066426674,4,27,"regulation of extracellular matrix disassembly","BP",1515,37,18,271,134,27,26,29,37,132,135,42,43,60.2934226057095,1.45712845689804,0.359258887620552,4.05592876643613,4.99354775782682e-05,0.0102405265234838,"CvsHigh"
"57","Pocillopora_acuta_HIv1_PredGene_22960_t","GO:0051091",0.0127813432959614,0.996776105870481,6,181,"positive regulation of DNA-binding transcription factor activity","BP",1515,37,18,271,134,27,26,29,37,132,135,42,43,60.2934226057095,1.45712845689804,0.359258887620552,4.05592876643613,4.99354775782682e-05,0.0102405265234838,"CvsHigh"
"58","Pocillopora_acuta_HIv1_PredGene_22960_t","GO:0001558",0.00623352827667099,0.998890022882917,5,115,"regulation of cell growth","BP",1515,37,18,271,134,27,26,29,37,132,135,42,43,60.2934226057095,1.45712845689804,0.359258887620552,4.05592876643613,4.99354775782682e-05,0.0102405265234838,"CvsHigh"
"59","Pocillopora_acuta_HIv1_PredGene_22960_t","GO:0048146",0.0159615867798635,0.997168311453351,4,93,"positive regulation of fibroblast proliferation","BP",1515,37,18,271,134,27,26,29,37,132,135,42,43,60.2934226057095,1.45712845689804,0.359258887620552,4.05592876643613,4.99354775782682e-05,0.0102405265234838,"CvsHigh"
"60","Pocillopora_acuta_HIv1_PredGene_22960_t","GO:0031214",3.20040412509475e-05,0.999999055193436,4,20,"biomineral tissue development","BP",1515,37,18,271,134,27,26,29,37,132,135,42,43,60.2934226057095,1.45712845689804,0.359258887620552,4.05592876643613,4.99354775782682e-05,0.0102405265234838,"CvsHigh"
"61","Pocillopora_acuta_HIv1_PredGene_22960_t","GO:0060749",5.31585473507209e-06,0.999999912287742,4,12,"mammary gland alveolus development","BP",1515,37,18,271,134,27,26,29,37,132,135,42,43,60.2934226057095,1.45712845689804,0.359258887620552,4.05592876643613,4.99354775782682e-05,0.0102405265234838,"CvsHigh"
"62","Pocillopora_acuta_HIv1_PredGene_22960_t","GO:0038063",0.000136374775178866,0.999993826152617,4,30,"collagen-activated tyrosine kinase receptor signaling pathway","BP",1515,37,18,271,134,27,26,29,37,132,135,42,43,60.2934226057095,1.45712845689804,0.359258887620552,4.05592876643613,4.99354775782682e-05,0.0102405265234838,"CvsHigh"
"63","Pocillopora_acuta_HIv1_PredGene_22960_t","GO:0038083",0.000257828514261959,0.999985983152638,4,36,"peptidyl-tyrosine autophosphorylation","BP",1515,37,18,271,134,27,26,29,37,132,135,42,43,60.2934226057095,1.45712845689804,0.359258887620552,4.05592876643613,4.99354775782682e-05,0.0102405265234838,"CvsHigh"
"64","Pocillopora_acuta_HIv1_PredGene_22960_t","GO:0061302",3.7298895125723e-07,0.999999997717107,4,7,"smooth muscle cell-matrix adhesion","BP",1515,37,18,271,134,27,26,29,37,132,135,42,43,60.2934226057095,1.45712845689804,0.359258887620552,4.05592876643613,4.99354775782682e-05,0.0102405265234838,"CvsHigh"
"65","Pocillopora_acuta_HIv1_PredGene_22960_t","GO:0033674",0.013624455734055,0.996506680092296,6,217,"positive regulation of kinase activity","BP",1515,37,18,271,134,27,26,29,37,132,135,42,43,60.2934226057095,1.45712845689804,0.359258887620552,4.05592876643613,4.99354775782682e-05,0.0102405265234838,"CvsHigh"
"66","Pocillopora_acuta_HIv1_PredGene_22960_t","GO:0061564",0.0011631361952557,0.99990376854886,4,47,"axon development","BP",1515,37,18,271,134,27,26,29,37,132,135,42,43,60.2934226057095,1.45712845689804,0.359258887620552,4.05592876643613,4.99354775782682e-05,0.0102405265234838,"CvsHigh"
"67","Pocillopora_acuta_HIv1_PredGene_22960_t","GO:0043583",0.00181929898083964,0.999758220997154,5,92,"ear development","BP",1515,37,18,271,134,27,26,29,37,132,135,42,43,60.2934226057095,1.45712845689804,0.359258887620552,4.05592876643613,4.99354775782682e-05,0.0102405265234838,"CvsHigh"
"68","Pocillopora_acuta_HIv1_PredGene_22960_t","GO:0007566",0.00592887332461384,0.999216706560414,4,70,"embryo implantation","BP",1515,37,18,271,134,27,26,29,37,132,135,42,43,60.2934226057095,1.45712845689804,0.359258887620552,4.05592876643613,4.99354775782682e-05,0.0102405265234838,"CvsHigh"
"69","Pocillopora_acuta_HIv1_PredGene_23744_t","GO:2000850",0.000855761603763184,0.99999131556324,2,6,"negative regulation of glucocorticoid secretion","BP",1620,155,24,454,636,85,153,34,86,382,582,231,112,185.796015834842,1.71355435882614,0.380654291932578,4.50160262249098,6.74429875880137e-06,0.00227265815473985,"CvsHigh"
"72","Pocillopora_acuta_HIv1_PredGene_23744_t","GO:0006975",0.007818024700968,0.99969660157372,2,16,"DNA damage induced protein phosphorylation","BP",1620,155,24,454,636,85,153,34,86,382,582,231,112,185.796015834842,1.71355435882614,0.380654291932578,4.50160262249098,6.74429875880137e-06,0.00227265815473985,"CvsHigh"
"73","Pocillopora_acuta_HIv1_PredGene_23744_t","GO:2000001",0.000379246161008611,0.999977117969333,4,37,"regulation of DNA damage checkpoint","BP",1620,155,24,454,636,85,153,34,86,382,582,231,112,185.796015834842,1.71355435882614,0.380654291932578,4.50160262249098,6.74429875880137e-06,0.00227265815473985,"CvsHigh"
"74","Pocillopora_acuta_HIv1_PredGene_23744_t","GO:0043153",0.040485111844615,0.996069778609432,2,30,"entrainment of circadian clock by photoperiod","BP",1620,155,24,454,636,85,153,34,86,382,582,231,112,185.796015834842,1.71355435882614,0.380654291932578,4.50160262249098,6.74429875880137e-06,0.00227265815473985,"CvsHigh"
"75","Pocillopora_acuta_HIv1_PredGene_23744_t","GO:0050896",0.000696942642566455,0.999803892571211,12,433,"response to stimulus","BP",1620,155,24,454,636,85,153,34,86,382,582,231,112,185.796015834842,1.71355435882614,0.380654291932578,4.50160262249098,6.74429875880137e-06,0.00227265815473985,"CvsHigh"
"76","Pocillopora_acuta_HIv1_PredGene_23744_t","GO:0042754",0.00825440574797146,0.999672850263923,2,15,"negative regulation of circadian rhythm","BP",1620,155,24,454,636,85,153,34,86,382,582,231,112,185.796015834842,1.71355435882614,0.380654291932578,4.50160262249098,6.74429875880137e-06,0.00227265815473985,"CvsHigh"
"78","Pocillopora_acuta_HIv1_PredGene_23744_t","GO:0042752",0.0101451864229339,0.998426430688318,4,87,"regulation of circadian rhythm","BP",1620,155,24,454,636,85,153,34,86,382,582,231,112,185.796015834842,1.71355435882614,0.380654291932578,4.50160262249098,6.74429875880137e-06,0.00227265815473985,"CvsHigh"
"80","Pocillopora_acuta_HIv1_PredGene_23744_t","GO:0033762",0.0150380953042921,0.999165328201575,2,19,"response to glucagon","BP",1620,155,24,454,636,85,153,34,86,382,582,231,112,185.796015834842,1.71355435882614,0.380654291932578,4.50160262249098,6.74429875880137e-06,0.00227265815473985,"CvsHigh"
"81","Pocillopora_acuta_HIv1_PredGene_23744_t","GO:0014823",0.0363836638730489,0.993899565281985,3,77,"response to activity","BP",1620,155,24,454,636,85,153,34,86,382,582,231,112,185.796015834842,1.71355435882614,0.380654291932578,4.50160262249098,6.74429875880137e-06,0.00227265815473985,"CvsHigh"
"82","Pocillopora_acuta_HIv1_PredGene_23744_t","GO:2000323",0.00382719347057545,0.999902294079825,2,11,"negative regulation of glucocorticoid receptor signaling pathway","BP",1620,155,24,454,636,85,153,34,86,382,582,231,112,185.796015834842,1.71355435882614,0.380654291932578,4.50160262249098,6.74429875880137e-06,0.00227265815473985,"CvsHigh"
"84","Pocillopora_acuta_HIv1_PredGene_23744_t","GO:0018298",0.00137799241530732,0.999880766553693,4,46,"protein-chromophore linkage","BP",1620,155,24,454,636,85,153,34,86,382,582,231,112,185.796015834842,1.71355435882614,0.380654291932578,4.50160262249098,6.74429875880137e-06,0.00227265815473985,"CvsHigh"
"85","Pocillopora_acuta_HIv1_PredGene_23744_t","GO:0031397",0.00182739476841542,0.999757816348217,5,82,"negative regulation of protein ubiquitination","BP",1620,155,24,454,636,85,153,34,86,382,582,231,112,185.796015834842,1.71355435882614,0.380654291932578,4.50160262249098,6.74429875880137e-06,0.00227265815473985,"CvsHigh"
"87","Pocillopora_acuta_HIv1_PredGene_23744_t","GO:0045721",0.0242040503691813,0.998246150762144,2,23,"negative regulation of gluconeogenesis","BP",1620,155,24,454,636,85,153,34,86,382,582,231,112,185.796015834842,1.71355435882614,0.380654291932578,4.50160262249098,6.74429875880137e-06,0.00227265815473985,"CvsHigh"
"88","Pocillopora_acuta_HIv1_PredGene_23744_t","GO:0045744",0.00492184504092093,0.99985332593816,2,13,"negative regulation of G protein-coupled receptor signaling pathway","BP",1620,155,24,454,636,85,153,34,86,382,582,231,112,185.796015834842,1.71355435882614,0.380654291932578,4.50160262249098,6.74429875880137e-06,0.00227265815473985,"CvsHigh"
"89","Pocillopora_acuta_HIv1_PredGene_23744_t","GO:0009785",0.00603851416201815,0.999805042502471,2,11,"blue light signaling pathway","BP",1620,155,24,454,636,85,153,34,86,382,582,231,112,185.796015834842,1.71355435882614,0.380654291932578,4.50160262249098,6.74429875880137e-06,0.00227265815473985,"CvsHigh"
"90","Pocillopora_acuta_HIv1_PredGene_27047_t","GO:0017000",0.012024168313281,0.998698008717317,3,43,"antibiotic biosynthetic process","BP",1314,20,42,295,347,39,22,16,13,168,334,62,60,87.2053265477403,2.09137948662732,0.558193162764081,3.74669491878251,0.000179179784212347,0.0229048244807533,"CvsHigh"
"95","Pocillopora_acuta_HIv1_PredGene_5516_t","GO:0050667",0.0106739650008018,0.99951639934317,2,15,"homocysteine metabolic process","BP",1104,25,9,22,27,15,28,28,26,22,25,29,26,24.0143307652917,-1.23184857516622,0.316968075982819,-3.88634903167027,0.000101763163419655,0.0327886488601878,"CvsMid"
"96","Pocillopora_acuta_HIv1_PredGene_5516_t","GO:0070814",0.013110139337373,0.999343959280471,2,14,"hydrogen sulfide biosynthetic process","BP",1104,25,9,22,27,15,28,28,26,22,25,29,26,24.0143307652917,-1.23184857516622,0.316968075982819,-3.88634903167027,0.000101763163419655,0.0327886488601878,"CvsMid"
"98","Pocillopora_acuta_HIv1_PredGene_5516_t","GO:0018272",0.00412006865028155,0.999897789808179,2,8,"protein-pyridoxal-5-phosphate linkage via peptidyl-N6-pyridoxal phosphate-L-lysine","BP",1104,25,9,22,27,15,28,28,26,22,25,29,26,24.0143307652917,-1.23184857516622,0.316968075982819,-3.88634903167027,0.000101763163419655,0.0327886488601878,"CvsMid"
"99","Pocillopora_acuta_HIv1_PredGene_5516_t","GO:1904831",0.00634372197424556,0.999793442057715,2,10,"positive regulation of aortic smooth muscle cell differentiation","BP",1104,25,9,22,27,15,28,28,26,22,25,29,26,24.0143307652917,-1.23184857516622,0.316968075982819,-3.88634903167027,0.000101763163419655,0.0327886488601878,"CvsMid"
"100","Pocillopora_acuta_HIv1_PredGene_5516_t","GO:0044524",0.00412006865028155,0.999897789808179,2,8,"protein sulfhydration","BP",1104,25,9,22,27,15,28,28,26,22,25,29,26,24.0143307652917,-1.23184857516622,0.316968075982819,-3.88634903167027,0.000101763163419655,0.0327886488601878,"CvsMid"
"101","Pocillopora_acuta_HIv1_PredGene_5516_t","GO:0019343",0.00756466789092137,0.999725546826494,2,11,"cysteine biosynthetic process via cystathionine","BP",1104,25,9,22,27,15,28,28,26,22,25,29,26,24.0143307652917,-1.23184857516622,0.316968075982819,-3.88634903167027,0.000101763163419655,0.0327886488601878,"CvsMid"
"102","Pocillopora_acuta_HIv1_PredGene_5516_t","GO:0008652",0.040660174689644,0.99290591140281,3,67,"cellular amino acid biosynthetic process","BP",1104,25,9,22,27,15,28,28,26,22,25,29,26,24.0143307652917,-1.23184857516622,0.316968075982819,-3.88634903167027,0.000101763163419655,0.0327886488601878,"CvsMid"
"103","Pocillopora_acuta_HIv1_PredGene_5516_t","GO:0019344",0.00543021117506844,0.999566784099396,3,32,"cysteine biosynthetic process","BP",1104,25,9,22,27,15,28,28,26,22,25,29,26,24.0143307652917,-1.23184857516622,0.316968075982819,-3.88634903167027,0.000101763163419655,0.0327886488601878,"CvsMid"
"105","Pocillopora_acuta_HIv1_PredGene_5516_t","GO:0019346",0.0206964743543152,0.998640172849737,2,19,"transsulfuration","BP",1104,25,9,22,27,15,28,28,26,22,25,29,26,24.0143307652917,-1.23184857516622,0.316968075982819,-3.88634903167027,0.000101763163419655,0.0327886488601878,"CvsMid"
"107","Pocillopora_acuta_HIv1_PredGene_5516_t","GO:0006534",0.000707553102981437,0.999974637169611,3,15,"cysteine metabolic process","BP",1104,25,9,22,27,15,28,28,26,22,25,29,26,24.0143307652917,-1.23184857516622,0.316968075982819,-3.88634903167027,0.000101763163419655,0.0327886488601878,"CvsMid"
"111","Pocillopora_acuta_HIv1_PredGene_9973_t","GO:0071476",0.00543040167091058,0.999829763009498,2,13,"cellular hypotonic response","BP",501,225,41,835,1077,172,342,212,171,921,1165,308,275,365.712693052772,1.31493485242759,0.332439427153931,3.9554118585902,7.64029135029085e-05,0.0135886047356616,"CvsHigh"
"112","Pocillopora_acuta_HIv1_PredGene_9973_t","GO:0006626",0.0144729169294906,0.998318262451954,3,45,"protein targeting to mitochondrion","BP",501,225,41,835,1077,172,342,212,171,921,1165,308,275,365.712693052772,1.31493485242759,0.332439427153931,3.9554118585902,7.64029135029085e-05,0.0135886047356616,"CvsHigh"
"113","Pocillopora_acuta_HIv1_PredGene_9973_t","GO:0006694",0.0307231173425446,0.993353968906869,4,96,"steroid biosynthetic process","BP",501,225,41,835,1077,172,342,212,171,921,1165,308,275,365.712693052772,1.31493485242759,0.332439427153931,3.9554118585902,7.64029135029085e-05,0.0135886047356616,"CvsHigh"
"114","Pocillopora_acuta_HIv1_PredGene_9973_t","GO:0006700",0.00166865668171028,0.999978141182072,2,5,"C21-steroid hormone biosynthetic process","BP",501,225,41,835,1077,172,342,212,171,921,1165,308,275,365.712693052772,1.31493485242759,0.332439427153931,3.9554118585902,7.64029135029085e-05,0.0135886047356616,"CvsHigh"
"115","Pocillopora_acuta_HIv1_PredGene_9973_t","GO:2000379",0.0188739180569451,0.997564416230665,3,52,"positive regulation of reactive oxygen species metabolic process","BP",501,225,41,835,1077,172,342,212,171,921,1165,308,275,365.712693052772,1.31493485242759,0.332439427153931,3.9554118585902,7.64029135029085e-05,0.0135886047356616,"CvsHigh"
