"","gene_id","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","X19_T33_Ac_WK","X25_ctl1_Ac_GF_1","X27_ctl2_Ac_YG_1","X31_T22_Ac_UV","X35_T43_Ac_MT","X37_T13_Ac_ML","X38_T23_Ac_IN","X41_ctl3_Ac_RN_1","X47_T31_Ac_JB","X52_T11_Ac_II","X53_T21_Ac_NH","X54_T42_Ac_JQ","X57_T32_Ac_NM","length","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare"
"132","Acerv_evm.model.Segkk1945_pilon.2","GO:0005794",0.0364795901722606,0.986181141927686,8,161,"Golgi apparatus","CC",34,8,12,16,18,17,18,0,12,19,7,24,12,1350,16.8033194983796,-2.97198302222227,0.59091760902446,-5.02943722920812,4.91921505897359e-07,0.00021178392070562,"CvsT3"
"133","Acerv_evm.model.Segkk1945_pilon.2","GO:0005794",0.0364795901722606,0.986181141927686,8,161,"Golgi apparatus","CC",34,8,12,16,18,17,18,0,12,19,7,24,12,1350,16.8033194983796,-2.95364415423031,0.645065097699942,-4.57883113620917,4.67581480375564e-06,0.00169096166563019,"CvsT1"
"137","Acerv_evm.model.Segkk1945_pilon.2","GO:0031143",0.0216547461560398,1,1,1,"pseudopodium","CC",34,8,12,16,18,17,18,0,12,19,7,24,12,1350,16.8033194983796,-2.49558738735355,0.600891203235296,-4.15314348740155,3.27938961656946e-05,0.00470295028445673,"CvsT2"
"138","Acerv_evm.model.Segkk1945_pilon.2","GO:0031143",0.0216547461560398,1,1,1,"pseudopodium","CC",34,8,12,16,18,17,18,0,12,19,7,24,12,1350,16.8033194983796,-2.97198302222227,0.59091760902446,-5.02943722920812,4.91921505897359e-07,0.00021178392070562,"CvsT3"
"139","Acerv_evm.model.Segkk1945_pilon.2","GO:0031143",0.0216547461560398,1,1,1,"pseudopodium","CC",34,8,12,16,18,17,18,0,12,19,7,24,12,1350,16.8033194983796,-2.95364415423031,0.645065097699942,-4.57883113620917,4.67581480375564e-06,0.00169096166563019,"CvsT1"
"173","Acerv_evm.model.Segkk1945_pilon.2","GO:0043204",0.0255005360526249,0.996445518385473,3,27,"perikaryon","CC",34,8,12,16,18,17,18,0,12,19,7,24,12,1350,16.8033194983796,-2.49558738735355,0.600891203235296,-4.15314348740155,3.27938961656946e-05,0.00470295028445673,"CvsT2"
"174","Acerv_evm.model.Segkk1945_pilon.2","GO:0043204",0.0255005360526249,0.996445518385473,3,27,"perikaryon","CC",34,8,12,16,18,17,18,0,12,19,7,24,12,1350,16.8033194983796,-2.97198302222227,0.59091760902446,-5.02943722920812,4.91921505897359e-07,0.00021178392070562,"CvsT3"
"175","Acerv_evm.model.Segkk1945_pilon.2","GO:0043204",0.0255005360526249,0.996445518385473,3,27,"perikaryon","CC",34,8,12,16,18,17,18,0,12,19,7,24,12,1350,16.8033194983796,-2.95364415423031,0.645065097699942,-4.57883113620917,4.67581480375564e-06,0.00169096166563019,"CvsT1"
"194","Acerv_evm.model.Segkk1991_pilon.4","GO:0036477",0.0110941526491426,0.998304929804106,4,36,"somatodendritic compartment","CC",129,166,161,104,202,67,144,100,28,59,94,356,43,537,115.796624160812,-1.17152956174827,0.340101951644682,-3.44464227883117,0.000571815603455509,0.0386990602271957,"CvsT2"
"195","Acerv_evm.model.Segkk1991_pilon.4","GO:0036477",0.0110941526491426,0.998304929804106,4,36,"somatodendritic compartment","CC",129,166,161,104,202,67,144,100,28,59,94,356,43,537,115.796624160812,-1.55401734549397,0.373186108224199,-4.16418862129874,3.12461728302762e-05,0.00672611067996493,"CvsT4"
"206","Acerv_evm.model.Segkk1991_pilon.4","GO:0031966",0.0113946667293086,0.998858582605281,3,20,"mitochondrial membrane","CC",129,166,161,104,202,67,144,100,28,59,94,356,43,537,115.796624160812,-1.17152956174827,0.340101951644682,-3.44464227883117,0.000571815603455509,0.0386990602271957,"CvsT2"
"207","Acerv_evm.model.Segkk1991_pilon.4","GO:0031966",0.0113946667293086,0.998858582605281,3,20,"mitochondrial membrane","CC",129,166,161,104,202,67,144,100,28,59,94,356,43,537,115.796624160812,-1.55401734549397,0.373186108224199,-4.16418862129874,3.12461728302762e-05,0.00672611067996493,"CvsT4"
"212","Acerv_evm.model.Segkk1991_pilon.4","GO:0098793",0.00534615049028164,0.999116134218519,5,47,"presynapse","CC",129,166,161,104,202,67,144,100,28,59,94,356,43,537,115.796624160812,-1.17152956174827,0.340101951644682,-3.44464227883117,0.000571815603455509,0.0386990602271957,"CvsT2"
"213","Acerv_evm.model.Segkk1991_pilon.4","GO:0098793",0.00534615049028164,0.999116134218519,5,47,"presynapse","CC",129,166,161,104,202,67,144,100,28,59,94,356,43,537,115.796624160812,-1.55401734549397,0.373186108224199,-4.16418862129874,3.12461728302762e-05,0.00672611067996493,"CvsT4"
"214","Acerv_evm.model.Segkk1991_pilon.4","GO:0098588",0.0256404082656132,0.996418532001015,3,27,"bounding membrane of organelle","CC",129,166,161,104,202,67,144,100,28,59,94,356,43,537,115.796624160812,-1.17152956174827,0.340101951644682,-3.44464227883117,0.000571815603455509,0.0386990602271957,"CvsT2"
"215","Acerv_evm.model.Segkk1991_pilon.4","GO:0098588",0.0256404082656132,0.996418532001015,3,27,"bounding membrane of organelle","CC",129,166,161,104,202,67,144,100,28,59,94,356,43,537,115.796624160812,-1.55401734549397,0.373186108224199,-4.16418862129874,3.12461728302762e-05,0.00672611067996493,"CvsT4"
"351","Acerv_evm.model.Segkk223_pilon.4","GO:0000814",0.0435095970312307,0.999518398545685,1,2,"ESCRT II complex","CC",84,22,77,76,119,54,105,38,68,86,45,100,33,2742,74.9843103016989,-1.81313043950222,0.47322555877957,-3.83142965519067,0.000127400801489256,0.0199912588510795,"CvsT4"
"352","Acerv_evm.model.Segkk223_pilon.4","GO:0000814",0.0435095970312307,0.999518398545685,1,2,"ESCRT II complex","CC",84,22,77,76,119,54,105,38,68,86,45,100,33,2742,74.9843103016989,-2.14302879285286,0.429306296130823,-4.99184105187178,5.98064642174945e-07,0.000200263052959396,"CvsT2"
"353","Acerv_evm.model.Segkk223_pilon.4","GO:0000814",0.0435095970312307,0.999518398545685,1,2,"ESCRT II complex","CC",84,22,77,76,119,54,105,38,68,86,45,100,33,2742,74.9843103016989,-2.10691848578796,0.478739459573537,-4.40097101597769,1.07767520767506e-05,0.00324775385086339,"CvsT1"
"354","Acerv_evm.model.Segkk223_pilon.4","GO:0000814",0.0435095970312307,0.999518398545685,1,2,"ESCRT II complex","CC",84,22,77,76,119,54,105,38,68,86,45,100,33,2742,74.9843103016989,-1.90711784806022,0.432548481707457,-4.40902679979826,1.03836176524026e-05,0.00312927623984574,"CvsT3"
"376","Acerv_evm.model.Segkk2518_pilon.2","GO:0032299",0.0232649491275938,1,1,1,"ribonuclease H2 complex","CC",46,59,78,114,151,78,48,54,18,98,97,163,46,969,85.3391904283693,-1.86780347899542,0.52561717716899,-3.55354345353693,0.000380078400870964,0.0477262336426998,"CvsT4"
"377","Acerv_evm.model.Segkk2518_pilon.2","GO:0032299",0.0232649491275938,1,1,1,"ribonuclease H2 complex","CC",46,59,78,114,151,78,48,54,18,98,97,163,46,969,85.3391904283693,-1.98939956260186,0.47513702348121,-4.18700177903636,2.82663610939015e-05,0.00425926951083272,"CvsT2"
"378","Acerv_evm.model.Segkk2518_pilon.2","GO:0032299",0.0232649491275938,1,1,1,"ribonuclease H2 complex","CC",46,59,78,114,151,78,48,54,18,98,97,163,46,969,85.3391904283693,-1.96549487499799,0.530498319162573,-3.70499736568564,0.000211392929664647,0.0289576284408799,"CvsT1"
"414","Acerv_evm.model.Segkk2585_pilon.5","GO:0005770",0.0377183773296265,0.993812215624208,3,32,"late endosome","CC",52,61,96,65,97,30,59,38,24,16,40,65,23,954,48.563080222559,-1.22765305530271,0.354670479151103,-3.46139057933742,0.000537392527535349,0.0371191216695815,"CvsT2"
"417","Acerv_evm.model.Segkk2585_pilon.5","GO:0005794",0.0364795901722606,0.986181141927686,8,161,"Golgi apparatus","CC",52,61,96,65,97,30,59,38,24,16,40,65,23,954,48.563080222559,-1.22765305530271,0.354670479151103,-3.46139057933742,0.000537392527535349,0.0371191216695815,"CvsT2"
"424","Acerv_evm.model.Segkk2701_pilon.2","GO:0005669",0.00618987698345828,0.99984106715638,2,5,"transcription factor TFIID complex","CC",108,110,135,100,164,77,176,161,74,37,101,186,29,381,107.723289795647,-1.34404101882597,0.334610814813518,-4.01672916511984,5.90114773891237e-05,0.00741003843159816,"CvsT2"
"443","Acerv_evm.model.Segkk2909_pilon.1","GO:0036477",0.0110941526491426,0.998304929804106,4,36,"somatodendritic compartment","CC",199,528,590,131,237,142,138,525,123,189,97,256,95,1560,208.023736204274,0.696595103154785,0.186555834674042,3.73397650291617,0.000188480086212909,0.017750504785947,"CvsT2"
"444","Acerv_evm.model.Segkk2909_pilon.1","GO:0031966",0.0113946667293086,0.998858582605281,3,20,"mitochondrial membrane","CC",199,528,590,131,237,142,138,525,123,189,97,256,95,1560,208.023736204274,0.696595103154785,0.186555834674042,3.73397650291617,0.000188480086212909,0.017750504785947,"CvsT2"
"455","Acerv_evm.model.Segkk2909_pilon.1","GO:0005794",0.0364795901722606,0.986181141927686,8,161,"Golgi apparatus","CC",199,528,590,131,237,142,138,525,123,189,97,256,95,1560,208.023736204274,0.696595103154785,0.186555834674042,3.73397650291617,0.000188480086212909,0.017750504785947,"CvsT2"
"458","Acerv_evm.model.Segkk2909_pilon.1","GO:0098588",0.0256404082656132,0.996418532001015,3,27,"bounding membrane of organelle","CC",199,528,590,131,237,142,138,525,123,189,97,256,95,1560,208.023736204274,0.696595103154785,0.186555834674042,3.73397650291617,0.000188480086212909,0.017750504785947,"CvsT2"
"464","Acerv_evm.model.Segkk2909_pilon.1","GO:0098793",0.00534615049028164,0.999116134218519,5,47,"presynapse","CC",199,528,590,131,237,142,138,525,123,189,97,256,95,1560,208.023736204274,0.696595103154785,0.186555834674042,3.73397650291617,0.000188480086212909,0.017750504785947,"CvsT2"
"466","Acerv_evm.model.Segkk2909_pilon.1","GO:0071944",0.0149057401211656,0.997494650624873,4,41,"cell periphery","CC",199,528,590,131,237,142,138,525,123,189,97,256,95,1560,208.023736204274,0.696595103154785,0.186555834674042,3.73397650291617,0.000188480086212909,0.017750504785947,"CvsT2"
"478","Acerv_evm.model.Segkk2935_pilon.2","GO:0005658",0.0444974932456842,0.999496021891244,1,2,"alpha DNA polymerase:primase complex","CC",22,12,12,22,57,21,58,13,26,15,11,27,13,837,25.6008276429965,-2.67779784400671,0.551471818682448,-4.85572925630976,1.19944492746231e-06,0.000338880674662086,"CvsT2"
"479","Acerv_evm.model.Segkk2935_pilon.2","GO:0005658",0.0444974932456842,0.999496021891244,1,2,"alpha DNA polymerase:primase complex","CC",22,12,12,22,57,21,58,13,26,15,11,27,13,837,25.6008276429965,-2.32416008104688,0.599807063664114,-3.87484613276977,0.000106692092400377,0.0178630223591075,"CvsT4"
"480","Acerv_evm.model.Segkk2935_pilon.2","GO:0005658",0.0444974932456842,0.999496021891244,1,2,"alpha DNA polymerase:primase complex","CC",22,12,12,22,57,21,58,13,26,15,11,27,13,837,25.6008276429965,-2.27462413136072,0.561088427924305,-4.05394946350166,5.03601002071577e-05,0.0111050162432418,"CvsT3"
"485","Acerv_evm.model.Segkk3047_pilon.5","GO:0005669",0.00618987698345828,0.99984106715638,2,5,"transcription factor TFIID complex","CC",33,11,16,51,67,33,38,8,27,22,34,47,24,756,36.1003524326306,-3.30114616048314,0.409618370154479,-8.05907742672327,7.68723985997629e-16,1.15833892623409e-12,"CvsT2"
"486","Acerv_evm.model.Segkk3047_pilon.5","GO:0005669",0.00618987698345828,0.99984106715638,2,5,"transcription factor TFIID complex","CC",33,11,16,51,67,33,38,8,27,22,34,47,24,756,36.1003524326306,-2.81832232812897,0.419772663014313,-6.71392536114927,1.89457246394286e-11,1.71288296465074e-08,"CvsT3"
"487","Acerv_evm.model.Segkk3047_pilon.5","GO:0005669",0.00618987698345828,0.99984106715638,2,5,"transcription factor TFIID complex","CC",33,11,16,51,67,33,38,8,27,22,34,47,24,756,36.1003524326306,-2.85672963009014,0.437745652695158,-6.52600342802156,6.75477746459949e-11,6.78554922860489e-08,"CvsT4"
"488","Acerv_evm.model.Segkk3047_pilon.5","GO:0005669",0.00618987698345828,0.99984106715638,2,5,"transcription factor TFIID complex","CC",33,11,16,51,67,33,38,8,27,22,34,47,24,756,36.1003524326306,-2.72769415484527,0.459738148048264,-5.93314730662488,2.97181990537559e-09,2.06678644342313e-06,"CvsT1"
"501","Acerv_evm.model.Segkk3047_pilon.5","GO:0000439",0.0462107206129309,0.99945598227306,1,2,"transcription factor TFIIH core complex","CC",33,11,16,51,67,33,38,8,27,22,34,47,24,756,36.1003524326306,-3.30114616048314,0.409618370154479,-8.05907742672327,7.68723985997629e-16,1.15833892623409e-12,"CvsT2"
"502","Acerv_evm.model.Segkk3047_pilon.5","GO:0000439",0.0462107206129309,0.99945598227306,1,2,"transcription factor TFIIH core complex","CC",33,11,16,51,67,33,38,8,27,22,34,47,24,756,36.1003524326306,-2.81832232812897,0.419772663014313,-6.71392536114927,1.89457246394286e-11,1.71288296465074e-08,"CvsT3"
"503","Acerv_evm.model.Segkk3047_pilon.5","GO:0000439",0.0462107206129309,0.99945598227306,1,2,"transcription factor TFIIH core complex","CC",33,11,16,51,67,33,38,8,27,22,34,47,24,756,36.1003524326306,-2.85672963009014,0.437745652695158,-6.52600342802156,6.75477746459949e-11,6.78554922860489e-08,"CvsT4"
"504","Acerv_evm.model.Segkk3047_pilon.5","GO:0000439",0.0462107206129309,0.99945598227306,1,2,"transcription factor TFIIH core complex","CC",33,11,16,51,67,33,38,8,27,22,34,47,24,756,36.1003524326306,-2.72769415484527,0.459738148048264,-5.93314730662488,2.97181990537559e-09,2.06678644342313e-06,"CvsT1"
"505","Acerv_evm.model.Segkk3047_pilon.5","GO:0000438",0.0253413517007199,1,1,1,"core TFIIH complex portion of holo TFIIH complex","CC",33,11,16,51,67,33,38,8,27,22,34,47,24,756,36.1003524326306,-3.30114616048314,0.409618370154479,-8.05907742672327,7.68723985997629e-16,1.15833892623409e-12,"CvsT2"
"506","Acerv_evm.model.Segkk3047_pilon.5","GO:0000438",0.0253413517007199,1,1,1,"core TFIIH complex portion of holo TFIIH complex","CC",33,11,16,51,67,33,38,8,27,22,34,47,24,756,36.1003524326306,-2.81832232812897,0.419772663014313,-6.71392536114927,1.89457246394286e-11,1.71288296465074e-08,"CvsT3"
"507","Acerv_evm.model.Segkk3047_pilon.5","GO:0000438",0.0253413517007199,1,1,1,"core TFIIH complex portion of holo TFIIH complex","CC",33,11,16,51,67,33,38,8,27,22,34,47,24,756,36.1003524326306,-2.85672963009014,0.437745652695158,-6.52600342802156,6.75477746459949e-11,6.78554922860489e-08,"CvsT4"
"508","Acerv_evm.model.Segkk3047_pilon.5","GO:0000438",0.0253413517007199,1,1,1,"core TFIIH complex portion of holo TFIIH complex","CC",33,11,16,51,67,33,38,8,27,22,34,47,24,756,36.1003524326306,-2.72769415484527,0.459738148048264,-5.93314730662488,2.97181990537559e-09,2.06678644342313e-06,"CvsT1"
"521","Acerv_evm.model.Segkk3087_pilon.2","GO:0030687",0.00689983613811048,0.999796314242108,2,6,"preribosome, large subunit precursor","CC",50,10,15,33,65,39,38,6,31,27,24,62,12,4472,34.3138867237994,-3.16803246780738,0.429007392222717,-7.38456382160127,1.52953974676175e-13,2.7657137700946e-10,"CvsT1"
"522","Acerv_evm.model.Segkk3087_pilon.2","GO:0030687",0.00689983613811048,0.999796314242108,2,6,"preribosome, large subunit precursor","CC",50,10,15,33,65,39,38,6,31,27,24,62,12,4472,34.3138867237994,-3.08881107955924,0.397207295633342,-7.77632010669434,7.46646331310124e-15,8.43803685171854e-12,"CvsT2"
"523","Acerv_evm.model.Segkk3087_pilon.2","GO:0030687",0.00689983613811048,0.999796314242108,2,6,"preribosome, large subunit precursor","CC",50,10,15,33,65,39,38,6,31,27,24,62,12,4472,34.3138867237994,-3.01121685231925,0.40057957585612,-7.51715023384222,5.59830752350106e-14,8.43571638666217e-11,"CvsT3"
"524","Acerv_evm.model.Segkk3087_pilon.2","GO:0030687",0.00689983613811048,0.999796314242108,2,6,"preribosome, large subunit precursor","CC",50,10,15,33,65,39,38,6,31,27,24,62,12,4472,34.3138867237994,-3.1905391438898,0.410823387553705,-7.76620621062553,8.08718508696499e-15,1.3456898770951e-11,"CvsT4"
"527","Acerv_evm.model.Segkk3091_pilon.8","GO:0005770",0.0377183773296265,0.993812215624208,3,32,"late endosome","CC",3386,5867,7599,3683,5847,2287,11822,4923,2069,858,2456,4235,892,918,3969.37392059197,-1.83125611522843,0.511817678907757,-3.57794619196511,0.000346304719199128,0.0436191040736736,"T1vsT2"
"537","Acerv_evm.model.Segkk3158_pilon.3","GO:0043657",0.0422911832363749,0.999545281473942,1,2,"host cell","CC",14,13,15,21,33,17,18,12,16,17,11,29,11,855,18.5150051134661,-1.78254356129735,0.45122239688234,-3.95047669090362,7.79956939543978e-05,0.0133048880951266,"CvsT4"
