"","gene_id","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","X19_T33_Ac_WK","X25_ctl1_Ac_GF_1","X27_ctl2_Ac_YG_1","X31_T22_Ac_UV","X35_T43_Ac_MT","X37_T13_Ac_ML","X38_T23_Ac_IN","X41_ctl3_Ac_RN_1","X47_T31_Ac_JB","X52_T11_Ac_II","X53_T21_Ac_NH","X54_T42_Ac_JQ","X57_T32_Ac_NM","length","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare"
"343","Acerv_evm.model.Segkk223_pilon.4","GO:0047485",0.0104877852263895,0.998975683136574,3,21,"protein N-terminus binding","MF",84,22,77,76,119,54,105,38,68,86,45,100,33,2742,74.9843103016989,-1.81313043950222,0.47322555877957,-3.83142965519067,0.000127400801489256,0.0199912588510795,"CvsT4"
"344","Acerv_evm.model.Segkk223_pilon.4","GO:0047485",0.0104877852263895,0.998975683136574,3,21,"protein N-terminus binding","MF",84,22,77,76,119,54,105,38,68,86,45,100,33,2742,74.9843103016989,-2.14302879285286,0.429306296130823,-4.99184105187178,5.98064642174945e-07,0.000200263052959396,"CvsT2"
"345","Acerv_evm.model.Segkk223_pilon.4","GO:0047485",0.0104877852263895,0.998975683136574,3,21,"protein N-terminus binding","MF",84,22,77,76,119,54,105,38,68,86,45,100,33,2742,74.9843103016989,-2.10691848578796,0.478739459573537,-4.40097101597769,1.07767520767506e-05,0.00324775385086339,"CvsT1"
"346","Acerv_evm.model.Segkk223_pilon.4","GO:0047485",0.0104877852263895,0.998975683136574,3,21,"protein N-terminus binding","MF",84,22,77,76,119,54,105,38,68,86,45,100,33,2742,74.9843103016989,-1.90711784806022,0.432548481707457,-4.40902679979826,1.03836176524026e-05,0.00312927623984574,"CvsT3"
"359","Acerv_evm.model.Segkk2237_pilon.15","GO:0004165",0.0263874434065503,1,1,1,"dodecenoyl-CoA delta-isomerase activity","MF",339,618,357,125,144,315,93,435,144,329,83,284,227,675,255.920328685111,1.68979899544182,0.39217542252325,4.30878351470801,1.64154949122265e-05,0.00990928733289509,"T1vsT2"
"360","Acerv_evm.model.Segkk2370_pilon.2","GO:0008254",0.0268055068817325,1,1,1,"3'-nucleotidase activity","MF",38,21,16,30,38,18,24,16,20,27,10,49,13,645,25.2888475965967,-1.85170704039282,0.432356082333085,-4.28282870545179,1.845322324703e-05,0.00490794356619033,"CvsT1"
"361","Acerv_evm.model.Segkk2370_pilon.2","GO:0008254",0.0268055068817325,1,1,1,"3'-nucleotidase activity","MF",38,21,16,30,38,18,24,16,20,27,10,49,13,645,25.2888475965967,-1.8642515527379,0.391055010633149,-4.76723607177295,1.86770421313628e-06,0.000675436551638603,"CvsT3"
"362","Acerv_evm.model.Segkk2370_pilon.2","GO:0008254",0.0268055068817325,1,1,1,"3'-nucleotidase activity","MF",38,21,16,30,38,18,24,16,20,27,10,49,13,645,25.2888475965967,-1.71577841951481,0.392902800381653,-4.3669284562191,1.26005978280962e-05,0.00227844009927636,"CvsT2"
"363","Acerv_evm.model.Segkk2370_pilon.2","GO:0008254",0.0268055068817325,1,1,1,"3'-nucleotidase activity","MF",38,21,16,30,38,18,24,16,20,27,10,49,13,645,25.2888475965967,-1.87080845623261,0.405920510508425,-4.60880494530661,4.04990048868119e-06,0.00130768393993452,"CvsT4"
"364","Acerv_evm.model.Segkk2370_pilon.2","GO:0052834",0.0268055068817325,1,1,1,"inositol monophosphate phosphatase activity","MF",38,21,16,30,38,18,24,16,20,27,10,49,13,645,25.2888475965967,-1.85170704039282,0.432356082333085,-4.28282870545179,1.845322324703e-05,0.00490794356619033,"CvsT1"
"365","Acerv_evm.model.Segkk2370_pilon.2","GO:0052834",0.0268055068817325,1,1,1,"inositol monophosphate phosphatase activity","MF",38,21,16,30,38,18,24,16,20,27,10,49,13,645,25.2888475965967,-1.8642515527379,0.391055010633149,-4.76723607177295,1.86770421313628e-06,0.000675436551638603,"CvsT3"
"366","Acerv_evm.model.Segkk2370_pilon.2","GO:0052834",0.0268055068817325,1,1,1,"inositol monophosphate phosphatase activity","MF",38,21,16,30,38,18,24,16,20,27,10,49,13,645,25.2888475965967,-1.71577841951481,0.392902800381653,-4.3669284562191,1.26005978280962e-05,0.00227844009927636,"CvsT2"
"367","Acerv_evm.model.Segkk2370_pilon.2","GO:0052834",0.0268055068817325,1,1,1,"inositol monophosphate phosphatase activity","MF",38,21,16,30,38,18,24,16,20,27,10,49,13,645,25.2888475965967,-1.87080845623261,0.405920510508425,-4.60880494530661,4.04990048868119e-06,0.00130768393993452,"CvsT4"
"368","Acerv_evm.model.Segkk2370_pilon.2","GO:0097657",0.0268055068817325,1,1,1,"3',5'-nucleotide bisphosphate phosphatase activity","MF",38,21,16,30,38,18,24,16,20,27,10,49,13,645,25.2888475965967,-1.85170704039282,0.432356082333085,-4.28282870545179,1.845322324703e-05,0.00490794356619033,"CvsT1"
"369","Acerv_evm.model.Segkk2370_pilon.2","GO:0097657",0.0268055068817325,1,1,1,"3',5'-nucleotide bisphosphate phosphatase activity","MF",38,21,16,30,38,18,24,16,20,27,10,49,13,645,25.2888475965967,-1.8642515527379,0.391055010633149,-4.76723607177295,1.86770421313628e-06,0.000675436551638603,"CvsT3"
"370","Acerv_evm.model.Segkk2370_pilon.2","GO:0097657",0.0268055068817325,1,1,1,"3',5'-nucleotide bisphosphate phosphatase activity","MF",38,21,16,30,38,18,24,16,20,27,10,49,13,645,25.2888475965967,-1.71577841951481,0.392902800381653,-4.3669284562191,1.26005978280962e-05,0.00227844009927636,"CvsT2"
"371","Acerv_evm.model.Segkk2370_pilon.2","GO:0097657",0.0268055068817325,1,1,1,"3',5'-nucleotide bisphosphate phosphatase activity","MF",38,21,16,30,38,18,24,16,20,27,10,49,13,645,25.2888475965967,-1.87080845623261,0.405920510508425,-4.60880494530661,4.04990048868119e-06,0.00130768393993452,"CvsT4"
"419","Acerv_evm.model.Segkk2585_pilon.5","GO:0005543",0.0011470856433709,0.999912367606281,4,21,"phospholipid binding","MF",52,61,96,65,97,30,59,38,24,16,40,65,23,954,48.563080222559,-1.22765305530271,0.354670479151103,-3.46139057933742,0.000537392527535349,0.0371191216695815,"CvsT2"
"422","Acerv_evm.model.Segkk2634_pilon.20","GO:0016034",0.0229911071967913,1,1,1,"maleylacetoacetate isomerase activity","MF",153,192,159,98,120,134,43,77,40,246,62,144,70,1008,120.204136086316,-1.95008122646433,0.490354971677507,-3.97687662835984,6.98263681701423e-05,0.0119026113318992,"CvsT1"
"425","Acerv_evm.model.Segkk2701_pilon.2","GO:0016251",0.0143903496749027,0.999316462477845,2,8,"RNA polymerase II general transcription initiation factor activity","MF",108,110,135,100,164,77,176,161,74,37,101,186,29,381,107.723289795647,-1.34404101882597,0.334610814813518,-4.01672916511984,5.90114773891237e-05,0.00741003843159816,"CvsT2"
"433","Acerv_evm.model.Segkk2763_pilon.1","GO:0001784",0.0113616432706379,0.999540856540644,2,7,"phosphotyrosine residue binding","MF",32,34,29,17,31,22,18,23,11,38,13,30,19,561,24.8161342335489,-1.57571071364469,0.41877445903962,-3.76267148015256,0.000168107965895872,0.0245139374139449,"CvsT1"
"434","Acerv_evm.model.Segkk2763_pilon.1","GO:0005161",0.0489396593328636,0.99938896378961,1,2,"platelet-derived growth factor receptor binding","MF",32,34,29,17,31,22,18,23,11,38,13,30,19,561,24.8161342335489,-1.57571071364469,0.41877445903962,-3.76267148015256,0.000168107965895872,0.0245139374139449,"CvsT1"
"435","Acerv_evm.model.Segkk2763_pilon.1","GO:0043422",0.00310527971656312,0.999951853238082,2,4,"protein kinase B binding","MF",32,34,29,17,31,22,18,23,11,38,13,30,19,561,24.8161342335489,-1.57571071364469,0.41877445903962,-3.76267148015256,0.000168107965895872,0.0245139374139449,"CvsT1"
"440","Acerv_evm.model.Segkk2788_pilon.3","GO:0016929",0.0421045038636204,0.999549330651911,1,2,"SUMO-specific protease activity","MF",191,316,228,147,294,118,146,167,88,110,84,272,62,3141,155.159302637646,-0.839564993698912,0.224688591560273,-3.73657152714715,0.000186546401363418,0.0267708891226454,"CvsT4"
"441","Acerv_evm.model.Segkk2838_pilon.7","GO:0003723",0.0264883518621786,0.991358113452853,7,122,"RNA binding","MF",38,97,69,15,40,15,13,161,20,11,10,37,8,1110,30.0130379401957,1.66127665555708,0.456047498051947,3.64277112066922,0.000269718649223958,0.0224425690980117,"CvsT2"
"465","Acerv_evm.model.Segkk2909_pilon.1","GO:0032555",0.00456640473149219,0.999899857364956,2,5,"purine ribonucleotide binding","MF",199,528,590,131,237,142,138,525,123,189,97,256,95,1560,208.023736204274,0.696595103154785,0.186555834674042,3.73397650291617,0.000188480086212909,0.017750504785947,"CvsT2"
"468","Acerv_evm.model.Segkk2909_pilon.1","GO:0030234",0.0341028059132467,0.9971907430988,2,13,"enzyme regulator activity","MF",199,528,590,131,237,142,138,525,123,189,97,256,95,1560,208.023736204274,0.696595103154785,0.186555834674042,3.73397650291617,0.000188480086212909,0.017750504785947,"CvsT2"
"497","Acerv_evm.model.Segkk3047_pilon.5","GO:0016251",0.0143903496749027,0.999316462477845,2,8,"RNA polymerase II general transcription initiation factor activity","MF",33,11,16,51,67,33,38,8,27,22,34,47,24,756,36.1003524326306,-3.30114616048314,0.409618370154479,-8.05907742672327,7.68723985997629e-16,1.15833892623409e-12,"CvsT2"
"498","Acerv_evm.model.Segkk3047_pilon.5","GO:0016251",0.0143903496749027,0.999316462477845,2,8,"RNA polymerase II general transcription initiation factor activity","MF",33,11,16,51,67,33,38,8,27,22,34,47,24,756,36.1003524326306,-2.81832232812897,0.419772663014313,-6.71392536114927,1.89457246394286e-11,1.71288296465074e-08,"CvsT3"
"499","Acerv_evm.model.Segkk3047_pilon.5","GO:0016251",0.0143903496749027,0.999316462477845,2,8,"RNA polymerase II general transcription initiation factor activity","MF",33,11,16,51,67,33,38,8,27,22,34,47,24,756,36.1003524326306,-2.85672963009014,0.437745652695158,-6.52600342802156,6.75477746459949e-11,6.78554922860489e-08,"CvsT4"
"500","Acerv_evm.model.Segkk3047_pilon.5","GO:0016251",0.0143903496749027,0.999316462477845,2,8,"RNA polymerase II general transcription initiation factor activity","MF",33,11,16,51,67,33,38,8,27,22,34,47,24,756,36.1003524326306,-2.72769415484527,0.459738148048264,-5.93314730662488,2.97181990537559e-09,2.06678644342313e-06,"CvsT1"
"509","Acerv_evm.model.Segkk3047_pilon.5","GO:0047485",0.0104877852263895,0.998975683136574,3,21,"protein N-terminus binding","MF",33,11,16,51,67,33,38,8,27,22,34,47,24,756,36.1003524326306,-3.30114616048314,0.409618370154479,-8.05907742672327,7.68723985997629e-16,1.15833892623409e-12,"CvsT2"
"510","Acerv_evm.model.Segkk3047_pilon.5","GO:0047485",0.0104877852263895,0.998975683136574,3,21,"protein N-terminus binding","MF",33,11,16,51,67,33,38,8,27,22,34,47,24,756,36.1003524326306,-2.81832232812897,0.419772663014313,-6.71392536114927,1.89457246394286e-11,1.71288296465074e-08,"CvsT3"
"511","Acerv_evm.model.Segkk3047_pilon.5","GO:0047485",0.0104877852263895,0.998975683136574,3,21,"protein N-terminus binding","MF",33,11,16,51,67,33,38,8,27,22,34,47,24,756,36.1003524326306,-2.85672963009014,0.437745652695158,-6.52600342802156,6.75477746459949e-11,6.78554922860489e-08,"CvsT4"
"512","Acerv_evm.model.Segkk3047_pilon.5","GO:0047485",0.0104877852263895,0.998975683136574,3,21,"protein N-terminus binding","MF",33,11,16,51,67,33,38,8,27,22,34,47,24,756,36.1003524326306,-2.72769415484527,0.459738148048264,-5.93314730662488,2.97181990537559e-09,2.06678644342313e-06,"CvsT1"
"532","Acerv_evm.model.Segkk3096_pilon.7","GO:0003690",0.00415861816436389,0.999722425071719,3,15,"double-stranded DNA binding","MF",25,9,16,11,19,13,17,8,8,21,11,15,9,2016,15.0654175528371,-2.12969452162364,0.531344362762396,-4.00812480733137,6.12027755579259e-05,0.0115277977879002,"CvsT1"
"533","Acerv_evm.model.Segkk3096_pilon.7","GO:0003690",0.00415861816436389,0.999722425071719,3,15,"double-stranded DNA binding","MF",25,9,16,11,19,13,17,8,8,21,11,15,9,2016,15.0654175528371,-1.7164905355831,0.493872111979779,-3.47557696404891,0.000509755698630054,0.0362889863883017,"CvsT2"
"551","Acerv_evm.model.Segkk3192_pilon.40","GO:0003723",0.0264883518621786,0.991358113452853,7,122,"RNA binding","MF",281,354,466,255,491,119,244,316,71,55,238,444,72,618,232.361517061136,-1.53321616455527,0.378587940601857,-4.04982832289337,5.12552206534937e-05,0.0174525790656564,"T1vsT2"
"571","Acerv_evm.model.Segkk3209_pilon.11","GO:0046969",0.0231990754089256,1,1,1,"NAD-dependent histone deacetylase activity (H3-K9 specific)","MF",95,227,141,37,80,49,26,197,34,59,22,90,41,978,68.7266743645705,1.25819184374286,0.306334265403312,4.10725141076319,4.0039533665823e-05,0.0053234915275398,"CvsT2"
"601","Acerv_evm.model.Segkk3209_pilon.11","GO:1990254",0.0231990754089256,1,1,1,"keratin filament binding","MF",95,227,141,37,80,49,26,197,34,59,22,90,41,978,68.7266743645705,1.25819184374286,0.306334265403312,4.10725141076319,4.0039533665823e-05,0.0053234915275398,"CvsT2"
"606","Acerv_evm.model.Segkk3209_pilon.11","GO:0043422",0.00310527971656312,0.999951853238082,2,4,"protein kinase B binding","MF",95,227,141,37,80,49,26,197,34,59,22,90,41,978,68.7266743645705,1.25819184374286,0.306334265403312,4.10725141076319,4.0039533665823e-05,0.0053234915275398,"CvsT2"
"607","Acerv_evm.model.Segkk3209_pilon.11","GO:0070403",0.00470461115789769,0.999895223321753,2,5,"NAD+ binding","MF",95,227,141,37,80,49,26,197,34,59,22,90,41,978,68.7266743645705,1.25819184374286,0.306334265403312,4.10725141076319,4.0039533665823e-05,0.0053234915275398,"CvsT2"
"633","Acerv_evm.model.Segkk3377_pilon.3","GO:0003723",0.0264883518621786,0.991358113452853,7,122,"RNA binding","MF",992,1267,1655,115,292,258,311,2214,258,244,71,197,92,197,440.330484410113,2.01562513737583,0.512075925288754,3.93618414347294,8.27874579827249e-05,0.0093560175952727,"CvsT2"
"634","Acerv_evm.model.Segkk3377_pilon.3","GO:0003723",0.0264883518621786,0.991358113452853,7,122,"RNA binding","MF",992,1267,1655,115,292,258,311,2214,258,244,71,197,92,197,440.330484410113,2.27360570926044,0.571128225951174,3.98090237174656,6.86541442851622e-05,0.0121197327706629,"CvsT4"
"659","Acerv_evm.model.Segkk3394_pilon.16","GO:0035064",0.0491687102047344,0.994967071115346,2,15,"methylated histone binding","MF",311,28,12,288,513,246,188,6,152,155,186,521,123,1854,232.324672539613,-5.66864598388488,0.393565824556362,-14.4032983307805,4.93318988769762e-47,2.23004848873371e-43,"CvsT4"
"660","Acerv_evm.model.Segkk3394_pilon.16","GO:0035064",0.0491687102047344,0.994967071115346,2,15,"methylated histone binding","MF",311,28,12,288,513,246,188,6,152,155,186,521,123,1854,232.324672539613,-5.36757671541,0.367063505779908,-14.6230192620358,2.00316192433335e-48,9.05529347894889e-45,"CvsT2"
"661","Acerv_evm.model.Segkk3394_pilon.16","GO:0035064",0.0491687102047344,0.994967071115346,2,15,"methylated histone binding","MF",311,28,12,288,513,246,188,6,152,155,186,521,123,1854,232.324672539613,-5.21903368974746,0.397631609728434,-13.125298799338,2.35850657107763e-39,1.06616289545564e-35,"CvsT1"
"662","Acerv_evm.model.Segkk3394_pilon.16","GO:0035064",0.0491687102047344,0.994967071115346,2,15,"methylated histone binding","MF",311,28,12,288,513,246,188,6,152,155,186,521,123,1854,232.324672539613,-5.14601062654285,0.368281641584695,-13.9730305436889,2.27726371386063e-44,1.0294370618507e-40,"CvsT3"
"663","Acerv_evm.model.Segkk3394_pilon.16","GO:0010698",0.0214146650641262,1,1,1,"acetyltransferase activator activity","MF",311,28,12,288,513,246,188,6,152,155,186,521,123,1854,232.324672539613,-5.66864598388488,0.393565824556362,-14.4032983307805,4.93318988769762e-47,2.23004848873371e-43,"CvsT4"
"664","Acerv_evm.model.Segkk3394_pilon.16","GO:0010698",0.0214146650641262,1,1,1,"acetyltransferase activator activity","MF",311,28,12,288,513,246,188,6,152,155,186,521,123,1854,232.324672539613,-5.36757671541,0.367063505779908,-14.6230192620358,2.00316192433335e-48,9.05529347894889e-45,"CvsT2"
"665","Acerv_evm.model.Segkk3394_pilon.16","GO:0010698",0.0214146650641262,1,1,1,"acetyltransferase activator activity","MF",311,28,12,288,513,246,188,6,152,155,186,521,123,1854,232.324672539613,-5.21903368974746,0.397631609728434,-13.125298799338,2.35850657107763e-39,1.06616289545564e-35,"CvsT1"
"666","Acerv_evm.model.Segkk3394_pilon.16","GO:0010698",0.0214146650641262,1,1,1,"acetyltransferase activator activity","MF",311,28,12,288,513,246,188,6,152,155,186,521,123,1854,232.324672539613,-5.14601062654285,0.368281641584695,-13.9730305436889,2.27726371386063e-44,1.0294370618507e-40,"CvsT3"
"679","Acerv_evm.model.Segkk3395_pilon.4","GO:0003723",0.0264883518621786,0.991358113452853,7,122,"RNA binding","MF",74,63,50,79,161,76,112,91,73,99,43,163,29,3576,87.0602308492711,-1.60423426896623,0.357217757129067,-4.49091411876985,7.09181442748492e-06,0.00149109521485793,"CvsT2"
"680","Acerv_evm.model.Segkk3395_pilon.4","GO:0003723",0.0264883518621786,0.991358113452853,7,122,"RNA binding","MF",74,63,50,79,161,76,112,91,73,99,43,163,29,3576,87.0602308492711,-1.84261873668471,0.396270742130755,-4.6498985183133,3.32098395746331e-06,0.00125104233164274,"CvsT1"
"681","Acerv_evm.model.Segkk3395_pilon.4","GO:0003723",0.0264883518621786,0.991358113452853,7,122,"RNA binding","MF",74,63,50,79,161,76,112,91,73,99,43,163,29,3576,87.0602308492711,-1.79762624052207,0.3893701946256,-4.61675358138439,3.8978965137107e-06,0.0013052178659429,"CvsT4"
"686","Acerv_evm.model.Segkk3419_pilon.10","GO:0005381",0.0299491028669805,1,1,1,"iron ion transmembrane transporter activity","MF",24,14,10,16,33,13,12,0,8,27,12,27,13,444,17.5759453097951,-2.43161074244555,0.668589700027745,-3.63692522087111,0.000275911989343991,0.0455815873666253,"CvsT3"
"687","Acerv_evm.model.Segkk3419_pilon.10","GO:0005381",0.0299491028669805,1,1,1,"iron ion transmembrane transporter activity","MF",24,14,10,16,33,13,12,0,8,27,12,27,13,444,17.5759453097951,-2.27750297286288,0.669656668419502,-3.40100096104196,0.000671395917842947,0.0439861629943339,"CvsT2"
"688","Acerv_evm.model.Segkk3419_pilon.10","GO:0005381",0.0299491028669805,1,1,1,"iron ion transmembrane transporter activity","MF",24,14,10,16,33,13,12,0,8,27,12,27,13,444,17.5759453097951,-2.51737087379388,0.712232307788823,-3.53448003729182,0.000408578297329322,0.049918329542627,"CvsT4"
"689","Acerv_evm.model.Segkk3419_pilon.10","GO:0005381",0.0299491028669805,1,1,1,"iron ion transmembrane transporter activity","MF",24,14,10,16,33,13,12,0,8,27,12,27,13,444,17.5759453097951,-2.87586561522411,0.723924944271256,-3.97260190850188,7.10918053227026e-05,0.0119026113318992,"CvsT1"
"716","Acerv_evm.model.Segkk3450_pilon.3","GO:0032500",0.0214089201446791,1,1,1,"muramyl dipeptide binding","MF",604,740,852,488,996,368,608,542,226,215,325,838,213,2262,494.415251175838,-0.87286817257862,0.230211512875559,-3.79159218266572,0.000149684568296631,0.0148714085930752,"CvsT2"
"717","Acerv_evm.model.Segkk3450_pilon.3","GO:0032500",0.0214089201446791,1,1,1,"muramyl dipeptide binding","MF",604,740,852,488,996,368,608,542,226,215,325,838,213,2262,494.415251175838,-0.938500769403817,0.255382348673094,-3.67488502741103,0.000237956546087641,0.0325964414117934,"CvsT4"
