"","gene_id","19_T33_Ac_WK","24_T12_Ac_FM","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","31_T22_Ac_UV","35_T43_Ac_MT","37_T13_Ac_ML","38_T23_Ac_IN","41_ctl3_Ac_RN_1","45_T41_Ac_SC_1","47_T31_Ac_JB","52_T11_Ac_II","53_T21_Ac_NH","54_T42_Ac_JQ","57_T32_Ac_NM","scaffold","start","stop","length","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"11","Acerv_evm.TU.Segkk1003_pilon.25",164,0,380,451,144,208,131,201,541,641,142,164,87,259,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Acerv_evm.TU.Segkk1003_pilon.30",43,0,123,107,36,48,27,30,114,81,18,37,26,49,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Acerv_evm.TU.Segkk1003_pilon.33",665,0,1052,1192,426,687,428,476,1338,1732,426,498,321,815,366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Acerv_evm.TU.Segkk1005_pilon.2",158,1,248,236,103,151,106,76,205,509,92,86,44,192,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Acerv_evm.TU.Segkk1005_pilon.3",39,0,96,82,26,57,0,43,41,122,22,38,22,63,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Acerv_evm.TU.Segkk1006_pilon.1",199,0,368,333,206,294,86,143,196,270,62,55,108,237,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Acerv_evm.TU.Segkk1007_pilon.1",25,0,21,24,22,33,18,32,35,58,21,15,11,25,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Acerv_evm.TU.Segkk1008_pilon.1",28,0,49,57,32,46,27,42,70,75,23,22,23,48,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Acerv_evm.TU.Segkk1008_pilon.4",98,0,184,227,61,104,61,176,482,575,148,77,41,104,36,NA,NA,NA,NA,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"20","Acerv_evm.TU.Segkk101_pilon.1",36,0,11,8,14,28,9,118,194,293,61,13,11,26,8,"Segkk101_pilon",764,15168,14404,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"21","Acerv_evm.TU.Segkk1010_pilon.11",48,0,95,65,40,40,32,33,70,60,25,30,22,51,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Acerv_evm.TU.Segkk1010_pilon.12",7,0,19,9,6,12,7,9,12,18,9,4,6,22,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Acerv_evm.TU.Segkk1010_pilon.13",299,0,575,463,178,257,180,212,484,680,87,204,121,329,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Acerv_evm.TU.Segkk1010_pilon.15",65,0,103,103,51,107,45,69,153,181,42,60,0,98,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Acerv_evm.TU.Segkk1010_pilon.17",470,0,1208,867,310,465,357,384,946,1141,227,427,169,542,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Acerv_evm.TU.Segkk1010_pilon.2",179,0,363,294,122,163,102,95,263,379,55,48,66,154,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Acerv_evm.TU.Segkk1010_pilon.5",147,0,372,256,148,220,124,93,192,275,64,90,87,219,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Acerv_evm.TU.Segkk1010_pilon.6",92,0,189,197,60,136,58,145,124,288,46,24,50,118,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Acerv_evm.TU.Segkk1010_pilon.8",17,0,23,21,7,14,10,15,27,29,7,9,17,23,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Acerv_evm.TU.Segkk1011_pilon.1",36,0,47,68,32,49,29,41,51,70,0,45,17,43,21,NA,NA,NA,NA,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"31","Acerv_evm.TU.Segkk1011_pilon.13",84,0,155,121,58,100,53,58,109,189,47,66,35,132,41,NA,NA,NA,NA,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"32","Acerv_evm.TU.Segkk1011_pilon.14",450,0,940,636,391,622,261,251,401,726,146,149,228,586,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Acerv_evm.TU.Segkk1011_pilon.15",88,0,133,131,73,84,58,34,108,60,30,61,33,82,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Acerv_evm.TU.Segkk1011_pilon.19",49,0,55,67,22,59,18,25,91,156,28,37,27,52,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Acerv_evm.TU.Segkk1011_pilon.21",432,0,864,989,404,633,321,357,611,688,208,439,320,621,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Acerv_evm.TU.Segkk1011_pilon.24",743,0,1527,1511,600,893,489,790,1380,1836,690,341,401,931,259,NA,NA,NA,NA,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"37","Acerv_evm.TU.Segkk1011_pilon.26",885,0,2465,1228,790,1245,517,504,837,1666,314,358,828,1562,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Acerv_evm.TU.Segkk1011_pilon.27",232,0,490,289,140,222,165,250,237,310,88,136,91,329,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Acerv_evm.TU.Segkk1011_pilon.3",9,0,36,32,12,18,12,74,428,577,102,6,12,26,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Acerv_evm.TU.Segkk1011_pilon.32",8,0,22,14,6,9,6,7,21,27,7,8,2,13,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Acerv_evm.TU.Segkk1011_pilon.35",507,0,851,1322,331,673,251,368,908,1403,349,510,291,596,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Acerv_evm.TU.Segkk1011_pilon.36",717,0,1641,972,587,969,428,524,917,1274,315,346,463,925,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Acerv_evm.TU.Segkk1011_pilon.39",201,0,511,182,151,182,144,109,272,218,60,193,68,200,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Acerv_evm.TU.Segkk1011_pilon.4",13,0,46,33,17,30,22,71,78,82,16,17,13,52,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Acerv_evm.TU.Segkk1011_pilon.42",24,0,39,27,18,35,11,27,28,42,10,12,8,30,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Acerv_evm.TU.Segkk1011_pilon.45",185,0,357,259,126,235,93,107,273,442,88,89,80,224,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Acerv_evm.TU.Segkk1011_pilon.48",392,0,412,849,277,615,288,191,342,1518,79,271,329,720,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Acerv_evm.TU.Segkk1011_pilon.5",428,0,983,245,260,196,160,183,590,1123,108,148,151,687,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Acerv_evm.TU.Segkk1011_pilon.50",166,0,398,159,160,170,135,60,43,233,29,246,163,494,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Acerv_evm.TU.Segkk1011_pilon.54",416,16,899,726,292,531,306,339,781,1068,237,255,188,542,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Acerv_evm.TU.Segkk1011_pilon.8",9,0,40,47,12,24,14,8,27,19,14,7,5,16,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Acerv_evm.TU.Segkk1013_pilon.1",46,0,178,37,26,45,45,78,82,218,49,30,0,33,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Acerv_evm.TU.Segkk1014_pilon.1",16,0,11,12,12,19,8,9,12,15,8,6,11,18,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Acerv_evm.TU.Segkk1015_pilon.3",244,0,318,358,145,261,126,189,433,631,144,81,92,236,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Acerv_evm.TU.Segkk1016_pilon.10",142,0,229,300,95,154,92,93,254,368,72,114,76,178,61,NA,NA,NA,NA,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"56","Acerv_evm.TU.Segkk1016_pilon.11",21,0,48,66,17,27,13,28,63,68,24,28,9,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Acerv_evm.TU.Segkk1016_pilon.2",1353,0,2408,2351,866,1650,843,913,2205,2990,655,626,634,1544,509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Acerv_evm.TU.Segkk1016_pilon.6",75,0,182,162,54,86,46,54,140,243,31,35,30,99,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Acerv_evm.TU.Segkk1017_pilon.3",36,0,121,67,26,36,28,13,42,49,12,66,22,56,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Acerv_evm.TU.Segkk1021_pilon.1",41,0,53,49,32,56,29,72,150,249,58,24,17,54,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Acerv_evm.TU.Segkk1022_pilon.1",26,0,8,13,23,48,12,17,7,10,9,14,10,23,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Acerv_evm.TU.Segkk1022_pilon.3",56,0,177,143,53,66,37,38,104,206,32,37,28,76,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Acerv_evm.TU.Segkk1023_pilon.4",1087,0,3146,1872,835,1399,923,1140,1843,3662,651,832,747,1757,625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Acerv_evm.TU.Segkk1023_pilon.6",646,0,1925,1183,643,888,514,1241,1180,2860,296,413,386,1294,361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Acerv_evm.TU.Segkk1024_pilon.1",96,0,75,119,44,106,40,36,69,101,32,53,37,80,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Acerv_evm.TU.Segkk1024_pilon.10",43,0,71,62,38,50,18,28,102,86,24,22,17,39,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Acerv_evm.TU.Segkk1024_pilon.11",179,0,448,420,172,266,126,175,386,580,111,77,103,235,72,NA,NA,NA,NA,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"68","Acerv_evm.TU.Segkk1024_pilon.12",85,0,278,193,92,127,87,87,164,230,50,63,42,154,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Acerv_evm.TU.Segkk1024_pilon.3",132,0,278,232,87,186,67,69,106,223,50,81,71,183,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Acerv_evm.TU.Segkk1024_pilon.6",133,0,226,225,89,164,68,104,180,250,91,55,71,171,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Acerv_evm.TU.Segkk1025_pilon.1",470,10,1044,742,407,743,289,277,474,866,184,174,245,563,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Acerv_evm.TU.Segkk1025_pilon.3",57,0,74,50,28,43,24,23,82,134,20,15,20,44,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Acerv_evm.TU.Segkk1026_pilon.3",28,0,53,50,17,38,12,11,28,51,10,5,12,32,7,NA,NA,NA,NA,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"74","Acerv_evm.TU.Segkk1026_pilon.4",99,0,195,143,71,109,50,50,93,175,31,39,35,102,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Acerv_evm.TU.Segkk1028_pilon.10",105,0,142,122,90,105,76,31,25,51,13,37,110,160,27,NA,NA,NA,NA,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"76","Acerv_evm.TU.Segkk1028_pilon.3",394,0,718,732,248,449,282,228,617,765,197,243,204,490,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Acerv_evm.TU.Segkk1029_pilon.11",144,0,264,212,77,134,81,91,234,361,78,85,51,126,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Acerv_evm.TU.Segkk1029_pilon.2",54,0,123,156,42,98,38,61,119,174,40,55,27,83,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Acerv_evm.TU.Segkk1029_pilon.8",99,0,166,182,69,107,75,44,84,133,42,107,46,142,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Acerv_evm.TU.Segkk103_pilon.1",374,5,783,718,199,397,215,246,573,1231,219,266,159,414,107,"Segkk103_pilon",1299,13779,12480,NA,NA,NA,NA,NA,NA,NA
"81","Acerv_evm.TU.Segkk1031_pilon.10",73,0,111,112,41,70,52,45,103,106,50,53,45,86,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Acerv_evm.TU.Segkk1031_pilon.11",294,0,328,383,154,264,183,231,579,785,162,260,110,305,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Acerv_evm.TU.Segkk1031_pilon.2",98,0,184,218,61,97,68,52,147,228,34,75,45,107,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Acerv_evm.TU.Segkk1031_pilon.6",21,1,14,23,6,16,8,10,11,21,8,9,7,12,4,NA,NA,NA,NA,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"85","Acerv_evm.TU.Segkk1031_pilon.7",775,0,1543,1348,531,954,478,573,1227,1634,348,410,418,1003,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Acerv_evm.TU.Segkk1031_pilon.9",238,0,536,432,192,313,188,291,454,682,185,135,151,370,96,NA,NA,NA,NA,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"87","Acerv_evm.TU.Segkk1034_pilon.2",650,0,1037,971,393,697,404,357,694,919,280,630,226,634,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Acerv_evm.TU.Segkk1035_pilon.1",308,0,708,497,264,451,162,201,373,586,143,198,134,371,92,NA,NA,NA,NA,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"89","Acerv_evm.TU.Segkk1035_pilon.13",256,0,502,685,156,299,143,179,789,673,152,183,124,273,72,NA,NA,NA,NA,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"90","Acerv_evm.TU.Segkk1036_pilon.1",31,0,55,64,44,56,29,37,45,46,20,27,24,61,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Acerv_evm.TU.Segkk1038_pilon.1",130,0,106,73,83,125,77,81,117,134,64,61,55,202,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Acerv_evm.TU.Segkk1038_pilon.2",592,0,1460,1084,380,649,381,472,1876,2658,457,385,243,925,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Acerv_evm.TU.Segkk1038_pilon.3",64,0,114,144,26,83,48,44,163,187,68,87,33,81,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Acerv_evm.TU.Segkk1039_pilon.4",154,0,288,249,101,163,74,70,176,262,88,77,75,171,54,NA,NA,NA,NA,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"95","Acerv_evm.TU.Segkk104_pilon.5",126,0,329,158,90,158,86,58,125,142,39,63,55,127,40,"Segkk104_pilon",60866,71802,10936,NA,NA,NA,NA,NA,NA,NA
"96","Acerv_evm.TU.Segkk1040_pilon.12",118,0,234,260,80,134,85,69,207,271,65,98,55,120,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Acerv_evm.TU.Segkk1040_pilon.14",176,0,304,245,155,291,86,147,149,293,63,42,87,214,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Acerv_evm.TU.Segkk1040_pilon.15",243,0,422,604,124,226,104,160,646,663,193,69,72,146,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Acerv_evm.TU.Segkk1040_pilon.17",377,0,698,726,255,513,239,348,800,1046,271,364,209,435,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Acerv_evm.TU.Segkk1040_pilon.2",16,0,47,45,16,36,24,16,36,31,6,11,9,23,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Acerv_evm.TU.Segkk1040_pilon.22",320,0,678,384,214,341,218,200,567,744,151,218,213,526,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Acerv_evm.TU.Segkk1040_pilon.27",19,0,88,29,13,36,19,29,74,35,7,12,12,47,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Acerv_evm.TU.Segkk1040_pilon.28",97,0,212,196,62,96,69,67,146,215,37,67,55,120,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Acerv_evm.TU.Segkk1040_pilon.29",454,0,848,836,294,522,243,343,711,972,279,287,193,550,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Acerv_evm.TU.Segkk1040_pilon.31",14,2,33,32,12,16,10,9,20,21,6,12,2,12,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Acerv_evm.TU.Segkk1040_pilon.32",528,0,1059,963,331,620,329,419,1024,1274,337,344,209,554,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Acerv_evm.TU.Segkk1040_pilon.33",1016,0,1999,2308,726,1492,676,888,1965,2877,899,794,504,1302,459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Acerv_evm.TU.Segkk1040_pilon.34",516,0,1090,951,347,511,367,395,901,1097,277,470,212,543,204,NA,NA,NA,NA,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"109","Acerv_evm.TU.Segkk1040_pilon.6",84,0,191,167,88,124,70,80,251,256,71,66,47,162,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Acerv_evm.TU.Segkk1040_pilon.9",153,0,251,227,98,170,92,124,255,286,80,62,45,160,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Acerv_evm.TU.Segkk1042_pilon.2",129,0,285,172,83,122,140,71,211,218,64,132,72,148,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Acerv_evm.TU.Segkk1044_pilon.12",323,0,552,547,202,334,199,266,530,751,208,206,165,355,132,NA,NA,NA,NA,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"113","Acerv_evm.TU.Segkk1044_pilon.7",133,11,228,244,67,114,93,97,311,264,78,87,32,136,54,NA,NA,NA,NA,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"114","Acerv_evm.TU.Segkk1044_pilon.9",113,0,416,357,125,209,125,212,257,438,66,117,91,321,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Acerv_evm.TU.Segkk1045_pilon.2",178,25,359,259,141,256,112,156,195,297,81,73,122,258,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Acerv_evm.TU.Segkk1045_pilon.3",34,0,107,72,30,40,33,32,83,69,20,47,23,47,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Acerv_evm.TU.Segkk1045_pilon.4",13,0,33,34,12,27,11,14,39,28,8,20,6,29,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Acerv_evm.TU.Segkk1045_pilon.6",113,0,273,176,69,113,75,98,265,278,60,88,44,128,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Acerv_evm.TU.Segkk1046_pilon.1",33,0,82,64,24,35,35,32,109,105,40,34,14,36,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Acerv_evm.TU.Segkk1046_pilon.12",426,0,770,781,255,443,297,359,928,1025,291,362,183,422,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Acerv_evm.TU.Segkk1046_pilon.14",19293,2670,25940,37323,10785,23444,12573,14578,27752,33680,8232,8957,14266,19065,6392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Acerv_evm.TU.Segkk1046_pilon.15",14,0,18,32,11,28,10,43,37,68,21,5,7,16,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Acerv_evm.TU.Segkk1046_pilon.16",19,0,43,47,12,35,14,61,62,118,33,8,10,30,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Acerv_evm.TU.Segkk1046_pilon.17",777,0,1616,1496,651,1217,589,376,726,2077,438,357,349,1000,337,NA,NA,NA,NA,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"125","Acerv_evm.TU.Segkk1046_pilon.19",211,0,328,332,125,222,103,126,278,420,102,121,81,214,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Acerv_evm.TU.Segkk1046_pilon.5",12,0,39,39,12,17,10,14,38,38,12,19,9,21,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Acerv_evm.TU.Segkk1047_pilon.10",45,1,89,98,25,50,26,32,66,61,29,13,18,45,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Acerv_evm.TU.Segkk1047_pilon.2",150,0,226,209,90,167,75,70,152,245,58,58,47,168,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Acerv_evm.TU.Segkk1047_pilon.3",472,74,805,637,235,464,187,246,651,957,170,131,160,430,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Acerv_evm.TU.Segkk1047_pilon.4",167,0,291,226,140,232,72,82,171,303,79,42,84,198,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Acerv_evm.TU.Segkk1047_pilon.6",557,0,1342,1167,458,857,436,547,879,1380,371,357,409,805,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Acerv_evm.TU.Segkk1048_pilon.1",82,0,127,143,57,86,62,69,210,275,42,87,37,111,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Acerv_evm.TU.Segkk1048_pilon.12",506,0,865,1042,344,578,327,492,887,1236,281,452,243,578,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Acerv_evm.TU.Segkk1048_pilon.14",218,0,539,623,147,269,180,189,643,840,199,279,88,291,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Acerv_evm.TU.Segkk1048_pilon.15",476,33,858,785,297,476,330,442,973,1269,322,304,190,512,217,NA,NA,NA,NA,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"136","Acerv_evm.TU.Segkk1048_pilon.19",102,11,206,264,62,135,69,101,214,283,79,80,44,135,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","Acerv_evm.TU.Segkk1048_pilon.2",406,0,843,803,267,392,252,370,957,1126,242,256,164,518,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Acerv_evm.TU.Segkk1048_pilon.20",64,0,131,136,39,60,33,40,98,113,41,26,28,62,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Acerv_evm.TU.Segkk1048_pilon.22",348,0,660,686,245,509,266,403,724,920,208,204,195,467,163,NA,NA,NA,NA,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"140","Acerv_evm.TU.Segkk1048_pilon.23",94,0,122,290,98,243,64,111,217,448,116,17,13,311,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","Acerv_evm.TU.Segkk1048_pilon.26",89,0,135,157,34,77,56,54,173,232,69,62,26,73,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Acerv_evm.TU.Segkk1048_pilon.28",295,0,343,283,142,309,135,141,414,616,95,116,127,249,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Acerv_evm.TU.Segkk1048_pilon.8",98,0,174,163,78,108,79,90,151,248,63,83,44,150,44,NA,NA,NA,NA,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
