"","GO.IDs","gene_id","term","ontology","over_represented_pvalue","log2FoldChange","padj","Treatment_Compare","Species","Site","GO.Term","GO.Slim.Term","Cat"
"1049","GO:0001771","plut2.m8.7302","immunological synapse formation","BP",0.033421402,1.145686845,0.01548172,"CvsHigh","P.lobata","Hawaii","formation of immunological synapse","other biological processes","P"
"1059","GO:0001779","plut2.m8.33535","natural killer cell differentiation","BP",0.046493989,-1.20524184,0.000414935,"CvsHigh","P.lobata","Hawaii","natural killer cell differentiation","developmental processes","P"
"1117","GO:0001831","plut2.m8.11877","trophectodermal cellular morphogenesis","BP",0.034066289,-1.33614768,0.040333312,"CvsHigh","P.lobata","Hawaii","trophectodermal cellular morphogenesis","cell organization and biogenesis","P"
"1118","GO:0001831","plut2.m8.11877","trophectodermal cellular morphogenesis","BP",0.034066289,-1.33614768,0.040333312,"CvsHigh","P.lobata","Hawaii","trophectodermal cellular morphogenesis","developmental processes","P"
"1176","GO:0001879","plut2.m8.5234","detection of yeast","BP",0.007138708,-2.237768204,0.002684408,"CvsMid","P.lobata","Hawaii","detection of yeast","other biological processes","P"
"1178","GO:0001881","plut2.m8.7220","receptor recycling","BP",0.045353198,-3.695337224,1.64e-16,"CvsHigh","P.lobata","Hawaii","receptor recycling","signal transduction","P"
"1179","GO:0001881","plut2.m8.7220","receptor recycling","BP",0.045353198,-3.695337224,1.64e-16,"CvsHigh","P.lobata","Hawaii","receptor recycling","other metabolic processes","P"
"1180","GO:0001881","plut2.m8.7220","receptor recycling","BP",0.045353198,-3.2910173,5.72e-12,"CvsMid","P.lobata","Hawaii","receptor recycling","signal transduction","P"
"1181","GO:0001881","plut2.m8.7220","receptor recycling","BP",0.045353198,-3.2910173,5.72e-12,"CvsMid","P.lobata","Hawaii","receptor recycling","other metabolic processes","P"
"2082","GO:0002762","plut2.m8.21905","negative regulation of myeloid leukocyte differentiation","BP",0.020001549,1.362511909,0.000989128,"CvsMid","P.lobata","Hawaii","negative regulation of myeloid leukocyte differentiation","developmental processes","P"
"2406","GO:0003197","plut2.m8.33377","endocardial cushion development","BP",0.043206828,-1.68023545,0.040333312,"CvsHigh","P.lobata","Hawaii",NA,NA,NA
"4409","GO:0006183","plut2.m8.21905","GTP biosynthetic process","BP",0.03563585,1.362511909,0.000989128,"CvsMid","P.lobata","Hawaii","GTP biosynthetic process","other metabolic processes","P"
"4449","GO:0006228","plut2.m8.21905","UTP biosynthetic process","BP",0.01978946,1.362511909,0.000989128,"CvsMid","P.lobata","Hawaii","UTP biosynthetic process","other metabolic processes","P"
"4462","GO:0006241","plut2.m8.21905","CTP biosynthetic process","BP",0.037046843,1.362511909,0.000989128,"CvsMid","P.lobata","Hawaii","CTP biosynthetic process","other metabolic processes","P"
"4479","GO:0006264","plut2.m8.25740","mitochondrial DNA replication","BP",0.002970756,-2.119604544,0.00059459,"CvsHigh","P.lobata","Hawaii","mitochondrial DNA replication","DNA metabolism","P"
"4480","GO:0006264","plut2.m8.25740","mitochondrial DNA replication","BP",0.002970756,-2.119604544,0.00059459,"CvsHigh","P.lobata","Hawaii","mitochondrial DNA replication","cell organization and biogenesis","P"
"4481","GO:0006264","plut2.m8.12217","mitochondrial DNA replication","BP",0.002970756,-1.499102801,0.037717103,"MidvsHigh","P.lobata","Hawaii","mitochondrial DNA replication","DNA metabolism","P"
"4482","GO:0006264","plut2.m8.12217","mitochondrial DNA replication","BP",0.002970756,-1.499102801,0.037717103,"MidvsHigh","P.lobata","Hawaii","mitochondrial DNA replication","cell organization and biogenesis","P"
"4483","GO:0006264","plut2.m8.25740","mitochondrial DNA replication","BP",0.002970756,-1.94377471,0.002447518,"CvsMid","P.lobata","Hawaii","mitochondrial DNA replication","DNA metabolism","P"
"4484","GO:0006264","plut2.m8.25740","mitochondrial DNA replication","BP",0.002970756,-1.94377471,0.002447518,"CvsMid","P.lobata","Hawaii","mitochondrial DNA replication","cell organization and biogenesis","P"
"4506","GO:0006283","plut2.m8.10671","transcription-coupled nucleotide-excision repair","BP",0.046646858,-1.923426966,0.000224193,"CvsMid","P.lobata","Hawaii","transcription-coupled nucleotide-excision repair","DNA metabolism","P"
"4507","GO:0006283","plut2.m8.10671","transcription-coupled nucleotide-excision repair","BP",0.046646858,-1.923426966,0.000224193,"CvsMid","P.lobata","Hawaii","transcription-coupled nucleotide-excision repair","stress response","P"
"4508","GO:0006283","plut2.m8.10671","transcription-coupled nucleotide-excision repair","BP",0.046646858,-2.029422588,3.37e-05,"CvsHigh","P.lobata","Hawaii","transcription-coupled nucleotide-excision repair","DNA metabolism","P"
"4509","GO:0006283","plut2.m8.10671","transcription-coupled nucleotide-excision repair","BP",0.046646858,-2.029422588,3.37e-05,"CvsHigh","P.lobata","Hawaii","transcription-coupled nucleotide-excision repair","stress response","P"
"4556","GO:0006312","plut2.m8.20774","mitotic recombination","BP",0.031820576,-1.345956868,0.007601892,"CvsHigh","P.lobata","Hawaii","mitotic recombination","DNA metabolism","P"
"4557","GO:0006312","plut2.m8.20774","mitotic recombination","BP",0.031820576,-1.456292091,0.002357389,"CvsMid","P.lobata","Hawaii","mitotic recombination","DNA metabolism","P"
"4580","GO:0006346","plut2.m8.20774","DNA methylation-dependent heterochromatin assembly","BP",0.038672019,-1.345956868,0.007601892,"CvsHigh","P.lobata","Hawaii","methylation-dependent chromatin silencing","RNA metabolism","P"
"4581","GO:0006346","plut2.m8.20774","DNA methylation-dependent heterochromatin assembly","BP",0.038672019,-1.345956868,0.007601892,"CvsHigh","P.lobata","Hawaii","methylation-dependent chromatin silencing","cell organization and biogenesis","P"
"4582","GO:0006346","plut2.m8.20774","DNA methylation-dependent heterochromatin assembly","BP",0.038672019,-1.456292091,0.002357389,"CvsMid","P.lobata","Hawaii","methylation-dependent chromatin silencing","RNA metabolism","P"
"4583","GO:0006346","plut2.m8.20774","DNA methylation-dependent heterochromatin assembly","BP",0.038672019,-1.456292091,0.002357389,"CvsMid","P.lobata","Hawaii","methylation-dependent chromatin silencing","cell organization and biogenesis","P"
"4601","GO:0006362","plut2.m8.10671","transcription elongation from RNA polymerase I promoter","BP",0.015494047,-2.029422588,3.37e-05,"CvsHigh","P.lobata","Hawaii","RNA elongation from RNA polymerase I promoter","RNA metabolism","P"
"4602","GO:0006362","plut2.m8.10671","transcription elongation from RNA polymerase I promoter","BP",0.015494047,-1.923426966,0.000224193,"CvsMid","P.lobata","Hawaii","RNA elongation from RNA polymerase I promoter","RNA metabolism","P"
"4712","GO:0006468","plut2.m8.32388","protein phosphorylation","BP",0.00984472,1.23335001,0.001564529,"CvsHigh","P.lobata","Hawaii","protein amino acid phosphorylation","protein metabolism","P"
"4713","GO:0006468","plut2.m8.21703","protein phosphorylation","BP",0.00984472,2.383461607,0.022625602,"MidvsHigh","P.lobata","Hawaii","protein amino acid phosphorylation","protein metabolism","P"
"4714","GO:0006468","plut2.m8.32471","protein phosphorylation","BP",0.00984472,-1.991283662,0.000877092,"CvsHigh","P.lobata","Hawaii","protein amino acid phosphorylation","protein metabolism","P"
"4715","GO:0006468","plut2.m8.32950","protein phosphorylation","BP",0.00984472,-2.105848127,0.00527347,"CvsHigh","P.lobata","Hawaii","protein amino acid phosphorylation","protein metabolism","P"
"4716","GO:0006468","plut2.m8.3544","protein phosphorylation","BP",0.00984472,-1.012999715,0.000558155,"CvsHigh","P.lobata","Hawaii","protein amino acid phosphorylation","protein metabolism","P"
"4717","GO:0006468","plut2.m8.21703","protein phosphorylation","BP",0.00984472,-1.971244026,0.029822319,"CvsMid","P.lobata","Hawaii","protein amino acid phosphorylation","protein metabolism","P"
"4718","GO:0006468","plut2.m8.8613","protein phosphorylation","BP",0.00984472,-1.452190361,0.045435252,"CvsMid","P.lobata","Hawaii","protein amino acid phosphorylation","protein metabolism","P"
"4719","GO:0006468","plut2.m8.32388","protein phosphorylation","BP",0.00984472,1.583034924,3.35e-05,"CvsMid","P.lobata","Hawaii","protein amino acid phosphorylation","protein metabolism","P"
"4720","GO:0006468","plut2.m8.24994","protein phosphorylation","BP",0.00984472,-2.155101955,0.001160142,"CvsMid","P.lobata","Hawaii","protein amino acid phosphorylation","protein metabolism","P"
"4721","GO:0006468","plut2.m8.1654","protein phosphorylation","BP",0.00984472,1.237713896,0.013066766,"CvsMid","P.lobata","Hawaii","protein amino acid phosphorylation","protein metabolism","P"
"4722","GO:0006468","plut2.m8.32471","protein phosphorylation","BP",0.00984472,-2.015044234,0.000836122,"CvsMid","P.lobata","Hawaii","protein amino acid phosphorylation","protein metabolism","P"
"4723","GO:0006468","plut2.m8.7302","protein phosphorylation","BP",0.00984472,1.145686845,0.01548172,"CvsHigh","P.lobata","Hawaii","protein amino acid phosphorylation","protein metabolism","P"
"4724","GO:0006468","plut2.m8.16218","protein phosphorylation","BP",0.00984472,1.048623884,0.006832556,"CvsMid","P.lobata","Hawaii","protein amino acid phosphorylation","protein metabolism","P"
"4732","GO:0006477","plut2.m8.30338","protein sulfation","BP",0.022136078,-2.088204314,0.000964218,"CvsHigh","P.lobata","Hawaii","protein amino acid sulfation","protein metabolism","P"
"4733","GO:0006477","plut2.m8.30338","protein sulfation","BP",0.022136078,-1.771542318,0.020409015,"CvsMid","P.lobata","Hawaii","protein amino acid sulfation","protein metabolism","P"
"4744","GO:0006491","jamg1.model.Sc0000551.3","N-glycan processing","BP",0.039878479,-2.356621914,1.04e-05,"CvsMid","P.lobata","Hawaii","N-glycan processing","protein metabolism","P"
"4745","GO:0006491","jamg1.model.Sc0000551.3","N-glycan processing","BP",0.039878479,-1.999720223,0.000800948,"CvsHigh","P.lobata","Hawaii","N-glycan processing","protein metabolism","P"
"4894","GO:0006646","plut2.m8.32953","phosphatidylethanolamine biosynthetic process","BP",0.000504796,-1.860931571,0.028711624,"MidvsHigh","P.lobata","Hawaii","phosphatidylethanolamine biosynthetic process","other metabolic processes","P"
"4895","GO:0006646","plut2.m8.22609","phosphatidylethanolamine biosynthetic process","BP",0.000504796,1.040760176,0.004795612,"CvsHigh","P.lobata","Hawaii","phosphatidylethanolamine biosynthetic process","other metabolic processes","P"
"5241","GO:0007010","plut2.m8.92","cytoskeleton organization","BP",0.008079152,-0.578753009,0.010331848,"CvsHigh","P.lobata","Hawaii","cytoskeleton organization","cell organization and biogenesis","P"
"5242","GO:0007010","plut2.m8.32950","cytoskeleton organization","BP",0.008079152,-2.105848127,0.00527347,"CvsHigh","P.lobata","Hawaii","cytoskeleton organization","cell organization and biogenesis","P"
"5243","GO:0007010","plut2.m8.3794","cytoskeleton organization","BP",0.008079152,-2.298525002,2.78e-29,"CvsHigh","P.lobata","Hawaii","cytoskeleton organization","cell organization and biogenesis","P"
"5244","GO:0007010","plut2.m8.92","cytoskeleton organization","BP",0.008079152,-0.65332451,0.001442438,"CvsMid","P.lobata","Hawaii","cytoskeleton organization","cell organization and biogenesis","P"
"5245","GO:0007010","plut2.m8.3794","cytoskeleton organization","BP",0.008079152,-2.531134784,1.36e-35,"CvsMid","P.lobata","Hawaii","cytoskeleton organization","cell organization and biogenesis","P"
"5250","GO:0007017","plut2.m8.3794","microtubule-based process","BP",0.037597796,-2.531134784,1.36e-35,"CvsMid","P.lobata","Hawaii","microtubule-based process","other biological processes","P"
"5251","GO:0007017","plut2.m8.92","microtubule-based process","BP",0.037597796,-0.65332451,0.001442438,"CvsMid","P.lobata","Hawaii","microtubule-based process","other biological processes","P"
"5252","GO:0007017","plut2.m8.3794","microtubule-based process","BP",0.037597796,-2.298525002,2.78e-29,"CvsHigh","P.lobata","Hawaii","microtubule-based process","other biological processes","P"
"5253","GO:0007017","plut2.m8.92","microtubule-based process","BP",0.037597796,-0.578753009,0.010331848,"CvsHigh","P.lobata","Hawaii","microtubule-based process","other biological processes","P"
"5286","GO:0007052","jamg1.model.Sc0000051.45","mitotic spindle organization","BP",0.028261158,0.635514209,0.035957066,"CvsMid","P.lobata","Hawaii","mitotic spindle organization","cell organization and biogenesis","P"
"5287","GO:0007052","jamg1.model.Sc0000051.45","mitotic spindle organization","BP",0.028261158,0.635514209,0.035957066,"CvsMid","P.lobata","Hawaii","mitotic spindle organization","cell cycle and proliferation","P"
"5288","GO:0007052","jamg1.model.xpSc0007059.15","mitotic spindle organization","BP",0.028261158,-1.338550344,0.028529172,"CvsMid","P.lobata","Hawaii","mitotic spindle organization","cell organization and biogenesis","P"
"5289","GO:0007052","jamg1.model.xpSc0007059.15","mitotic spindle organization","BP",0.028261158,-1.338550344,0.028529172,"CvsMid","P.lobata","Hawaii","mitotic spindle organization","cell cycle and proliferation","P"
"5290","GO:0007052","jamg1.model.xpSc0007059.15","mitotic spindle organization","BP",0.028261158,-1.317065139,0.030965352,"CvsHigh","P.lobata","Hawaii","mitotic spindle organization","cell organization and biogenesis","P"
"5291","GO:0007052","jamg1.model.xpSc0007059.15","mitotic spindle organization","BP",0.028261158,-1.317065139,0.030965352,"CvsHigh","P.lobata","Hawaii","mitotic spindle organization","cell cycle and proliferation","P"
"5304","GO:0007059","jamg1.model.xpSc0007059.15","chromosome segregation","BP",0.020076301,-1.338550344,0.028529172,"CvsMid","P.lobata","Hawaii","chromosome segregation","other biological processes","P"
"5305","GO:0007059","plut2.m8.10671","chromosome segregation","BP",0.020076301,-1.923426966,0.000224193,"CvsMid","P.lobata","Hawaii","chromosome segregation","other biological processes","P"
"5306","GO:0007059","plut2.m8.10671","chromosome segregation","BP",0.020076301,-2.029422588,3.37e-05,"CvsHigh","P.lobata","Hawaii","chromosome segregation","other biological processes","P"
"5307","GO:0007059","jamg1.model.xpSc0007059.15","chromosome segregation","BP",0.020076301,-1.317065139,0.030965352,"CvsHigh","P.lobata","Hawaii","chromosome segregation","other biological processes","P"
"5446","GO:0007169","plut2.m8.32388","transmembrane receptor protein tyrosine kinase signaling pathway","BP",0.044255717,1.583034924,3.35e-05,"CvsMid","P.lobata","Hawaii","transmembrane receptor protein tyrosine kinase signaling pathway","signal transduction","P"
"5447","GO:0007169","plut2.m8.32388","transmembrane receptor protein tyrosine kinase signaling pathway","BP",0.044255717,1.23335001,0.001564529,"CvsHigh","P.lobata","Hawaii","transmembrane receptor protein tyrosine kinase signaling pathway","signal transduction","P"
"5448","GO:0007169","plut2.m8.7302","transmembrane receptor protein tyrosine kinase signaling pathway","BP",0.044255717,1.145686845,0.01548172,"CvsHigh","P.lobata","Hawaii","transmembrane receptor protein tyrosine kinase signaling pathway","signal transduction","P"
"5524","GO:0007229","plut2.m8.11877","integrin-mediated signaling pathway","BP",0.015215116,-1.33614768,0.040333312,"CvsHigh","P.lobata","Hawaii","integrin-mediated signaling pathway","signal transduction","P"
"5525","GO:0007229","plut2.m8.21905","integrin-mediated signaling pathway","BP",0.015215116,1.362511909,0.000989128,"CvsMid","P.lobata","Hawaii","integrin-mediated signaling pathway","signal transduction","P"
"5638","GO:0007344","plut2.m8.8613","pronuclear fusion","BP",0.021874217,-1.452190361,0.045435252,"CvsMid","P.lobata","Hawaii","pronuclear fusion","cell organization and biogenesis","P"
"5684","GO:0007387","plut2.m8.33535","anterior compartment pattern formation","BP",0.01839143,-1.20524184,0.000414935,"CvsHigh","P.lobata","Hawaii","anterior compartment specification","developmental processes","P"
"5685","GO:0007388","plut2.m8.33535","posterior compartment specification","BP",0.01839143,-1.20524184,0.000414935,"CvsHigh","P.lobata","Hawaii","posterior compartment specification","developmental processes","P"
"5789","GO:0007493","plut2.m8.21703","endodermal cell fate determination","BP",0.015483379,-1.971244026,0.029822319,"CvsMid","P.lobata","Hawaii","endodermal cell fate determination","developmental processes","P"
"5790","GO:0007493","plut2.m8.21703","endodermal cell fate determination","BP",0.015483379,2.383461607,0.022625602,"MidvsHigh","P.lobata","Hawaii","endodermal cell fate determination","developmental processes","P"
"5799","GO:0007500","plut2.m8.21703","mesodermal cell fate determination","BP",0.015291358,-1.971244026,0.029822319,"CvsMid","P.lobata","Hawaii","mesodermal cell fate determination","developmental processes","P"
"5800","GO:0007500","plut2.m8.21703","mesodermal cell fate determination","BP",0.015291358,2.383461607,0.022625602,"MidvsHigh","P.lobata","Hawaii","mesodermal cell fate determination","developmental processes","P"
"5806","GO:0007506","plut2.m8.21703","gonadal mesoderm development","BP",0.007992687,-1.971244026,0.029822319,"CvsMid","P.lobata","Hawaii","gonadal mesoderm development","developmental processes","P"
"5807","GO:0007506","plut2.m8.21703","gonadal mesoderm development","BP",0.007992687,2.383461607,0.022625602,"MidvsHigh","P.lobata","Hawaii","gonadal mesoderm development","developmental processes","P"
"5810","GO:0007509","plut2.m8.21703","mesoderm migration involved in gastrulation","BP",0.016047825,-1.971244026,0.029822319,"CvsMid","P.lobata","Hawaii","mesoderm migration","developmental processes","P"
"5811","GO:0007509","plut2.m8.21703","mesoderm migration involved in gastrulation","BP",0.016047825,2.383461607,0.022625602,"MidvsHigh","P.lobata","Hawaii","mesoderm migration","developmental processes","P"
"5824","GO:0007523","plut2.m8.21703","larval visceral muscle development","BP",0.007992687,-1.971244026,0.029822319,"CvsMid","P.lobata","Hawaii","larval visceral muscle development","developmental processes","P"
"5825","GO:0007523","plut2.m8.21703","larval visceral muscle development","BP",0.007992687,2.383461607,0.022625602,"MidvsHigh","P.lobata","Hawaii","larval visceral muscle development","developmental processes","P"
"5827","GO:0007525","plut2.m8.21703","somatic muscle development","BP",0.039752237,2.383461607,0.022625602,"MidvsHigh","P.lobata","Hawaii","somatic muscle development","developmental processes","P"
"5828","GO:0007525","plut2.m8.21703","somatic muscle development","BP",0.039752237,-1.971244026,0.029822319,"CvsMid","P.lobata","Hawaii","somatic muscle development","developmental processes","P"
"5893","GO:0007596","plut2.m8.22300","blood coagulation","BP",0.019408847,-2.091451365,0.001564529,"CvsHigh","P.lobata","Hawaii","blood coagulation","stress response","P"
"5894","GO:0007596","plut2.m8.23335","blood coagulation","BP",0.019408847,0.843900374,0.024180026,"CvsHigh","P.lobata","Hawaii","blood coagulation","stress response","P"
"5897","GO:0007599","plut2.m8.23335","hemostasis","BP",0.028161525,0.843900374,0.024180026,"CvsHigh","P.lobata","Hawaii","hemostasis","other biological processes","P"
"5898","GO:0007599","plut2.m8.22300","hemostasis","BP",0.028161525,-2.091451365,0.001564529,"CvsHigh","P.lobata","Hawaii","hemostasis","other biological processes","P"
"5961","GO:0008037","plut2.m8.32388","cell recognition","BP",0.022047981,1.583034924,3.35e-05,"CvsMid","P.lobata","Hawaii","cell recognition","other biological processes","P"
"5962","GO:0008037","plut2.m8.32388","cell recognition","BP",0.022047981,1.23335001,0.001564529,"CvsHigh","P.lobata","Hawaii","cell recognition","other biological processes","P"
"6240","GO:0008360","plut2.m8.9923","regulation of cell shape","BP",0.023132412,-0.955282539,0.044180526,"CvsHigh","P.lobata","Hawaii","regulation of cell shape","cell organization and biogenesis","P"
"6241","GO:0008360","plut2.m8.21703","regulation of cell shape","BP",0.023132412,2.383461607,0.022625602,"MidvsHigh","P.lobata","Hawaii","regulation of cell shape","cell organization and biogenesis","P"
"6242","GO:0008360","plut2.m8.21703","regulation of cell shape","BP",0.023132412,-1.971244026,0.029822319,"CvsMid","P.lobata","Hawaii","regulation of cell shape","cell organization and biogenesis","P"
"7407","GO:0009723","plut2.m8.32471","response to ethylene","BP",0.003025668,-2.015044234,0.000836122,"CvsMid","P.lobata","Hawaii","response to ethylene stimulus","other biological processes","P"
"7408","GO:0009723","plut2.m8.15977","response to ethylene","BP",0.003025668,-1.486852362,0.009547205,"CvsMid","P.lobata","Hawaii","response to ethylene stimulus","other biological processes","P"
"7409","GO:0009723","plut2.m8.32471","response to ethylene","BP",0.003025668,-1.991283662,0.000877092,"CvsHigh","P.lobata","Hawaii","response to ethylene stimulus","other biological processes","P"
"7410","GO:0009723","plut2.m8.15977","response to ethylene","BP",0.003025668,-1.334200231,0.039249135,"CvsHigh","P.lobata","Hawaii","response to ethylene stimulus","other biological processes","P"
"7638","GO:0009949","jamg1.model.Sc0000225.27","polarity specification of anterior/posterior axis","BP",0.021991989,-1.229896511,0.001063275,"CvsHigh","P.lobata","Hawaii","polarity specification of anterior/posterior axis","developmental processes","P"
"7686","GO:0010002","plut2.m8.21703","cardioblast differentiation","BP",0.04795123,-1.971244026,0.029822319,"CvsMid","P.lobata","Hawaii","cardioblast differentiation","developmental processes","P"
"7687","GO:0010002","plut2.m8.21703","cardioblast differentiation","BP",0.04795123,2.383461607,0.022625602,"MidvsHigh","P.lobata","Hawaii","cardioblast differentiation","developmental processes","P"
"7771","GO:0010085","jamg1.model.Sc0000225.27","polarity specification of proximal/distal axis","BP",0.023970554,-1.229896511,0.001063275,"CvsHigh","P.lobata","Hawaii","polarity specification of proximal/distal axis","developmental processes","P"
"8155","GO:0010454","plut2.m8.9273","negative regulation of cell fate commitment","BP",0.007493634,-1.628173656,0.003605271,"CvsMid","P.lobata","Hawaii","negative regulation of cell fate commitment","other biological processes","P"
"8156","GO:0010455","plut2.m8.9273","positive regulation of cell fate commitment","BP",0.007493634,-1.628173656,0.003605271,"CvsMid","P.lobata","Hawaii","positive regulation of cell fate commitment","other biological processes","P"
"8563","GO:0010801","plut2.m8.20146","negative regulation of peptidyl-threonine phosphorylation","BP",0.049250497,-2.322847798,9.76e-08,"CvsMid","P.lobata","Hawaii","negative regulation of peptidyl-threonine phosphorylation","protein metabolism","P"
"8564","GO:0010801","plut2.m8.20146","negative regulation of peptidyl-threonine phosphorylation","BP",0.049250497,-2.414284833,1.51e-08,"CvsHigh","P.lobata","Hawaii","negative regulation of peptidyl-threonine phosphorylation","protein metabolism","P"
"8588","GO:0010820","plut2.m8.28828","positive regulation of T cell chemotaxis","BP",0.038323937,-1.127810969,0.011382662,"CvsHigh","P.lobata","Hawaii","positive regulation of T cell chemotaxis","other biological processes","P"
"8589","GO:0010820","plut2.m8.28828","positive regulation of T cell chemotaxis","BP",0.038323937,-1.196145046,0.005462134,"CvsMid","P.lobata","Hawaii","positive regulation of T cell chemotaxis","other biological processes","P"
"8755","GO:0010971","plut2.m8.33535","positive regulation of G2/M transition of mitotic cell cycle","BP",0.005336525,-1.20524184,0.000414935,"CvsHigh","P.lobata","Hawaii","positive regulation of G2/M transition of mitotic cell cycle","cell cycle and proliferation","P"
"8756","GO:0010971","plut2.m8.8613","positive regulation of G2/M transition of mitotic cell cycle","BP",0.005336525,-1.452190361,0.045435252,"CvsMid","P.lobata","Hawaii","positive regulation of G2/M transition of mitotic cell cycle","cell cycle and proliferation","P"
"8845","GO:0014033","plut2.m8.15977","neural crest cell differentiation","BP",0.03792525,-1.334200231,0.039249135,"CvsHigh","P.lobata","Hawaii","neural crest cell differentiation","developmental processes","P"
"8846","GO:0014033","plut2.m8.15977","neural crest cell differentiation","BP",0.03792525,-1.486852362,0.009547205,"CvsMid","P.lobata","Hawaii","neural crest cell differentiation","developmental processes","P"
"8851","GO:0014036","plut2.m8.33535","neural crest cell fate specification","BP",0.01839143,-1.20524184,0.000414935,"CvsHigh","P.lobata","Hawaii","neural crest cell fate specification","cell organization and biogenesis","P"
"8852","GO:0014036","plut2.m8.33535","neural crest cell fate specification","BP",0.01839143,-1.20524184,0.000414935,"CvsHigh","P.lobata","Hawaii","neural crest cell fate specification","developmental processes","P"
"8854","GO:0014038","plut2.m8.8613","regulation of Schwann cell differentiation","BP",0.007511118,-1.452190361,0.045435252,"CvsMid","P.lobata","Hawaii","regulation of Schwann cell differentiation","developmental processes","P"
"8932","GO:0014719","plut2.m8.7302","skeletal muscle satellite cell activation","BP",0.022253364,1.145686845,0.01548172,"CvsHigh","P.lobata","Hawaii","satellite cell activation","other biological processes","P"
"9637","GO:0015701","plut2.m8.21315","bicarbonate transport","BP",0.015405533,0.86326496,0.045253115,"CvsHigh","P.lobata","Hawaii","bicarbonate transport","transport","P"
"10320","GO:0016477","plut2.m8.32388","cell migration","BP",0.002553513,1.23335001,0.001564529,"CvsHigh","P.lobata","Hawaii","cell migration","other biological processes","P"
"10321","GO:0016477","plut2.m8.8613","cell migration","BP",0.002553513,-1.452190361,0.045435252,"CvsMid","P.lobata","Hawaii","cell migration","other biological processes","P"
"10322","GO:0016477","plut2.m8.7555","cell migration","BP",0.002553513,-2.123895153,9.98e-07,"CvsHigh","P.lobata","Hawaii","cell migration","other biological processes","P"
"10323","GO:0016477","plut2.m8.11877","cell migration","BP",0.002553513,-1.33614768,0.040333312,"CvsHigh","P.lobata","Hawaii","cell migration","other biological processes","P"
"10324","GO:0016477","plut2.m8.3544","cell migration","BP",0.002553513,-1.012999715,0.000558155,"CvsHigh","P.lobata","Hawaii","cell migration","other biological processes","P"
"10325","GO:0016477","plut2.m8.7555","cell migration","BP",0.002553513,-2.513841592,8.48e-10,"CvsMid","P.lobata","Hawaii","cell migration","other biological processes","P"
"10326","GO:0016477","plut2.m8.32388","cell migration","BP",0.002553513,1.583034924,3.35e-05,"CvsMid","P.lobata","Hawaii","cell migration","other biological processes","P"
